,CARD,DECK,BALLOT,S224.Q1,S224.Q2,S224.Q3,S224.Q4A,S224.Q4B,S224.Q4C,S224.Q5A,S224.Q5B,S224.Q6A,S224.Q6B,S224.Q6C,S224.Q6D,S224.Q6E,S224.Q6F,S224.Q7A,S224.Q7B.n,S224.Q8,S224.Q9,S224.Q10A,S224.Q10B,S224.Q10C,S224.Q11A.n,S224.Q11B.n,S224.Q12A,S224.Q12B,S224.Q12C,S224.Q12D,S224.Q13A,S224.Q13B,S224.Q14A,S224.Q14B,S224.Q15,S224.Q16,S224.Q17A,S224.Q17B,S224.Q18A,S224.Q18B,S224.Q19A,S224.Q19B,S224.Q20.n,S224.Q21A,S224.Q21B,S224.Q22,S224.Q23,S224.Q24,S224.Q25,S224.V26,S224.V27,S224.V28
14,1.0,224.0,15.0,2.0,3.0,5.0,4.0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,1.0,3.0,5.0,3.0,,3.0,3.0,2.0,5.0,3.0,1.0,4.0,1.0,49.0
15,1.0,224.0,16.0,3.0,3.0,4.0,5.0,3.0,1.0,2.0,8.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,,2.0,3.0,3.0,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,5.0,5.0,4.0,2.0,5.0,0.0,,3.0,2.0,1.0,5.0,3.0,1.0,1.0,2.0,23.0
16,1.0,224.0,17.0,3.0,2.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,3.0,5.0,3.0,,3.0,3.0,1.0,5.0,3.0,1.0,1.0,2.0,22.0
17,1.0,224.0,18.0,4.0,3.0,5.0,1.0,6.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,0.0,3.0,5.0,0.0,,3.0,3.0,1.0,5.0,3.0,1.0,2.0,8.0,33.0
18,1.0,224.0,19.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,0.0,,3.0,3.0,1.0,5.0,3.0,1.0,2.0,8.0,16.0
19,1.0,224.0,20.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,,3.0,3.0,1.0,5.0,3.0,2.0,2.0,8.0,38.0
20,1.0,224.0,21.0,4.0,3.0,5.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,0.0,3.0,5.0,1.0,,3.0,3.0,1.0,5.0,3.0,1.0,2.0,8.0,135.0
21,1.0,224.0,22.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,2.0,3.0,,,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,2.0,5.0,5.0,1.0,1.0,5.0,1.0,,3.0,3.0,1.0,5.0,3.0,2.0,2.0,8.0,54.0
22,1.0,224.0,23.0,7.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,,3.0,2.0,3.0,2.0,2.0,,,1.0,1.0,1.0,0.0,1.0,3.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,,3.0,3.0,1.0,5.0,3.0,2.0,2.0,8.0,112.0
23,1.0,224.0,24.0,3.0,3.0,4.0,6.0,6.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,1.0,5.0,3.0,,2.0,3.0,2.0,5.0,3.0,1.0,2.0,8.0,10.0
24,1.0,224.0,25.0,3.0,3.0,6.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,3.0,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,2.0,5.0,5.0,1.0,1.0,5.0,0.0,,3.0,3.0,1.0,5.0,3.0,1.0,2.0,8.0,62.0
25,1.0,224.0,26.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,0.0,1.0,1.0,,1.0,2.0,1.0,5.0,3.0,1.0,2.0,8.0,49.0
26,1.0,224.0,27.0,6.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,2.0,,,0.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,5.0,0.0,,0.0,0.0,0.0,5.0,3.0,2.0,3.0,8.0,19.0
27,1.0,224.0,28.0,4.0,2.0,7.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,1.0,2.0,2.0,,,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,,3.0,3.0,1.0,5.0,3.0,2.0,2.0,9.0,2.0
28,1.0,224.0,29.0,6.0,3.0,6.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,5.0,5.0,1.0,3.0,5.0,3.0,,3.0,3.0,1.0,6.0,3.0,2.0,1.0,2.0,76.0
29,1.0,224.0,30.0,3.0,3.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,,3.0,2.0,2.0,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,,3.0,3.0,1.0,6.0,3.0,1.0,3.0,3.0,35.0
30,1.0,224.0,31.0,6.0,3.0,6.0,6.0,6.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,4.0,5.0,5.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,5.0,0.0,,2.0,3.0,1.0,6.0,3.0,1.0,1.0,3.0,11.0
31,1.0,224.0,32.0,7.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,3.0,3.0,1.0,6.0,3.0,1.0,1.0,7.0,37.0
32,1.0,224.0,33.0,6.0,3.0,8.0,2.0,3.0,1.0,2.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,,3.0,2.0,3.0,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,,3.0,3.0,1.0,6.0,3.0,1.0,2.0,7.0,13.0
33,1.0,224.0,34.0,5.0,3.0,7.0,6.0,6.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,4.0,1.0,1.0,1.0,,,5.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,,3.0,2.0,2.0,6.0,3.0,2.0,2.0,7.0,84.0
34,1.0,224.0,35.0,5.0,3.0,6.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,,3.0,3.0,2.0,6.0,3.0,1.0,1.0,2.0,47.0
35,1.0,224.0,36.0,0.0,1.0,4.0,6.0,6.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,2.0,1.0,3.0,,,0.0,7.0,4.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,,0.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,32.0
36,1.0,224.0,37.0,2.0,3.0,4.0,6.0,5.0,0.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,3.0,1.0,,,6.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,,3.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,50.0
37,1.0,224.0,38.0,3.0,3.0,6.0,6.0,5.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,5.0,5.0,3.0,4.0,1.0,3.0,,3.0,3.0,1.0,0.0,1.0,1.0,2.0,3.0,62.0
38,1.0,224.0,39.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,,,4.0,4.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,,3.0,3.0,1.0,0.0,1.0,2.0,4.0,6.0,55.0
39,1.0,224.0,40.0,2.0,2.0,4.0,3.0,2.0,0.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,6.0
40,1.0,224.0,41.0,2.0,3.0,5.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,2.0,1.0,1.0,0.0,,,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,5.0,5.0,0.0,0.0,5.0,1.0,,0.0,0.0,0.0,0.0,1.0,2.0,1.0,9.0,3.0
41,1.0,224.0,42.0,3.0,3.0,7.0,6.0,5.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,5.0,3.0,5.0,0.0,,3.0,3.0,1.0,3.0,3.0,1.0,1.0,4.0,18.0
42,1.0,224.0,43.0,1.0,3.0,6.0,6.0,4.0,1.0,2.0,7.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,,,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,,3.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,16.0
43,1.0,224.0,44.0,1.0,3.0,4.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,3.0,3.0,1.0,3.0,3.0,1.0,1.0,4.0,11.0
44,1.0,224.0,45.0,2.0,3.0,7.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,,,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,,3.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,43.0
45,1.0,224.0,46.0,2.0,2.0,6.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,,,4.0,4.0,5.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,,3.0,3.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0
46,1.0,224.0,47.0,3.0,2.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,0.0,7.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,,3.0,3.0,1.0,4.0,1.0,1.0,3.0,8.0,20.0
47,1.0,224.0,48.0,4.0,2.0,7.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,,0.0,2.0,1.0,2.0,3.0,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,5.0,5.0,1.0,1.0,5.0,2.0,,3.0,2.0,2.0,4.0,1.0,1.0,3.0,8.0,39.0
48,1.0,224.0,49.0,4.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,4.0,1.0,1.0,3.0,8.0,41.0
49,1.0,224.0,50.0,1.0,3.0,5.0,6.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,3.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,4.0,1.0,2.0,3.0,8.0,44.0
50,1.0,224.0,51.0,2.0,3.0,5.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,4.0,1.0,2.0,,2.0,2.0,2.0,4.0,1.0,2.0,3.0,8.0,16.0
51,1.0,224.0,52.0,6.0,2.0,8.0,6.0,6.0,1.0,2.0,7.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,,1.0,4.0,1.0,2.0,2.0,,,5.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,5.0,0.0,,2.0,3.0,0.0,4.0,1.0,1.0,1.0,9.0,30.0
52,1.0,224.0,53.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,7.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,,2.0,3.0,1.0,4.0,1.0,1.0,1.0,9.0,24.0
53,1.0,224.0,54.0,6.0,2.0,6.0,4.0,2.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,5.0,0.0,,3.0,3.0,2.0,4.0,1.0,1.0,1.0,9.0,25.0
54,1.0,224.0,55.0,4.0,2.0,7.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,2.0,,,1.0,1.0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,3.0,,2.0,0.0,1.0,4.0,1.0,2.0,1.0,9.0,29.0
55,1.0,224.0,56.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,,3.0,2.0,2.0,2.0,3.0,,,4.0,1.0,4.0,0.0,3.0,5.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,5.0,3.0,,3.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,38.0
56,1.0,224.0,57.0,3.0,2.0,6.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,3.0,,,1.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,5.0,5.0,1.0,1.0,5.0,0.0,,3.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,32.0
57,1.0,224.0,58.0,4.0,3.0,6.0,5.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,,,1.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0,0.0,,3.0,3.0,2.0,4.0,1.0,1.0,1.0,9.0,37.0
58,1.0,224.0,59.0,4.0,2.0,6.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,1.0,,,4.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,,3.0,3.0,0.0,4.0,1.0,1.0,2.0,9.0,48.0
59,1.0,224.0,60.0,2.0,1.0,7.0,6.0,4.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,0.0,,3.0,3.0,2.0,4.0,1.0,1.0,2.0,9.0,44.0
60,1.0,224.0,61.0,4.0,1.0,5.0,3.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,1.0,3.0,2.0,,,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,,2.0,2.0,0.0,4.0,1.0,1.0,2.0,9.0,24.0
61,1.0,224.0,62.0,5.0,1.0,6.0,2.0,5.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,3.0,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,5.0,3.0,,2.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,3.0
62,1.0,224.0,63.0,3.0,1.0,6.0,1.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,3.0,6.0,0.0,,,1.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,5.0,3.0,,3.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,7.0
63,1.0,224.0,64.0,2.0,3.0,5.0,3.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,1.0,1.0,3.0,,,1.0,1.0,4.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,,3.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,29.0
64,1.0,224.0,65.0,5.0,3.0,1.0,3.0,6.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,4.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,,3.0,3.0,1.0,4.0,1.0,2.0,3.0,9.0,63.0
65,1.0,224.0,66.0,2.0,3.0,6.0,3.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,5.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,5.0,5.0,1.0,1.0,2.0,3.0,,2.0,3.0,2.0,4.0,1.0,1.0,3.0,9.0,17.0
