,CARD,DECK,BALLOT,FORM,S132C.Q1,S132C.Q2,S132C.Q3,S132C.Q4,S132C.Q5,S132C.Q6,S132C.Q7,S132C.Q8,S132C.Q9,S132C.Q10,S132C.Q11,S132C.Q12,S132C.Q13,S132C.Q14,S132C.Q15.1,S132C.Q15.2,S132C.Q15.3,S132C.Q15.4,S132C.Q15.5,S132C.Q15.6,S132C.Q15.7,S132C.Q15.8,S132C.Q15.9,S132C.Q15.10,S132C.Q15.11,S132C.Q16,S132C.Q17,S132C.Q18,S132C.Q19,S132C.Q20,S132C.Q21.n,S132C.Q22,S132C.Q23,S132C.Q24,S132C.Q25,S132C.Q26,S132C.Q27,S132C.Q28A,S132C.Q28B,S132C.Q29A,S132C.Q29B,S132C.Q30,S132C.Q31,S132C.Q32A,S132C.Q32B.n,S132C.Q32C,S132C.Q32D.n,S132C.Q32E.n,S132C.Q33A,S132C.Q33B.n,S132C.Q34A,S132C.Q34B.n,S132C.Q35,S132C.Q36,S132C.Q37,S132C.Q38,S132C.Q39,S132C.Q40,S132C.Q41,S132C.Q42A,S132C.Q42B,S132C.Q43,S132C.Q44,S132C.Q45,S132C.Q46,S132C.Q47A,S132C.Q47B.n,CARD..1,DECK..1,BALLOT..1,FORM..1,S132C.Q48,S132C.Q49,S132C.Q50,S132C.Q51,S132C.Q52A.1,S132C.Q52A.2,S132C.Q52A.3,S132C.Q52A.4,S132C.Q52A.5,S132C.Q52A.6,S132C.Q52B.n,S132C.Q53A,S132C.Q53B.n,S132C.Q54,S132C.Q55.1,S132C.Q55.2,S132C.Q55.3,S132C.Q55.4,S132C.Q55.5,S132C.Q55.6,S132C.Q55.7,S132C.Q55.8,S132C.Q55.9,S132C.Q55.10,S132C.Q55.11,S132C.Q55.12,S132C.Q56,S132C.Q57,S132C.Q58,S132C.Q59,S132C.Q60,S132C.Q61,S132C.Q62,S132C.Q63,S132C.Q64,S132C.Q65,S132C.Q66,S132C.Q67,S132C.Q68,S132C.Q69,S132C.Q70.n,S132C.V71
10,1.0,132.0,11.0,3.0,3.0,3.0,6.0,8.0,7.0,1.0,5.0,1.0,5.0,2.0,0.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,6.0,0.0,4.0,2.0,1.0,,2.0,,,2.0,,2.0,,1.0,3.0,4.0,6.0,8.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,17.0,,2.0,132.0,11.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,,492.0
11,1.0,132.0,12.0,3.0,2.0,2.0,6.0,6.0,6.0,1.0,5.0,1.0,5.0,2.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,3.0,11.0,6.0,5.0,1.0,2.0,1.0,,0.0,,,2.0,,2.0,,2.0,2.0,5.0,9.0,1.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,12.0,,2.0,132.0,12.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,,75.0
12,1.0,132.0,13.0,3.0,2.0,2.0,6.0,9.0,6.0,1.0,5.0,1.0,5.0,2.0,0.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,6.0,0.0,0.0,1.0,2.0,,2.0,,,3.0,,2.0,,2.0,1.0,4.0,6.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,7.0,,2.0,132.0,13.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,,205.0
13,1.0,132.0,14.0,3.0,3.0,3.0,4.0,8.0,4.0,1.0,5.0,1.0,5.0,2.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,7.0,5.0,1.0,2.0,1.0,,2.0,,,2.0,,2.0,,2.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,17.0,,2.0,132.0,14.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,,108.0
14,1.0,132.0,15.0,3.0,8.0,8.0,6.0,7.0,4.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,0.0,0.0,3.0,3.0,2.0,,1.0,,,1.0,,2.0,,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,,2.0,132.0,15.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,5.0,3.0,1.0,3.0,2.0,,420.0
15,1.0,132.0,16.0,3.0,9.0,9.0,6.0,10.0,6.0,1.0,4.0,1.0,5.0,2.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,8.0,5.0,4.0,2.0,2.0,,2.0,,,2.0,,2.0,,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,1.0,17.0,,2.0,132.0,16.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,1.0,,91.0
16,1.0,132.0,17.0,3.0,3.0,3.0,6.0,9.0,6.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,7.0,0.0,1.0,1.0,1.0,,2.0,,,2.0,,1.0,,2.0,2.0,3.0,6.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,17.0,,2.0,132.0,17.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,,486.0
17,1.0,132.0,18.0,3.0,5.0,5.0,4.0,7.0,5.0,1.0,4.0,1.0,5.0,2.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,12.0,5.0,3.0,1.0,2.0,,2.0,,,3.0,,2.0,,2.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0,1.0,17.0,,2.0,132.0,18.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,,90.0
18,1.0,132.0,19.0,3.0,1.0,1.0,0.0,6.0,3.0,2.0,4.0,1.0,4.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,4.0,2.0,2.0,,1.0,,,4.0,,2.0,,3.0,2.0,4.0,6.0,8.0,2.0,4.0,0.0,3.0,3.0,4.0,2.0,1.0,14.0,,2.0,132.0,19.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,,442.0
19,1.0,132.0,20.0,3.0,4.0,4.0,4.0,10.0,6.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0,1.0,2.0,3.0,5.0,,7.0,1.0,3.0,1.0,1.0,3.0,2.0,7.0,1.0,1.0,4.0,1.0,3.0,,2.0,,,3.0,,1.0,,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,13.0,,2.0,132.0,20.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,2.0,,411.0
20,1.0,132.0,21.0,3.0,3.0,3.0,5.0,9.0,2.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.0,2.0,3.0,4.0,,3.0,1.0,3.0,1.0,1.0,3.0,2.0,7.0,7.0,5.0,1.0,2.0,0.0,,2.0,,,4.0,,2.0,,2.0,2.0,4.0,6.0,7.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,17.0,,2.0,132.0,21.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,0.0,6.0,2.0,,57.0
21,1.0,132.0,22.0,3.0,5.0,5.0,6.0,11.0,5.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,6.0,0.0,4.0,2.0,2.0,,2.0,,,2.0,,1.0,,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,,2.0,132.0,22.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,8.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,,558.0
22,1.0,132.0,23.0,3.0,1.0,1.0,0.0,11.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,5.0,,7.0,1.0,5.0,2.0,1.0,1.0,7.0,5.0,11.0,5.0,2.0,1.0,3.0,,3.0,,,3.0,,1.0,,1.0,3.0,3.0,6.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,,2.0,132.0,23.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,7.0,3.0,,571.0
23,1.0,132.0,24.0,3.0,1.0,1.0,6.0,11.0,5.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,9.0,5.0,3.0,3.0,2.0,,3.0,,,2.0,,1.0,,1.0,2.0,3.0,5.0,11.0,1.0,1.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,,2.0,132.0,24.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,472.0
24,1.0,132.0,25.0,3.0,2.0,2.0,5.0,11.0,4.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,0.0,1.0,1.0,3.0,,2.0,,,1.0,,1.0,,1.0,0.0,3.0,4.0,11.0,1.0,2.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,,2.0,132.0,25.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.0,3.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,,424.0
25,1.0,132.0,26.0,3.0,6.0,6.0,6.0,7.0,6.0,1.0,5.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0,1.0,1.0,2.0,1.0,,3.0,,,4.0,,1.0,,2.0,2.0,5.0,7.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,17.0,,2.0,132.0,26.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,9.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,,83.0
26,1.0,132.0,27.0,3.0,4.0,4.0,6.0,9.0,5.0,1.0,3.0,1.0,2.0,1.0,0.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.0,1.0,3.0,3.0,,6.0,1.0,1.0,1.0,1.0,3.0,3.0,11.0,4.0,5.0,2.0,1.0,3.0,,2.0,,,2.0,,2.0,,1.0,2.0,3.0,5.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,,2.0,132.0,27.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,,300.0
