,CARD,DECK,BALLOT,S83.Q1,S83.Q2.1,S83.Q2.2,S83.Q3,S83.Q4A,S83.Q4B,S83.Q4C,S83.Q4D,S83.Q5.1,S83.Q5.2,S83.Q6.1,S83.Q6.2,S83.Q7,S83.Q8,S83.Q9,S83.Q10,S83.Q11,S83.Q12,S83.Q13,S83.Q14A.n,S83.Q14B.n,S83.Q14C.n,S83.Q14D.n,S83.Q15A.n,S83.Q15B.n,S83.Q15C.n,S83.Q15D.n,S83.Q16.n,S83.Q17A.n,S83.Q17B.n,S83.Q18,S83.Q19,S83.Q20,S83.Q21,S83.Q22,S83.Q23A,S83.Q23B,S83.Q24,S83.Q25A.1,S83.Q25A.2,S83.Q25A.3,S83.Q25A.4,S83.Q25A.5,S83.Q25A.6,S83.Q25A.7,S83.Q25A.8,S83.Q25A.9,S83.Q25A.10,S83.Q25B,S83.Q26,S83.Q27,S83.Q28,S83.Q29,S83.Q30,S83.Q31,S83.Q32,S83.Q33,S83.Q34,S83.Q35,S83.Q36,S83.Q37,S83.Q38,S83.Q39,S83.Q40,S83.Q41,S83.Q42,S83.Q43,S83.Q44,S83.Q45,S83.Q46,S83.Q47,S83.Q48,CARD..1,DECK..1,BALLOT..1,S83.Q49,S83.V50,S83.V51,S83.V52,S83.V53,S83.V54,S83.V55
0,1.0,83.0,1.0,2.0,3.0,43.0,3.0,10.0,1.0,0.0,0.0,3.0,17.0,9.0,93.0,4.0,2.0,2.0,2.0,8.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,83.0,1.0,1.0,1.0,3.0,2.0,3.0,22321.0,11231.0
1,1.0,83.0,2.0,2.0,5.0,42.0,3.0,7.0,1.0,99.0,99.0,4.0,12.0,3.0,33.0,5.0,1.0,1.0,1.0,10.0,1.0,1.0,,,,,,,,,,,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,6.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,83.0,2.0,2.0,3.0,1.0,7.0,4.0,32302.0,31481.0
2,1.0,83.0,3.0,2.0,5.0,43.0,3.0,8.0,1.0,0.0,0.0,6.0,17.0,3.0,33.0,5.0,2.0,3.0,2.0,5.0,1.0,2.0,,,,,,,,,,,,3.0,3.0,1.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,3.0,2.0,0.0,2.0,4.0,2.0,32303.0,31391.0
3,1.0,83.0,4.0,2.0,12.0,42.0,4.0,11.0,1.0,99.0,99.0,9.0,20.0,5.0,56.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,3.0,3.0,2.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,83.0,4.0,1.0,0.0,2.0,2.0,2.0,22211.0,42515.0
4,1.0,83.0,5.0,2.0,10.0,42.0,4.0,14.0,1.0,99.0,99.0,12.0,7.0,5.0,52.0,4.0,2.0,2.0,3.0,4.0,5.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,3.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,5.0,1.0,1.0,1.0,4.0,2.0,31313.0,42975.0
5,1.0,83.0,6.0,2.0,1.0,43.0,3.0,12.0,1.0,0.0,0.0,5.0,9.0,1.0,14.0,5.0,1.0,1.0,1.0,12.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,3.0,2.0,3.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,83.0,6.0,2.0,0.0,3.0,0.0,0.0,22230.0,42815.0
6,1.0,83.0,7.0,2.0,12.0,42.0,4.0,12.0,1.0,99.0,99.0,1.0,17.0,5.0,52.0,5.0,2.0,3.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,7.0,1.0,1.0,0.0,7.0,4.0,32303.0,41421.0
7,1.0,83.0,8.0,2.0,12.0,42.0,4.0,12.0,1.0,99.0,99.0,12.0,16.0,2.0,21.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,5.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,6.0,4.0,2.0,1.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,83.0,8.0,1.0,2.0,2.0,4.0,1.0,20230.0,41702.0
8,1.0,83.0,9.0,2.0,11.0,42.0,4.0,12.0,2.0,99.0,99.0,8.0,5.0,5.0,58.0,4.0,2.0,2.0,5.0,8.0,6.0,2.0,,,,,,,,,,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,83.0,9.0,1.0,1.0,3.0,1.0,3.0,22020.0,11381.0
9,1.0,83.0,10.0,2.0,12.0,42.0,4.0,10.0,2.0,99.0,99.0,11.0,10.0,2.0,23.0,4.0,2.0,3.0,2.0,8.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,10.0,1.0,1.0,2.0,2.0,3.0,32311.0,11581.0
