,CARD,DECK,BALLOT,FORM,S100C.Q1,S100C.Q2,S100C.Q3,S100C.Q4,S100C.Q5,S100C.Q6,S100C.Q7A.n,S100C.Q7B,S100C.Q7C,S100C.Q8,S100C.Q9,S100C.Q10,S100C.Q11,S100C.Q12,S100C.Q13,S100C.Q14,S100C.Q15.n,S100C.Q16A,S100C.Q16B,S100C.Q17A,S100C.Q17B,S100C.Q18.n,S100C.Q19,S100C.Q20,S100C.Q21A,S100C.Q21B,S100C.Q22,S100C.Q23,S100C.Q24,S100C.Q25,S100C.Q26,S100C.Q27,S100C.Q28,S100C.Q29A,S100C.Q29B,S100C.Q29C,S100C.Q29D,S100C.Q29E,S100C.Q29F,S100C.Q29G,S100C.Q30A,S100C.Q30B,S100C.Q31,S100C.Q32A,S100C.Q32B,S100C.Q32C,S100C.Q33,S100C.Q34,S100C.Q35,S100C.Q36A,S100C.Q36B.n,S100C.Q37,S100C.Q38,S100C.Q39,S100C.Q40.n,S100C.Q40A.n,S100C.Q40B.n,S100C.Q41,S100C.Q42.1,S100C.Q42.2,S100C.Q43A,S100C.Q43B,S100C.Q43C,S100C.Q44,S100C.Q45A,S100C.Q45B,S100C.Q46A,S100C.Q46B,S100C.Q47A.n,S100C.Q47B.n,S100C.Q48,CARD..1,DECK..1,BALLOT..1,FORM..1,S100C.Q49A,S100C.Q49B,S100C.Q49C,S100C.Q49D,S100C.Q49E,S100C.Q49F,S100C.Q49G,S100C.Q49H,S100C.Q50A,S100C.Q50B,S100C.Q50C,S100C.Q51A.n,S100C.Q51B.n,S100C.Q52.n,S100C.Q53A,S100C.Q53B,S100C.Q53C,S100C.Q54,S100C.Q55A,S100C.Q55B,S100C.Q56.n,S100C.V57,S100C.V58
0,1.0,100.0,1.0,3.0,4.0,1.0,5.0,3.0,1.0,3.0,,90.0,18.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,,4.0,3.0,4.0,2.0,,1.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,8.0,0.0,2.0,3.0,3.0,2.0,1.0,,3.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,100.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,44.0
1,1.0,100.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,,70.0,20.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,3.0,2.0,2.0,2.0,,1.0,1.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,,2.0,3.0,1.0,,,,4.0,8.0,1.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,,,2.0,2.0,100.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,,5.0,61.0
2,1.0,100.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,3.0,,40.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,3.0,1.0,3.0,1.0,,4.0,1.0,2.0,2.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,,3.0,2.0,1.0,,,,3.0,8.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,,,1.0,2.0,100.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,,,,3.0,3.0,3.0,2.0,2.0,1.0,,5.0,55.0
3,1.0,100.0,4.0,3.0,5.0,2.0,4.0,4.0,1.0,1.0,,75.0,21.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,,4.0,1.0,2.0,1.0,,3.0,8.0,3.0,2.0,5.0,6.0,3.0,3.0,3.0,1.0,0.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,9.0,3.0,4.0,3.0,2.0,1.0,2.0,,2.0,4.0,1.0,,,,4.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,,,1.0,2.0,100.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,,,,1.0,2.0,2.0,2.0,1.0,2.0,,3.0,23.0
4,1.0,100.0,5.0,3.0,5.0,1.0,4.0,2.0,1.0,3.0,,72.0,21.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,,4.0,3.0,3.0,3.0,,3.0,8.0,2.0,2.0,5.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,0.0,,2.0,2.0,1.0,,,,4.0,10.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,,,1.0,2.0,100.0,5.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,4.0,4.0,,,,3.0,2.0,3.0,2.0,0.0,0.0,,4.0,28.0
5,1.0,100.0,6.0,3.0,6.0,1.0,3.0,3.0,1.0,3.0,,50.0,21.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,,4.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,,2.0,3.0,1.0,,,,4.0,10.0,1.0,4.0,1.0,2.0,3.0,1.0,5.0,1.0,0.0,,,2.0,2.0,100.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,,,,1.0,2.0,0.0,2.0,1.0,1.0,,7.0,37.0
6,1.0,100.0,7.0,3.0,5.0,1.0,3.0,3.0,1.0,3.0,,70.0,28.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,,3.0,1.0,2.0,1.0,,3.0,8.0,2.0,1.0,5.0,6.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,,3.0,2.0,1.0,,,,4.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,,,3.0,2.0,100.0,7.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,9.0,29.0
7,1.0,100.0,8.0,3.0,5.0,2.0,4.0,3.0,1.0,3.0,,74.0,12.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,,3.0,1.0,2.0,1.0,,2.0,0.0,1.0,2.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,5.0,4.0,1.0,2.0,2.0,3.0,,1.0,2.0,1.0,,,,4.0,5.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,,,3.0,2.0,100.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,3.0,1.0,0.0,2.0,0.0,0.0,,9.0,30.0
8,1.0,100.0,9.0,3.0,5.0,1.0,3.0,4.0,1.0,3.0,,110.0,15.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,,2.0,2.0,2.0,2.0,,4.0,1.0,0.0,2.0,5.0,3.0,4.0,3.0,3.0,1.0,3.0,0.0,1.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,,2.0,3.0,2.0,,,,4.0,1.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,,,2.0,2.0,100.0,9.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,,,3.0,2.0,2.0,2.0,1.0,2.0,,9.0,32.0
9,1.0,100.0,10.0,3.0,6.0,1.0,3.0,2.0,1.0,4.0,,70.0,14.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,2.0,1.0,,3.0,0.0,3.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,0.0,,3.0,3.0,1.0,,,,4.0,8.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,,,2.0,2.0,100.0,10.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,2.0,2.0,0.0,2.0,1.0,2.0,,9.0,34.0
