,CARD,DECK,BALLOT,FORM,S195B.Q1,S195B.Q2,S195B.Q3,S195B.Q4A,S195B.Q4B,S195B.Q5A,S195B.Q5B,S195B.Q6A,S195B.Q6B,S195B.Q7A,S195B.Q7B,S195B.Q8A,S195B.Q8B,S195B.Q9A,S195B.Q9B,S195B.Q10A,S195B.Q10B,S195B.Q11A,S195B.Q11B,S195B.Q12A,S195B.Q12B,S195B.Q13A,S195B.Q13B,S195B.Q14A,S195B.Q14B,S195B.Q15A,S195B.Q15B,S195B.Q16A,S195B.Q16B,S195B.Q17A,S195B.Q17B,S195B.Q18A,S195B.Q18B,S195B.Q19A,S195B.Q19B,S195B.Q20A,S195B.Q20B,S195B.Q21A,S195B.Q21B,S195B.Q22A,S195B.Q22B,S195B.Q23A,S195B.Q23B,S195B.Q24A,S195B.Q24B,S195B.Q25,S195B.Q26,S195B.Q27,S195B.Q28,S195B.Q29,S195B.Q30,S195B.Q31,S195B.Q32,S195B.Q33,S195B.Q34,S195B.Q35,S195B.Q36,S195B.Q37,S195B.Q38,S195B.Q39,S195B.Q40A,S195B.Q40B,S195B.Q41A,S195B.Q41B,S195B.Q42A,S195B.Q42B,S195B.Q43A,S195B.Q43B,S195B.Q44A,S195B.Q44B,S195B.Q45A,S195B.Q45B,CARD..1,DECK..1,BALLOT..1,FORM..1,S195B.Q46A,S195B.Q46B,S195B.Q47A,S195B.Q47B,S195B.Q48.n,S195B.V49A,S195B.V49B,S195B.V50A,S195B.V50B,S195B.V51A,S195B.V51B,S195B.V52
60,1.0,195.0,61.0,2.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,195.0,61.0,2.0,3.0,1.0,2.0,1.0,,3.0,8.0,5.0,2.0,7.0,5.0,1.0
61,1.0,195.0,62.0,2.0,2.0,3.0,7.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,195.0,62.0,2.0,3.0,2.0,3.0,1.0,,3.0,5.0,3.0,5.0,6.0,4.0,1.0
62,1.0,195.0,63.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,63.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,1.0
63,1.0,195.0,64.0,2.0,3.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,3.0,2.0,195.0,64.0,2.0,3.0,3.0,3.0,1.0,,3.0,7.0,4.0,6.0,6.0,4.0,1.0
64,1.0,195.0,65.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,195.0,65.0,2.0,3.0,1.0,3.0,2.0,,4.0,0.0,8.0,7.0,6.0,5.0,1.0
65,1.0,195.0,66.0,2.0,3.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,195.0,66.0,2.0,3.0,1.0,3.0,1.0,,2.0,8.0,3.0,5.0,4.0,5.0,1.0
66,1.0,195.0,67.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,195.0,67.0,2.0,3.0,1.0,2.0,1.0,,2.0,8.0,5.0,5.0,7.0,5.0,2.0
67,1.0,195.0,68.0,2.0,2.0,2.0,6.0,3.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,3.0,4.0,2.0,0.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,195.0,68.0,2.0,3.0,1.0,3.0,1.0,,1.0,0.0,1.0,8.0,6.0,5.0,1.0
68,1.0,195.0,69.0,2.0,0.0,5.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,5.0,4.0,3.0,1.0,0.0,4.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,195.0,69.0,2.0,2.0,1.0,1.0,1.0,,5.0,4.0,5.0,3.0,2.0,6.0,1.0
69,1.0,195.0,70.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,195.0,70.0,2.0,3.0,2.0,3.0,2.0,,2.0,8.0,2.0,3.0,3.0,0.0,2.0
70,1.0,195.0,71.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,71.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0
71,1.0,195.0,72.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,72.0,2.0,0.0,0.0,3.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
72,1.0,195.0,73.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,73.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
73,1.0,195.0,74.0,2.0,1.0,5.0,3.0,3.0,2.0,3.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,2.0,195.0,74.0,2.0,4.0,0.0,3.0,0.0,,3.0,0.0,1.0,0.0,3.0,0.0,1.0
74,1.0,195.0,75.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,75.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
75,1.0,195.0,76.0,2.0,3.0,2.0,8.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,195.0,76.0,2.0,3.0,1.0,2.0,1.0,,7.0,0.0,5.0,0.0,6.0,6.0,2.0
76,1.0,195.0,77.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,3.0,2.0,195.0,77.0,2.0,4.0,2.0,2.0,0.0,,4.0,3.0,2.0,0.0,1.0,0.0,1.0
77,1.0,195.0,78.0,2.0,1.0,4.0,4.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,78.0,2.0,0.0,0.0,3.0,3.0,,9.0,5.0,5.0,0.0,2.0,2.0,1.0
