,CARD,DECK,BALLOT,FORM,S203A.Qi1,S203A.Qi2,S203A.Qi3,S203A.Qi4,S203A.Qi5,S203A.Qi6A,S203A.Qi6B,S203A.Qi7A,S203A.Qi7B,S203A.Qi7C,S203A.Qi8,S203A.Qi9A1,S203A.Qi9A2,S203A.Qi9A3,S203A.Qi9A4,S203A.Qi9A5,S203A.Qi9A6,S203A.Qi9A7,S203A.Qi9A8,S203A.Qi9A9,S203A.Qi9A10,S203A.Qi9B,S203A.Qi10A.1,S203A.Qi10A.2,S203A.Qi10A.3,S203A.Qi10A.4,S203A.Qi10A.5,S203A.Qi10A.6,S203A.Qi10A.7,S203A.Qi10A.8,S203A.Qi10B.1,S203A.Qi10B.2,S203A.Qi10B.3,S203A.Qi10B.4,S203A.Qi10B.5,S203A.Qi10B.6,S203A.Qi10B.7,S203A.Qi10B.8,S203A.Qi10C,S203A.Qi11,S203A.Qi12A,S203A.Qi12B,S203A.Qi13,S203A.Qi14A,S203A.Qi14B,S203A.Qi14C,S203A.Qi15,S203A.Qi16,S203A.Qi17A,S203A.Qi17B,S203A.Qi18,S203A.Qi19,S203A.Qi20,S203A.Qi21,S203A.Qi22,S203A.Qi23A,S203A.Qi24,S203A.Qii1,S203A.Qii2,S203A.Qii3A,S203A.Qii3B,S203A.Qii3C,S203A.Qii4,S203A.Qiii1,S203A.Qiii2,S203A.Qiii3,S203A.Qiii4,S203A.Qiii5,S203A.Qiii6,CARD..1,DECK..1,BALLOT..1,FORM..1,S203A.Qiii7,S203A.Qiii8,S203A.Qiii9,S203A.Qiii10,S203A.Qiii11A1,S203A.Qiii11A2,S203A.Qiii11A3,S203A.Qiii11A4,S203A.Qiii11A5,S203A.Qiii11A6,S203A.Qiii11A7,S203A.Qiii11A8,S203A.Qiii11B,S203A.Qiii11C,S203A.Qiii12,S203A.Qiii13A,S203A.Qiii13B,S203A.Qiii14,S203A.Qiii15,S203A.Viii16,S203A.Viii17,S203A.Viii18
981,1.0,203.0,982.0,1.0,1.0,2.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,5.0,5.0,4.0,5.0,2.0,203.0,982.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,3.0,3.0,1.0,5.0,6.0,1.0,1.0,1.0,4.0,7.0,72.0,70.0
982,1.0,203.0,983.0,1.0,1.0,4.0,2.0,7.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,203.0,983.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,6.0,71.0,42.0
983,1.0,203.0,984.0,1.0,3.0,3.0,10.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,2.0,203.0,984.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,6.0,72.0,91.0
984,1.0,203.0,985.0,1.0,2.0,4.0,5.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,0.0,2.0,4.0,4.0,4.0,5.0,2.0,203.0,985.0,1.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0,1.0,4.0,7.0,71.0,206.0
985,1.0,203.0,986.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,2.0,2.0,203.0,986.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,7.0,71.0,145.0
986,1.0,203.0,987.0,1.0,4.0,5.0,8.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,5.0,1.0,2.0,2.0,2.0,203.0,987.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,71.0,94.0
987,1.0,203.0,988.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,203.0,988.0,1.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,3.0,0.0,2.0,1.0,4.0,6.0,2.0,5.0,1.0,4.0,2.0,71.0,100.0
988,1.0,203.0,989.0,1.0,1.0,2.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,203.0,989.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,55.0,28.0
989,1.0,203.0,990.0,1.0,3.0,2.0,5.0,7.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,203.0,990.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,71.0,18.0
990,1.0,203.0,991.0,1.0,1.0,6.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,203.0,991.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,6.0,71.0,178.0
991,1.0,203.0,992.0,1.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,203.0,992.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,9.0,71.0,149.0
992,1.0,203.0,993.0,1.0,3.0,2.0,3.0,7.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,4.0,5.0,2.0,203.0,993.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,6.0,2.0,3.0,1.0,4.0,5.0,54.0,21.0
993,1.0,203.0,994.0,1.0,1.0,3.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,5.0,4.0,4.0,4.0,2.0,203.0,994.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,71.0,176.0
994,1.0,203.0,995.0,1.0,1.0,2.0,4.0,7.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,7.0,2.0,1.0,3.0,1.0,2.0,2.0,203.0,995.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,4.0,55.0,4.0
995,1.0,203.0,996.0,1.0,1.0,5.0,4.0,5.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,203.0,996.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,51.0,27.0
