,CARD,DECK,BALLOT,S142.Q1,S142.Q2A,S142.Q2B,S142.Q3,S142.Q4,S142.Q5A,S142.Q5B.1,S142.Q5B.2,S142.Q5C,S142.Q6,S142.Q7,S142.Q8A,S142.Q8B,S142.Q9,S142.Q10A,S142.Q11A,S142.Q11B,S142.Q11C,S142.Q11D,S142.Q11E,S142.Q12,S142.Q13A,S142.Q13B,S142.Q14A,S142.Q14B,S142.Q15A.1,S142.Q15A.2,S142.Q15B,S142.Q16A.1,S142.Q16A.2,S142.Q16B.1,S142.Q16B.2,S142.Q17,S142.Q18,S142.Q19,S142.Q20,S142.Q21,S142.Q22,S142.Q23A,S142.Q23B,S142.Q23C,S142.Q23D,S142.Q23E,S142.Q23F,S142.Q23G,S142.Q23H,S142.Q24A,S142.Q24B,S142.Q24C,S142.Q24D,S142.Q24E,S142.Q24F,S142.Q24G,CARD..1,DECK..1,BALLOT..1,S142.Q25A,S142.Q25B,S142.Q26A,S142.Q26B,S142.Q27A,S142.Q27B,S142.Q28,S142.Q29A.1,S142.Q29A.2,S142.Q29B,S142.Q30,S142.Q31,S142.Q32,S142.Q33,S142.Q34,S142.Q35A,S142.Q35B,S142.Q35C,S142.Q36,S142.Q37,S142.Q38A,S142.Q38B,S142.Q39A,S142.Q39B,S142.Q39C,S142.Q40A,S142.Q40B,S142.Q41.n,S142.V42,S142.V43
0,1.0,142.0,1.0,3.0,10.0,8.0,9.0,1.0,255.0,79.0,4.0,95.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,5.0,2.0,1.0,4.0,16.0,4.0,6.0,20.0,3.0,11.0,3.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,142.0,1.0,0.0,71.0,33.0,23.0,1.0,161.0,12.0,53.0,31.0,3.0,1.0,1.0,4.0,5.0,1.0,23.0,1.0,30.0,14.0,4.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,142.0,2.0,2.0,6.0,7.0,9.0,1.0,250.0,62.0,2.0,80.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,6.0,25.0,3.0,4.0,16.0,2.0,8.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,142.0,2.0,0.0,23.0,33.0,23.0,1.0,261.0,22.0,53.0,11.0,3.0,3.0,3.0,4.0,3.0,2.0,23.0,3.0,28.0,15.0,6.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,142.0,3.0,3.0,5.0,8.0,6.0,1.0,255.0,75.0,10.0,75.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,6.0,4.0,3.0,2.0,2.0,9.0,2.0,1.0,0.0,0.0,3.0,3.0,15.0,1.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.0,142.0,3.0,0.0,83.0,11.0,12.0,1.0,161.0,12.0,53.0,31.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,1.0,25.0,15.0,9.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,142.0,4.0,3.0,4.0,8.0,7.0,1.0,250.0,75.0,5.0,50.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,5.0,6.0,3.0,3.0,2.0,10.0,1.0,1.0,4.0,15.0,3.0,4.0,18.0,2.0,9.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.0,142.0,4.0,0.0,95.0,11.0,12.0,2.0,662.0,12.0,53.0,21.0,3.0,3.0,2.0,2.0,2.0,1.0,23.0,3.0,35.0,20.0,9.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,142.0,5.0,3.0,4.0,8.0,8.0,1.0,255.0,70.0,2.0,75.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,10.0,2.0,1.0,4.0,16.0,2.0,4.0,16.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,142.0,5.0,0.0,98.0,13.0,22.0,1.0,661.0,12.0,63.0,21.0,1.0,1.0,2.0,2.0,3.0,1.0,22.0,1.0,35.0,20.0,9.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
