,CARD,DECK,BALLOT,S204.Q1,S204.Q2,S204.Q3,S204.Q4,S204.Q5,S204.Q6,S204.Q7,S204.Q8,S204.Q9,S204.Q10,S204.Q11,S204.Q12.n,S204.Q13,S204.Q14,S204.Q15,S204.Q16,S204.Q17,S204.Q18,S204.Q19,S204.Q20,S204.Q21,S204.Q22,S204.Q23,S204.Q24,S204.Q25,S204.Q26
15,1.0,204.0,16.0,5.0,1.0,3.0,1.0,3.0,2.0,5.0,0.0,2.0,2.0,5.0,,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0
16,1.0,204.0,17.0,6.0,1.0,3.0,2.0,3.0,2.0,5.0,5.0,1.0,2.0,4.0,,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0
17,1.0,204.0,18.0,6.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0
18,1.0,204.0,19.0,6.0,1.0,3.0,1.0,2.0,2.0,5.0,5.0,4.0,2.0,2.0,,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,204.0,20.0,4.0,1.0,0.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,2.0,,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0
20,1.0,204.0,21.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0
21,1.0,204.0,22.0,3.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,5.0,,2.0,2.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0
22,1.0,204.0,23.0,3.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,4.0,1.0,2.0,,2.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0
23,1.0,204.0,24.0,4.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0
24,1.0,204.0,25.0,4.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,3.0,1.0,3.0,,1.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
25,1.0,204.0,26.0,5.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,3.0,1.0,2.0,,1.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0
26,1.0,204.0,27.0,4.0,1.0,2.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,3.0,,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
27,1.0,204.0,28.0,6.0,1.0,3.0,1.0,3.0,2.0,6.0,0.0,3.0,2.0,3.0,,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
28,1.0,204.0,29.0,2.0,1.0,3.0,1.0,3.0,2.0,6.0,0.0,2.0,2.0,3.0,,2.0,2.0,2.0,2.0,3.0,0.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0
29,1.0,204.0,30.0,2.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0
30,1.0,204.0,31.0,4.0,1.0,2.0,1.0,3.0,2.0,5.0,5.0,4.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0
