,CARD,DECK,BALLOT,FORM,S160A.Q1,S160A.Q2,S160A.Q3,S160A.Q4,S160A.Q5A,S160A.Q5B,S160A.Q5C,S160A.Q6A,S160A.Q6B.n,S160A.Q7,S160A.Q8,S160A.Q9A1,S160A.Q9A2,S160A.Q9A3,S160A.Q9A4,S160A.Q9A5,S160A.Q9A6,S160A.Q9A7,S160A.Q9A8,S160A.Q9B,S160A.Q10A,S160A.Q10B,S160A.Q10C,S160A.Q11A.n,S160A.Q11B.n,S160A.Q11C.n,S160A.Q12A,S160A.Q13,S160A.Q14A,S160A.Q14B,S160A.Q15.n,S160A.Q16,S160A.Q17A,S160A.Q17B,S160A.Q18A,S160A.Q18B,S160A.Q19,S160A.Q20.n,S160A.Q21A,S160A.Q21B,S160A.Q23,S160A.Q24A,S160A.Q24C.n,S160A.Q25A,S160A.Q25B,S160A.Q27,S160A.Q28A,S160A.Q28C.n,S160A.Q29,S160A.Q30,S160A.Q31,S160A.Q32,S160A.Q33A,S160A.Q33B,S160A.Q33C.n,S160A.V34
20,1.0,160.0,21.0,1.0,6.0,7.0,7.0,4.0,3.0,3.0,2.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,10.0,,,,3.0,2.0,1.0,3.0,,5.0,2.0,0.0,2.0,2.0,1.0,,2.0,2.0,9.0,9.0,,1.0,0.0,1.0,1.0,,1.0,0.0,1.0,4.0,1.0,1.0,,194.0
21,1.0,160.0,22.0,1.0,2.0,2.0,6.0,3.0,2.0,3.0,1.0,1.0,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,10.0,,,,1.0,2.0,1.0,3.0,,1.0,2.0,1.0,4.0,1.0,2.0,,2.0,2.0,9.0,9.0,,1.0,1.0,1.0,1.0,,2.0,1.0,0.0,2.0,1.0,1.0,,157.0
22,1.0,160.0,23.0,1.0,2.0,2.0,6.0,3.0,3.0,4.0,1.0,1.0,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,10.0,,,,1.0,2.0,2.0,3.0,,1.0,2.0,1.0,4.0,1.0,2.0,,0.0,0.0,9.0,9.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,2.0,1.0,1.0,,135.0
23,1.0,160.0,24.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,10.0,,,,3.0,1.0,1.0,1.0,,3.0,2.0,1.0,3.0,2.0,1.0,,2.0,2.0,9.0,9.0,,2.0,2.0,9.0,9.0,,2.0,2.0,1.0,3.0,1.0,1.0,,281.0
24,1.0,160.0,25.0,1.0,5.0,5.0,7.0,3.0,4.0,3.0,4.0,3.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,10.0,,,,1.0,1.0,2.0,3.0,,5.0,2.0,0.0,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,,2.0,3.0,9.0,9.0,,2.0,5.0,0.0,2.0,1.0,1.0,,167.0
25,1.0,160.0,26.0,1.0,4.0,4.0,2.0,4.0,7.0,2.0,11.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,10.0,,,,1.0,2.0,2.0,3.0,,1.0,2.0,2.0,3.0,1.0,6.0,,1.0,2.0,9.0,9.0,,2.0,2.0,9.0,9.0,,1.0,0.0,0.0,4.0,1.0,1.0,,316.0
26,1.0,160.0,27.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,3.0,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,10.0,,,,3.0,2.0,2.0,3.0,,5.0,2.0,0.0,4.0,2.0,2.0,,2.0,2.0,9.0,9.0,,1.0,1.0,1.0,1.0,,1.0,7.0,1.0,2.0,1.0,1.0,,133.0
27,1.0,160.0,28.0,1.0,3.0,1.0,7.0,3.0,4.0,2.0,2.0,3.0,,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,0.0,,,,0.0,2.0,1.0,3.0,,5.0,2.0,0.0,4.0,2.0,1.0,,1.0,2.0,2.0,9.0,,2.0,1.0,9.0,9.0,,1.0,1.0,0.0,0.0,1.0,1.0,,58.0
28,1.0,160.0,29.0,1.0,1.0,4.0,1.0,1.0,4.0,5.0,0.0,3.0,,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,0.0,,,,0.0,2.0,2.0,3.0,,5.0,2.0,2.0,3.0,2.0,3.0,,1.0,0.0,1.0,1.0,,0.0,0.0,9.0,9.0,,1.0,1.0,1.0,3.0,1.0,1.0,,376.0
29,1.0,160.0,30.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,0.0,,,,1.0,2.0,1.0,3.0,,1.0,4.0,1.0,3.0,1.0,2.0,,1.0,2.0,9.0,9.0,,2.0,2.0,9.0,9.0,,2.0,7.0,1.0,3.0,1.0,1.0,,332.0
