,CARD,DECK,BALLOT,S87.Q1,S87.Q2,S87.Q3.x,S87.Q5,S87.Q6,S87.Q7,S87.Q8,S87.Q9,S87.Q10,S87.Q11,S87.Q12A.x,S87.Q13,S87.Q14,S87.Q15A.x,S87.Q16,S87.Q17,S87.Q18,S87.Q19,S87.Q20,S87.Q21,S87.Q22,S87.Q23,S87.Q24,S87.Q25,S87.Q26,S87.Q27,S87.Q28,S87.Q29,S87.Q30.n,S87.Q31,S87.Q32,S87.Q33,S87.Q34,S87.Q35,S87.Q36,S87.Q37,S87.Q38,S87.Q39,S87.Q40,S87.Q41,S87.Q42,S87.Q43,S87.Q44,S87.Q45,S87.Q46,S87.Q47,S87.Q48,S87.Q49,S87.Q50,S87.Q51,S87.Q52,S87.Q53,S87.Q54,S87.Q55,S87.Q56,S87.Q57,S87.Q58,S87.Q59,S87.Q60A,S87.Q60B,S87.Q60C,S87.Q60D,S87.Q60E,CARD..1,DECK..1,BALLOT..1,S87.Q61,S87.Q62,S87.Q63.n,S87.Q63A.n,S87.Q63B.n,S87.Q64,S87.Q65,S87.Q66,S87.Q67,S87.Q68,S87.Q69,S87.Q70.n,S87.Q71,S87.Q72A,S87.Q72B,S87.Q72C,S87.Q72D.1,S87.Q72D.2,S87.Q73,S87.Q74,S87.Q75,S87.Q76A,S87.Q76B,S87.Q77,S87.Q78,S87.Q79,S87.Q80,S87.Q81,S87.Q82.n,S87.Q83A,S87.Q83B,S87.Q83C,S87.Q84A,S87.Q84B,S87.Q84C.1,S87.Q84C.2,S87.V85,S87.V86,S87.V87,S87.V88,S87.V89
1244,1.0,87.0,1245.0,1.0,8.0,1.0,1.0,1.0,5.0,1.0,6.0,4.0,6.0,1.0,2.0,4.0,8.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,4.0,,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,87.0,1245.0,1.0,4.0,,,,1.0,1.0,1.0,2.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,5.0,,1.0,3.0,1.0,3.0,5.0,6.0,3.0,0.0,4.0,1.0,11.0,25.0
1245,1.0,87.0,1246.0,8.0,5.0,5.0,2.0,3.0,6.0,3.0,6.0,4.0,9.0,10.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,,2.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,87.0,1246.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,,4.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,1.0,3.0,4.0,5.0,2.0,1.0,2.0,6.0,,1.0,3.0,1.0,2.0,3.0,11.0,3.0,7.0,3.0,8.0,2.0,28.0
1246,1.0,87.0,1247.0,8.0,7.0,1.0,1.0,1.0,6.0,2.0,6.0,4.0,9.0,10.0,8.0,5.0,10.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,9.0,4.0,,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,87.0,1247.0,2.0,3.0,,,,6.0,2.0,1.0,1.0,2.0,3.0,,10.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,6.0,2.0,2.0,2.0,5.0,,1.0,3.0,1.0,5.0,9.0,12.0,3.0,7.0,3.0,6.0,8.0,42.0
1247,1.0,87.0,1248.0,8.0,9.0,5.0,3.0,3.0,6.0,1.0,6.0,4.0,9.0,5.0,7.0,5.0,5.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,,6.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,87.0,1248.0,2.0,5.0,,,,4.0,2.0,2.0,3.0,3.0,2.0,,7.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,5.0,,1.0,3.0,1.0,2.0,4.0,5.0,5.0,8.0,4.0,6.0,8.0,52.0
1248,1.0,87.0,1249.0,8.0,9.0,1.0,1.0,1.0,6.0,1.0,6.0,4.0,9.0,12.0,8.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,9.0,4.0,,6.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,87.0,1249.0,3.0,5.0,,,,1.0,1.0,2.0,3.0,2.0,2.0,,8.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,0.0,,1.0,3.0,1.0,2.0,6.0,11.0,3.0,0.0,4.0,6.0,7.0,21.0
1249,1.0,87.0,1250.0,8.0,7.0,1.0,1.0,1.0,6.0,2.0,6.0,4.0,9.0,10.0,9.0,3.0,13.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,1.0,3.0,4.0,4.0,,6.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,3.0,2.0,3.0,0.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,87.0,1250.0,4.0,2.0,,,,3.0,2.0,2.0,1.0,1.0,3.0,,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,6.0,2.0,2.0,2.0,4.0,,1.0,1.0,3.0,5.0,9.0,11.0,5.0,0.0,2.0,6.0,6.0,3.0
1250,1.0,87.0,1251.0,8.0,9.0,1.0,1.0,1.0,6.0,3.0,6.0,4.0,10.0,12.0,9.0,5.0,10.0,3.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,,2.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,87.0,1251.0,3.0,4.0,,,,5.0,1.0,1.0,2.0,4.0,2.0,,11.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,5.0,2.0,1.0,2.0,6.0,,3.0,1.0,3.0,10.0,11.0,12.0,3.0,7.0,4.0,6.0,6.0,25.0
1251,1.0,87.0,1252.0,8.0,4.0,1.0,1.0,1.0,6.0,3.0,6.0,4.0,4.0,12.0,9.0,8.0,13.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,,2.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,87.0,1252.0,2.0,2.0,,,,5.0,3.0,3.0,3.0,4.0,2.0,,12.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,,1.0,3.0,1.0,3.0,7.0,10.0,3.0,4.0,5.0,2.0,2.0,73.0
1252,1.0,87.0,1253.0,9.0,9.0,5.0,2.0,3.0,7.0,1.0,6.0,4.0,3.0,10.0,8.0,5.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,4.0,,2.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,87.0,1253.0,2.0,4.0,,,,2.0,1.0,4.0,1.0,1.0,3.0,,9.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,5.0,8.0,11.0,3.0,7.0,2.0,8.0,1.0,30.0
1253,1.0,87.0,1254.0,9.0,6.0,1.0,1.0,1.0,6.0,1.0,6.0,4.0,9.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,9.0,4.0,,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,87.0,1254.0,2.0,4.0,,,,2.0,2.0,1.0,1.0,3.0,2.0,,9.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,,1.0,3.0,2.0,8.0,9.0,10.0,3.0,7.0,4.0,6.0,7.0,23.0
