,CARD,DECK,BALLOT,S230.Q1,S230.Q2,S230.Q3,S230.Q4,S230.Q5,S230.Q6,S230.Q7,S230.Q8,S230.Q9,S230.Q10,S230.Q11,S230.Q12,S230.Q13,S230.Q14,S230.Q15,S230.Q16,S230.Q17.n,S230.Q18,S230.Q19,S230.Q20,S230.Q21,S230.Q22,S230.Q23,S230.Q24A,S230.Q24B,S230.Q24C,S230.Q24D,S230.Q24E,S230.Q25,S230.Q26,S230.Q27,S230.Q28,S230.Q29,S230.Q30,S230.Q31.1,S230.Q31.2,S230.Q31.3,S230.Q31.4,S230.Q31.5,S230.Q31.6,S230.Q31.7,S230.Q31.8,S230.Q31.9,S230.Q31.10,S230.Q31.11,S230.Q31.12,S230.Q31.13,S230.V31A,S230.Q32,S230.Q33,S230.Q34.n,S230.Q35,S230.Q36,S230.Q37,S230.Q38,S230.Q39,S230.Q40,S230.Q41,S230.Q42,S230.Q43,S230.Q44,S230.Q45,S230.Q46,S230.Q47,S230.Q48,S230.Q49,S230.Q50,S230.Q51A,S230.Q51B,S230.Q51C,S230.Q52,S230.Q53.n,S230.Q54.n,S230.Q55,CARD..1,DECK..1,BALLOT..1,S230.V56,S230.V57
10,1.0,230.0,11.0,2.0,8.0,3.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,,2.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,,2.0,2.0,230.0,11.0,13.0,26.0
11,1.0,230.0,12.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,0.0,2.0,230.0,12.0,13.0,44.0
12,1.0,230.0,13.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0,,3.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,,1.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,,,2.0,2.0,230.0,13.0,13.0,36.0
13,1.0,230.0,14.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,4.0,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,230.0,14.0,13.0,3.0
14,1.0,230.0,15.0,4.0,6.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,,2.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,3.0,1.0,3.0,1.0,3.0,5.0,3.0,0.0,5.0,0.0,3.0,2.0,,,0.0,2.0,230.0,15.0,13.0,46.0
15,1.0,230.0,16.0,4.0,7.0,4.0,2.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,,2.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,230.0,16.0,13.0,52.0
16,1.0,230.0,17.0,4.0,10.0,3.0,2.0,1.0,2.0,5.0,2.0,3.0,5.0,1.0,1.0,2.0,3.0,2.0,4.0,,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,,3.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,,,1.0,2.0,230.0,17.0,13.0,5.0
17,1.0,230.0,18.0,2.0,3.0,4.0,2.0,5.0,3.0,7.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,230.0,18.0,13.0,20.0
18,1.0,230.0,19.0,2.0,3.0,4.0,2.0,1.0,3.0,10.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,0.0,1.0,,2.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,0.0,2.0,230.0,19.0,13.0,38.0
19,1.0,230.0,20.0,2.0,4.0,4.0,2.0,3.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,,2.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,0.0,1.0,2.0,,,2.0,2.0,230.0,20.0,13.0,22.0
20,1.0,230.0,21.0,1.0,5.0,4.0,2.0,1.0,3.0,10.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,,,0.0,2.0,230.0,21.0,13.0,8.0
21,1.0,230.0,22.0,1.0,5.0,5.0,2.0,1.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,4.0,,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,2.0,2.0,230.0,22.0,13.0,21.0
22,1.0,230.0,23.0,1.0,5.0,5.0,2.0,2.0,3.0,8.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,0.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,4.0,,1.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,1.0,3.0,2.0,3.0,2.0,,,0.0,2.0,230.0,23.0,13.0,40.0
23,1.0,230.0,24.0,1.0,6.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,,2.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,230.0,24.0,13.0,18.0
24,1.0,230.0,25.0,1.0,7.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,5.0,4.0,,2.0,4.0,3.0,1.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,,,2.0,2.0,230.0,25.0,13.0,37.0
25,1.0,230.0,26.0,5.0,9.0,3.0,4.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,,,0.0,2.0,230.0,26.0,15.0,38.0
26,1.0,230.0,27.0,5.0,9.0,4.0,2.0,2.0,3.0,9.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,4.0,,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,4.0,,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,,,0.0,2.0,230.0,27.0,15.0,33.0
27,1.0,230.0,28.0,1.0,9.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,0.0,3.0,0.0,,,0.0,2.0,230.0,28.0,15.0,35.0
28,1.0,230.0,29.0,3.0,8.0,5.0,7.0,2.0,3.0,10.0,2.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,4.0,,3.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,,1.0,2.0,1.0,1.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,5.0,0.0,3.0,0.0,,,0.0,2.0,230.0,29.0,15.0,8.0
29,1.0,230.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0,2.0,,2.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,,1.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,0.0,3.0,2.0,,,0.0,2.0,230.0,30.0,15.0,32.0
30,1.0,230.0,31.0,1.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,3.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,2.0,2.0,230.0,31.0,15.0,12.0
31,1.0,230.0,32.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,230.0,32.0,15.0,18.0
32,1.0,230.0,33.0,3.0,11.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,,1.0,1.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,,,2.0,2.0,230.0,33.0,15.0,31.0
33,1.0,230.0,34.0,3.0,9.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,,2.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,230.0,34.0,15.0,6.0
34,1.0,230.0,35.0,2.0,9.0,1.0,1.0,3.0,5.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,5.0,,3.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,,1.0,2.0,1.0,5.0,5.0,3.0,4.0,5.0,2.0,0.0,2.0,2.0,5.0,5.0,3.0,2.0,5.0,0.0,1.0,0.0,,,0.0,2.0,230.0,35.0,16.0,12.0
35,1.0,230.0,36.0,4.0,11.0,1.0,6.0,2.0,5.0,7.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,4.0,,3.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,,1.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,0.0,,,1.0,2.0,230.0,36.0,16.0,30.0
36,1.0,230.0,37.0,4.0,10.0,4.0,7.0,2.0,3.0,7.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,2.0,2.0,230.0,37.0,16.0,3.0
37,1.0,230.0,38.0,5.0,7.0,4.0,7.0,4.0,4.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,4.0,,1.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,230.0,38.0,16.0,26.0
38,1.0,230.0,39.0,1.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,,1.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,1.0,2.0,230.0,39.0,16.0,22.0
39,1.0,230.0,40.0,1.0,5.0,4.0,4.0,1.0,5.0,7.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0,,3.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,,1.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,2.0,2.0,230.0,40.0,16.0,48.0
