,CARD,DECK,BALLOT,FORM,S192B.Q1,S192B.Q2,S192B.Q3,S192B.Q4,S192B.Q5,S192B.Q6,S192B.Q7,S192B.Q8A,S192B.Q8B,S192B.Q9,S192B.Q10,S192B.Q11,S192B.Q12,S192B.Q13,S192B.Q14,S192B.Q15,S192B.Q16,S192B.Q17,S192B.Q18,S192B.Q19,S192B.Q20,S192B.Q21,S192B.Q22,S192B.Q23,S192B.Q24,S192B.Q25,S192B.Q26,S192B.Q27,S192B.Q28,S192B.Q29,S192B.Q30,S192B.Q31,S192B.Q32A,S192B.Q32B,S192B.Q33,S192B.Q34,S192B.Q35,S192B.Q36.n,S192B.Q37,S192B.Q38,S192B.Q39,S192B.Q40A,S192B.Q40B,S192B.Q41,S192B.Q42,S192B.Q43,S192B.Q44,S192B.Q45,S192B.Q46,S192B.Q47,S192B.Q48,S192B.Q49,S192B.Q50A,S192B.Q50B,S192B.Q50C,S192B.Q50D,S192B.Q50E,S192B.Q50F,S192B.Q50G,S192B.Q50H,S192B.Q51.n,S192B.Q52,S192B.Q52A.n,S192B.Q52B.n,S192B.Q52C.n,S192B.Q52D.n,S192B.Q53.n,S192B.V54,S192B.V55
0,1.0,192.0,1.0,2.0,2.0,1.0,4.0,6.0,1.0,3.0,5.0,1.0,2.0,5.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,,2.0,,,,,,2.0,18.0
1,1.0,192.0,2.0,2.0,1.0,3.0,2.0,7.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,,5.0,,,,,,2.0,5.0
2,1.0,192.0,3.0,2.0,1.0,2.0,2.0,7.0,1.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,,2.0,,,,,,2.0,26.0
3,1.0,192.0,4.0,2.0,1.0,3.0,2.0,8.0,1.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,,3.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,,4.0,,,,,,3.0,28.0
4,1.0,192.0,5.0,2.0,1.0,2.0,2.0,7.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,,2.0,,,,,,5.0,31.0
5,1.0,192.0,6.0,2.0,1.0,2.0,3.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,4.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,,,,,,4.0,0.0
6,1.0,192.0,7.0,2.0,1.0,3.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,2.0,,,,,,2.0,80.0
7,1.0,192.0,8.0,2.0,1.0,2.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,,5.0,,,,,,2.0,17.0
8,1.0,192.0,9.0,2.0,1.0,3.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,,5.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,,2.0,,,,,,3.0,19.0
9,1.0,192.0,10.0,2.0,2.0,3.0,3.0,6.0,1.0,3.0,5.0,2.0,2.0,5.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,,2.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,,5.0,,,,,,1.0,30.0
