,CARD,DECK,BALLOT,S134.Q1,S134.Q2,S134.Q3,S134.Q4,S134.Q5,S134.Q6,S134.Q7.n,S134.Q8,S134.Q9,S134.Q10,S134.Q11,S134.Q12,S134.Q13,S134.Q14,S134.Q15,S134.Q16,S134.Q17,S134.Q18,S134.Q19,S134.Q20,S134.Q21,S134.Q22,S134.Q23A,S134.Q23B,S134.Q24,S134.Q25,S134.Q26,S134.Q27A,S134.Q27B,S134.Q27C,S134.Q28A,S134.Q28B,S134.Q29A,S134.Q29B,S134.Q30A,S134.Q30B,S134.Q31,S134.Q32A,S134.Q32B,S134.Q33A,S134.Q33B,S134.Q34.n,S134.Q35,S134.Q36.n,S134.Q37,S134.Q38,S134.Q39,S134.Q40,S134.Q41,S134.Q42,S134.Q43,S134.Q44,S134.Q45,S134.Q46,S134.Q47,S134.Q48,S134.Q49,S134.Q50,S134.Q51,S134.Q52,S134.Q53,S134.Q54,S134.Q55,S134.Q56,S134.Q57,S134.Q58,S134.Q59,S134.Q60,S134.Q61,S134.Q62,S134.Q63.n,S134.Q64,S134.Q65,S134.Q66.n,S134.Q67.n,S134.Q68.n,S134.Q69,S134.V70
0,1.0,134.0,1.0,1.0,5.0,3.0,1.0,4.0,5.0,,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,,3.0,,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,,3.0,9.0
1,1.0,134.0,2.0,2.0,4.0,3.0,4.0,5.0,1.0,,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,,1.0,,1.0,2.0,2.0,1.0,2.0,3.0,2.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,3.0,1.0
2,1.0,134.0,3.0,2.0,5.0,3.0,1.0,3.0,1.0,,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,2.0,,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,,,,3.0,9.0
3,1.0,134.0,4.0,1.0,5.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,0.0,0.0,4.0,0.0,,2.0,,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,,2.0,3.0,,,,2.0,6.0
4,1.0,134.0,5.0,1.0,5.0,3.0,3.0,4.0,1.0,,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,,2.0,,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,2.0,10.0
5,1.0,134.0,6.0,1.0,4.0,3.0,1.0,4.0,3.0,,1.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,,1.0,,1.0,2.0,2.0,1.0,2.0,3.0,2.0,6.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,,,3.0,1.0
6,1.0,134.0,7.0,1.0,5.0,2.0,1.0,4.0,5.0,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,,1.0,,2.0,3.0,2.0,3.0,1.0,1.0,2.0,6.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,,2.0,2.0,,,,2.0,3.0
7,1.0,134.0,8.0,2.0,5.0,3.0,2.0,3.0,1.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,,1.0,,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,,,,3.0,7.0
8,1.0,134.0,9.0,1.0,3.0,2.0,1.0,4.0,1.0,,1.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,3.0,,4.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,,2.0,3.0,,,,3.0,7.0
9,1.0,134.0,10.0,1.0,4.0,3.0,2.0,4.0,1.0,,1.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,,2.0,2.0,,,,2.0,7.0
