S0230.CARD.,S0230.DECK.,S0230.BALLOT.,S0230.Q1.,S0230.Q2.,S0230.Q3.,S0230.Q4.,S0230.Q5.,S0230.Q6.,S0230.Q7.,S0230.Q8.,S0230.Q9.,S0230.Q10.,S0230.Q11.,S0230.Q12.,S0230.Q13.,S0230.Q14.,S0230.Q15.,S0230.Q16.,S0230.Q18.,S0230.Q19.,S0230.Q20.,S0230.Q21.,S0230.Q22.,S0230.Q23.,S0230.Q24A.,S0230.Q24B.,S0230.Q24C.,S0230.Q24D.,S0230.Q24E.,S0230.Q25.,S0230.Q26.,S0230.Q27.,S0230.Q28.,S0230.Q29.,S0230.Q30.,S0230.Q31.,S0230.Q31..1,S0230.Q31..2,S0230.Q31..3,S0230.Q31..4,S0230.Q31..5,S0230.Q31..6,S0230.Q31..7,S0230.Q31..8,S0230.Q31..9,S0230.Q31..10,S0230.Q31..11,S0230.Q31..12,S0230.V31A.,S0230.Q32.,S0230.Q33.,S0230.Q35.,S0230.Q36.,S0230.Q37.,S0230.Q38.,S0230.Q39.,S0230.Q40.,S0230.Q41.,S0230.Q42.,S0230.Q43.,S0230.Q44.,S0230.Q45.,S0230.Q46.,S0230.Q47.,S0230.Q48.,S0230.Q49.,S0230.Q50.,S0230.Q51A.,S0230.Q51B.,S0230.Q51C.,S0230.Q52.,S0230.Q55.,S0230.CARD..1,S0230.DECK..1,S0230.BALLOT..1,S0230.V56.,S0230.V57.
1,230,1,1,9,5,5,2,1,4,2,3,3,1,1,2,3,3,4,3,3,1,3,2,2,1,2,1,1,2,1,4,2,1,4,2,2,2,1,2,2,1,1,2,1,2,2,1,2,5,2,1,1,1,2,2,2,3,2,5,1,1,2,3,3,3,3,1,1,2,2,1,2,2,230,1,21,7
1,230,2,3,10,5,3,2,5,8,2,2,4,1,1,2,3,4,5,3,3,2,2,4,2,2,2,0,0,0,0,0,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,230,2,21,10
1,230,3,1,4,4,3,2,4,7,1,1,4,1,1,2,3,2,4,3,3,1,4,4,0,2,2,1,1,2,1,4,2,1,2,3,2,1,2,2,2,1,1,2,1,2,2,1,2,5,4,3,1,4,1,2,3,3,2,5,3,3,3,1,1,4,3,0,1,4,1,4,1,2,230,3,21,48
1,230,4,3,11,5,3,2,2,5,1,4,3,1,1,2,3,3,3,2,3,1,2,2,2,2,2,1,1,2,1,4,2,1,3,3,2,1,1,2,2,1,1,2,1,2,2,2,2,5,1,1,1,1,2,2,2,2,3,4,1,2,3,3,2,2,3,1,2,2,2,2,1,2,230,4,21,38
1,230,5,3,4,4,1,5,2,3,2,4,2,3,2,2,3,2,2,1,2,1,4,3,1,2,2,1,1,1,2,4,2,1,3,3,2,1,2,2,2,1,1,2,1,2,2,1,2,5,2,2,1,1,2,4,1,1,1,3,2,2,2,2,2,2,3,0,1,2,1,1,2,2,230,5,21,25
1,230,6,3,5,5,4,2,2,3,2,4,2,1,1,2,3,3,3,2,2,1,3,2,1,2,2,1,1,1,1,0,2,1,3,2,2,2,1,2,2,1,1,2,1,2,1,2,2,5,1,1,1,1,3,3,2,1,2,5,3,2,2,2,3,2,1,2,2,2,3,2,1,2,230,6,21,6
1,230,7,3,6,5,4,2,2,6,2,4,2,2,1,2,3,2,3,3,3,1,1,1,2,2,2,1,1,1,1,4,2,1,3,5,2,2,1,2,1,1,2,2,1,2,2,1,2,5,1,1,1,2,2,3,2,1,2,5,2,2,2,3,4,5,2,2,3,3,3,2,1,2,230,7,21,33
1,230,8,3,7,5,4,5,3,7,2,4,3,2,1,2,3,3,4,3,3,1,3,4,0,2,2,1,1,1,1,0,2,2,2,5,2,1,2,2,2,2,1,1,1,1,2,2,2,5,2,4,1,1,3,1,4,1,1,5,2,1,2,3,5,5,3,1,1,2,2,2,1,2,230,8,21,39
1,230,9,2,7,4,2,2,3,7,1,3,2,1,2,2,3,2,1,2,1,1,3,2,1,2,2,1,1,1,2,4,2,1,3,2,2,1,1,2,2,1,1,2,1,2,2,2,2,5,1,1,1,1,2,1,3,1,2,5,2,1,2,1,3,5,3,1,3,0,1,1,2,2,230,9,22,22
1,230,10,2,7,4,2,2,3,5,2,2,1,1,2,2,3,2,2,2,2,1,4,2,1,2,2,1,1,2,2,4,2,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,5,5,4,1,1,2,2,1,1,1,5,2,2,2,1,3,2,1,1,2,2,1,1,2,2,230,10,13,51
