CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7A.,Q.7A..1,Q.7A..2,Q.7A..3,Q.7A..4,Q.7A..5,Q.7A..6,Q.7A..7,Q.7A..8,Q.7A..9,Q.7A..10,Q.7A..11,Q.7A..12,Q.7A..13,Q.7A..14,Q.7A..15,Q.7A..16,Q.7A..17,Q.7A..18,Q.7A..19,Q.7A..20,Q.7A..21,Q.7A..22,Q.7B.,Q.7B..1,Q.7B..2,Q.7B..3,Q.7B..4,Q.7B..5,Q.7B..6,Q.7B..7,Q.7B..8,Q.7B..9,Q.7B..10,Q.7B..11,Q.7B..12,Q.7B..13,Q.7B..14,Q.7B..15,Q.7B..16,Q.7B..17,Q.7B..18,Q.7B..19,Q.7B..20,Q.7B..21,Q.7B..22,Q.7C.,Q.7C..1,Q.7C..2,Q.7C..3,Q.7C..4,Q.7C..5,Q.7C..6,Q.7C..7,Q.7C..8,Q.7C..9,Q.8A.,Q.8B.,Q.8C.,Q.9A.,Q.9A..1,Q.9A..2,Q.9A..3,Q.9A..4,CARD..1,DECK..1,BALLOT..1,NA.1,Q.9B.,Q.9B..1,Q.9B..2,Q.9B..3,Q.9B..4,Q.9B..5,Q.9B..6,Q.9C.,Q.9C..1,Q.9C..2,Q.9C..3,Q.10.,Q.11A.,Q.11A..1,Q.11A..2,Q.11A..3,Q.11A..4,Q.11A..5,Q.11A..6,Q.11A..7,Q.11A..8,Q.11A..9,Q.11B.,Q.11B..1,Q.11B..2,Q.11B..3,Q.11B..4,Q.11B..5,Q.11B..6,Q.11B..7,Q.11B..8,Q.11B..9,Q.11D.,Q.12A.,Q.12A..1,Q.12A..2,Q.12A..3,Q.12A..4,Q.12A..5,Q.12A..6,Q.12A..7,Q.12A..8,Q.12A..9,Q.12A..10,Q.12A..11,Q.12B.,Q.12B..1,Q.12B..2,Q.12B..3,Q.12B..4,Q.12B..5,Q.12B..6,Q.12B..7,Q.12B..8,Q.12B..9,Q.12B..10,Q.12B..11,Q.13A.,Q.13B.,Q.14.,Q.15A.,Q.15B.,Q.15B..1,Q.15B..2,Q.15B..3,Q.15B..4,Q.15B..5,Q.15B..6,Q.15B..7,Q.15B..8,CARD..2,DECK..2,BALLOT..2,NA.2,Q.16.,Q.17.,Q.18A.,Q.19A.,Q.19B.,Q.19C.,Q.20A.,Q.20B.,Q.21A.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26A.,Q.26B.,V.27.
1,160,1,2,1,7,7,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,1,1,1,1,2,160,1,2,3,3,3,3,3,3,3,3,1,3,3,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,3,160,1,2,1,3,3,4,1,2,3,2,1,4,1,0,4,2,1,531
1,160,2,2,2,7,7,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,3,3,0,0,2,2,2,2,160,2,2,0,2,0,0,2,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,3,160,2,2,1,3,3,1,1,3,1,3,1,4,1,0,0,0,1,532
1,160,3,2,2,10,7,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,5,5,2,1,2,3,0,2,160,3,2,2,1,1,1,1,1,1,2,3,3,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,3,160,3,2,1,3,2,1,2,2,1,1,1,3,2,0,4,1,1,875
1,160,4,2,3,10,7,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,3,1,2,2,160,4,2,2,2,2,3,3,1,2,2,3,0,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,160,4,2,1,3,3,2,2,3,3,0,1,3,0,1,4,1,1,871
1,160,5,2,1,10,7,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,3,2,2,2,1,1,2,160,5,2,2,2,0,3,1,1,3,2,3,2,3,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,160,5,2,1,3,2,2,2,4,2,2,3,3,1,0,0,0,0,878
1,160,6,2,0,15,0,0,4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,5,1,1,1,1,3,2,160,6,2,1,1,1,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,1,2,2,1,2,2,2,2,2,2,3,160,6,2,0,1,2,1,2,1,2,2,0,2,1,1,4,1,0,702
1,160,7,2,4,11,7,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,5,1,2,1,1,1,2,160,7,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,3,160,7,2,1,3,2,3,2,8,2,2,1,4,1,1,4,1,1,704
1,160,8,2,1,1,7,3,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,4,1,0,1,1,1,2,160,8,2,1,1,1,0,1,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,3,160,8,2,0,3,0,5,2,0,0,0,1,4,0,0,0,1,1,691
1,160,9,2,1,1,7,4,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,5,3,2,2,3,1,1,2,160,9,2,2,1,2,1,1,1,1,2,2,3,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,3,160,9,2,3,3,2,2,2,3,2,2,1,4,1,1,0,1,1,536
1,160,10,2,1,1,7,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,5,1,2,1,1,1,1,2,160,10,2,2,1,1,1,1,1,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,1,2,2,2,2,2,2,2,2,1,3,160,10,2,1,3,3,2,2,1,2,3,1,4,1,1,4,1,1,694
