CARD.,DECK.,BALLOT.,Q.1A.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.9.,Q.10A.,Q.10B.,Q.11.,Q.13.,Q.14A.,Q.15B.,Q.16.,Q.17A.,Q.18A.,Q.18C.,Q.19.,Q.20A.,Q.20B.,Q.20B..1,Q.20B..2,Q.21.,Q.22A.,Q.23.,Q.24.,Q.25A.,Q.26A.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.33A.,Q.33B.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39A.,Q.39C.,Q.40.,Q.40A.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45A.,Q.45B.,Q.45C.,Q.45D.,Q.45E.,Q.45F.,Q.45G.,Q.45H.,Q.45I.,Q.45J.,Q.45K.,Q.46.,V.47.
1,4,1,1,3,3,41,1,6,10,2,4,1,2,2,3,1,4,1,9,9,9,9,9,9,9,2,0,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,3,2,99,2,1,2,1,10,3,2,2,2,1,1,1,2,2,1,1,2,1,15
1,4,2,1,3,3,27,4,4,10,2,1,2,1,1,1,9,2,1,9,9,1,8,9,9,9,2,0,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,3,1,99,1,1,2,1,1,4,2,1,3,1,1,2,3,2,1,2,3,1,15
1,4,3,8,4,3,43,2,6,10,3,1,1,1,1,2,1,2,1,9,9,1,8,9,9,9,2,2,1,1,1,1,2,4,2,2,2,1,2,1,2,3,2,1,4,1,99,2,1,2,3,1,3,3,1,1,1,1,3,2,2,1,3,2,1,15
1,4,4,1,3,3,37,5,5,10,3,2,2,10,9,1,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,2,4,2,1,2,1,1,1,2,2,1,1,3,1,99,2,1,2,2,8,3,1,2,1,1,1,2,2,2,2,2,3,1,15
1,4,5,1,3,3,5,4,5,10,2,1,1,2,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,3,4,2,2,2,1,2,1,2,3,1,1,3,2,99,2,1,2,1,10,3,3,1,1,3,1,3,1,2,3,2,3,3,15
1,4,6,3,4,3,12,2,4,10,2,2,2,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,3,3,1,1,2,3,2,2,2,1,3,1,2,2,1,1,5,2,99,3,1,4,2,1,3,3,3,1,3,1,1,1,1,1,1,1,4,15
1,4,7,1,3,3,48,1,2,10,1,1,1,2,1,2,1,5,1,9,9,9,1,9,9,9,2,0,1,1,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,2,99,1,1,1,1,10,1,2,1,1,1,1,2,2,2,1,1,2,1,15
1,4,8,3,1,3,11,3,5,10,1,3,2,2,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,2,4,3,2,2,1,1,1,1,1,3,1,4,2,99,2,1,2,1,2,3,0,3,1,1,1,2,3,2,3,2,2,1,15
1,4,9,1,4,4,32,4,6,1,4,1,1,8,1,2,2,1,6,9,9,3,7,3,2,9,1,1,1,3,1,1,2,2,2,1,2,1,3,1,2,3,1,1,2,2,99,1,1,2,1,2,3,1,3,1,1,3,3,1,3,1,1,2,1,6
1,4,10,1,4,4,32,4,5,1,4,1,1,6,1,3,2,4,0,9,9,9,7,4,2,9,2,1,2,2,4,1,2,2,1,2,2,1,4,1,2,1,2,1,4,2,99,1,1,2,1,1,3,1,2,2,3,1,3,2,2,3,1,2,1,6
1,4,11,1,6,4,23,3,6,1,1,1,2,1,1,3,1,9,1,9,9,9,1,9,9,9,2,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,2,99,2,1,2,1,10,4,2,1,1,1,1,3,2,2,1,2,2,1,6
1,4,12,1,3,4,22,3,4,1,2,1,1,2,2,3,1,3,1,2,1,9,1,9,9,9,2,2,1,1,1,1,3,3,3,1,2,1,2,1,2,1,1,1,1,2,99,1,1,2,3,10,3,2,1,3,1,1,2,2,2,1,2,2,1,6
1,4,13,2,4,4,35,3,5,1,1,1,1,3,2,3,1,3,1,5,1,9,2,2,1,4,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,3,5,2,1,2,2,10,3,1,1,1,1,1,1,1,2,1,2,1,1,6
1,4,14,2,5,3,38,4,5,10,2,2,2,1,1,1,9,9,10,9,9,9,9,9,9,9,0,3,1,1,1,1,2,2,2,1,2,2,2,1,2,2,1,1,3,2,99,1,1,2,1,10,3,2,1,2,1,1,3,1,2,1,2,2,3,15
1,4,15,5,3,2,41,3,6,10,2,1,1,4,1,3,3,4,1,9,9,9,1,9,9,9,2,2,2,3,3,1,2,1,2,1,1,3,2,1,2,1,3,1,3,4,3,3,1,2,3,2,2,2,2,1,1,1,3,2,2,3,2,3,1,15
1,4,16,4,4,2,24,1,6,10,2,1,1,10,9,1,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,3,2,2,2,2,1,1,1,2,1,3,1,3,1,99,1,1,2,1,10,3,2,1,1,1,1,2,2,2,1,2,2,1,15
1,4,17,6,3,2,24,3,7,10,1,3,2,1,1,3,1,4,1,9,9,9,1,9,9,9,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,5,2,3,8,2,1,2,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,15
1,4,18,4,1,2,24,2,6,10,1,2,2,1,1,2,1,5,1,9,9,1,1,9,9,9,0,0,1,1,1,1,3,2,3,2,2,1,1,1,2,2,1,1,4,2,99,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,15
1,4,19,3,1,2,48,1,6,10,1,1,1,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,2,2,2,1,2,3,1,1,2,3,1,1,3,2,99,1,1,2,2,1,3,2,1,1,1,1,2,1,2,2,2,2,4,15
