CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11A.,Q.12A.,Q.13A.,Q.14A.,Q.15A.,Q.16A.,Q.17A.,Q.18A.,Q.19A.,Q.20A.,Q.21A.,Q.22A.,Q.23A.,Q.25.,Q.26.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.30E.,Q.30F.,Q.30G.,Q.30H.,Q.31A.,Q.31B.,Q.31C.,Q.31D.,Q.31E.,Q.31F.,Q.32A.,Q.32B.,Q.32C.,Q.32D.,Q.32E.,Q.32F.,Q.32G.,Q.33.,Q.34.,Q.35.,Q.36.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.37.,Q.38A.,Q.38B.,Q.38B..1,Q.38B..2,Q.38B..3,Q.38B..4,Q.38B..5,Q.38B..6,Q.38B..7,Q.38B..8,Q.38B..9,Q.38B..10,Q.38C.,Q.38C..1,Q.38C..2,Q.38C..3,Q.38C..4,Q.38C..5,Q.38C..6,Q.38C..7,Q.38C..8,Q.38C..9,Q.38C..10,Q.38C..11,Q.38C..12,Q.38C..13,Q.38C..14,Q.38C..15,Q.38C..16,Q.38C..17,Q.38C..18,Q.38C..19,Q.38C..20,Q.38C..21,Q.39A.,Q.40A.,Q.41A.,Q.42A.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.44A.,Q.45A.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48A.,Q.48B.,Q.48C.,Q.48D.,Q.48E.,Q.48F.,Q.49.,V.51.,V.52.,V.53.,V.54.,V.55.,V.56.,V.57.,V.58.
1,172,1,1,2,8,4,4,1,6,9,6,1,2,6,3,6,1,1,1,1,4,4,1,3,6,1,1,1,1,3,2,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,172,1,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,3,2,2,5,4,3,2,1,0,1,9,9,9,9,9,9,9,9,9,9,9,4,6,10,5,9,3,2,4
1,172,2,1,4,7,4,1,1,5,4,6,2,2,1,3,1,4,4,10,1,1,3,2,1,4,4,1,1,1,3,1,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,2,172,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,0,2,1,3,1,1,6,9,9,9,9,9,9,9,9,9,9,9,3,1,6,3,4,9,2,4
1,172,3,1,3,8,4,4,1,5,3,4,1,2,3,1,6,4,3,1,6,4,7,6,3,5,2,1,1,1,2,1,3,1,1,1,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,4,2,1,2,2,172,3,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,5,2,1,4,3,2,3,1,1,0,9,9,9,9,9,9,9,9,9,9,9,1,4,14,7,2,9,2,4
1,172,4,1,3,5,4,2,1,5,5,4,1,2,1,1,1,1,1,1,1,1,4,1,3,5,0,1,1,1,4,0,3,2,3,2,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,2,172,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,1,2,1,1,0,9,9,9,9,9,9,9,9,9,9,9,3,1,3,1,6,9,2,3
1,172,5,1,1,6,4,4,1,4,3,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,4,2,2,2,4,2,1,2,2,1,2,3,3,3,0,0,0,0,0,2,0,0,0,0,0,0,4,2,1,2,2,172,5,1,4,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,5,5,5,5,2,5,1,5,1,6,9,9,9,9,9,9,9,9,9,9,9,1,4,1,1,4,9,2,4
1,172,6,1,4,9,4,4,1,6,8,6,1,2,1,1,4,1,1,1,1,1,1,3,1,7,3,1,1,3,2,3,4,3,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,172,6,1,4,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,2,3,3,2,2,5,1,6,9,9,9,9,9,9,9,9,9,9,9,4,7,4,2,9,5,4,3
1,172,7,1,1,11,4,4,1,4,3,4,1,2,4,3,6,6,4,5,1,1,4,4,4,1,3,2,1,2,4,1,1,1,2,1,3,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,172,7,1,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,5,5,5,5,5,5,5,1,6,9,9,9,9,9,9,9,9,9,9,9,1,3,11,3,2,9,4,4
1,172,8,1,4,9,4,1,1,6,12,5,1,2,4,1,4,1,4,1,1,1,1,3,1,8,2,1,1,2,3,1,2,2,3,1,3,2,2,3,0,0,0,0,0,2,0,0,0,0,0,0,3,2,1,2,2,172,8,1,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,4,5,5,2,2,3,4,1,1,9,9,9,9,9,9,9,9,9,9,9,2,5,6,1,4,9,4,3
1,172,9,2,4,7,4,4,1,3,10,7,1,1,7,8,1,4,4,1,1,1,4,1,1,1,2,1,1,2,2,0,3,3,3,3,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1,2,2,172,9,2,4,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,0,3,0,3,2,2,1,9,9,1,2,1,2,3,3,3,3,3,1,1,3,10,99,12,9,2,9,4
1,172,10,2,4,7,4,1,1,5,10,9,1,2,4,1,3,6,6,1,1,2,2,6,1,6,1,1,1,1,4,2,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,2,172,10,2,4,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,5,5,3,5,1,2,9,9,1,3,1,1,0,0,0,0,0,0,0,2,10,99,12,4,9,10,3
