CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18A.,Q.18B.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39A.,Q.39B.,Q.40.,Q.41.,Q.42.,Q.42A.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61A.,Q.61B.,Q.61C.,Q.61D.,Q.61E.,Q.61F.,Q.61G.,Q.61H.,CARD..1,DECK..1,BALLOT..1,Q.61I.,Q.61J.,Q.61K.,Q.61L.,Q.61M.,Q.61N.,Q.61O.,Q.61P.,Q.61Q.,Q.61R.,Q.61S.,Q.61T.,V.61U.,V.61V.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87A.,Q.87B.,Q.87C.,Q.87D.,Q.87E.,Q.87F.,Q.87G.,Q.88.,Q.89A.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,V.97.,V.98.,V.100.
1,91,1,1,10,2,0,2,3,1,2,3,5,3,2,1,3,2,2,1,2,2,3,1,5,2,2,2,2,3,2,1,3,2,2,2,2,3,2,2,1,2,1,2,1,1,2,7,0,0,0,0,0,0,0,2,3,1,2,1,1,3,3,2,2,3,3,3,3,3,3,3,3,3,2,9,1,2,3,3,3,3,3,2,3,3,3,3,3,11,0,1,1,2,4,3,2,2,1,2,2,2,4,4,4,3,3,2,1,4,1,3,4,1,3,4,3,2,1,1,1,3,2,1,5,2,1,1,2,1,3,5,3,7,5120
1,91,2,1,9,1,1,3,3,1,1,2,4,4,4,3,4,5,2,3,3,2,2,2,5,2,3,3,3,2,3,1,2,2,1,1,1,3,1,2,2,2,1,2,1,1,2,7,3,0,2,2,1,2,2,2,1,1,1,1,1,3,3,2,1,1,2,2,2,1,1,2,2,1,2,9,2,1,1,1,1,2,1,2,1,1,2,2,1,8,0,2,2,1,8,3,3,2,2,2,2,2,3,3,3,4,4,3,2,1,1,2,4,2,4,4,1,1,1,1,1,1,3,1,1,1,1,1,3,1,3,2,3,4,3327
1,91,3,1,5,1,2,1,3,1,3,4,5,4,4,5,4,5,3,3,2,1,2,2,5,2,1,1,2,2,2,2,1,4,3,2,0,3,2,2,1,1,2,2,1,1,1,9,0,4,2,2,2,2,2,4,4,4,4,4,4,3,2,3,2,1,0,1,1,4,0,0,1,1,2,9,3,0,1,1,0,0,1,0,1,0,0,1,1,8,8,1,1,1,7,3,3,2,2,6,2,3,3,4,4,4,1,1,3,4,9,3,4,5,4,3,2,3,3,3,1,1,1,3,5,0,3,1,2,1,3,1,3,4,3335
1,91,4,2,10,1,1,1,3,1,1,1,5,3,4,2,4,4,3,1,2,4,1,1,1,2,1,2,2,2,2,3,1,2,1,2,2,1,3,2,0,3,1,2,0,0,2,9,0,0,3,1,2,2,2,0,0,1,1,4,2,3,2,3,0,0,0,0,0,4,0,0,0,0,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,5,0,11,3,1,3,1,6,2,2,4,4,3,4,3,5,4,5,12,0,3,3,4,2,4,0,0,4,0,0,4,2,0,0,0,0,0,0,0,6,3,5,4109
1,91,5,1,9,1,1,3,4,2,1,3,1,5,1,2,3,2,1,3,1,1,1,2,2,2,2,2,2,2,2,1,2,2,3,1,1,1,1,1,1,1,1,3,1,2,1,9,1,0,1,2,1,0,1,4,0,2,2,2,2,1,2,1,2,1,0,0,0,4,0,0,0,0,2,9,5,0,1,0,1,0,0,0,1,0,1,0,0,4,10,1,2,1,2,1,2,1,1,2,2,2,4,1,1,1,4,2,1,3,8,1,4,1,5,3,3,1,1,1,1,1,3,2,1,1,1,1,2,1,3,4,1,3,3131
1,91,6,2,4,1,1,3,4,2,1,2,3,2,2,2,1,3,1,2,1,1,3,1,2,2,2,2,2,2,2,1,3,2,1,1,1,3,1,1,2,1,1,2,1,2,2,1,3,1,2,2,1,2,1,2,3,2,4,3,2,1,1,1,2,1,2,3,2,1,3,3,3,3,2,9,6,2,3,3,3,3,1,2,1,3,3,3,3,3,0,2,5,2,5,1,1,2,1,1,3,1,3,4,4,4,4,2,3,4,1,3,1,5,5,4,1,1,1,1,1,1,1,1,2,1,2,1,4,1,3,5,1,1,2104
1,91,7,1,9,1,1,3,4,2,1,3,3,3,1,1,1,2,2,1,1,1,1,1,2,1,1,3,2,2,3,1,2,4,1,2,1,3,2,3,1,2,1,4,1,2,1,9,3,4,2,1,1,2,1,2,4,2,2,2,2,3,1,3,2,2,0,0,0,4,0,0,0,0,2,9,7,0,0,0,0,0,0,0,0,0,2,0,0,11,10,2,2,1,10,1,1,3,3,2,2,1,2,1,2,2,1,3,3,4,8,1,2,1,1,4,1,1,1,1,1,1,3,2,2,1,1,2,2,2,3,5,1,0,1101
1,91,8,2,8,1,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,3,1,1,1,1,1,1,1,2,1,2,2,0,2,4,3,4,1,2,2,2,1,4,4,3,4,1,2,1,3,2,1,2,3,2,1,3,3,2,3,2,2,9,8,1,3,2,3,1,3,3,3,3,0,1,1,5,1,1,1,1,0,1,1,3,1,2,2,1,2,1,1,1,4,4,2,3,1,3,1,1,1,4,1,1,3,3,1,1,2,1,0,0,0,0,0,0,0,6,1,3,3152
1,91,9,1,8,1,1,2,4,2,0,2,2,2,1,2,1,3,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,3,1,1,1,1,2,1,1,1,2,2,1,1,1,9,2,4,1,2,1,1,1,2,1,2,4,1,2,1,1,1,1,2,3,3,2,3,2,3,3,3,2,9,9,1,3,1,3,1,3,3,3,3,3,3,2,3,0,1,1,1,3,1,2,3,3,1,1,2,2,1,2,1,4,4,3,2,2,2,2,1,1,2,1,3,3,1,1,1,1,1,5,1,1,2,3,1,3,1,1,3,3149
1,91,10,1,8,1,1,2,4,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,3,2,2,2,2,2,2,4,1,1,1,2,1,1,1,2,1,2,1,1,1,9,3,4,1,2,1,1,1,4,2,2,4,4,4,2,1,2,1,2,2,3,1,3,2,2,3,2,2,9,10,2,1,3,1,3,3,3,3,3,1,3,3,4,0,2,2,1,3,2,1,3,1,2,1,2,2,2,1,2,4,4,3,4,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,3,1,3,2,1,2,2326
1,91,11,2,8,1,1,2,4,2,1,2,3,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,3,2,1,1,2,1,1,2,1,1,2,1,1,2,7,3,4,1,1,1,2,2,1,2,4,4,4,2,2,3,2,1,3,3,3,2,2,0,3,3,3,2,9,11,3,3,2,3,3,3,2,2,2,3,3,3,11,1,1,1,1,4,1,1,2,3,2,2,2,2,2,2,2,4,4,3,3,3,3,4,1,1,2,1,1,1,1,1,1,1,2,5,1,1,4,3,1,3,5,1,7,5147
1,91,12,2,3,1,1,3,4,2,1,2,2,1,1,2,2,3,1,1,1,2,2,3,2,1,3,2,2,2,1,2,2,2,1,2,2,1,2,3,1,1,1,4,1,1,2,8,1,4,2,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,0,2,3,1,2,3,3,2,9,12,3,2,3,2,3,2,3,3,2,3,3,3,2,1,2,2,1,2,1,1,2,1,2,2,1,3,2,3,2,4,4,3,1,1,2,1,2,1,4,1,1,1,3,1,1,1,3,2,1,2,1,4,3,3,1,1,2,2323
1,91,13,2,10,1,1,1,4,2,2,2,3,2,2,1,2,1,1,2,2,1,2,2,4,1,2,2,2,2,2,1,2,3,1,1,2,3,1,2,1,3,1,2,1,1,2,1,3,3,2,1,1,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,9,13,3,3,3,3,3,3,3,3,3,3,3,3,11,0,2,3,1,2,1,2,1,1,1,1,2,3,2,2,2,4,4,1,1,1,3,4,3,1,4,1,2,1,1,1,1,1,1,1,1,1,4,3,1,3,2,1,0,1165
1,91,14,2,5,3,2,3,4,2,2,1,5,1,1,1,4,3,1,1,2,1,2,2,1,2,1,2,3,2,2,1,2,3,2,2,1,3,1,3,2,1,1,2,2,1,2,2,3,4,1,1,1,2,1,2,2,1,2,1,2,1,3,1,1,2,3,3,3,3,2,2,3,3,2,9,14,1,2,3,1,3,3,3,1,3,3,3,1,4,0,1,2,2,3,1,2,3,1,2,2,1,2,3,4,3,4,2,1,4,1,3,1,1,1,4,1,2,2,1,1,1,2,2,2,1,1,1,2,3,3,2,1,0,1108
1,91,15,2,9,1,1,1,4,2,1,1,3,2,4,1,1,1,1,2,1,1,2,1,3,2,3,3,3,2,3,3,3,2,3,3,0,3,1,3,1,2,1,4,2,0,2,2,3,4,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,3,2,3,2,9,15,2,1,2,1,2,3,1,2,3,1,3,2,4,0,1,1,1,2,2,2,3,1,1,2,2,3,3,4,4,3,2,1,4,1,3,4,3,1,4,1,1,1,1,1,1,2,1,1,1,1,1,2,3,3,5,1,1,2131
