COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102
1,150,11,6,5,6,6,1,53,6,1,1,1,4,2,10,50,1,1,1,0,2,3,7,10,3,2,1,1,3,6,3,4,1,2,3,5,2,5,5,5,2,2,2,3,2,1,9,8,0,8,10,3,10,3,1,,215,1,1,1,6,4,3,1,7,21,0,2,2,3,3,4,2,2,30,8,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,2,2,2,3
1,150,12,4,7,6,6,1,39,11,2,1,2,1,2,3,97,2,2,2,1,7,7,11,11,3,3,3,2,1,1,5,0,1,2,3,2,2,3,2,1,2,2,2,2,1,2,11,3,0,4,10,2,10,2,1,,215,1,2,3,6,1,3,1,7,31,0,1,1,5,1,4,2,2,10,0,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,9,2,2,1,1
1,150,13,5,8,7,6,2,17,10,2,3,2,2,2,5,25,2,0,2,2,4,4,5,7,2,4,1,1,3,2,2,2,3,2,3,3,2,2,2,1,2,2,2,2,2,2,11,7,9,2,10,1,10,2,2,,215,1,3,3,6,3,2,1,8,21,0,2,3,3,1,5,1,3,40,0,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,3,2,2,1,2,2,2,3
1,150,14,6,8,6,4,2,18,11,1,1,1,1,2,2,25,2,2,3,3,6,7,3,4,2,4,2,1,3,1,4,0,1,2,3,1,2,2,1,6,2,3,2,2,0,2,8,6,0,2,10,1,10,3,1,,215,1,4,1,6,2,1,1,6,11,0,1,3,3,4,5,2,2,30,0,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,2,2,1,2,2,1,3
1,150,15,5,11,7,6,2,2,2,2,3,1,1,2,3,15,2,2,2,2,2,2,2,2,3,4,1,1,3,1,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,6,4,10,10,10,10,1,4,,215,1,5,1,6,2,2,2,6,21,0,1,1,1,2,6,4,2,30,5,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,1,3
1,150,16,4,5,5,4,2,54,11,2,3,1,2,1,5,50,2,2,4,3,5,5,4,6,2,1,2,3,2,6,3,2,1,2,3,3,2,2,2,3,2,3,2,2,4,2,6,3,4,8,10,2,10,1,1,,215,1,6,1,6,1,4,1,8,11,0,1,1,3,1,1,1,2,30,0,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,3,3
1,150,17,5,8,6,4,1,15,10,1,1,2,1,3,0,25,2,1,2,1,6,9,3,6,3,1,2,2,2,1,3,2,1,2,2,2,2,1,1,5,2,1,2,2,3,1,6,4,8,2,10,1,10,3,2,,215,1,7,2,6,2,3,3,7,21,0,1,3,3,1,5,2,2,20,2,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,2,1,2,2,3
1,150,18,6,4,6,7,1,53,18,1,2,2,1,2,2,3,2,1,3,3,5,6,6,8,2,1,1,4,1,4,3,4,1,3,3,2,2,4,2,5,5,4,3,5,5,1,5,4,1,5,10,1,10,2,3,,215,1,8,1,6,3,4,3,6,41,0,4,3,3,3,5,3,3,40,0,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,3,3,9,9,9,9,9,9
1,150,19,5,5,6,10,1,42,10,3,1,1,2,2,3,40,2,2,2,2,3,3,3,4,1,1,2,3,3,6,2,0,1,3,3,4,2,4,4,5,5,5,2,5,5,2,9,9,6,4,10,1,10,1,2,,215,1,9,1,6,3,2,1,8,21,0,2,1,3,1,3,2,2,30,0,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,9,9,9,9,9,9
1,150,20,6,6,6,8,2,49,15,2,1,3,1,3,4,50,2,1,3,3,6,6,9,9,3,2,2,2,3,3,3,0,1,3,2,3,2,2,2,5,5,2,2,5,5,2,7,4,9,4,10,1,10,3,4,,215,2,0,6,1,2,3,3,8,21,0,2,3,3,3,3,1,2,30,0,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,9,9,9,9,9,9,9
1,150,21,5,9,7,5,2,6,6,1,1,1,1,2,4,30,1,2,3,3,4,4,2,3,3,1,1,1,2,1,2,2,1,3,4,1,2,3,2,5,5,2,2,5,5,1,11,0,0,1,10,1,10,1,1,,215,2,1,3,6,1,2,1,6,11,0,1,1,3,3,5,4,2,30,3,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,3,2,2,2,2,2,2,3
1,150,22,5,6,6,5,2,43,23,2,1,2,1,3,10,60,2,2,4,3,8,8,3,11,1,1,2,2,3,2,4,1,1,3,4,4,1,2,2,4,5,2,1,3,2,2,5,3,11,5,10,1,10,2,3,,215,2,2,3,6,2,1,1,6,20,9,1,1,3,1,4,2,2,20,0,2,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,2,3,9,3,2,2,2
1,150,23,5,8,7,10,1,20,10,1,1,1,1,3,5,50,2,2,4,3,4,4,3,4,3,2,1,2,2,2,4,3,1,3,4,3,4,4,1,5,5,2,3,5,5,2,5,3,1,2,10,1,10,2,1,,215,2,3,2,6,2,3,1,9,11,0,4,3,3,3,5,1,2,30,2,4,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,2,3,3,2,2,2,2
1,150,24,6,7,6,6,1,30,8,1,1,1,1,2,10,30,2,1,4,3,4,6,10,10,2,2,1,1,2,6,2,3,1,3,4,2,2,2,2,5,5,2,2,5,5,3,7,6,5,6,10,1,10,3,1,,215,2,4,1,6,3,2,1,8,11,0,2,1,3,1,5,4,2,30,0,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,25,5,6,6,9,1,48,15,2,1,2,1,3,10,75,2,1,4,2,7,7,5,8,2,2,2,3,2,3,2,3,1,3,4,1,2,3,2,5,5,2,2,5,5,1,3,0,8,5,10,1,10,3,3,,215,2,5,3,6,2,3,1,8,21,0,3,2,3,4,4,2,2,30,0,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,2,2,9,2,2,2,2
1,150,26,5,8,7,3,1,15,12,2,3,3,2,2,4,20,2,2,4,3,4,4,6,6,3,2,2,3,3,2,4,4,1,3,4,4,2,3,2,5,5,3,3,5,5,3,5,3,11,3,10,1,10,3,4,,215,2,6,2,6,3,2,2,5,31,0,1,3,3,2,6,4,2,30,0,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,27,6,8,7,10,3,14,8,1,3,3,1,2,2,25,2,2,4,3,6,6,4,5,2,1,1,1,1,1,4,0,1,3,3,3,2,4,2,6,0,2,2,2,2,2,6,5,6,2,10,1,10,3,1,,215,2,7,1,6,3,5,1,7,21,0,1,1,3,3,4,1,2,30,0,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,3,3,4,9,2,2
1,150,28,6,8,7,3,1,11,9,1,3,3,2,2,10,40,1,2,4,3,3,3,4,4,3,2,2,2,2,3,3,3,1,3,4,4,1,3,1,6,0,2,3,6,0,1,7,3,3,2,10,1,10,1,2,,215,2,8,3,6,1,2,1,5,41,0,1,1,3,1,4,1,2,10,0,2,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,29,6,7,7,2,1,14,8,1,3,1,1,3,10,25,2,2,4,3,4,4,5,3,3,1,1,2,4,2,4,3,1,3,3,4,2,4,4,5,0,1,1,6,2,1,9,9,6,2,10,1,10,3,1,,215,2,9,1,6,2,1,1,9,21,0,1,3,3,1,4,1,3,40,0,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,9,9,9,9,9,9,9
1,150,30,6,6,6,9,1,43,98,4,2,2,2,2,3,25,2,2,4,3,6,6,3,4,3,3,2,3,3,6,4,3,1,0,0,0,0,6,0,6,0,6,0,6,0,1,7,6,3,6,10,1,10,1,2,,215,3,0,3,6,1,2,1,7,31,0,2,2,3,3,4,1,2,30,0,1,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,31,6,4,6,9,2,47,10,2,2,3,2,2,3,25,2,2,4,3,0,0,4,6,2,3,2,2,3,6,4,2,1,4,3,4,1,3,1,4,0,2,2,6,0,2,9,7,0,8,10,2,10,3,3,,215,3,1,1,1,1,2,1,8,21,0,3,3,3,4,5,3,2,30,2,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,3,3,3,3,3,2
1,150,32,6,6,6,8,2,27,6,2,3,3,1,1,1,25,2,2,4,3,2,2,2,3,2,1,1,3,3,2,2,2,1,4,4,4,2,2,2,6,0,2,2,6,0,2,7,5,0,4,10,2,10,3,1,,215,3,2,1,6,2,2,1,6,31,0,1,5,5,2,1,1,3,40,0,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,33,6,7,7,10,4,10,3,1,1,1,1,2,5,20,2,1,4,3,3,5,11,10,1,4,1,2,1,1,2,2,1,4,4,3,1,3,2,6,0,6,2,6,0,3,4,2,11,2,10,10,10,1,3,,215,3,3,2,6,2,1,1,8,21,0,1,1,3,2,4,1,2,30,0,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,3,3,3,4,2,2,2
1,150,34,5,7,6,5,1,26,3,1,3,1,2,2,10,50,2,2,3,3,1,1,3,4,2,1,2,2,2,1,2,2,1,4,3,2,1,2,2,6,0,2,2,6,0,2,7,5,9,7,10,1,10,2,1,,215,3,4,2,6,2,2,1,6,21,0,1,1,1,2,1,1,2,10,4,2,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,3,3,9,9,9,9,9,9
1,150,35,6,11,7,9,4,97,97,1,1,1,2,3,0,10,1,2,3,3,11,11,11,11,0,4,4,1,1,6,4,2,1,3,3,3,3,3,2,6,0,6,0,6,0,1,7,4,11,10,10,10,10,3,5,,215,3,5,1,6,2,3,3,8,31,0,2,1,5,3,1,1,2,30,8,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,2,3,3,4,2,3,3
1,150,36,6,9,7,9,1,12,10,1,1,2,1,2,1,25,2,1,3,3,6,6,5,5,1,2,1,1,1,1,4,0,1,3,3,2,1,1,1,5,0,2,2,6,0,1,5,4,1,10,10,2,10,2,1,,215,3,6,1,6,3,3,1,7,11,0,1,3,3,1,5,2,2,30,2,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,3,2,2,1,4,3,9,2
1,150,37,5,7,6,9,2,28,10,1,1,1,2,3,3,25,2,2,3,3,5,6,6,8,3,2,1,3,1,1,4,4,1,1,1,1,1,1,1,1,0,2,2,6,0,2,9,7,5,5,10,2,10,3,1,,215,3,7,1,6,3,4,1,7,21,0,1,3,3,1,5,3,2,10,0,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,9,9,9,9,9,9
1,150,38,3,3,5,6,2,53,3,2,1,1,2,3,7,50,2,2,4,3,11,11,10,10,3,2,2,4,0,6,2,0,1,1,5,5,1,1,1,5,0,1,1,4,0,2,11,10,11,8,10,1,10,2,1,,215,3,8,5,6,2,4,1,8,41,0,3,3,3,0,0,3,3,30,8,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,3,3,4,3,3,2
1,150,39,4,7,6,3,2,31,13,2,1,3,2,3,4,50,1,1,3,3,5,5,10,10,3,3,2,4,1,3,2,2,1,1,0,2,2,2,2,5,0,2,2,2,0,2,7,4,5,6,10,1,10,2,3,,215,3,9,1,6,2,1,1,8,31,0,3,1,1,1,4,2,2,30,2,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,40,5,6,6,4,2,34,12,3,2,2,4,3,3,98,1,2,4,3,5,8,5,9,2,2,2,3,3,3,4,0,1,2,2,2,2,2,2,5,0,6,0,6,0,3,7,3,11,8,10,1,10,3,3,,215,4,0,2,6,3,2,4,6,31,0,1,3,3,3,5,0,2,30,0,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,41,5,8,6,7,2,16,15,4,2,2,2,3,2,50,1,2,4,3,5,5,6,4,3,2,4,2,2,6,3,0,1,2,2,2,2,2,2,6,0,2,2,6,0,3,7,0,0,10,10,10,10,3,2,,215,4,1,6,6,2,2,4,8,31,0,1,3,3,2,5,4,3,30,6,4,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,42,6,5,6,5,1,54,8,4,3,3,1,2,0,50,2,2,4,3,4,4,8,10,1,2,2,3,2,5,4,0,1,2,4,4,2,4,2,5,0,3,2,6,0,2,9,8,0,1,10,2,10,2,1,,215,4,2,2,6,2,4,1,8,21,0,1,2,3,4,5,1,2,30,0,2,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
