CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.17..1,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.25..1,Q.25..2,Q.25..3,Q.25..4,Q.25..5,Q.25..6,Q.25..7,Q.25..8,Q.25..9,Q.26.,Q.26..1,Q.26..2,Q.26..3,Q.26..4,Q.26..5,Q.26..6,Q.26..7,Q.26..8,Q.26..9,Q.27.,Q.28A.,Q.28B.,Q.28B..1,Q.29.,Q.30.,Q.31A.,Q.31B.,Q.31B..1,Q.32.,Q.33.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.34A.,Q.34B.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.43.,Q.44.,Q.45A.,Q.45B.,Q.45C.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59A.,Q.59B.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68A.,Q.68B.,Q.69A.,Q.69B.,Q.69C.,Q.69D.,Q.69E.,Q.69F.,Q.69G.,Q.69H.,V.71.,V.72.,V.73.,V.74.,V.75.,V.76.,V.77.,V.78.,V.79.,V.80.,V.81.
1,157,1,1,4,9,9,2,4,1,7,1,5,6,1,5,1,1,2,7,14,2,8,4,6,4,10,13,4,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,4,15,2,2,2,9,13,13,9,1,2,157,1,1,3,0,2,4,1,2,4,4,3,4,3,1,5,3,1,4,3,3,2,1,2,1,1,1,5,2,1,5,9,2,1,1,2,2,2,1,3,1,2,2,1,1,2,1,2,3,2,2,4,0,0,4,3,11,2,23,24,8
1,157,2,1,9,10,6,2,4,2,6,3,6,2,1,4,1,2,2,7,6,2,2,2,2,6,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,7,4,15,4,3,3,9,13,13,9,1,2,157,2,1,2,0,1,2,1,3,4,2,2,5,2,3,3,5,2,3,2,3,2,3,3,1,1,3,3,2,2,3,8,2,1,2,2,2,2,3,4,1,2,2,2,1,2,1,3,3,3,3,2,0,0,2,3,8,5,14,12,133
1,157,3,1,9,8,9,1,5,3,6,3,6,8,1,4,1,1,2,1,6,2,6,4,6,4,10,8,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,4,15,4,3,3,9,13,13,9,1,2,157,3,1,2,0,1,2,1,2,4,4,2,2,2,2,5,5,2,3,2,1,0,2,3,1,1,3,5,2,3,5,3,1,1,2,4,2,2,1,4,2,2,2,2,1,2,1,2,2,2,2,2,0,0,5,3,13,2,10,21,99
1,157,4,1,8,10,10,1,5,3,6,1,5,3,1,4,1,1,2,1,6,2,8,4,6,2,8,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,15,2,5,4,9,13,13,9,1,2,157,4,1,3,6,3,4,1,2,1,4,4,4,4,2,4,4,3,4,4,3,2,1,3,1,1,3,3,2,1,3,7,2,1,1,4,1,2,1,5,2,2,2,2,1,2,1,3,2,3,1,5,0,0,3,3,8,4,16,25,50
1,157,5,1,2,11,9,1,5,3,6,1,5,6,1,5,1,1,2,7,7,2,8,4,6,4,10,13,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,4,15,4,1,1,9,13,13,9,1,2,157,5,1,2,0,2,4,1,1,5,4,4,2,3,1,3,3,1,4,3,2,3,1,2,1,1,1,4,3,1,3,9,2,3,1,1,3,3,3,4,1,2,2,2,1,2,1,3,3,3,3,4,0,0,2,3,11,2,23,24,50
1,157,6,1,3,1,3,1,5,3,6,1,3,11,1,2,2,1,2,7,14,2,4,1,5,1,4,13,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7,2,4,15,1,2,9,13,13,9,1,2,157,6,1,1,0,1,1,1,3,5,4,2,4,1,2,5,4,2,2,2,2,3,2,2,4,4,4,5,2,3,3,6,3,1,3,3,2,2,4,4,1,2,2,2,1,2,1,2,2,3,2,2,0,0,4,3,11,2,7,14,55
1,157,7,1,2,8,9,1,5,3,4,1,4,8,1,5,1,1,2,5,6,2,7,4,5,2,9,8,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,4,15,2,4,3,9,13,13,9,1,2,157,7,1,3,0,1,3,1,2,5,4,3,1,2,2,3,5,2,4,3,1,1,3,2,1,4,4,2,1,1,3,6,1,1,1,4,2,3,1,5,2,2,1,1,2,2,1,3,2,2,3,3,0,0,4,3,13,2,8,0,13
1,157,8,1,5,2,10,2,4,2,5,1,4,17,1,4,1,1,2,1,99,1,5,2,4,1,7,7,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,15,3,6,1,9,13,13,9,3,2,157,8,1,5,10,3,0,1,4,2,4,2,4,2,2,1,1,2,3,2,0,2,1,2,4,1,1,4,2,1,2,2,1,1,1,1,2,2,1,4,2,2,1,1,2,2,1,3,2,2,2,5,0,0,4,3,11,1,6,9,41
1,157,9,1,8,11,8,2,4,1,6,3,5,6,1,5,2,2,2,3,6,2,2,4,7,5,3,13,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,4,15,2,2,2,9,13,13,9,4,2,157,9,1,5,9,3,4,1,2,5,4,3,3,3,1,5,4,1,4,3,2,2,1,2,1,1,1,4,2,2,3,9,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,5,0,0,5,3,11,2,23,24,12
1,157,10,1,5,10,8,1,5,3,8,1,5,6,1,5,1,1,2,7,7,2,8,4,6,4,10,13,4,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,4,15,2,2,2,9,13,13,9,1,2,157,10,1,3,0,3,3,1,2,4,4,2,2,4,2,5,4,1,4,3,2,3,1,2,1,1,1,4,2,1,3,9,2,3,1,2,2,3,1,3,1,3,1,2,2,2,1,2,3,3,3,5,0,0,3,3,11,2,23,24,37
