CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4A.,Q.4B.,Q.5A.,Q.5B.,Q.6A.,Q.6B.,Q.7A.,Q.7B.,Q.8A.,Q.8B.,Q.9A.,Q.9B.,Q.10A.,Q.10B.,Q.11A.,Q.11B.,Q.12A.,Q.12B.,Q.13A.,Q.13B.,Q.14A.,Q.14B.,Q.15A.,Q.15B.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19A.,Q.19B.,Q.20A.,Q.20B.,Q.21A.,Q.21B.,Q.22A.,Q.22B.,Q.23A.,Q.23B.,Q.24A.,Q.24B.,Q.25A.,Q.25B.,Q.26A.,Q.26B.,Q.27A.,Q.27B.,Q.28A.,Q.28B.,Q.29A.,Q.29B.,Q.30A.,Q.30B.,Q.31A.,Q.31B.,Q.32A.,Q.32B.,Q.33A.,Q.33B.,Q.34A.,Q.34B.,Q.35.,V.37A.,V.37B.,V.38A.,V.38B.,V.39A.,CARD..1,DECK..1,BALLOT..1,NA.1,V.39B.,V.39C.,V.40.
1,195,1,3,1,5,6,4,4,2,4,2,3,3,4,2,4,2,4,2,4,1,4,1,4,2,2,1,4,3,1,3,3,2,1,5,1,3,1,2,2,4,2,2,1,1,1,3,1,5,1,3,1,2,2,1,2,1,3,1,2,2,2,2,2,2,3,2,1,2,2,8,2,1,0,2,195,1,3,9,0,2
1,195,2,3,1,5,5,4,1,2,1,2,2,3,1,2,1,2,1,2,2,1,1,1,1,2,1,1,4,3,1,4,1,2,1,5,1,4,1,3,1,5,1,3,1,1,1,3,1,5,1,1,1,4,1,1,1,1,1,1,2,2,2,1,1,3,2,3,2,1,0,0,3,3,0,2,195,2,3,1,0,2
1,195,3,3,4,4,4,4,4,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,2,4,1,4,3,1,5,1,2,1,5,1,4,1,3,1,1,1,3,1,1,1,3,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,5,7,0,2,195,3,3,0,0,2
1,195,4,3,3,5,5,4,4,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,2,4,1,4,3,1,1,1,1,1,5,1,4,1,3,1,1,1,3,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,3,0,3,7,0,2,195,4,3,0,0,1
1,195,5,3,2,5,5,4,4,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,2,1,1,1,3,1,5,1,2,1,5,1,4,1,3,1,1,2,3,1,1,1,3,1,5,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,9,0,6,0,2,195,5,3,8,0,2
1,195,6,3,2,5,6,4,3,2,4,2,3,3,4,2,4,2,4,2,3,1,4,1,4,2,3,3,0,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,3,1,2,2,2,2,3,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,4,1,4,0,1,2,195,6,3,6,0,2
1,195,7,3,2,3,8,4,2,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,2,4,3,1,3,1,5,1,2,1,5,1,4,1,3,1,5,1,3,1,3,1,2,2,5,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,6,7,1,2,195,7,3,8,0,1
1,195,8,3,2,3,8,4,3,2,4,2,0,3,4,2,4,2,4,2,4,3,0,1,4,2,4,1,4,2,2,2,2,1,3,3,1,3,1,2,1,2,1,3,1,2,1,2,2,2,2,1,1,4,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,6,6,4,2,1,2,195,8,3,8,0,1
1,195,9,3,3,3,6,4,4,2,4,2,4,3,4,2,4,2,4,2,4,3,3,1,4,2,2,1,4,2,1,3,1,3,2,2,1,2,1,4,1,4,2,2,1,3,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,6,8,6,7,1,2,195,9,3,8,0,1
1,195,10,3,2,2,6,4,4,2,4,3,4,3,4,2,4,2,4,2,4,3,4,1,4,2,4,1,4,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,3,1,1,1,2,1,3,1,2,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,2,8,0,2,7,1,2,195,10,3,0,0,2
