CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54A.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.65.,Q.66.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.67.,Q.68.,Q.69A.,Q.70A.,Q.71.,Q.72A.,Q.72B.,Q.72C.,Q.73D.,Q.73.,Q.74.,Q.75A.,Q.75B.,Q.75C.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.83.,Q.84.,Q.85.,Q.86A.,Q.87A.,Q.88A.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.97A.,Q.98.,Q.99.,V.101.,V.102.,V.103.,V.104.,V.105.,V.106.,V.107.,V.108.,V.109.
1,63,11,5,1,5,6,3,5,1,5,3,1,1,2,1,4,9,6,4,2,1,3,1,2,2,2,1,2,4,2,2,3,3,1,4,4,3,2,2,3,1,3,3,3,1,3,3,1,2,2,2,2,2,2,1,3,4,4,3,1,2,3,3,3,1,1,2,63,11,5,4,1,1,3,2,1,2,1,2,3,2,1,2,1,3,2,3,3,4,3,3,6,2,2,2,2,6,3,3,3,3,3,3,1,1,5,4,2,4,6,6,4,2,48,893
1,63,12,5,1,10,6,3,5,4,1,2,1,2,2,2,4,9,7,1,3,1,1,2,3,3,3,2,2,3,2,2,4,4,4,3,1,3,3,4,2,2,3,6,3,1,2,3,2,1,1,2,2,1,1,1,3,3,1,3,1,1,1,1,1,1,1,2,63,12,5,4,1,1,2,1,2,2,1,1,2,2,1,2,1,3,1,3,2,4,2,2,6,2,1,3,1,3,2,2,2,2,1,3,1,1,1,2,1,2,2,7,8,3,48,403
1,63,13,5,1,10,6,3,5,4,4,2,1,2,2,2,4,6,5,2,1,1,1,1,2,2,2,3,2,4,2,2,2,1,2,2,3,2,2,2,3,1,3,2,2,2,3,3,2,2,1,3,2,2,2,3,2,3,2,2,1,1,3,2,2,1,1,2,63,13,5,4,1,2,2,2,2,2,1,1,2,2,1,2,1,1,1,3,2,3,2,3,6,2,2,2,2,6,3,3,3,3,3,3,1,1,4,5,3,4,4,6,4,3,48,453
1,63,14,5,1,9,7,2,5,4,4,2,1,2,2,1,4,3,8,2,2,1,2,1,2,1,1,2,1,4,2,3,4,3,2,4,3,2,2,2,3,1,2,1,2,1,3,3,3,2,1,2,2,2,2,2,2,5,2,3,1,1,1,1,1,1,1,2,63,14,5,4,1,1,1,1,2,2,1,1,2,3,1,2,1,1,2,5,2,2,2,1,6,1,1,2,2,6,3,3,2,3,3,3,1,1,5,6,2,4,5,6,7,4,48,713
1,63,15,5,1,9,6,5,3,4,1,2,1,2,2,1,4,9,5,3,3,1,2,1,3,2,2,3,2,3,2,1,4,1,2,3,4,2,2,3,1,1,3,3,2,2,3,3,1,2,2,2,2,1,3,1,2,4,3,2,1,1,1,1,1,1,1,2,63,15,5,4,1,1,2,1,2,2,2,1,2,2,1,2,2,3,2,2,1,3,4,1,6,2,1,2,1,4,2,2,2,2,2,2,1,1,3,2,1,3,3,7,7,6,48,603
1,63,16,5,1,9,6,2,5,4,1,2,2,2,2,1,4,9,1,2,3,1,2,1,2,3,2,1,3,3,2,3,3,2,0,3,4,2,3,11,1,1,2,1,0,1,2,2,4,2,2,2,2,2,2,2,3,7,2,3,2,1,1,1,1,1,1,2,63,16,5,4,1,1,2,1,0,3,1,2,5,2,1,2,1,3,1,2,1,2,1,2,6,2,1,2,1,1,0,3,4,4,2,2,1,1,5,3,1,4,4,4,7,8,48,313
1,63,17,5,1,9,7,2,5,5,4,2,2,2,2,2,4,9,3,3,3,1,2,1,2,2,1,1,1,3,2,3,3,2,2,2,4,1,2,2,1,1,1,3,3,1,3,3,2,2,2,2,2,3,1,1,3,1,2,3,2,1,1,1,1,1,1,2,63,17,5,4,1,1,1,3,2,2,1,1,2,1,1,2,2,0,2,2,3,3,1,2,6,1,1,2,4,4,3,2,2,2,2,2,1,0,5,4,1,5,6,6,7,4,48,473
1,63,18,5,1,0,1,0,4,4,4,1,1,1,2,1,4,9,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,1,3,2,1,1,1,2,1,3,3,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,63,18,5,4,1,2,3,1,0,0,0,0,2,2,1,2,1,0,2,2,1,3,2,1,6,2,2,2,2,7,3,3,3,3,3,3,1,0,4,5,4,4,6,8,7,7,48,673
1,63,19,5,2,1,2,2,5,1,5,3,1,1,2,1,4,4,5,1,1,2,1,1,1,1,1,1,1,4,3,1,2,1,2,3,4,1,1,1,3,8,2,11,2,1,3,3,2,2,1,2,2,1,1,3,4,4,2,4,5,1,4,4,4,1,1,2,63,19,5,4,1,2,2,1,2,2,2,2,5,1,1,2,2,3,1,1,1,4,5,1,2,2,2,2,2,6,4,4,4,4,4,4,1,1,5,8,4,5,8,6,1,5,48,333
1,63,20,5,1,2,6,0,1,1,5,3,1,1,2,1,5,9,1,2,3,1,3,1,2,1,1,1,1,4,2,1,3,2,2,4,4,2,2,2,2,2,2,1,2,1,3,3,2,2,2,2,2,2,2,1,2,5,2,2,1,2,4,2,4,1,1,2,63,20,5,4,1,2,2,4,2,1,1,2,2,2,1,1,2,3,2,2,2,4,1,1,3,2,2,2,2,6,3,3,3,3,3,3,2,0,1,5,1,4,6,7,2,4,89,953
1,63,21,5,1,2,7,7,5,1,5,3,1,1,2,1,5,5,2,1,1,2,2,1,1,2,2,2,1,1,3,1,2,2,2,1,4,2,2,2,1,3,3,11,3,1,3,3,2,3,2,2,1,2,1,3,2,5,1,3,1,1,2,2,1,1,1,2,63,21,5,4,1,2,2,1,2,2,1,1,2,1,1,2,2,3,1,2,1,2,1,1,7,1,1,1,3,7,1,1,1,1,1,1,1,1,1,5,5,4,5,6,6,7,89,281
1,63,22,5,1,3,6,9,4,1,5,3,1,1,2,1,5,9,1,1,1,1,1,1,2,2,1,3,3,2,2,1,3,2,2,5,4,2,2,2,1,1,3,3,3,1,3,3,2,1,1,1,1,2,2,2,3,1,3,2,2,1,1,3,3,1,1,2,63,22,5,4,1,3,2,2,3,2,2,3,2,1,2,2,1,3,3,3,2,4,3,3,3,2,2,2,4,6,3,4,1,3,3,3,1,1,4,6,3,4,4,8,5,2,89,221
1,63,23,5,2,10,6,2,5,1,5,3,1,4,2,4,1,9,5,2,1,2,1,1,2,2,1,1,1,2,2,1,2,5,2,1,4,2,4,2,3,2,3,4,3,1,3,3,2,2,1,2,1,2,1,1,3,4,3,2,1,1,2,2,2,1,1,2,63,23,5,4,1,1,2,1,2,2,1,2,2,1,1,2,1,3,1,2,1,3,2,1,6,2,2,2,4,6,3,1,1,2,2,2,1,1,5,6,5,4,6,6,4,6,67,2516
1,63,24,5,2,9,6,2,2,1,5,3,1,4,2,4,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3,2,2,2,1,2,3,4,3,1,3,3,3,2,2,1,1,2,2,3,2,4,2,3,2,1,1,1,1,1,1,2,63,24,5,4,2,1,3,1,2,2,2,2,4,1,1,2,1,1,1,2,2,2,2,1,6,2,3,3,4,6,4,2,2,4,2,2,1,1,2,7,4,4,5,6,7,5,67,2366
1,63,25,5,2,3,6,3,3,1,5,3,2,4,2,2,1,9,6,1,2,1,1,1,1,1,1,1,2,5,1,1,4,3,4,1,4,1,1,2,2,0,2,4,1,1,3,3,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,63,25,5,4,1,1,1,1,2,2,1,2,2,1,1,2,1,3,1,2,1,2,2,2,1,2,1,2,1,2,3,1,1,1,1,3,1,1,3,8,4,5,7,7,8,5,6,1133
1,63,26,5,2,0,1,5,1,4,4,2,1,4,3,4,1,9,3,2,1,1,1,1,2,1,1,3,1,2,1,2,4,1,1,1,2,2,2,2,1,0,1,3,2,1,3,3,2,1,1,1,1,3,1,2,2,4,2,2,0,1,1,2,4,1,2,2,63,26,5,4,1,1,3,1,0,0,0,1,2,4,1,2,2,0,1,2,1,4,1,1,6,2,2,2,1,1,3,3,4,2,2,3,1,1,3,7,4,4,4,8,4,7,67,2476
1,63,27,5,1,10,2,0,1,1,5,3,1,4,3,2,1,1,6,1,2,1,1,2,1,1,1,3,2,4,2,2,2,4,1,1,1,3,3,4,2,1,1,1,1,1,2,2,2,1,1,1,1,3,1,3,3,3,1,2,1,1,1,1,1,0,0,2,63,27,5,4,1,1,2,4,1,2,1,1,2,3,1,2,2,0,2,1,5,5,5,1,6,2,1,2,4,6,3,3,3,3,3,3,1,0,1,8,3,3,1,6,8,3,6,843
1,63,28,5,1,10,3,0,4,1,5,3,1,4,1,1,1,9,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,2,3,2,0,3,2,3,1,2,3,2,2,1,2,1,2,2,1,3,4,1,1,1,1,1,1,1,1,1,2,63,28,5,4,1,1,1,1,2,1,1,2,2,1,1,2,1,3,1,3,1,3,3,3,6,2,1,2,1,3,1,1,2,1,1,3,1,0,3,8,5,4,5,6,8,4,11,894
1,63,29,5,1,3,7,9,5,1,5,3,1,2,2,2,5,5,2,2,1,3,1,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,10,1,1,2,4,3,2,2,1,3,1,2,2,2,1,2,2,1,5,2,2,1,1,1,2,2,1,1,2,63,29,5,4,1,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,7,1,1,3,1,1,4,1,1,2,1,4,1,1,5,5,5,3,4,4,5,9,89,712
1,63,30,5,1,3,6,3,4,1,5,3,1,2,2,1,5,9,1,0,0,0,2,1,2,2,1,1,2,0,3,4,2,5,3,2,4,1,2,2,2,1,3,3,3,1,3,3,2,2,1,2,1,2,1,2,2,4,2,2,1,2,1,1,1,1,1,2,63,30,5,4,1,2,2,2,2,2,1,1,2,2,1,2,2,3,2,3,1,2,1,1,3,2,2,2,2,6,3,3,3,3,3,3,1,1,4,4,2,4,6,7,7,6,67,953
1,63,31,5,1,6,8,2,1,1,5,3,2,2,2,1,5,9,4,4,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,4,2,2,10,3,1,3,3,3,1,2,3,2,2,2,2,2,2,2,2,2,2,3,4,1,2,2,2,2,1,1,2,63,31,5,4,1,1,2,2,2,2,1,1,5,2,1,2,1,1,1,5,1,5,5,1,1,1,1,1,3,7,1,1,1,1,1,1,1,1,1,8,5,4,5,4,4,4,67,693
1,63,32,5,1,7,7,6,3,1,5,3,1,2,3,1,5,9,3,3,2,1,1,1,2,2,1,2,1,4,2,3,3,2,2,4,3,1,4,2,1,2,3,7,3,1,3,3,2,2,2,2,2,1,3,3,3,4,2,2,1,1,1,1,1,1,1,2,63,32,5,4,1,1,2,3,2,2,1,2,2,1,1,2,2,1,1,2,1,5,2,1,4,1,2,2,2,6,3,3,3,3,3,3,1,1,3,6,2,3,5,6,7,4,46,1224
1,63,33,5,1,11,7,8,4,4,2,2,1,2,2,2,5,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,3,4,4,1,1,2,1,1,2,2,2,1,3,2,1,2,1,2,2,1,1,2,2,4,1,1,1,4,1,2,3,1,1,2,63,33,5,4,1,1,1,1,2,1,2,1,3,1,1,2,1,3,1,3,2,3,2,2,6,1,2,2,2,6,3,3,3,3,3,3,2,2,4,6,4,5,7,6,6,4,89,1023
1,63,34,5,1,10,7,5,5,4,4,2,1,2,2,1,5,9,2,3,3,1,2,3,2,2,2,1,3,3,2,3,4,1,1,1,4,2,2,3,3,0,3,3,2,1,4,4,3,2,2,1,1,2,1,3,4,2,2,4,2,1,4,4,2,1,1,2,63,34,5,4,1,2,2,4,2,2,1,1,2,1,1,2,2,3,2,2,1,2,2,3,6,1,3,2,4,6,3,3,3,3,3,3,1,1,5,3,1,3,5,5,2,5,67,673
1,63,35,5,1,10,7,9,5,4,4,2,1,2,2,2,5,10,5,2,2,1,2,1,3,1,1,2,2,4,2,3,3,2,2,1,4,2,4,2,3,1,3,6,3,2,3,3,2,2,2,2,2,2,2,3,3,1,4,3,4,2,2,2,2,1,1,2,63,35,5,4,1,1,2,1,2,2,1,1,2,3,1,2,1,1,1,2,2,2,2,1,6,1,2,2,2,6,3,3,3,3,3,3,1,1,5,5,2,4,5,6,4,5,89,973
1,63,36,5,1,10,8,6,5,4,1,2,1,2,2,1,5,5,1,4,3,1,1,1,3,1,3,1,1,3,2,1,4,2,1,1,4,2,1,1,3,2,2,4,2,1,3,3,3,2,2,1,1,2,1,1,1,5,2,2,5,1,1,1,1,1,1,2,63,36,5,4,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,3,1,6,1,2,2,1,5,4,1,4,3,1,3,1,1,5,3,1,5,8,7,7,5,70,1325
1,63,37,5,1,11,6,5,4,1,5,3,1,2,2,2,5,5,1,1,1,2,3,2,2,2,2,3,2,2,1,2,2,1,1,2,2,3,3,5,1,1,2,1,2,1,3,3,4,1,1,1,1,1,1,3,3,4,2,3,1,1,1,1,1,1,1,2,63,37,5,4,1,1,2,1,2,2,1,1,3,1,1,2,1,3,1,2,1,2,2,1,6,2,3,2,4,2,4,2,2,2,2,2,1,1,3,4,6,2,2,8,7,6,89,833
1,63,38,5,1,10,6,9,3,1,5,3,1,2,2,1,5,4,5,1,2,1,1,1,1,2,2,1,1,3,2,1,1,1,5,3,4,1,1,1,2,1,2,7,3,1,3,3,2,3,1,3,1,1,2,3,4,4,2,3,4,4,4,4,3,1,1,2,63,38,5,4,1,1,2,4,2,2,2,2,5,1,1,2,1,1,1,5,1,4,2,1,6,2,2,2,2,6,3,3,3,3,3,3,1,1,1,6,3,5,8,7,2,3,89,472
1,63,39,5,1,7,6,3,4,4,4,2,1,2,1,1,5,10,2,3,3,1,2,1,2,2,3,3,2,4,3,3,4,4,2,0,0,3,1,11,2,1,0,3,0,0,3,3,2,2,2,1,1,2,2,2,1,3,2,2,2,1,2,2,3,1,1,2,63,39,5,4,1,1,1,1,2,1,1,2,2,1,1,2,1,3,2,3,1,1,1,1,0,3,4,4,5,8,0,0,5,5,0,0,4,0,0,2,1,4,4,8,4,7,67,643
1,63,40,5,1,11,5,4,4,4,4,2,1,2,2,1,5,5,7,1,1,2,1,1,1,1,2,3,1,1,1,1,3,1,5,1,4,3,3,4,3,1,1,1,1,1,3,3,4,1,1,1,1,2,2,2,1,4,2,2,1,1,4,3,3,1,1,2,63,40,5,4,1,1,3,1,2,2,1,2,5,1,1,2,1,3,2,1,1,1,1,1,6,2,2,2,4,6,4,4,4,4,4,4,1,1,4,7,5,4,1,8,3,9,89,462
1,63,41,5,1,10,0,4,5,4,1,2,1,2,2,1,5,5,2,1,1,2,1,2,2,2,3,3,2,5,1,2,2,1,2,1,2,1,2,3,1,2,2,4,2,1,3,3,2,1,1,2,2,1,1,2,2,4,2,2,2,2,4,1,2,1,1,2,63,41,5,4,3,1,1,2,1,1,1,1,1,1,1,2,1,3,2,1,2,3,3,1,6,2,3,2,2,6,4,4,4,2,4,3,1,1,5,4,6,2,3,6,4,4,89,873
1,63,42,5,1,3,4,8,3,4,1,1,1,2,2,1,5,9,2,2,2,1,1,1,2,2,2,3,2,4,2,3,3,1,2,2,4,3,1,2,1,2,2,2,2,1,3,3,2,2,2,1,1,2,1,2,3,4,2,3,2,1,1,2,2,1,1,2,63,42,5,4,1,1,2,4,1,2,1,2,3,1,1,2,2,3,1,2,2,2,2,3,5,2,1,2,1,4,2,2,2,4,2,2,1,2,5,5,2,5,5,7,5,5,89,813
1,63,43,5,1,4,4,7,1,4,4,1,1,2,2,1,5,5,1,1,1,2,1,1,2,1,2,3,1,2,3,1,1,1,2,2,1,2,2,3,1,1,2,1,1,1,3,3,1,1,1,1,1,1,2,2,1,2,2,2,2,3,2,2,2,1,1,2,63,43,5,4,1,2,3,1,2,1,1,1,5,1,1,2,1,3,1,1,1,4,2,1,6,2,2,2,2,6,3,3,3,3,4,3,3,1,3,6,5,3,3,9,4,7,89,883
1,63,44,5,1,1,4,8,1,1,5,3,1,2,2,2,5,13,5,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,4,2,2,2,2,1,2,4,2,2,3,3,2,1,1,1,1,2,2,1,3,5,2,2,1,1,1,1,1,1,1,2,63,44,5,4,1,1,3,1,2,2,1,1,2,1,1,2,2,3,2,3,1,2,2,1,2,2,2,2,4,6,4,4,4,3,2,3,1,1,1,7,5,4,6,9,7,5,89,422
1,63,45,5,1,1,4,5,4,1,5,3,1,2,2,1,5,9,2,4,3,1,3,2,2,3,2,3,2,3,2,1,3,2,1,1,3,2,3,1,3,3,1,4,1,1,3,3,1,1,3,1,2,1,3,2,3,4,3,1,2,1,4,4,4,1,1,2,63,45,5,4,1,4,3,2,1,1,1,2,2,2,1,2,2,3,1,5,1,1,1,1,4,2,1,1,3,7,1,1,2,1,1,1,1,1,4,3,1,2,4,6,1,6,89,512
1,63,46,5,1,2,4,8,1,1,5,3,1,2,3,2,5,4,1,4,1,1,1,2,2,2,2,3,1,5,3,1,5,2,1,2,3,3,4,3,3,3,2,2,2,1,2,3,3,1,3,3,3,1,3,2,1,4,2,2,2,1,4,5,5,1,1,2,63,46,5,4,1,4,2,2,1,1,1,1,1,2,1,1,2,3,2,1,1,1,1,1,4,2,2,2,4,6,3,3,3,4,4,3,1,1,1,5,4,2,3,5,3,8,89,652
1,63,47,5,1,7,4,9,1,1,5,3,1,2,2,2,5,13,1,4,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,4,3,2,2,2,1,1,4,2,5,3,3,2,1,1,2,1,3,2,3,3,1,2,2,1,1,1,1,1,1,1,2,63,47,5,4,1,4,2,4,2,1,1,1,1,1,1,2,1,3,2,1,1,5,1,4,6,2,1,3,4,7,3,1,1,2,1,1,1,1,1,8,4,5,6,8,7,5,89,582
1,63,48,5,1,8,4,2,5,4,4,2,1,2,2,1,5,0,4,1,2,1,1,1,2,2,1,1,0,1,2,2,3,2,5,1,4,2,1,11,0,2,1,8,1,1,3,3,3,1,1,1,1,1,1,2,2,6,5,3,3,1,4,5,5,1,1,2,63,48,5,4,1,1,2,1,2,1,2,1,1,2,1,2,1,3,1,1,1,3,1,1,6,2,2,2,2,6,3,3,3,5,0,0,1,1,5,6,3,5,6,8,3,8,67,833
1,63,49,5,1,9,4,5,2,1,5,3,1,2,3,1,5,10,6,2,2,1,1,1,3,3,3,3,2,4,2,2,3,2,1,1,2,3,3,6,1,1,2,1,2,1,3,3,3,2,1,1,1,1,2,1,2,4,3,2,2,1,3,3,2,1,1,2,63,49,5,4,3,2,2,1,1,1,1,2,5,1,1,2,1,3,1,2,2,3,1,1,6,2,1,2,1,8,0,0,5,5,0,0,1,1,3,3,2,3,2,6,4,6,89,452
1,63,50,5,1,11,4,4,4,2,2,3,1,2,2,1,5,9,1,1,2,1,1,2,2,2,2,1,2,4,3,1,2,1,1,1,2,2,2,2,2,3,3,6,3,1,4,3,2,2,2,2,2,1,2,3,3,3,1,3,1,1,1,1,1,1,1,2,63,50,5,4,1,1,1,1,2,2,1,1,2,3,1,2,2,3,2,2,2,3,2,1,6,2,2,2,2,6,3,3,3,3,3,3,1,1,3,5,3,2,6,6,8,4,89,963
1,63,51,5,1,1,5,4,3,4,1,1,1,2,2,1,5,9,2,1,1,3,1,1,3,2,2,3,3,2,2,1,3,2,1,1,4,2,4,3,1,4,3,11,2,1,3,3,4,1,3,2,1,2,2,2,3,3,3,4,1,1,2,2,2,1,1,2,63,51,5,4,1,1,1,4,1,1,1,1,2,2,1,2,2,3,1,5,5,1,5,2,2,2,3,2,1,6,3,4,2,3,4,3,1,1,1,4,3,4,3,6,4,3,89,853
1,63,52,5,1,6,5,5,4,4,4,1,1,2,2,1,5,5,2,1,1,2,1,1,2,2,2,3,1,2,1,1,2,2,1,2,3,3,4,3,3,1,2,1,3,5,3,3,2,2,1,2,1,2,3,3,3,4,1,4,2,1,1,2,2,1,1,2,63,52,5,4,1,1,2,4,2,1,1,1,2,1,1,2,2,3,1,1,5,5,5,1,5,2,1,3,4,6,2,2,2,2,1,1,1,1,4,5,6,3,3,6,6,3,67,1013
1,63,53,5,1,1,5,9,4,1,5,3,1,2,2,1,5,9,1,2,2,1,1,1,2,1,2,1,2,4,2,1,2,1,2,2,4,1,1,3,3,1,3,4,3,1,3,3,2,2,2,2,2,1,2,3,4,1,3,2,1,3,4,4,4,1,1,2,63,53,5,4,1,2,2,1,2,2,1,3,2,2,2,2,1,3,2,2,1,4,1,1,7,2,2,2,2,6,3,3,3,2,3,3,1,1,4,6,3,5,6,6,1,6,89,432
1,63,54,5,1,1,5,0,1,1,5,3,1,2,2,1,5,5,3,1,1,2,1,1,1,1,1,1,3,2,3,4,2,2,2,2,4,2,2,2,3,0,1,3,3,1,3,3,2,2,2,2,2,3,1,2,3,1,3,4,2,1,4,4,4,1,1,2,63,54,5,4,1,2,2,2,2,2,1,1,2,1,1,2,1,3,1,2,2,4,5,1,2,2,2,2,2,6,3,3,1,3,3,3,3,0,1,8,5,5,6,6,1,4,67,763
