COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88
1,142,176,4,11,11,5,1,4,1,0,4,2,2,2,3,2,1,5,2,2,5,1,1,1,5,1,1,3,10,3,1,4,1,4,4,1,2,3,3,1,3,4,4,4,2,2,3,4,1,3,1,3,3,3,1,2,142,176,2,4,2,0,1,2,1,1,6,1,1,0,7,3,2,1,3,3,3,2,1,1,2,3,11,89,89,11,91
1,142,177,5,11,11,6,1,4,1,0,4,1,1,2,2,1,1,3,5,5,3,3,2,2,5,1,1,9,40,3,1,4,1,4,4,5,2,1,2,1,3,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,142,177,3,4,1,3,1,2,2,6,6,1,4,2,6,3,1,1,1,1,5,4,5,1,2,2,1,4,4,4,11
1,142,178,3,11,11,6,1,4,1,11,4,1,1,1,1,1,1,4,4,4,4,3,6,2,9,2,3,6,25,2,1,4,1,4,4,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,142,178,8,4,1,2,2,4,1,6,6,2,2,0,7,3,1,1,1,1,5,4,5,1,2,3,8,4,4,4,16
1,142,179,4,11,11,4,1,4,1,0,4,1,1,2,3,2,2,4,6,6,4,3,2,2,5,2,1,5,20,2,1,4,1,4,4,1,0,3,2,3,4,3,3,4,4,3,4,4,3,4,3,3,4,3,1,2,142,179,2,1,1,2,2,4,3,6,6,1,4,0,5,1,2,4,1,1,1,4,5,4,2,0,1,1,1,4,34
1,142,180,4,11,11,6,1,4,1,11,4,1,1,3,3,1,2,3,3,4,4,3,2,2,5,2,2,6,24,3,1,4,1,4,4,0,0,2,1,3,3,2,3,4,1,2,3,4,2,2,3,2,3,4,1,2,142,180,4,3,1,1,2,3,1,6,6,1,4,2,6,3,2,1,1,1,1,3,3,1,2,3,11,4,4,4,40
1,142,181,4,11,11,5,1,4,1,0,4,2,2,3,3,1,2,4,3,4,4,4,2,2,5,2,2,7,21,3,1,4,1,4,4,6,0,2,5,2,2,2,2,3,2,2,3,2,2,3,2,2,2,3,2,2,142,181,2,1,1,1,2,3,1,6,6,1,2,2,5,3,1,1,1,1,3,2,5,4,2,3,11,89,89,4,44
1,142,182,4,11,11,7,1,4,1,0,4,1,1,1,3,1,1,4,4,6,4,3,2,2,5,2,2,5,20,5,1,4,1,4,4,2,3,1,2,1,2,2,2,3,2,2,3,4,2,3,2,2,4,3,0,2,142,182,3,1,1,3,1,3,1,6,6,1,4,2,6,3,1,1,1,1,1,3,5,1,2,3,3,0,0,4,45
1,142,183,4,11,11,3,1,4,1,11,4,1,1,3,3,1,2,8,9,9,8,8,2,2,5,2,1,6,24,5,1,4,1,4,4,2,3,2,2,2,2,2,3,4,1,2,2,3,2,3,4,2,3,3,2,2,142,183,3,1,1,3,2,3,3,6,6,1,2,3,6,3,1,1,3,1,1,3,1,2,2,3,2,4,4,4,46
1,142,184,4,11,11,5,1,5,1,11,5,1,0,3,3,1,2,6,1,2,5,2,1,1,4,1,1,4,15,3,1,5,1,5,4,1,1,2,2,2,3,2,4,4,2,2,4,2,2,3,2,3,4,4,1,2,142,184,2,3,1,2,1,3,1,6,6,1,2,4,6,3,1,1,3,3,2,4,1,1,2,3,1,5,5,11,13
1,142,185,4,11,11,3,1,5,1,11,5,1,1,2,1,1,2,4,2,2,4,1,1,1,5,2,1,5,20,2,1,5,0,0,4,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2,3,2,3,3,2,2,142,185,2,1,1,3,2,4,2,6,6,1,2,2,6,3,1,1,3,3,2,2,3,1,2,3,5,5,5,11,59
