CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12A.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60A.,Q.60B.,Q.60C.,Q.60D.,Q.60E.,CARD..1,DECK..1,BALLOT..1,Q.61.,Q.62.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.71.,Q.72A.,Q.72B.,Q.72C.,Q.72D.,Q.72D..1,Q.73.,Q.74.,Q.75.,Q.76A.,Q.76B.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.83A.,Q.83B.,Q.83C.,Q.84A.,Q.84B.,Q.84C.,Q.84C..1,V.85.,V.86.,V.87.,V.88.,V.89.
1,87,14,2,9,1,1,1,1,1,4,7,7,8,6,4,1,1,1,2,1,2,2,2,3,1,1,1,0,0,0,0,4,0,1,1,1,1,1,3,2,1,2,1,1,1,1,1,3,4,0,1,3,5,5,5,1,3,4,2,1,2,2,3,3,2,87,14,1,5,4,0,0,0,0,5,2,1,1,1,1,4,1,3,1,2,4,1,2,1,1,3,1,1,1,2,5,0,2,0,4,3,2,67
1,87,15,2,2,1,1,1,2,1,4,7,7,5,6,6,5,1,3,1,2,1,3,1,1,1,2,2,1,7,4,6,1,0,2,3,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,2,2,0,1,1,2,1,2,2,87,15,2,3,0,1,1,3,0,5,10,1,1,2,1,3,2,2,2,1,3,2,4,4,3,4,0,0,0,0,0,0,0,0,4,3,2,39
1,87,16,2,3,5,2,2,1,1,4,7,7,2,10,4,1,1,2,3,1,2,3,2,0,5,2,2,1,7,4,2,2,4,1,1,1,1,2,3,2,2,1,1,1,1,1,1,1,3,4,4,3,4,5,5,1,3,4,3,1,1,1,1,1,2,87,16,4,4,0,1,1,1,1,3,5,2,2,2,2,5,4,2,1,2,4,2,1,1,1,2,1,3,1,3,5,7,3,0,2,3,2,4
1,87,17,2,1,1,1,1,4,1,4,7,7,1,10,9,7,1,1,3,1,2,1,1,2,1,1,1,1,7,1,4,1,0,2,1,4,2,2,2,2,1,3,2,3,2,2,2,1,2,1,1,2,5,5,5,0,1,1,3,1,1,1,1,1,2,87,17,2,4,4,2,2,1,2,3,11,1,1,1,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,74
1,87,18,2,10,4,2,3,5,1,4,11,11,0,8,5,6,2,2,3,2,2,3,2,3,2,2,2,3,9,4,1,3,4,2,3,3,3,3,2,2,2,2,3,3,4,2,2,1,2,2,2,1,1,2,3,3,3,3,2,2,2,1,1,1,2,87,18,2,5,1,1,1,3,3,3,8,1,1,1,1,4,1,5,2,2,3,3,4,2,2,5,1,3,1,3,6,7,3,7,4,9,2,66
1,87,19,2,3,4,2,2,5,1,4,2,2,7,9,1,10,1,2,2,1,3,1,2,2,3,2,2,1,2,1,6,2,4,2,2,2,3,1,3,3,3,1,2,2,2,3,2,3,4,3,4,3,5,5,5,5,3,3,4,1,1,1,2,2,2,87,19,1,4,1,1,4,2,2,3,7,2,2,2,2,5,4,2,2,2,3,1,1,2,2,2,1,3,1,2,5,11,3,0,4,2,4,31
1,87,20,2,3,1,1,3,2,1,4,2,9,10,6,4,10,2,2,1,2,1,3,2,2,2,2,2,1,9,4,2,1,2,1,2,2,2,5,3,3,2,2,2,1,3,2,1,2,1,1,4,3,5,4,2,5,3,4,3,1,1,1,2,1,2,87,20,2,4,2,2,1,2,2,2,4,1,2,2,1,2,1,3,1,2,5,2,6,2,2,2,1,3,1,2,3,6,3,0,4,6,1,9
1,87,21,2,10,4,2,3,5,1,4,2,13,3,2,4,8,2,3,1,2,1,4,2,3,4,2,5,3,0,2,6,2,4,1,1,3,3,4,3,3,3,3,1,2,2,1,2,2,4,8,2,1,2,5,5,4,4,4,1,2,1,1,1,1,2,87,21,1,5,6,1,4,4,5,1,13,1,0,1,1,3,2,2,2,3,3,4,4,2,2,2,1,1,1,1,5,11,3,7,6,6,1,57
1,87,22,2,2,5,2,3,5,1,4,14,0,7,8,9,1,1,2,3,2,3,2,2,2,1,1,1,1,14,4,4,2,4,2,2,3,1,1,3,2,1,3,2,2,2,2,2,1,2,1,4,3,5,5,5,2,2,4,3,1,2,2,2,1,2,87,22,4,4,1,1,2,1,2,3,3,2,2,2,2,5,2,2,1,3,4,1,1,2,2,4,0,0,0,0,0,0,0,4,3,6,2,6
1,87,23,2,1,1,1,1,5,1,4,5,9,8,9,4,13,2,4,1,2,2,4,3,2,3,1,2,2,9,4,0,3,4,1,4,3,1,3,3,1,2,3,2,2,2,2,2,0,4,2,3,1,2,5,5,5,3,4,4,2,2,1,1,2,2,87,23,2,3,2,1,1,1,2,3,2,1,2,2,1,2,1,3,1,3,3,5,2,2,4,2,1,1,1,5,6,7,3,8,3,6,2,10
1,87,24,2,3,4,3,3,5,1,4,1,9,6,3,1,8,2,2,1,2,3,2,3,2,1,2,2,1,3,0,1,1,2,1,2,2,3,1,3,2,2,1,1,1,2,1,1,1,2,3,4,3,2,5,3,3,3,3,1,2,1,1,1,1,2,87,24,1,4,3,2,4,1,1,3,5,1,1,2,1,3,1,1,1,2,3,2,1,1,2,2,1,3,1,3,6,10,5,7,2,2,7,11
1,87,25,1,2,1,1,1,7,1,4,5,4,2,1,3,1,3,5,1,2,2,3,1,3,1,2,2,2,4,4,2,3,2,2,3,2,2,2,1,2,2,4,1,1,2,2,2,1,2,2,4,2,3,3,2,1,2,3,1,2,2,1,1,2,2,87,25,2,2,4,2,2,1,2,3,1,1,1,1,1,4,1,1,1,2,3,5,1,2,1,3,1,3,1,3,7,11,3,8,3,6,8,6
1,87,26,1,4,1,1,1,8,2,4,7,5,8,6,1,1,2,4,1,2,2,3,1,1,2,2,2,3,4,4,3,1,4,2,3,2,1,2,2,2,2,4,1,1,2,2,2,2,1,6,4,3,1,3,2,2,1,2,2,2,2,1,1,1,2,87,26,2,2,5,3,4,1,2,3,0,1,1,1,1,4,1,2,1,3,4,2,1,2,1,5,1,3,1,3,9,11,3,7,3,3,1,7
1,87,27,1,5,1,1,1,8,2,4,7,7,8,3,1,13,2,2,3,2,3,2,1,2,2,3,2,2,7,2,6,2,3,2,2,1,2,3,3,2,1,4,1,2,1,1,2,2,4,9,4,1,2,3,2,2,3,4,3,2,2,1,1,1,2,87,27,2,1,5,3,4,1,1,3,4,1,1,2,2,2,2,1,2,2,3,6,1,1,2,5,1,3,1,2,10,11,5,7,2,7,1,33
1,87,28,1,5,1,1,1,8,2,4,7,9,8,6,0,0,2,4,1,2,2,2,2,2,2,2,2,3,4,4,3,3,2,1,3,3,1,2,1,1,1,3,1,1,1,1,2,1,2,2,4,3,1,2,1,1,3,4,4,2,2,1,1,1,2,87,28,2,1,5,3,3,1,3,3,7,1,1,1,1,4,2,3,1,2,4,2,2,2,2,5,1,3,1,7,9,12,3,7,4,3,1,64
1,87,29,1,4,1,1,1,5,1,4,0,6,1,7,9,5,2,5,3,2,1,3,2,2,1,1,1,4,6,4,1,3,4,3,3,4,3,4,3,2,3,3,1,1,1,1,2,1,4,10,3,1,3,4,4,5,3,3,4,2,1,1,2,2,2,87,29,1,4,4,2,1,1,1,4,10,1,1,2,1,3,2,4,1,2,3,5,4,2,1,2,3,3,1,6,7,0,2,6,1,5,1,34
1,87,30,3,4,1,1,1,7,1,4,7,10,8,9,4,10,1,2,1,1,2,2,2,2,2,2,2,4,4,4,2,1,4,2,3,3,3,2,2,1,2,3,2,1,2,1,1,2,3,10,3,1,4,3,2,3,3,1,2,2,2,1,2,1,2,87,30,2,4,1,2,1,1,2,3,5,1,1,1,1,4,1,2,2,2,3,2,1,2,2,6,1,3,1,5,9,11,3,8,3,3,1,92
1,87,31,3,5,4,3,3,7,2,4,7,7,10,5,4,8,1,2,3,2,2,3,2,1,3,3,2,2,4,4,3,3,2,1,2,3,3,4,2,1,2,3,2,1,1,2,2,2,1,3,4,3,2,3,2,3,3,1,3,2,2,2,2,2,2,87,31,3,4,4,2,2,1,2,3,7,1,1,1,1,4,2,5,2,2,4,6,5,2,4,7,1,3,1,1,4,11,3,0,3,7,2,30
1,87,32,3,5,1,1,1,7,2,4,7,11,8,6,4,1,1,4,1,2,2,2,3,2,2,2,1,2,1,4,1,2,3,2,4,2,1,2,1,1,1,2,2,3,3,3,2,2,2,3,3,3,3,3,2,3,1,1,3,2,2,1,1,2,2,87,32,3,3,5,3,3,1,3,3,7,1,1,1,2,3,2,4,2,2,3,6,4,3,4,5,1,2,3,3,6,9,4,8,4,7,1,4
1,87,33,3,5,4,2,3,7,2,4,7,7,10,1,4,5,1,1,2,1,2,1,1,2,1,1,1,1,7,4,1,3,3,1,1,3,2,2,2,1,1,3,1,1,1,1,2,1,1,2,3,3,1,3,2,2,3,1,3,2,2,1,1,2,2,87,33,2,4,4,2,4,1,2,3,10,1,1,1,1,4,1,4,1,2,4,6,2,1,2,5,1,3,1,1,4,9,3,8,3,3,2,22
1,87,34,3,6,5,2,3,7,2,4,7,1,8,6,3,1,2,3,3,2,1,2,3,1,2,2,2,4,4,4,6,2,2,2,3,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,1,3,3,3,3,3,2,2,2,2,1,1,1,2,87,34,2,1,1,1,1,1,2,3,4,1,1,1,1,4,2,3,2,3,3,6,2,2,2,2,1,3,1,3,7,9,3,7,3,7,2,4
1,87,35,3,9,2,1,1,7,1,4,2,5,8,9,4,10,2,5,1,2,2,3,2,3,3,2,2,3,9,4,6,1,3,1,3,4,3,2,3,2,2,3,2,2,2,2,1,2,3,5,3,1,3,4,3,3,3,3,4,2,1,2,2,2,2,87,35,1,5,1,1,2,3,4,1,8,1,1,2,1,3,2,2,1,1,2,5,2,1,2,6,1,3,1,3,7,11,3,5,5,2,3,5
1,87,36,3,9,1,1,1,8,2,4,7,3,8,8,1,1,1,2,1,2,2,2,1,3,1,2,2,2,9,4,2,3,4,1,3,1,2,2,2,1,1,2,1,1,2,2,1,2,4,10,4,2,1,2,2,2,3,3,3,2,2,1,1,1,2,87,36,2,5,4,2,1,2,2,2,4,1,2,1,1,3,2,3,1,2,4,6,3,1,1,5,1,3,1,3,7,11,3,7,4,3,3,6
1,87,37,3,4,1,1,1,4,1,4,7,10,7,9,4,1,2,2,1,2,2,3,2,2,2,2,2,1,9,4,2,1,1,1,2,2,3,1,2,2,2,3,2,1,2,2,2,1,1,1,4,2,1,2,2,1,1,1,3,2,2,1,1,1,2,87,37,2,4,1,1,1,1,1,3,5,1,0,1,1,3,1,3,1,2,3,4,3,2,2,2,1,1,1,2,5,11,3,7,2,3,2,50
1,87,38,6,7,4,2,0,2,1,4,4,13,8,10,4,10,1,5,1,2,4,4,2,1,3,2,2,3,9,4,6,3,4,2,3,1,3,2,1,1,3,3,2,1,1,3,1,2,3,2,4,1,2,4,2,2,1,1,3,2,1,2,2,1,2,87,38,4,5,1,1,1,1,1,3,3,2,1,1,2,2,1,1,1,2,4,1,1,1,1,5,1,1,1,2,11,0,2,0,2,2,1,33
1,87,39,6,4,4,2,3,4,1,4,4,9,10,2,1,8,2,3,1,2,3,3,2,1,3,2,2,3,9,4,2,3,4,2,3,3,3,3,2,2,2,2,2,1,2,2,1,3,4,2,3,1,2,4,1,3,3,4,4,2,2,1,1,1,2,87,39,2,5,2,1,4,4,5,1,13,2,1,1,1,3,2,2,1,2,3,4,2,1,2,2,1,3,1,4,6,10,3,7,6,6,8,35
1,87,40,6,6,4,3,3,5,1,4,4,9,10,7,4,8,2,4,1,2,1,2,1,2,2,2,2,2,4,4,2,3,2,1,1,3,2,3,1,2,2,3,2,2,2,2,1,3,4,7,2,3,5,5,5,2,2,2,4,2,2,1,1,1,2,87,40,2,5,1,1,1,1,3,5,10,2,1,1,1,3,2,2,1,2,3,5,2,2,3,2,1,3,1,10,0,0,1,7,4,6,8,31
1,87,41,6,11,4,2,3,5,1,4,4,13,12,7,4,1,3,5,1,2,2,4,2,2,2,2,2,3,8,4,6,1,2,1,1,4,1,3,2,3,3,3,1,1,2,2,2,3,3,5,4,1,1,3,3,3,3,2,2,2,2,1,1,1,2,87,41,2,5,1,2,2,1,2,3,5,0,1,0,1,2,2,2,2,2,3,4,2,1,2,6,1,3,1,5,6,11,3,7,3,6,7,28
1,87,42,2,2,1,1,1,6,1,4,9,9,8,1,4,8,1,2,1,1,4,1,1,2,2,1,2,1,9,4,2,1,2,1,1,3,2,2,1,1,1,4,1,1,1,1,1,1,2,1,4,1,1,5,2,1,1,1,3,1,2,1,1,1,2,87,42,2,1,1,1,1,1,1,3,11,1,1,1,1,4,1,4,1,3,4,4,4,2,3,5,1,3,1,2,5,6,3,4,2,9,1,39
1,87,43,2,4,1,1,1,6,2,4,9,9,7,3,4,8,2,4,1,2,2,5,2,2,1,1,1,2,5,4,2,3,4,2,3,1,3,3,2,2,2,2,1,1,2,1,1,1,3,3,2,3,2,2,2,2,3,1,2,2,2,1,1,1,2,87,43,4,4,3,1,1,2,4,3,4,2,2,2,2,5,4,4,2,2,1,2,2,1,2,5,1,3,1,1,4,10,3,0,4,4,1,26
1,87,44,2,2,1,1,1,6,1,4,9,9,10,1,5,10,1,2,2,1,3,2,1,2,2,2,2,2,4,4,6,1,2,1,2,3,4,2,2,2,2,3,3,2,3,2,1,1,2,2,3,1,1,3,2,2,2,1,3,2,1,1,1,1,2,87,44,1,2,6,2,1,2,3,2,9,1,1,0,1,3,2,4,2,2,4,5,4,2,3,5,1,3,1,1,6,9,3,7,4,5,1,41
1,87,45,2,2,1,1,1,6,1,4,9,9,10,7,4,3,1,1,2,1,2,2,2,2,1,1,1,1,4,4,4,1,4,2,2,2,3,2,1,2,2,1,2,1,2,2,2,3,2,3,2,2,2,3,3,2,3,3,4,2,1,1,1,2,2,87,45,1,3,4,2,2,3,1,3,4,2,1,2,2,1,2,3,2,1,1,3,4,3,5,5,1,3,1,2,5,7,3,7,3,9,4,51
1,87,46,2,3,1,1,1,6,1,4,9,9,10,7,1,5,2,2,1,3,3,3,1,2,2,1,2,1,5,4,6,1,2,2,1,2,1,1,3,1,2,3,2,1,2,2,2,2,2,2,4,3,1,2,2,2,3,3,3,2,1,2,1,1,2,87,46,1,2,1,1,2,1,2,3,1,0,0,0,1,1,2,3,2,3,4,6,3,2,3,3,1,3,1,2,5,8,3,0,3,9,4,41
1,87,47,2,2,1,1,1,6,1,4,9,9,1,9,4,1,1,2,1,2,3,3,3,2,2,2,1,3,9,4,3,1,4,1,3,3,2,2,2,2,2,3,1,1,2,1,1,1,1,1,4,1,1,4,4,1,3,4,3,2,2,1,2,1,2,87,47,2,2,4,2,2,2,2,3,4,1,1,1,1,4,1,2,2,2,3,6,2,1,2,2,1,2,1,3,9,11,3,8,4,5,1,97
1,87,48,2,2,1,1,1,6,1,4,9,4,1,2,1,3,2,4,1,2,3,4,1,3,3,5,5,2,4,4,6,1,2,3,3,2,2,3,2,1,1,3,1,1,4,2,3,1,2,1,4,1,2,4,2,3,3,2,1,2,2,1,2,2,2,87,48,2,2,4,2,2,1,1,3,1,1,1,1,1,4,4,1,1,3,4,4,2,3,3,6,3,3,1,3,6,7,3,8,2,9,3,90
1,87,49,2,5,1,1,1,6,2,4,9,9,7,8,3,13,1,1,1,1,3,1,1,2,1,1,2,1,9,4,2,1,2,1,1,2,2,2,1,1,1,3,1,1,1,1,1,1,2,1,4,2,2,3,1,2,1,3,2,2,2,1,2,1,2,87,49,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,1,86
1,87,50,2,2,1,1,1,6,1,4,9,9,10,9,8,1,1,1,2,2,1,3,1,2,1,1,1,1,1,2,0,1,1,2,3,2,3,4,1,1,1,3,1,1,1,2,2,1,1,2,1,1,1,4,3,4,3,3,1,2,2,1,1,2,2,87,50,2,2,1,1,1,1,2,3,3,1,1,0,0,2,2,3,2,3,4,5,2,2,3,5,1,3,1,3,5,7,3,8,3,9,3,84
1,87,51,2,4,1,1,1,6,1,4,9,9,7,6,4,5,1,3,1,2,1,3,1,1,3,5,5,1,9,4,6,1,4,1,3,2,3,2,1,1,1,3,1,1,2,1,2,1,1,1,4,1,2,3,2,3,3,1,2,2,2,1,1,2,2,87,51,3,4,4,2,2,1,1,3,2,2,1,1,1,3,1,3,1,2,4,6,3,1,2,5,1,3,1,5,0,0,1,8,2,5,1,52
1,87,52,2,4,1,1,1,6,1,4,9,9,10,9,6,1,3,2,3,1,2,2,3,3,2,2,2,1,9,4,2,2,2,2,3,1,3,3,2,2,2,1,2,2,1,1,1,1,2,1,1,3,4,3,2,2,3,3,3,2,2,1,1,2,2,87,52,2,4,1,1,1,1,1,3,9,2,1,1,1,3,2,2,1,3,4,6,2,1,2,4,1,3,1,2,3,5,3,8,2,5,1,96
1,87,53,2,9,4,2,3,6,1,4,9,9,10,8,4,10,2,2,2,3,2,3,3,2,2,2,3,2,9,4,2,1,2,2,2,3,3,5,3,2,2,3,2,2,2,2,2,3,2,3,4,3,1,5,1,2,3,2,2,2,2,1,1,1,2,87,53,2,5,1,1,1,4,3,2,3,2,2,2,2,5,4,4,2,2,4,4,4,3,3,6,1,1,1,2,3,6,3,7,4,9,2,52
1,87,54,2,9,1,1,1,6,1,4,9,9,8,1,0,10,1,3,3,3,2,2,3,2,2,1,1,1,9,4,6,2,4,1,1,3,2,1,2,2,2,3,1,1,1,1,2,3,2,3,4,2,2,2,2,2,2,2,3,2,2,1,1,1,2,87,54,2,4,4,2,2,2,1,3,7,2,2,2,1,1,2,2,1,2,4,5,3,2,2,2,1,3,1,2,5,6,3,7,3,5,1,13
1,87,55,2,3,1,1,1,6,1,4,9,9,3,8,1,2,3,3,3,1,1,3,2,2,1,1,1,3,9,4,1,1,2,3,2,3,3,3,2,2,2,1,2,1,3,3,2,0,3,9,3,2,2,4,3,3,1,2,2,2,2,1,1,1,2,87,55,2,3,6,2,2,2,3,2,5,2,2,2,2,5,4,4,2,2,5,6,4,3,3,5,1,3,2,7,9,11,3,7,4,5,1,82
1,87,56,2,3,1,1,1,6,1,4,9,9,2,9,0,10,1,1,2,1,2,1,1,2,1,2,2,1,1,2,6,3,2,2,2,1,2,2,1,2,2,3,1,1,1,2,1,1,4,2,3,3,5,3,5,3,3,2,4,2,2,2,2,2,2,87,56,4,3,5,1,1,3,2,3,11,2,1,1,2,2,1,3,1,2,4,6,3,2,2,5,1,3,1,1,2,8,3,0,4,5,1,27
1,87,57,2,2,1,1,1,6,1,4,9,8,12,2,1,8,1,3,3,3,2,2,1,2,2,2,1,2,9,4,2,1,2,2,2,3,4,2,2,1,2,3,1,2,2,2,2,2,2,2,3,3,2,3,2,2,1,1,3,2,2,1,2,2,2,87,57,2,4,4,2,4,1,2,3,1,1,1,1,1,4,1,3,1,3,4,5,4,2,3,6,1,3,1,2,3,11,3,8,3,5,2,6
1,87,58,2,2,1,1,1,7,1,4,9,5,8,9,6,1,2,5,1,2,2,4,2,2,2,2,2,2,9,4,2,1,2,1,3,3,4,3,3,3,2,2,2,1,1,1,1,2,2,1,4,3,1,2,2,2,3,4,3,2,2,1,1,1,2,87,58,2,1,5,3,3,1,3,2,1,1,1,1,2,3,1,4,1,3,4,3,3,2,2,4,1,3,1,3,9,10,3,7,4,9,4,73
1,87,59,2,1,1,1,1,7,1,4,9,9,7,4,3,11,2,4,1,2,2,3,1,2,3,3,1,1,4,4,3,1,2,3,3,2,2,2,1,1,1,3,1,1,2,1,1,1,2,1,4,1,1,3,2,2,3,3,3,2,2,1,1,2,2,87,59,2,1,4,2,2,1,2,3,7,2,2,2,2,5,4,3,1,3,4,3,3,3,3,6,1,3,1,3,7,11,3,8,3,9,1,98
1,87,60,2,2,1,1,1,7,1,4,9,9,9,6,4,1,2,2,1,2,2,2,1,2,2,1,1,1,9,4,2,1,1,2,2,3,3,3,1,1,1,3,2,2,2,2,1,1,1,1,4,2,2,3,2,2,3,3,2,2,2,1,1,2,2,87,60,2,1,5,3,3,1,2,3,6,2,2,1,2,1,2,3,2,1,1,3,4,2,3,2,1,3,1,1,6,7,3,8,3,9,3,63
1,87,61,2,6,1,1,1,7,2,4,9,9,6,1,4,1,2,4,1,3,2,4,3,2,2,2,1,3,9,4,6,1,1,2,4,2,3,3,2,3,3,3,1,1,1,1,2,1,4,10,4,1,2,2,3,3,3,3,1,2,2,1,1,2,2,87,61,3,2,5,2,2,1,2,2,1,2,2,2,2,5,4,6,3,3,4,6,2,3,3,7,3,3,1,1,3,9,3,8,4,4,1,85
