CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12A.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60A.,Q.60B.,Q.60C.,Q.60D.,Q.60E.,CARD..1,DECK..1,BALLOT..1,Q.61.,Q.62.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.71.,Q.72A.,Q.72B.,Q.72C.,Q.72D.,Q.72D..1,Q.73.,Q.74.,Q.75.,Q.76A.,Q.76B.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.83A.,Q.83B.,Q.83C.,Q.84A.,Q.84B.,Q.84C.,Q.84C..1,V.85.,V.86.,V.87.,V.88.,V.89.
1,87,1,1,3,1,1,1,6,1,4,5,5,2,3,4,5,1,1,2,2,1,1,2,1,1,1,2,2,5,4,0,3,1,1,3,2,3,3,1,2,2,3,0,1,1,1,1,1,1,1,4,1,1,3,2,1,3,3,3,2,2,3,1,2,2,87,1,2,3,1,1,1,4,5,1,13,1,1,1,1,4,1,1,1,2,3,5,1,1,1,2,1,3,1,5,6,10,3,0,6,6,8,50
1,87,2,1,4,5,2,3,7,2,4,7,9,12,3,1,10,1,2,1,3,2,2,1,2,1,2,1,3,1,4,6,2,4,2,2,2,1,2,1,2,2,3,2,2,1,2,1,2,2,2,1,1,2,3,2,2,3,2,3,2,2,1,1,1,2,87,2,2,3,1,1,1,1,2,3,7,1,1,1,0,3,2,4,1,4,3,2,2,2,3,5,1,3,1,3,7,10,3,7,3,3,1,61
1,87,3,1,4,1,1,1,7,2,4,7,0,8,6,5,10,2,4,1,2,1,3,0,1,3,2,2,3,9,4,3,1,2,4,3,1,3,3,0,3,2,1,2,2,1,1,3,2,4,3,4,2,1,2,2,2,3,2,4,2,2,1,1,1,2,87,3,2,1,6,3,3,4,5,1,13,1,1,2,2,2,2,3,1,4,5,5,3,3,2,6,1,3,1,5,7,8,3,7,6,3,3,51
1,87,4,1,9,4,5,3,7,2,4,1,9,7,1,4,1,1,4,1,2,3,3,3,2,3,2,2,2,9,4,1,3,4,2,2,2,2,2,1,1,1,3,1,1,1,1,2,3,2,3,4,3,2,3,2,2,2,1,3,2,2,1,1,1,2,87,4,2,4,1,1,1,3,4,2,13,1,1,1,2,3,1,3,1,2,4,3,2,2,2,5,1,3,1,3,7,9,3,7,5,6,3,24
1,87,5,1,2,1,1,1,7,2,4,7,9,7,3,5,5,2,2,2,1,1,3,2,2,3,3,3,2,1,2,3,2,4,3,3,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,1,2,2,2,3,2,3,2,2,1,2,2,2,87,5,2,2,5,1,4,1,2,3,2,1,1,1,1,4,1,1,1,2,3,2,2,2,2,6,1,3,1,1,3,6,3,8,3,3,3,58
1,87,6,1,3,1,1,1,7,2,4,7,7,9,3,4,12,2,4,1,2,2,3,2,1,2,2,2,2,7,4,2,1,3,1,3,3,1,2,2,1,2,1,1,1,1,1,1,3,2,4,1,1,3,3,2,4,3,3,1,2,1,1,2,2,2,87,6,4,1,6,0,4,1,1,3,1,1,1,1,1,4,1,1,1,2,4,6,1,1,1,5,1,3,1,4,8,9,3,0,2,7,2,66
1,87,7,1,8,1,1,1,7,2,4,7,3,12,6,4,1,2,3,1,2,1,4,2,1,4,2,2,2,4,4,6,3,2,2,3,1,3,4,3,3,2,4,1,1,1,3,1,3,2,3,2,1,1,1,1,2,3,4,3,1,2,1,1,1,2,87,7,2,4,0,2,2,3,4,3,13,1,1,1,1,4,0,1,1,0,3,5,1,1,1,5,1,3,1,5,0,0,1,4,5,3,2,85
1,87,8,1,2,1,1,1,7,1,4,2,9,10,2,4,5,1,2,1,3,1,2,1,2,2,2,2,2,9,4,2,3,2,1,1,3,3,2,1,2,2,3,1,1,1,2,2,1,2,3,4,3,1,4,3,1,3,4,1,1,2,1,1,1,2,87,8,3,1,5,3,4,1,1,3,1,1,1,1,1,4,1,2,2,2,4,5,1,2,2,6,1,3,1,1,2,6,3,4,2,2,4,28
1,87,9,2,10,4,2,3,5,1,4,0,9,7,8,4,10,2,4,1,2,1,4,3,2,1,2,2,2,9,4,2,1,2,1,4,3,3,2,2,2,2,3,1,1,1,2,1,1,2,3,3,3,2,5,3,5,2,4,3,2,1,1,1,2,2,87,9,1,5,1,1,1,3,3,2,13,2,2,2,2,5,4,4,2,2,4,3,4,3,4,2,1,3,1,4,7,11,3,7,4,5,1,22
1,87,10,2,3,1,1,1,5,1,4,5,1,7,5,6,1,3,5,1,2,1,3,2,1,3,2,2,2,1,4,2,2,4,2,4,1,2,2,1,1,1,4,1,1,2,1,1,1,2,1,4,3,5,4,5,5,1,4,4,2,1,1,2,1,2,87,10,4,3,2,2,2,4,3,2,0,2,2,2,2,5,4,4,1,1,0,6,0,3,0,0,3,0,0,0,0,0,0,0,4,5,2,33
1,87,11,2,2,1,1,1,5,1,4,11,10,1,9,6,1,1,2,2,2,2,2,1,2,1,2,2,2,4,4,2,1,2,2,2,4,3,4,1,1,1,4,1,1,2,2,2,1,2,2,4,3,5,5,5,2,4,1,3,2,1,1,2,1,2,87,11,4,2,4,2,4,2,2,3,2,2,1,1,2,2,2,5,2,2,3,6,4,3,4,2,1,3,1,5,7,11,3,0,4,9,1,8
1,87,12,2,3,1,1,1,4,1,4,11,9,12,7,4,1,2,3,1,2,2,3,3,2,3,2,2,2,4,4,3,1,2,2,2,3,3,2,1,2,2,3,2,2,2,2,2,3,2,10,4,1,5,4,5,5,3,3,4,2,1,1,2,2,2,87,12,1,4,4,2,2,2,3,2,7,1,1,1,1,4,2,5,2,2,4,5,5,3,3,2,1,3,1,2,5,9,3,6,4,9,1,64
1,87,13,2,9,1,1,1,5,1,4,11,4,2,9,0,2,2,3,1,2,1,3,1,3,1,1,2,3,4,4,0,3,3,3,4,2,3,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,4,4,4,3,3,4,2,1,1,2,1,2,87,13,1,5,1,1,1,1,1,3,3,1,1,1,1,4,2,1,2,3,5,5,1,1,1,6,1,3,1,2,3,5,5,6,2,9,1,43
