CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.8.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.24.,Q.25.,Q.26.,Q.27.,Q.29.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.57.,Q.58.,Q.59.,V.62.,V.63.,V.64.,V.65.,V.66.,V.67.
1,196,11,1,1,3,3,2,3,1,2,2,0,0,5,4,0,10,4,1,1,2,1,5,2,1,2,1,1,1,2,3,1,4,10,2,2,4,4,3,1,1,3,1,0,1,3,1,2,2,1,5,1,3,2,2,3,5,45
1,196,12,1,2,3,1,2,4,2,2,2,4,4,4,4,1,10,5,4,1,3,1,4,2,1,1,1,1,5,2,2,1,5,11,1,2,4,1,3,1,1,2,3,5,3,1,1,1,1,1,4,1,3,2,2,3,4,4
1,196,13,1,3,3,1,2,4,2,1,1,4,4,2,4,4,10,3,2,2,4,1,4,2,1,2,1,1,1,2,3,2,4,10,1,1,4,2,3,1,1,3,3,4,3,3,1,1,1,0,5,0,3,2,2,3,4,68
1,196,14,1,3,3,2,2,5,2,2,2,3,4,1,4,4,10,3,4,3,3,1,5,1,1,1,0,2,4,1,1,1,4,2,2,2,4,3,3,2,1,2,3,3,3,4,3,0,0,0,5,1,3,2,2,3,4,58
1,196,15,1,3,2,1,2,4,2,1,1,3,2,3,4,3,10,4,2,2,3,1,5,2,1,1,2,1,3,2,1,3,4,2,2,2,4,2,3,1,1,2,3,5,3,5,1,2,1,2,2,1,3,2,2,3,3,23
1,196,16,2,3,3,0,3,2,2,2,1,1,2,2,2,4,0,2,2,1,1,1,5,2,1,2,1,1,1,2,3,1,4,2,2,0,4,1,3,1,1,2,1,5,1,1,1,2,1,1,1,2,3,2,2,3,5,52
1,196,17,1,3,3,1,3,4,1,2,2,4,4,4,4,3,10,4,4,4,4,1,7,2,1,2,1,2,2,2,1,1,6,2,2,2,4,2,3,1,1,3,1,1,1,1,3,2,1,1,1,1,3,2,2,3,3,52
1,196,18,1,1,3,1,1,1,2,1,2,2,1,1,1,1,10,1,1,2,4,1,5,1,1,2,1,1,1,2,1,1,6,11,2,2,2,1,3,1,1,0,1,1,3,5,1,1,1,1,4,1,3,1,2,3,9,3
1,196,19,1,1,3,1,2,2,2,1,1,0,0,1,2,0,0,3,1,1,2,1,5,2,1,1,2,0,0,4,0,1,4,0,0,2,4,0,0,0,0,0,0,0,0,3,1,0,1,0,5,1,3,2,2,3,6,6
1,196,20,1,3,3,1,2,3,2,1,1,2,2,2,3,2,0,3,2,2,2,1,8,1,1,2,2,1,2,2,3,2,4,0,1,1,4,0,0,0,0,0,0,0,0,0,2,2,2,4,2,1,3,2,2,3,8,5
1,196,21,1,3,3,1,2,3,2,2,2,3,4,4,3,2,10,3,4,2,4,1,8,2,1,1,1,2,4,1,1,2,4,3,2,2,2,0,0,0,0,2,3,3,2,5,2,2,1,1,4,1,3,1,2,3,5,39
1,196,22,2,2,3,3,3,2,1,1,2,4,2,2,4,4,1,2,3,1,2,1,4,2,1,1,1,1,2,2,2,2,4,2,2,2,2,3,1,2,0,3,2,4,2,3,1,1,1,1,2,1,3,2,2,3,7,52
1,196,23,1,1,3,1,3,2,2,2,2,4,0,2,3,0,10,2,2,2,0,1,6,1,1,0,0,0,0,1,2,4,4,0,1,2,0,2,2,0,0,0,0,0,0,0,2,2,0,0,5,1,3,2,2,3,8,6
1,196,24,2,5,4,1,2,3,2,1,2,3,4,4,4,2,1,3,2,2,3,2,4,2,2,2,2,2,3,2,2,1,4,11,2,2,2,2,1,1,3,1,2,3,3,3,2,1,2,1,3,1,3,2,2,3,9,46
