CARD.,DECK.,BALLOT.,Q.0.,Q.1.,Q.2.,Q.3.,Q.4A.,Q.5.,Q.6A.,Q.6B.,Q.7A.,Q.7B.,Q.8A.,Q.8B.,Q.9A.,Q.9B.,Q.10A.,Q.10B.,Q.11A.,Q.11B.,Q.12A.,Q.12B.,Q.13A.,Q.13B.,Q.14A.,Q.14B.,Q.15A.,Q.15B.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19A.,Q.19B.,Q.20.,Q.21A.,Q.21B.,Q.22A.,Q.22B.,Q.23A.,Q.23B.,Q.24A.,Q.24B.,Q.25A.,Q.25B.,Q.26A.,Q.26B.,Q.27A.,Q.27B.,Q.28A.,Q.28B.,Q.29A.,Q.29B.,Q.30A.,Q.30B.,Q.31A.,Q.31B.,Q.32A.,Q.32B.,Q.33A.,Q.33B.,Q.34A.,Q.34B.,Q.35A.,Q.35B.,Q.36A.,Q.36B.,Q.37A.,Q.37B.,Q.38A.,CARD..1,DECK..1,BALLOT..1,Q.0..1,Q.38B.,Q.39A.,Q.39B.,Q.40A.,Q.40B.,Q.41A.,Q.41B.,Q.42A.,Q.42B.,Q.43A.,Q.43B.,Q.44A.,Q.44B.,Q.45A.,Q.45B.,Q.46A.,Q.46B.,Q.47A.,Q.47B.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50A.,Q.50B.,Q.51A.,Q.51B.,Q.52A.,Q.52B.,Q.53A.,Q.53B.,Q.54A.,Q.54B.,Q.55A.,Q.55B.,Q.56A.,Q.56B.,Q.57A.,Q.57B.,Q.58A.,Q.58B.,Q.59A.,Q.59B.,Q.60A.,Q.60B.,Q.61A.,Q.61B.,Q.62A.,Q.62B.,Q.63A.,Q.63B.,Q.64A.,Q.64B.,V.65.,V.66.,V.67.,V.68.,V.69.
1,215,1,0,3,4,5,2,8,2,3,2,3,3,2,1,1,2,2,1,4,2,3,1,3,3,2,2,3,3,4,2,2,5,4,1,4,90,2,3,3,4,3,3,3,4,3,4,2,3,1,4,2,2,2,2,2,3,3,3,2,2,1,3,1,4,2,4,2,3,3,4,3,2,215,1,0,2,2,3,2,3,2,4,3,4,2,4,3,4,2,3,3,3,2,3,2,4,3,3,3,4,2,4,2,3,1,3,5,2,3,3,3,4,4,3,1,3,3,4,2,3,2,2,3,2,5,1,3,2,19,6,9,4,2
1,215,2,0,3,5,4,0,8,1,4,1,4,1,2,1,3,1,3,1,4,2,3,2,4,2,4,1,4,2,4,2,4,3,4,2,4,90,3,4,2,4,2,4,3,4,3,4,2,4,1,4,2,4,2,4,1,4,2,4,2,4,1,4,2,4,2,3,1,4,1,4,1,2,215,2,0,4,1,4,2,4,3,4,3,4,3,4,3,4,1,4,3,4,1,4,2,4,1,4,3,4,2,4,1,4,3,4,2,4,2,4,3,4,2,4,3,1,3,5,1,5,3,5,1,4,1,4,1,4,14,3,7,12,2
1,215,3,0,2,4,5,4,8,3,4,1,4,1,4,2,4,1,4,1,4,1,4,1,4,2,4,1,4,2,4,2,4,2,4,2,4,90,2,4,2,4,1,0,2,4,3,4,1,4,2,4,2,4,3,4,1,4,1,4,2,4,1,4,2,4,4,4,1,4,2,4,2,2,215,3,0,4,3,4,2,4,3,4,4,4,3,4,3,4,3,4,2,4,3,4,3,4,3,4,2,4,3,4,1,4,1,4,2,4,4,4,4,4,3,4,3,4,4,5,1,5,4,5,1,3,1,4,1,4,25,7,12,11,2
1,215,4,0,3,2,5,4,8,2,3,2,3,2,4,1,3,1,4,1,4,2,4,1,4,2,4,2,3,4,4,4,4,4,4,2,4,90,1,4,4,4,4,4,3,4,5,4,3,4,1,4,2,4,2,4,3,4,4,4,2,4,2,4,2,4,3,4,1,4,3,4,3,2,215,4,0,4,3,4,2,4,3,4,2,4,3,4,3,4,3,4,2,4,2,4,2,4,3,4,3,4,2,4,2,4,1,4,1,4,4,4,5,4,3,4,4,4,4,5,1,5,4,5,4,4,1,4,1,4,21,5,9,11,2
1,215,5,0,3,3,7,1,8,2,3,2,4,1,4,2,4,1,4,1,4,2,4,3,1,2,4,1,4,1,4,2,4,2,3,1,4,90,1,4,3,3,2,3,3,4,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,4,2,4,1,3,2,4,2,4,2,4,2,2,215,5,0,4,3,4,2,4,2,4,3,4,3,4,3,4,3,4,3,4,3,4,2,4,3,4,3,4,3,4,3,4,3,3,4,3,2,3,2,3,2,3,2,3,3,4,1,5,1,5,1,3,2,3,1,4,26,7,11,6,2
1,215,6,0,0,0,6,1,8,2,3,2,4,3,3,2,4,2,3,1,4,5,3,1,4,2,4,2,3,2,4,2,3,3,3,1,3,90,2,3,3,3,3,3,4,3,2,3,2,4,1,4,2,3,2,3,2,3,2,3,2,2,1,4,2,3,2,3,2,3,2,3,2,2,215,6,0,4,3,4,2,3,3,4,3,4,3,4,3,4,2,3,3,4,3,4,3,4,2,3,2,4,3,4,2,3,5,2,3,3,2,2,4,2,4,3,5,3,3,5,1,5,3,5,1,3,2,3,1,4,24,6,11,6,6
1,215,7,0,3,3,4,2,8,1,4,1,4,1,4,1,4,1,4,1,4,1,4,3,0,0,0,1,4,2,3,1,4,1,4,1,4,90,2,3,2,3,2,3,2,3,3,3,1,3,1,2,2,3,2,3,1,3,2,3,2,3,1,3,2,3,2,3,2,3,2,3,2,2,215,7,0,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,4,5,4,5,4,1,4,1,4,4,3,1,4,4,5,1,5,1,5,1,4,1,4,1,4,29,9,0,6,2
1,215,8,0,3,3,6,4,8,2,3,2,3,2,3,1,3,2,3,1,4,2,3,1,3,2,3,2,3,3,3,2,3,3,3,1,3,90,1,4,2,3,2,3,1,4,2,3,2,3,2,3,2,3,1,3,2,3,2,3,3,3,2,3,2,3,3,3,2,3,2,3,2,2,215,8,0,4,3,4,2,4,2,4,3,4,2,4,3,4,2,4,2,4,2,4,3,4,2,4,2,4,3,4,2,4,2,3,2,3,4,3,4,3,4,2,2,3,4,5,1,5,3,5,1,4,1,3,1,4,20,6,8,4,6
1,215,9,0,3,3,7,1,8,3,2,2,2,2,2,2,2,2,2,1,4,3,2,1,2,1,3,2,3,3,3,2,3,2,3,2,3,90,2,3,3,3,3,3,3,3,2,4,3,4,1,4,2,4,2,4,2,4,2,3,3,4,2,4,2,4,4,4,3,4,3,3,1,2,215,9,0,1,2,3,3,4,2,4,2,4,3,4,2,4,2,3,2,3,2,3,3,4,3,4,3,4,2,4,3,4,1,4,1,4,4,4,5,4,3,4,4,4,0,0,0,6,5,0,0,5,6,5,6,0,19,8,6,4,6
1,215,10,0,3,3,5,1,8,1,4,2,4,2,4,2,3,4,4,1,4,1,4,1,3,2,4,1,4,4,3,3,3,4,4,3,4,90,4,4,3,3,3,3,4,4,5,4,2,4,1,4,2,3,2,3,2,3,2,3,3,4,3,4,2,3,3,3,2,3,3,3,1,2,215,10,0,4,1,4,2,3,2,3,3,3,2,3,3,4,1,3,2,4,1,4,1,4,3,4,3,4,2,3,2,4,2,3,2,3,4,3,5,4,3,4,1,4,4,5,2,5,2,4,3,3,3,4,3,3,13,5,7,4,1
