COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122
1,232,21,2,7,7,4,9,1,4,2,2,2,5,5,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,2,1,4,3,3,3,2,,22,3200,2,1,2,2,2,2,2,1,2,1,3,3,2,2,1,2,2,2,1,1,5,1,33,0,2,1,2,2,2,2,22,1,9,1,1,3,1,3,1,2,2,2,2,2,2,2,2,12
1,232,22,1,7,7,2,2,1,4,3,3,3,5,5,2,2,2,1,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,4,4,2,4,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,1,3,3,0,0,3,1,0,1,1,1,2,,22,3200,2,2,2,2,2,2,2,1,2,3,3,1,2,2,2,1,2,2,1,0,5,2,22,0,1,1,2,2,2,2,22,0,8,1,2,3,1,3,2,2,2,2,2,2,2,1,3,11
1,232,23,1,2,7,2,2,1,4,2,2,3,4,4,2,3,1,2,1,3,2,3,2,2,2,1,2,2,2,2,1,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,3,2,0,2,2,4,1,2,2,2,,22,3200,2,3,2,2,2,2,2,1,2,2,3,3,2,2,2,2,1,2,4,1,5,2,32,1,1,2,2,2,2,2,12,0,0,1,3,4,1,3,2,2,2,2,2,2,2,1,3,11
1,232,24,2,3,7,3,9,1,3,2,3,3,4,3,2,3,1,2,1,1,3,2,1,1,2,2,1,1,2,2,2,2,2,2,2,3,3,5,5,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,1,1,0,3,1,4,4,1,3,1,,22,3200,2,4,2,2,2,1,2,2,2,3,3,1,2,2,1,2,2,2,3,1,5,3,18,1,1,2,2,2,2,2,12,0,0,1,2,3,1,3,2,1,2,2,2,2,2,2,2,12
1,232,25,2,0,0,3,4,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,5,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,3,1,4,3,2,0,1,4,4,4,4,3,2,,22,3200,2,5,2,2,2,2,2,1,0,6,3,4,2,2,2,2,1,2,4,4,6,2,38,1,1,2,2,2,2,2,12,0,0,3,3,4,3,3,1,2,2,2,2,2,2,2,1,11
1,232,26,0,0,0,0,0,0,0,0,1,3,2,2,1,3,2,3,2,2,2,2,3,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,2,4,4,4,4,2,2,,22,3200,2,6,2,2,2,2,2,1,2,1,3,3,2,2,2,2,1,2,0,1,5,3,23,0,2,1,2,2,2,2,22,1,9,3,2,3,4,3,1,2,1,2,2,2,2,2,4,13
1,232,27,2,0,0,4,10,1,4,0,0,1,0,5,0,0,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,1,3,0,0,0,2,4,0,4,0,0,2,,22,3200,2,7,2,2,2,2,2,1,4,0,5,4,2,2,2,2,1,2,0,0,5,1,18,0,0,2,2,2,2,2,21,0,0,0,0,0,4,0,2,2,2,2,2,2,2,1,0,11
1,232,28,0,0,0,0,0,0,2,2,2,3,3,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,22,3200,2,8,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,1,0,0,0,2,30,1,1,2,2,2,2,2,12,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,0,13
1,232,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,2,1,0,1,2,2,2,2,0,1,,22,3200,2,9,2,2,2,2,2,1,2,3,5,2,2,1,2,2,2,2,4,1,5,3,28,0,0,2,2,2,2,2,12,0,0,0,0,3,1,0,2,2,2,2,2,2,2,1,0,12
1,232,30,0,0,0,0,0,0,0,0,2,2,0,2,2,3,2,2,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,0,2,0,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,0,0,0,1,4,4,4,4,2,2,,22,3200,3,0,2,2,2,2,2,1,4,0,0,0,2,1,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,12,0,0,4,3,3,4,3,2,2,2,2,2,2,2,1,3,11
1,232,31,0,8,0,1,1,0,0,3,2,3,4,4,1,1,2,2,1,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,4,4,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,1,1,2,1,2,3,3,3,3,2,2,2,,22,3200,3,1,2,2,2,2,2,1,2,2,0,0,2,2,2,2,2,1,0,0,5,2,27,1,1,2,2,2,2,2,12,0,0,2,2,2,3,2,2,2,2,2,2,2,2,1,2,11
1,232,32,0,0,1,1,4,3,1,3,0,0,3,4,1,4,1,1,1,3,3,3,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,0,1,2,0,0,0,0,4,4,4,4,0,2,,22,3200,3,2,2,2,2,2,2,1,2,6,5,4,2,2,2,2,1,2,3,1,5,2,18,0,0,2,2,2,2,2,12,0,0,4,3,0,0,0,1,2,2,2,2,2,2,2,2,11
1,232,33,1,0,1,1,1,1,1,1,2,1,4,3,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,2,3,2,2,1,2,2,1,1,3,2,,22,3200,3,3,2,2,2,2,2,1,3,3,1,3,2,1,2,2,2,2,2,1,6,2,7,1,0,2,2,2,2,1,22,0,0,0,3,2,3,3,2,2,2,2,2,2,2,1,0,11
1,232,34,1,8,1,3,4,1,3,2,2,3,4,4,2,2,2,1,1,2,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,3,3,4,4,2,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,1,3,3,2,2,2,2,2,2,2,3,1,,22,3200,3,4,1,1,2,1,2,2,2,3,5,4,2,2,2,2,1,2,4,1,5,1,18,1,1,2,2,2,2,2,12,0,0,4,0,3,4,3,1,2,2,2,2,2,2,2,5,11
1,232,35,1,8,1,3,4,1,4,3,3,1,5,5,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,1,4,5,5,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,4,2,2,3,3,3,0,2,2,2,4,1,2,2,,22,3200,3,5,2,2,2,2,2,1,2,3,5,1,2,2,1,2,2,2,4,1,5,2,28,0,1,1,2,2,2,2,22,0,8,2,3,4,4,3,1,2,2,2,2,2,2,2,4,11
1,232,36,0,8,1,3,4,1,4,2,3,1,5,5,3,1,1,3,1,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,3,3,2,1,3,1,4,2,1,2,1,,22,3200,3,6,2,2,2,1,2,2,2,6,3,2,1,2,2,2,2,2,4,1,5,1,18,1,1,2,2,2,2,2,12,0,0,4,2,3,1,4,2,2,2,2,2,2,2,1,0,11
1,232,37,1,8,1,2,10,3,2,2,2,1,2,3,1,1,1,2,1,3,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,3,3,3,2,2,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,1,4,3,2,1,2,4,4,4,4,2,2,,22,3200,3,7,2,2,2,2,2,1,2,1,3,3,2,2,1,2,2,2,3,1,2,4,18,1,1,2,2,2,2,2,12,0,0,4,2,3,1,3,1,2,2,2,2,2,2,2,5,11
1,232,38,1,8,1,4,9,1,4,3,3,2,3,3,2,1,3,1,1,1,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,5,4,3,3,3,5,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,3,1,1,0,2,4,4,4,1,2,2,,22,3200,3,8,2,2,2,2,2,1,2,6,3,4,2,2,2,2,1,2,4,1,5,2,11,1,1,2,2,2,2,2,12,0,0,0,2,3,2,3,1,2,2,2,2,2,2,2,1,12
