COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71
1,135,919,1,8,0,5,8,4,1,2,6,3,6,1,2,4,4,1,3,8,2,8,6,8,1,2,3,1,2,2,3,3,3,3,1,1,10,1,10,2,3,1,5,2,3,2,1,5,8,3,1,1,3,,213,5091,9,1,3,1,1,3,2,1,1,1,2,50,90,109
1,135,920,1,5,10,10,8,3,2,1,5,1,3,2,1,4,2,1,2,8,2,8,5,9,1,2,3,3,2,4,2,1,1,2,3,10,10,10,10,3,3,2,5,3,2,3,1,5,6,1,2,1,3,,213,5092,0,1,3,3,3,1,4,1,3,4,2,50,0,209
1,135,921,1,7,8,7,8,5,2,1,13,1,6,2,2,4,2,1,2,8,2,2,5,8,1,2,3,1,2,2,1,1,1,2,2,1,10,1,10,3,3,1,5,2,3,3,1,5,6,1,2,1,3,,213,5092,1,1,3,1,1,1,5,1,3,1,2,51,10,209
1,135,922,1,7,9,3,8,9,2,1,5,1,3,2,1,8,6,1,2,9,1,8,2,5,1,1,2,2,2,4,2,1,0,3,2,1,10,1,10,2,3,2,5,3,4,5,1,5,6,2,1,3,3,,213,5092,2,1,3,1,1,3,5,3,3,4,2,50,21,104
1,135,923,1,7,9,3,8,3,2,2,4,11,2,1,1,2,2,1,2,8,3,2,2,4,1,2,2,1,2,2,2,2,1,2,1,1,10,10,10,2,3,2,5,1,2,3,1,5,6,1,2,1,2,,213,5092,3,1,3,1,1,1,3,2,2,3,2,50,21,102
1,135,924,1,5,9,5,8,4,2,1,8,11,4,1,1,1,1,1,1,8,3,11,5,9,1,1,3,3,2,4,1,2,1,3,1,1,10,1,10,3,3,1,5,2,3,4,1,5,5,1,1,1,3,,213,5092,4,1,3,1,2,3,3,1,1,1,2,51,1,108
1,135,925,1,12,9,5,8,7,2,2,8,11,4,1,2,1,1,1,3,4,5,6,6,10,1,4,3,3,2,1,1,3,2,2,1,1,10,1,10,3,3,2,5,1,3,4,1,5,5,2,2,3,3,,213,5092,5,1,1,1,3,3,5,3,2,3,2,51,1,108
1,135,926,1,0,9,3,8,3,3,3,5,11,3,1,3,2,3,1,3,8,2,11,1,10,11,4,3,1,2,2,4,1,1,3,2,10,10,10,10,3,3,1,5,2,3,2,1,1,6,2,2,1,3,,213,5092,6,1,2,3,1,3,5,3,3,1,2,11,11,106
1,135,927,1,8,9,4,8,6,3,2,5,11,3,1,1,3,3,2,3,8,3,8,1,10,11,2,3,1,2,2,1,1,1,3,3,10,10,10,10,2,3,2,5,3,2,2,1,3,6,2,1,1,2,,213,5092,7,1,1,1,2,1,3,2,3,3,2,50,91,107
1,135,928,1,0,9,5,8,10,2,2,6,11,3,3,1,2,1,1,1,8,3,11,2,2,11,11,2,3,2,2,5,1,0,0,2,1,10,10,10,3,3,1,5,2,4,4,1,3,5,1,1,1,3,,213,5092,8,1,3,1,3,3,0,5,0,4,3,60,1,104
1,135,929,1,9,9,3,8,6,2,2,6,11,3,2,3,2,2,1,2,8,3,11,2,10,11,3,2,1,2,3,2,1,1,2,2,2,10,2,10,2,3,2,5,1,2,3,1,1,6,2,2,1,3,,213,5092,9,1,3,1,3,3,2,1,2,1,2,50,1,107
1,135,930,1,6,9,3,8,3,2,3,9,11,5,1,2,3,3,2,3,9,3,11,4,6,2,2,3,3,2,2,2,1,2,2,3,10,10,10,10,3,3,1,5,2,3,4,2,3,6,2,1,3,3,,213,5093,0,1,3,1,3,2,6,3,3,1,2,50,1,101
1,135,931,1,6,9,5,8,3,1,1,7,11,4,1,2,2,2,1,3,8,2,4,3,7,11,1,2,3,2,3,2,1,2,2,2,1,10,1,10,3,3,1,5,2,4,5,1,1,6,3,1,1,3,,213,5093,1,1,3,1,3,3,5,3,3,1,2,50,11,101
1,135,932,1,0,9,4,8,4,2,2,4,11,2,1,2,2,2,1,2,7,3,8,3,7,11,11,2,3,3,0,2,1,1,2,3,1,10,1,10,2,3,3,5,2,0,5,0,0,10,4,0,0,5,,213,5093,2,1,5,0,0,5,0,5,0,4,3,60,1,104
1,135,933,1,8,9,2,8,4,2,1,3,2,2,1,1,2,3,3,3,8,3,11,1,7,11,2,2,1,2,3,2,2,2,2,3,1,10,10,10,3,3,1,5,3,2,2,1,5,5,2,2,1,3,,213,5093,3,1,3,1,1,3,5,3,2,3,2,50,41,106
1,135,934,1,5,9,5,8,4,2,1,6,2,3,1,1,2,2,1,3,8,5,8,1,3,11,2,2,3,2,4,2,2,1,3,2,1,10,1,10,2,3,2,5,3,2,3,1,3,7,3,1,3,3,,213,5093,4,1,3,1,1,3,4,3,3,3,2,50,11,108
1,135,935,1,8,4,1,8,10,3,2,23,10,4,4,1,5,5,1,3,8,2,11,4,4,2,2,7,1,2,3,1,1,3,1,4,8,1,10,10,3,3,1,5,2,3,2,1,3,6,1,2,4,4,,213,5093,5,1,3,1,2,3,4,2,3,1,2,10,20,902
1,135,936,1,5,10,9,8,8,2,1,3,1,2,1,2,2,5,1,3,8,10,6,4,10,11,11,5,3,2,2,3,1,1,3,2,1,10,1,10,3,3,1,5,1,1,5,1,1,5,2,1,3,3,,213,5093,6,1,3,0,3,3,5,3,3,1,2,50,30,808
1,135,937,1,9,2,2,8,7,2,1,25,3,1,1,1,1,3,1,2,9,3,6,1,1,11,11,4,1,2,2,2,1,5,5,3,4,1,10,10,2,3,3,5,2,4,2,1,1,5,2,2,1,3,,213,5093,7,1,2,1,2,1,5,2,3,4,2,10,20,705
1,135,938,1,8,5,8,8,3,2,2,25,5,4,4,1,2,2,1,2,3,3,6,1,10,11,3,7,1,2,2,2,1,1,3,5,2,1,1,1,3,3,2,3,2,4,2,1,5,8,3,1,3,3,,213,5093,8,1,1,1,2,1,5,2,3,3,2,10,50,901
