CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,V.18.,Q.0.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.24B..1,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.27B..1,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.40B.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51B.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59A.,Q.59B.,Q.60A.,Q.60B.,Q.60C.,Q.60D.,Q.60E.,Q.60F.,Q.60G.,Q.60H.,V.61.,V.62.,V.63.,V.64.,V.65.,V.66.,V.67.,V.68.,V.69.,V.70.,V.71.
1,157,1,2,3,7,9,1,5,3,7,5,6,1,2,2,1,1,1,2,1,99,1,0,8,10,3,4,6,3,5,15,2,2,9,14,12,9,2,1,0,2,3,1,3,4,2,2,2,2,3,6,4,3,3,2,1,1,4,3,5,2,157,1,2,2,2,3,3,2,1,3,1,1,2,3,1,2,2,2,1,1,2,4,3,2,9,3,1,1,11,66,58
1,157,2,2,5,7,9,2,4,1,6,5,6,1,3,2,1,1,1,2,5,99,1,0,8,9,1,6,2,2,3,15,3,2,9,14,12,9,2,1,0,2,3,1,3,5,3,4,1,2,6,6,4,2,2,4,1,4,3,2,11,2,157,2,2,2,2,2,2,1,2,2,1,1,2,3,3,3,2,1,2,1,1,4,3,1,12,3,1,1,11,66,79
1,157,3,2,3,7,9,2,4,1,7,5,4,1,2,2,1,1,1,2,2,99,1,0,8,9,3,4,2,4,16,5,2,1,9,14,12,9,2,1,0,2,2,1,3,4,3,4,2,3,4,6,2,3,3,2,3,1,4,2,9,2,157,3,2,2,2,2,4,2,1,3,1,2,1,3,1,2,2,2,1,2,2,3,2,4,7,2,1,1,11,66,69
1,157,4,2,3,8,5,1,5,3,6,5,4,1,3,2,1,1,1,2,2,99,1,0,8,9,3,4,5,2,8,15,1,3,9,14,12,9,2,1,0,1,1,1,2,3,2,6,1,1,1,6,4,3,2,1,1,1,4,1,10,2,157,4,2,1,1,2,4,2,2,1,1,1,1,2,2,2,1,3,1,2,3,2,4,1,5,2,1,4,7,36,95
1,157,5,2,3,7,8,2,4,1,8,5,4,1,2,2,1,1,1,2,1,99,1,0,8,9,3,4,2,2,4,15,3,3,9,14,12,9,2,1,0,2,3,1,2,3,4,4,2,2,2,1,4,3,3,3,1,1,3,2,8,2,157,5,2,2,2,2,4,2,2,2,1,1,1,2,1,1,2,2,1,1,3,4,4,1,6,2,1,1,5,34,12
1,157,6,2,3,9,9,1,5,3,6,5,4,1,3,2,1,1,1,2,5,99,1,0,8,10,5,5,7,3,11,15,3,3,9,14,12,9,2,6,7,3,5,1,5,4,3,3,2,2,6,6,4,3,3,3,1,1,4,2,9,2,157,6,2,2,3,2,2,3,3,2,1,1,1,3,3,3,2,2,2,2,4,3,4,1,9,3,1,1,11,66,3
1,157,7,2,4,4,9,2,4,1,7,5,5,1,3,2,1,1,1,1,5,99,1,0,2,3,1,1,2,4,16,5,3,3,9,14,12,9,2,1,0,1,1,2,3,1,2,2,2,5,1,2,3,1,3,1,1,1,3,1,7,2,157,7,2,1,2,3,4,2,1,2,1,1,2,4,2,3,2,2,1,1,2,1,2,1,12,3,1,1,5,34,107
1,157,8,2,4,9,9,1,5,3,7,5,5,1,3,2,1,1,1,2,2,99,1,0,2,3,1,4,2,4,16,5,6,3,9,14,12,9,2,1,0,1,1,3,3,5,4,3,2,5,3,6,3,1,4,2,3,3,4,2,4,2,157,8,2,2,2,2,3,2,1,2,1,1,2,3,2,3,3,1,2,1,2,2,2,1,12,3,1,1,11,66,13
1,157,9,2,3,9,9,2,4,1,6,5,4,1,2,2,1,1,1,2,1,99,1,0,2,8,2,4,6,4,16,2,2,3,9,14,12,9,2,1,0,1,2,1,2,4,3,3,3,3,3,6,3,3,3,2,1,1,4,3,9,2,157,9,2,2,2,2,4,2,2,2,1,1,3,3,3,3,3,2,2,2,3,2,2,1,12,3,1,1,11,66,39
1,157,10,2,3,6,3,1,5,3,4,5,3,1,1,2,1,1,1,2,2,99,1,0,8,8,2,4,2,3,13,15,1,3,9,14,12,9,2,1,0,1,2,1,3,3,3,3,2,2,2,3,2,2,3,3,1,1,3,2,8,2,157,10,2,2,3,2,4,2,1,2,3,1,3,4,3,3,3,1,2,1,2,2,4,1,15,4,1,4,7,36,101
