CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.3..1,Q.3..2,Q.3..3,Q.3..4,Q.3..5,Q.3..6,Q.3..7,Q.3..8,Q.3..9,Q.4.,Q.5.,Q.6.,Q.7.,Q.9.,Q.10.,Q.15.,Q.16.,Q.17A.,Q.17B.,Q.17C.,Q.17D.,Q.17E.,Q.17F.,Q.17G.,Q.17H.,Q.17I.,Q.17J.,Q.17K.,Q.17L.,Q.17M.,Q.17N.,Q.17O.,Q.17P.,Q.17Q.,Q.17R.,Q.17S.,Q.20A.,Q.20B.,Q.20C.,Q.20D.,Q.20E.,Q.20F.,Q.20G.,Q.24.,Q.25.,Q.26.,Q.27.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.40..1,Q.40..2,Q.40..3,Q.40..4,Q.40..5,Q.40..6,Q.40..7,CARD..1,DECK..1,BALLOT..1,X.,Q.41.,Q.41..1,Q.41..2,Q.41..3,Q.41..4,Q.41..5,Q.41..6,Q.41..7,Q.42.,Q.44.,Q.45.,Q.46A.,Q.46B.,Q.46C.,Q.47.,Q.48.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,V.57.,V.,V.59.
1,72,1,4,8,1,2,2,2,2,2,2,2,2,2,2,2,5,11,4,1,3,3,2,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2,3,1,1,3,1,3,3,1,2,2,1,1,1,1,3,6,2,5,3,4,3,2,2,2,1,2,2,2,2,2,72,1,2,2,2,2,2,2,1,2,2,3,6,1,0,1,3,2,7,1,1,3,2,3,4,4,46,36
1,72,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,11,11,4,3,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,3,1,3,3,1,3,1,2,1,1,1,5,6,3,5,6,6,4,2,2,2,2,2,2,2,2,2,72,2,1,2,2,1,2,2,2,2,2,4,0,3,0,0,3,3,2,5,5,6,3,4,4,1,17,1
1,72,3,3,4,1,2,2,2,2,2,2,2,2,2,2,11,4,11,8,4,6,5,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,6,5,5,4,2,3,2,2,2,2,1,2,2,2,2,72,3,2,2,2,2,2,2,1,2,2,3,2,3,1,0,1,2,0,1,1,1,1,4,3,10,57,59
1,72,4,4,1,2,2,2,2,2,2,2,1,2,2,2,2,3,3,2,1,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,6,2,2,1,1,1,1,6,2,5,3,4,3,2,2,2,1,2,2,2,2,2,72,4,2,2,2,1,2,2,2,2,2,1,1,1,0,0,3,3,3,5,1,2,1,1,3,1,16,86
1,72,5,3,5,1,2,2,2,2,2,2,2,2,2,7,5,2,0,7,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,6,0,0,1,1,1,1,5,2,5,7,0,5,2,2,2,2,2,2,2,2,2,72,5,1,2,2,2,2,2,1,2,2,1,0,1,0,0,3,2,0,1,1,3,3,1,4,4,47,37
1,72,6,3,3,1,2,2,2,2,2,2,2,2,2,3,3,11,11,7,2,2,5,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,3,1,1,3,1,3,3,1,1,2,2,1,1,1,1,5,3,5,4,3,4,2,1,2,2,2,2,2,2,2,72,6,2,2,1,2,2,2,2,2,2,1,1,2,1,1,3,2,5,5,1,1,1,4,3,7,12,57
1,72,7,3,4,1,2,2,2,2,2,2,2,2,2,1,3,11,11,7,2,2,0,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,3,1,1,3,1,3,3,1,2,2,2,1,1,1,1,5,3,5,7,4,1,1,2,2,2,2,2,2,2,2,72,7,2,2,2,2,2,2,1,2,2,2,6,3,1,0,3,2,4,2,1,1,1,3,3,12,65,79
1,72,8,2,3,1,2,2,2,2,2,2,2,2,2,2,6,3,11,5,2,3,4,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,1,1,1,1,2,6,2,5,7,1,3,2,2,2,2,2,2,2,2,2,72,8,1,2,2,2,2,2,2,2,1,4,0,3,0,0,3,3,9,5,1,1,1,3,2,11,37,31
1,72,9,3,3,1,2,2,2,2,2,2,2,2,2,3,4,0,0,1,1,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,1,3,3,1,2,2,2,1,1,1,1,6,2,5,3,7,4,2,2,2,2,2,2,1,2,2,72,9,2,1,2,2,2,2,2,2,2,2,1,3,2,2,2,2,5,1,1,1,1,4,3,12,66,32
1,72,10,4,4,1,2,2,2,2,2,2,2,2,2,3,3,0,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,0,0,1,1,1,1,5,3,5,7,0,2,2,2,2,2,2,2,2,2,2,72,10,1,2,2,2,2,2,2,2,1,3,1,3,2,2,2,2,3,3,1,1,1,3,2,10,55,39
