CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.70.,Q.71.,Q.72.,CARD..1,DECK..1,BALLOT..1,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,V.80.,V.81.
1,113,1,3,1,2,3,3,2,1,2,3,2,4,2,1,2,1,1,2,1,2,3,2,2,1,2,3,2,2,1,1,4,2,2,1,2,2,2,2,2,2,4,2,1,1,2,2,4,4,4,1,1,1,2,2,3,2,2,1,1,1,1,2,2,5,3,4,4,3,3,2,11,2,113,1,2,2,3,1,2,1,1,31,0
1,113,2,3,3,2,1,3,2,1,3,3,2,4,1,1,3,1,1,2,3,1,1,2,2,2,3,3,1,1,1,1,3,1,2,3,3,2,1,3,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,4,2,5,3,2,2,2,4,1,11,2,113,2,1,0,4,0,4,2,2,1,0
1,113,3,3,4,1,1,3,2,1,3,2,1,3,2,1,1,1,2,2,2,1,3,2,2,1,1,0,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,3,1,2,2,1,2,2,5,6,2,1,3,2,2,11,2,113,3,1,1,1,1,1,1,1,2,0
1,113,4,3,4,1,1,3,2,1,3,1,1,5,1,1,2,2,2,2,2,1,3,2,2,2,1,3,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,2,4,3,2,1,2,2,3,11,2,113,4,1,1,1,1,1,1,1,5,2
1,113,5,3,4,1,1,3,1,1,1,3,2,2,2,3,1,1,1,3,1,1,4,1,3,0,2,3,1,2,1,1,4,2,3,1,2,1,3,2,0,1,2,2,2,1,2,1,3,4,3,2,1,2,2,2,3,2,3,3,2,3,2,3,2,3,0,2,3,2,2,2,11,2,113,5,2,3,1,1,1,2,2,8,0
1,113,6,3,2,4,1,3,1,1,1,3,2,2,2,1,2,2,2,1,1,2,1,0,1,1,1,1,1,2,2,1,4,1,1,2,2,2,5,0,2,1,2,2,1,1,1,1,2,2,2,3,1,1,2,3,1,2,2,1,1,0,2,2,3,4,3,2,1,1,2,2,11,2,113,6,1,1,1,1,1,1,1,8,0
1,113,7,3,4,1,1,3,1,1,5,0,2,3,2,1,2,2,3,2,2,2,1,2,1,2,4,1,0,0,0,4,0,4,0,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,0,1,4,3,1,3,3,2,2,3,3,11,2,113,7,2,2,1,1,2,2,2,20,0
1,113,8,3,1,1,1,3,1,3,7,4,3,4,3,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,3,3,1,1,1,2,3,1,2,1,2,4,1,2,3,2,1,1,2,1,1,1,1,1,2,2,3,4,3,2,1,1,2,2,1,3,2,1,3,3,2,11,2,113,8,1,2,1,1,3,1,3,13,0
1,113,9,3,4,3,1,3,1,1,5,4,4,4,5,1,2,1,1,1,1,2,3,1,3,1,1,3,1,5,5,1,4,3,1,1,2,2,3,1,3,2,1,1,1,3,3,1,3,3,3,3,1,4,2,1,3,3,4,3,3,1,1,3,2,5,3,5,3,4,2,2,11,2,113,9,1,3,1,2,3,2,2,13,0
1,113,10,3,4,2,1,3,3,3,1,1,4,4,1,1,2,2,3,2,1,2,0,0,0,0,4,0,1,1,1,1,3,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,0,3,3,1,1,1,1,1,0,2,1,0,4,1,1,0,4,6,3,3,1,2,0,4,12,2,113,10,4,0,4,0,4,0,4,17,1
1,113,11,3,2,1,1,3,4,5,3,3,3,3,2,1,2,2,3,4,2,2,4,2,4,3,3,3,1,2,2,3,3,2,3,1,4,2,3,3,2,1,3,2,3,4,2,2,4,4,5,3,1,3,2,3,5,3,5,3,1,3,1,3,4,3,1,2,4,4,2,2,11,2,113,11,3,3,1,3,2,2,1,26,1
1,113,12,4,2,2,2,3,1,1,3,1,2,3,1,1,2,1,1,2,1,1,2,2,1,2,1,3,1,2,1,1,4,1,3,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1,4,4,6,0,6,0,5,0,0,12,2,113,12,4,0,4,0,4,1,1,12,0
