CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.50E.,Q.50F.,Q.50G.,Q.50H.,Q.52.,V.54.,V.55.
1,192,1,2,2,1,4,6,1,3,5,1,2,5,6,6,1,1,2,1,1,4,1,1,1,1,1,4,1,1,1,2,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,3,2,3,3,2,3,3,2,2,2,18
1,192,2,2,1,3,2,7,1,3,5,2,2,2,2,2,2,1,2,1,1,2,2,1,1,3,2,4,2,1,2,1,1,1,1,3,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,1,4,2,1,2,1,2,3,1,3,3,3,5,2,5
1,192,3,2,1,2,2,7,1,3,5,2,2,4,2,2,2,1,0,1,1,2,5,3,1,1,2,4,1,3,3,1,2,2,2,3,2,3,1,2,1,3,4,2,2,1,1,1,1,1,2,2,1,2,1,2,3,2,3,1,2,3,2,2,2,26
1,192,4,2,1,3,2,8,1,3,5,2,2,4,3,3,2,2,3,3,1,2,3,1,1,3,1,4,1,2,1,0,3,1,1,0,1,1,2,2,1,3,0,1,2,3,1,1,3,1,2,2,4,2,1,3,3,2,3,1,2,2,2,4,3,28
1,192,5,2,1,2,2,7,1,3,5,2,2,2,2,1,2,1,2,2,1,3,2,1,1,1,1,3,1,1,1,2,1,2,2,3,1,2,2,3,1,2,3,1,3,1,1,1,1,1,2,2,4,1,1,2,3,3,3,1,1,3,3,2,5,31
1,192,6,2,1,2,3,7,1,3,5,2,2,5,6,6,4,4,2,3,3,1,4,3,1,1,3,4,1,2,4,2,1,2,2,5,2,2,2,2,2,2,1,1,1,2,1,1,3,1,3,1,2,1,4,3,1,3,3,3,3,3,3,4,4,0
1,192,7,2,1,3,3,6,1,3,5,2,2,5,6,6,5,3,2,1,1,2,1,1,1,3,1,4,1,1,1,1,2,2,2,3,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,2,3,3,3,3,3,2,2,80
1,192,8,2,1,2,3,6,1,3,5,2,2,5,6,6,2,1,1,3,0,2,2,1,1,2,1,3,1,2,1,2,2,2,2,3,2,2,2,2,1,2,3,1,1,1,2,2,0,1,1,2,2,1,2,3,2,2,3,3,2,2,1,5,2,17
1,192,9,2,1,3,3,6,1,3,5,2,2,5,3,3,1,3,2,2,1,2,3,3,3,2,2,3,2,4,5,1,3,3,2,3,1,2,2,2,2,5,2,4,3,3,2,2,1,0,3,2,4,2,1,3,3,3,3,2,3,3,2,2,3,19
1,192,10,2,2,3,3,6,1,3,5,2,2,5,1,1,0,3,2,2,2,2,3,3,1,3,1,4,2,3,2,0,3,2,2,3,1,2,2,2,2,2,4,1,1,3,2,2,1,2,2,2,2,4,1,2,3,2,2,3,3,3,3,5,1,30
1,192,11,2,1,3,3,8,1,3,5,2,2,4,2,2,3,3,2,2,1,1,3,3,2,2,2,3,2,3,3,2,3,2,2,3,2,2,2,2,1,2,2,1,2,1,2,2,0,2,2,2,1,1,3,3,2,1,3,2,3,3,2,5,1,29
1,192,12,2,1,3,3,6,1,3,5,2,2,2,2,2,2,1,2,1,1,3,1,1,1,1,1,4,1,1,1,2,3,2,1,5,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,3,3,2,3,3,3,3,3,2,5,7
1,192,13,2,1,4,4,7,1,3,5,2,2,5,6,1,2,1,2,3,1,1,2,3,3,0,1,4,1,3,1,0,3,2,2,5,1,2,1,2,1,2,3,1,2,1,1,1,1,1,3,1,2,1,1,3,3,2,3,2,2,2,3,4,2,24
1,192,14,2,1,3,4,6,1,3,5,2,2,5,6,6,3,3,2,1,1,2,2,2,1,2,1,3,1,1,1,2,1,2,2,4,2,1,2,3,1,2,2,1,1,3,1,1,0,3,2,1,4,2,1,3,3,2,3,3,2,2,3,5,2,85
1,192,15,2,1,3,4,6,1,3,5,2,2,5,4,2,2,1,2,1,1,3,2,1,1,2,1,4,1,1,1,1,1,2,1,4,1,2,2,2,3,2,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,3,3,2,2,2,5,3,20
1,192,16,2,1,3,4,6,1,3,5,2,2,5,3,2,2,1,2,2,2,1,5,1,1,1,1,2,2,2,1,1,2,2,1,4,1,2,2,3,3,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,3,1,3,1,3,3,3,2,3,22
1,192,17,2,1,2,4,6,1,3,5,2,2,5,4,4,1,1,2,1,1,1,2,3,1,3,2,3,1,4,2,1,2,3,2,3,1,1,2,3,1,1,2,1,1,1,1,2,1,1,3,1,1,1,1,3,3,2,3,3,3,3,3,1,3,9
1,192,18,2,1,4,4,7,1,3,5,2,2,4,4,3,2,1,2,2,1,2,2,3,2,1,2,4,2,1,2,1,2,3,2,5,1,2,3,2,2,1,2,1,1,1,2,2,1,2,1,1,4,2,2,3,3,2,3,2,3,3,2,4,3,3
1,192,19,2,1,5,4,8,1,3,5,2,2,5,2,2,1,1,3,1,1,3,1,3,1,1,1,3,1,2,1,2,1,1,1,2,1,2,2,3,1,2,2,1,1,1,1,2,2,1,1,1,3,1,2,3,2,1,3,2,1,2,1,5,1,33
1,192,20,2,1,2,4,7,1,3,5,2,2,5,2,2,2,2,2,2,1,2,2,1,1,3,1,4,1,2,2,2,1,2,1,2,1,4,2,2,1,2,2,1,1,1,1,1,1,1,3,2,3,1,1,3,3,0,3,3,3,3,2,5,1,66
1,192,21,2,2,3,4,6,1,3,5,2,2,5,2,2,1,2,2,4,1,4,2,2,1,2,1,4,1,3,1,3,2,4,2,4,3,3,2,2,1,2,2,1,3,1,1,2,2,3,1,2,2,1,1,3,3,2,3,1,3,3,3,2,1,12
1,192,22,2,2,3,4,6,1,3,5,2,2,5,2,2,2,3,2,3,3,1,3,3,2,3,2,4,1,1,3,2,2,4,2,5,2,2,1,3,1,1,2,1,2,2,3,2,3,2,3,2,1,1,3,2,1,2,3,1,3,2,1,5,1,79
