CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.24C.,Q.24D.,Q.24E.,Q.25.,Q.26A.,Q.26B.,Q.26C.,Q.26D.,Q.26E.,Q.27.,Q.27..1,Q.27..2,Q.27..3,Q.27..4,Q.27..5,Q.27..6,Q.27..7,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.54.,Q.55.,CARD..1,DECK..1,BALLOT..1,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,N.80.,N.81.,N.82.,N.83.,N.84.
1,170,13,4,6,6,4,5,1,1,1,1,4,5,5,15,1,3,1,2,2,1,1,2,3,1,1,2,1,2,1,2,1,1,3,2,3,1,2,2,2,2,2,2,2,2,3,3,3,2,4,5,3,1,2,3,2,2,2,2,1,2,2,2,1,1,2,3,1,2,1,1,2,170,13,1,1,1,3,2,4,2,2,4,2,3,2,2,1,2,2,2,2,1,1,1,1,1,1,1
1,170,14,4,11,8,5,5,1,1,1,1,5,5,5,14,1,1,2,2,1,1,1,3,3,1,1,2,1,2,1,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,3,6,2,3,1,6,3,1,0,0,4,4,2,2,3,3,2,2,2,1,2,2,1,1,3,1,2,170,14,3,6,2,3,3,3,3,2,3,3,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2
1,170,15,5,9,6,9,2,1,1,1,2,6,6,5,15,4,3,3,3,2,1,2,3,3,1,1,2,1,2,1,3,1,1,3,2,3,1,2,2,2,2,2,2,2,2,3,4,1,2,6,1,3,1,3,1,4,2,1,2,2,2,1,1,2,3,1,3,0,1,3,1,2,170,15,1,1,5,2,2,5,2,2,4,3,4,3,1,1,2,2,2,1,1,1,1,1,1,1,3
1,170,16,7,10,6,6,5,2,2,2,1,5,6,5,15,2,2,2,4,3,1,1,1,3,1,1,2,1,2,1,1,1,3,3,3,3,1,2,2,2,2,2,2,2,2,3,3,2,3,6,1,3,1,2,1,1,2,1,3,2,2,2,1,2,1,2,3,2,3,3,1,2,170,16,3,3,3,2,2,4,3,1,4,3,1,3,3,1,2,2,1,2,2,2,1,1,1,1,4
1,170,17,2,8,6,3,3,1,1,1,1,5,1,1,5,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,3,2,3,2,2,2,2,2,1,2,3,1,2,1,1,1,2,3,2,2,3,1,2,170,17,3,2,5,2,3,5,2,1,3,3,1,1,1,1,2,2,1,2,1,2,1,1,1,1,5
1,170,18,2,9,8,2,5,2,2,2,1,4,2,2,15,2,3,2,4,4,1,1,3,3,1,1,2,1,1,1,3,2,3,3,3,3,2,2,2,2,2,2,2,1,2,2,0,1,1,6,6,3,2,2,3,4,3,2,3,1,2,1,2,2,2,2,2,3,3,3,1,2,170,18,1,1,2,1,0,4,2,1,1,4,2,1,3,1,1,2,2,2,1,1,1,1,1,1,6
1,170,19,1,3,6,7,4,1,1,1,1,4,3,3,11,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,3,1,3,3,1,2,2,2,2,2,2,2,2,5,3,3,1,2,1,3,2,2,2,2,2,2,2,3,2,2,2,1,2,2,3,2,2,1,1,2,170,19,3,3,2,3,3,3,2,2,1,4,1,1,1,1,1,2,2,1,2,1,1,1,1,1,7
1,170,20,3,9,7,9,5,1,1,1,1,6,6,5,15,2,3,2,4,3,1,1,2,3,1,1,2,1,1,1,2,1,1,3,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,5,5,3,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,3,3,1,2,170,20,3,6,1,2,2,3,4,1,3,3,1,2,4,1,1,2,1,2,2,1,1,1,1,1,8
1,170,21,5,9,7,2,5,1,1,1,1,4,3,3,10,1,1,0,2,2,3,3,3,3,1,0,2,1,2,1,3,3,3,3,1,3,1,2,2,2,2,2,2,2,2,5,2,3,1,3,2,2,0,2,0,0,2,0,3,2,1,1,1,1,2,2,1,3,2,3,1,2,170,21,1,1,2,2,2,4,3,1,3,3,2,2,3,0,0,0,2,2,1,2,1,1,2,0,0
1,170,22,1,3,3,3,5,2,2,2,1,4,3,1,10,2,4,3,3,3,2,1,2,3,2,0,0,0,0,0,2,1,3,3,1,3,1,2,2,2,2,2,2,2,1,1,1,1,1,3,2,2,2,2,1,1,2,2,1,3,1,1,1,2,3,1,2,1,1,1,1,2,170,22,3,7,3,2,2,3,3,4,3,3,4,1,2,1,2,2,2,2,1,2,1,1,2,0,1
1,170,23,3,5,6,3,3,1,1,1,2,0,5,2,10,1,3,2,2,2,1,2,1,2,1,1,2,1,2,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,4,2,1,3,1,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,170,23,3,2,3,2,2,4,3,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,0,2
1,170,24,5,6,6,3,5,2,3,3,2,5,2,1,10,4,2,3,2,4,1,2,2,2,1,1,2,1,2,1,2,1,3,3,3,3,1,2,2,2,2,2,2,2,1,4,1,1,2,4,1,2,2,2,0,2,2,2,3,1,1,1,1,2,1,2,2,5,1,1,1,2,170,24,3,2,2,2,2,4,2,4,4,3,1,1,2,1,2,2,1,2,1,1,1,1,2,0,3
1,170,25,4,6,6,3,4,2,2,2,2,4,1,1,10,2,2,2,1,2,2,2,3,3,1,1,2,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,0,4,6,2,0,2,0,2,2,2,2,3,2,1,2,2,1,2,3,1,1,1,1,2,170,25,3,2,3,2,2,5,3,1,3,3,2,1,2,1,1,2,2,1,1,2,1,1,2,0,4
1,170,26,4,9,8,2,4,1,1,1,2,5,4,2,10,1,1,2,2,1,1,2,2,3,1,1,2,1,2,1,3,1,3,3,3,3,1,2,2,2,2,2,2,2,2,1,2,3,1,6,1,2,0,2,3,4,2,2,2,2,1,2,1,2,2,2,3,3,3,1,1,2,170,26,1,1,5,3,3,5,3,1,4,4,1,2,1,1,1,2,1,2,2,2,1,1,2,0,5
1,170,27,1,10,7,2,5,2,2,2,2,4,2,1,10,1,2,3,4,3,1,2,3,3,1,1,2,1,2,1,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,3,3,1,3,1,1,2,2,3,2,2,2,2,2,3,1,1,2,2,2,2,2,1,1,3,1,2,170,27,3,2,1,1,1,3,1,4,4,3,4,4,3,2,1,1,2,2,2,1,1,1,2,0,6
1,170,28,5,6,5,2,5,2,3,2,1,4,2,1,10,1,2,3,1,2,1,2,3,3,1,1,2,1,2,2,3,1,3,3,3,3,2,1,2,2,2,2,2,2,2,3,0,3,2,6,0,2,2,2,0,0,2,2,2,2,3,1,1,2,2,2,3,1,2,3,1,2,170,28,3,7,3,2,2,1,3,4,5,1,4,1,1,1,2,1,1,2,2,1,1,1,2,0,7
1,170,29,2,6,5,1,2,1,1,1,1,5,3,1,10,1,2,3,4,4,2,2,2,2,0,1,2,1,2,1,2,1,0,0,1,0,1,2,2,2,2,2,2,2,2,5,1,3,1,1,1,3,1,2,2,2,2,2,2,2,1,2,1,2,2,2,3,2,1,1,1,2,170,29,3,3,2,2,2,5,2,1,4,2,1,2,1,1,1,2,1,2,2,1,1,1,2,0,8
1,170,30,4,10,6,4,3,2,2,2,1,5,2,1,5,2,2,3,2,2,2,1,3,3,1,1,2,1,0,1,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,5,5,0,2,4,6,0,0,2,3,4,4,2,1,3,3,1,1,2,1,2,2,1,3,1,1,2,170,30,3,3,4,2,2,1,3,1,3,3,2,3,4,2,1,2,2,2,1,1,1,1,2,0,9
1,170,31,1,7,5,7,2,2,2,3,2,5,3,2,10,1,3,3,4,3,2,2,3,3,1,1,2,1,2,2,3,2,3,3,3,3,1,2,2,2,2,2,2,2,2,4,4,3,1,6,2,3,2,3,2,3,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,2,170,31,3,6,4,3,3,3,2,4,5,3,4,4,1,1,2,2,1,2,2,1,1,1,2,0,10
1,170,32,3,3,5,1,3,1,1,1,1,4,2,1,10,2,2,3,4,2,3,2,2,2,1,1,2,1,1,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,2,3,3,3,2,2,1,1,2,2,2,2,1,2,1,1,3,1,3,2,2,1,1,2,170,32,3,4,2,1,1,3,3,1,1,3,3,4,1,2,1,1,2,2,2,1,1,1,2,1,0
1,170,33,7,11,8,1,5,1,1,1,1,5,2,1,10,1,2,2,0,2,3,2,2,2,1,1,2,1,2,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,1,3,3,2,0,0,2,3,0,1,2,2,1,2,1,2,2,2,3,3,2,3,1,2,170,33,3,3,4,3,3,3,3,2,3,3,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1
1,170,34,3,6,6,2,4,2,2,3,1,4,2,1,10,1,1,3,2,2,3,2,2,2,1,1,2,1,2,1,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,6,2,2,1,2,1,1,2,2,2,3,1,1,2,2,1,2,2,1,1,3,1,2,170,34,3,8,5,2,2,4,2,1,4,3,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2
1,170,35,2,10,8,3,3,1,1,1,1,5,4,3,10,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,1,2,2,1,3,2,2,1,1,2,2,2,1,0,1,3,1,2,170,35,3,7,5,2,2,4,2,4,1,3,3,3,1,1,2,1,1,2,2,1,1,1,2,1,3
1,170,36,2,9,7,2,4,2,2,3,1,4,2,2,10,1,2,2,4,2,2,2,2,2,2,1,2,1,2,2,2,2,3,3,3,3,1,2,2,2,2,2,2,2,2,5,2,3,1,3,4,2,2,3,2,2,2,1,2,2,1,1,2,2,3,1,1,0,1,1,1,2,170,36,3,8,2,2,2,4,3,2,1,3,3,1,2,1,1,2,1,1,1,1,1,1,2,1,4
1,170,37,5,4,7,7,5,1,1,1,2,4,5,5,10,2,2,3,4,2,3,2,1,2,1,1,2,1,2,1,1,1,1,3,1,3,1,2,2,2,2,2,2,2,2,1,3,1,2,4,2,3,2,2,2,2,2,2,2,1,3,2,1,2,2,2,2,1,1,3,1,2,170,37,3,3,4,2,2,4,2,4,4,4,3,2,1,1,1,2,1,2,2,1,1,1,2,1,5
1,170,38,5,11,8,7,2,1,1,1,1,4,4,3,10,2,2,1,4,2,1,2,3,3,1,1,2,1,2,1,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,4,6,1,3,5,1,3,1,2,1,4,2,1,3,3,2,2,2,2,1,2,3,3,1,3,1,2,170,38,3,3,5,2,2,3,2,1,3,3,1,2,1,1,1,2,1,2,2,1,1,1,2,1,6
1,170,39,4,8,6,7,5,2,2,3,1,4,4,4,1,1,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,3,3,2,4,3,2,2,2,1,2,2,2,2,2,3,1,2,2,1,2,3,1,2,3,1,2,170,39,3,6,3,2,2,4,3,2,3,3,2,1,4,1,2,1,2,2,1,2,1,1,2,1,7
1,170,40,5,8,6,4,5,1,1,1,1,6,2,2,10,3,4,2,3,3,1,2,3,3,1,1,2,1,2,1,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,3,2,1,5,2,2,2,3,2,2,2,2,3,3,2,1,2,2,2,3,1,1,3,1,2,170,40,3,6,4,3,2,5,2,1,4,2,3,2,2,1,2,2,1,2,1,2,1,1,2,1,8
1,170,41,3,3,6,4,3,1,1,1,1,4,3,3,10,2,4,3,3,2,1,2,2,2,1,1,1,1,2,1,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,3,3,1,2,3,1,3,2,2,2,2,4,1,2,3,2,1,2,2,2,2,2,3,1,1,1,2,170,41,3,8,1,2,3,4,3,2,4,3,2,2,2,1,2,2,1,2,2,1,1,1,2,1,9
1,170,42,4,11,7,4,3,2,3,3,1,5,2,1,10,1,1,3,2,2,2,2,3,3,1,1,2,1,2,1,3,1,3,1,1,3,1,2,2,2,2,2,2,2,2,1,2,1,1,3,2,2,1,2,2,3,2,2,1,3,1,1,2,2,2,2,1,1,1,1,1,2,170,42,3,5,2,2,2,5,2,4,3,3,4,1,1,1,2,2,2,1,1,1,1,1,2,1,10
1,170,43,1,10,6,7,5,2,2,2,1,4,3,2,7,2,2,3,3,2,3,1,3,3,1,1,2,1,2,1,3,1,3,3,3,3,1,2,2,2,2,2,2,2,2,5,2,1,1,6,6,2,0,2,1,2,2,0,2,3,1,1,2,2,1,2,3,5,3,3,1,2,170,43,3,5,5,2,2,4,4,2,3,3,2,2,2,1,2,2,2,1,1,2,1,1,2,2,0
1,170,44,3,4,6,8,2,2,2,2,1,4,3,2,7,4,1,2,2,2,2,2,3,3,1,1,2,1,1,1,3,1,3,1,3,3,1,2,2,2,2,2,2,2,2,1,2,1,1,4,2,3,1,2,3,1,4,0,3,1,3,1,2,2,1,2,2,1,2,1,1,2,170,44,3,3,3,2,2,4,4,1,4,2,1,1,3,1,2,2,2,2,1,2,1,1,2,2,1
1,170,45,2,10,3,3,3,2,2,2,1,4,3,2,7,1,1,3,2,1,2,2,2,2,1,1,0,1,0,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,3,3,1,0,3,1,3,1,3,2,1,2,1,3,1,2,1,2,1,2,2,2,0,2,3,1,2,170,45,3,2,5,2,2,2,3,1,3,4,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2
1,170,46,2,7,6,9,5,1,1,1,1,4,3,3,7,2,2,2,3,2,2,1,2,2,1,1,2,1,0,1,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,5,2,2,3,6,6,0,0,0,1,1,0,0,0,2,3,2,2,2,2,2,0,3,0,1,1,2,170,46,3,3,2,3,2,4,4,1,2,3,1,1,2,1,2,2,2,2,2,1,1,1,2,2,3
1,170,47,2,5,6,3,5,1,1,1,1,4,3,2,7,2,3,3,4,2,1,1,0,3,1,1,2,1,2,1,0,3,3,3,3,3,2,2,2,2,2,2,1,2,2,4,4,0,2,4,1,3,2,3,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,3,1,2,170,47,3,6,5,3,2,3,3,2,4,2,4,3,1,1,0,2,1,2,2,0,1,1,2,2,4
1,170,48,1,2,5,1,3,1,1,1,2,4,3,1,7,2,4,1,2,2,1,1,3,3,1,1,2,1,1,1,3,1,3,3,3,3,1,2,2,2,2,2,2,2,1,1,2,3,3,4,2,2,2,3,2,2,3,2,2,3,1,2,2,1,2,2,2,2,2,3,1,2,170,48,3,2,1,3,2,0,3,1,3,3,1,2,4,2,2,1,1,2,2,1,1,1,2,2,5
1,170,49,3,11,4,4,1,1,1,1,1,5,6,0,7,0,0,0,3,2,2,2,2,2,1,1,2,1,1,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,1,4,2,2,2,2,1,3,2,1,1,2,1,2,1,1,1,2,2,3,2,1,1,2,170,49,1,1,4,2,2,3,3,1,3,4,2,1,1,1,2,1,1,2,2,1,1,1,2,2,6
1,170,50,2,10,4,2,5,1,1,1,1,4,3,2,7,2,2,3,2,3,2,1,3,3,1,1,2,1,1,1,3,1,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,3,2,3,1,2,2,2,3,4,4,2,2,3,1,1,2,2,2,2,1,2,1,1,1,2,170,50,3,7,5,2,2,3,3,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,7
1,170,51,1,3,6,2,5,1,1,1,1,4,3,2,7,4,3,3,3,2,3,1,2,3,1,1,2,1,2,1,3,1,3,3,3,3,1,2,2,2,2,2,2,2,2,5,3,1,2,1,1,2,2,2,2,2,4,1,2,2,3,2,1,2,2,2,2,1,1,3,1,2,170,51,3,2,5,2,2,4,3,1,4,3,1,1,1,1,2,2,1,2,2,1,1,1,2,2,8
1,170,52,4,9,8,2,3,1,1,1,1,4,3,3,7,1,1,2,1,1,0,1,1,2,1,2,2,1,2,2,1,3,3,3,3,3,2,2,2,2,2,2,1,2,2,4,6,1,3,1,6,3,0,2,3,4,4,1,0,1,2,2,1,1,1,0,3,1,2,1,1,2,170,52,3,2,2,2,2,2,4,1,3,3,1,1,2,1,1,2,2,2,1,1,1,1,2,2,9
1,170,53,2,10,5,2,5,1,1,1,1,6,6,1,7,4,2,0,2,2,3,1,3,3,1,1,2,1,2,2,3,3,3,3,1,3,1,2,2,2,2,2,2,2,2,1,1,1,1,3,2,2,2,2,2,4,4,3,1,3,1,2,1,2,3,1,1,3,1,1,1,2,170,53,1,1,2,2,2,5,0,2,4,3,2,2,2,1,2,2,2,1,2,1,1,1,2,2,10
1,170,54,3,4,6,3,5,1,1,1,1,4,4,4,10,2,2,3,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,3,1,2,170,54,1,1,2,3,2,5,1,1,4,3,2,2,1,2,1,2,1,2,2,1,1,1,2,1,0
1,170,55,3,5,7,2,5,1,1,1,2,5,6,5,10,1,3,3,4,4,1,2,1,1,1,1,2,1,2,0,1,3,3,3,3,3,2,2,2,2,2,2,1,2,2,4,1,2,3,6,1,0,2,2,3,1,2,0,2,3,2,2,1,1,3,1,3,2,3,3,1,2,170,55,3,4,1,2,3,5,3,3,4,3,1,3,3,1,2,2,2,2,1,2,1,1,2,1,1
1,170,56,1,9,4,1,3,2,3,3,1,6,4,1,10,2,2,3,0,2,2,1,2,2,1,1,2,1,2,1,2,3,3,3,1,3,1,2,2,2,2,2,2,2,2,5,2,3,2,6,6,3,1,2,1,1,2,2,2,3,2,1,2,2,1,2,1,2,1,1,1,2,170,56,3,7,2,2,2,4,3,1,4,4,3,3,3,1,2,1,1,2,1,1,1,1,2,1,2
1,170,57,3,7,6,3,1,1,1,1,2,5,6,5,10,2,1,3,4,3,1,2,1,2,1,1,2,1,2,1,1,1,1,3,3,3,1,2,2,2,2,2,2,2,2,4,6,3,1,1,1,3,2,3,2,4,3,2,2,3,2,2,2,2,2,2,2,1,3,3,1,2,170,57,3,5,2,2,3,3,4,2,4,1,1,3,4,2,1,2,1,2,2,1,1,1,2,1,3
1,170,58,5,7,5,6,3,1,1,1,1,5,6,5,10,2,1,3,5,3,1,2,2,2,1,1,2,1,2,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,3,2,3,2,4,2,3,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,3,1,2,170,58,1,1,2,3,3,4,3,1,3,3,1,2,3,1,1,1,2,2,2,1,1,1,2,1,4
1,170,59,6,6,6,3,3,1,1,1,2,6,2,1,10,3,2,3,0,2,2,2,1,3,1,1,2,1,2,1,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,4,4,2,3,6,0,3,0,2,3,4,4,1,1,2,2,2,2,2,1,2,3,1,1,1,1,2,170,59,3,3,5,2,2,3,4,1,4,3,2,3,2,1,0,2,1,2,1,1,1,1,2,1,5
1,170,60,3,9,6,4,5,1,1,1,1,5,1,1,10,4,2,2,2,2,2,1,3,3,1,1,2,1,2,1,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,5,3,1,2,1,1,2,2,2,3,4,2,2,2,3,3,1,2,1,2,3,2,2,2,3,1,2,170,60,3,6,3,2,1,5,1,1,1,3,2,2,4,1,1,2,1,1,2,2,1,1,2,1,6
1,170,61,5,7,7,3,5,2,2,3,1,4,4,4,10,1,2,3,3,2,2,2,2,2,1,1,2,1,2,1,2,1,3,3,1,3,1,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,3,4,4,2,3,2,2,1,1,2,3,1,2,3,1,3,1,2,170,61,1,1,3,2,2,4,3,2,3,3,1,1,2,1,1,2,2,2,1,2,1,1,2,1,7
1,170,62,1,7,7,4,3,2,2,3,2,4,1,1,10,2,2,1,3,3,2,1,2,2,1,1,2,1,2,1,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,1,1,3,2,4,2,2,1,2,3,2,2,2,1,3,1,1,2,2,1,2,2,3,1,3,1,2,170,62,3,3,0,2,2,4,3,1,2,4,1,1,3,2,1,1,1,2,1,1,1,1,2,1,8
1,170,63,4,7,6,3,5,1,1,1,1,5,2,1,10,2,1,1,2,3,1,1,2,2,1,2,2,1,2,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,3,3,3,6,0,0,1,2,2,2,2,1,2,3,2,2,1,2,1,2,2,1,1,3,1,2,170,63,3,5,0,2,2,3,3,2,4,3,2,3,2,1,1,2,1,2,2,1,1,1,2,1,9
