CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.15..1,Q.15..2,Q.15..3,Q.15..4,Q.15..5,Q.15..6,Q.15..7,Q.15..8,Q.15..9,Q.15..10,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28A.,Q.28B.,Q.29A.,Q.29B.,Q.30.,Q.31.,Q.32A.,Q.32C.,Q.33A.,Q.34A.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42A.,Q.42B.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47A.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.48.,Q.49.,Q.50.,Q.51.,Q.52A.,Q.52A..1,Q.52A..2,Q.52A..3,Q.52A..4,Q.52A..5,Q.53A.,Q.54.,Q.55.,Q.55..1,Q.55..2,Q.55..3,Q.55..4,Q.55..5,Q.55..6,Q.55..7,Q.55..8,Q.55..9,Q.55..10,Q.55..11,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,V.71.
1,132,1,3,3,3,5,5,5,1,5,1,5,1,1,4,3,1,1,1,2,2,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,3,1,5,8,5,4,1,2,2,2,0,0,0,4,4,1,3,2,1,3,2,3,1,1,17,2,132,1,3,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,5,1,2,2,1,2,2,3,3,3,3,1,4,2,544
1,132,2,3,2,2,3,10,5,2,4,1,4,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,1,6,6,9,5,2,1,3,2,2,2,2,1,3,5,1,3,4,1,2,3,1,2,1,14,2,132,2,3,2,3,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,5,3,2,2,3,3,2,2,1,5,3,1,1,2,666
1,132,3,3,1,1,6,11,1,2,4,1,4,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,6,2,0,0,0,0,0,0,0,0,1,2,4,7,5,1,2,3,2,2,1,1,1,7,10,1,2,2,2,4,3,1,1,1,14,2,132,3,3,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,1,0,2,2,3,2,2,1,3,2,1,3,2,546
1,132,4,3,1,1,6,9,2,2,3,1,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,5,2,0,0,0,0,0,0,0,0,1,1,4,7,0,0,2,2,2,1,3,2,0,3,3,1,1,2,1,3,2,4,1,1,0,2,132,4,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,5,1,0,3,3,2,3,3,1,3,2,2,4,2,563
1,132,5,3,1,1,3,8,4,1,4,1,2,2,1,4,6,3,2,2,1,2,2,2,2,2,2,2,2,8,1,1,2,1,7,1,2,2,2,2,6,8,1,1,1,1,2,2,1,1,2,2,4,4,1,2,1,1,3,1,2,1,1,14,2,132,5,3,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,1,2,1,1,3,2,4,1,5,3,1,4,2,545
1,132,6,3,3,3,6,10,5,1,4,1,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,3,6,7,8,5,2,1,2,2,2,2,2,2,3,3,1,3,3,1,1,2,4,1,1,14,2,132,6,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,5,1,2,3,2,2,2,4,3,3,3,1,4,1,562
1,132,7,3,2,2,4,10,5,2,5,1,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,3,6,8,1,5,4,3,2,3,2,1,1,1,4,6,8,3,3,1,3,2,2,1,1,17,2,132,7,3,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,5,1,2,2,1,1,2,4,1,3,2,2,4,2,672
1,132,8,3,2,2,6,8,5,1,5,1,5,1,1,6,1,1,2,2,2,1,2,2,2,2,2,2,2,5,3,0,0,0,0,0,0,0,0,3,7,5,4,5,1,3,2,3,3,1,1,1,3,4,1,1,3,2,4,2,4,1,1,1,2,132,8,3,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,2,1,3,3,2,2,3,542
1,132,9,3,1,1,6,9,6,2,5,1,3,1,0,1,3,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,2,7,7,4,5,2,3,1,3,3,1,2,2,3,3,6,3,3,2,4,2,3,1,1,17,2,132,9,3,1,1,2,1,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,5,1,3,2,2,2,2,2,2,3,3,2,4,2,549
1,132,10,3,6,6,4,9,6,1,5,1,5,1,0,6,3,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,3,2,11,6,5,1,2,0,0,0,3,0,0,3,3,2,3,4,2,4,3,4,1,1,16,2,132,10,3,1,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,1,2,2,2,1,2,2,1,2,3,2,4,3,660
1,132,11,3,3,3,6,8,7,1,5,1,5,2,0,6,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,1,7,4,6,0,4,2,1,2,2,2,1,3,4,6,8,1,4,1,2,2,4,1,1,17,2,132,11,3,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,5,1,2,2,1,2,1,4,2,3,3,2,2,3,492
1,132,12,3,2,2,6,6,6,1,5,1,5,2,1,6,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,4,3,11,6,5,1,2,1,0,2,2,2,2,5,9,1,3,3,2,4,1,3,1,1,12,2,132,12,3,1,3,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,5,1,2,2,2,2,2,1,1,3,3,1,2,2,75
1,132,13,3,2,2,6,9,6,1,5,1,5,2,0,6,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,2,3,11,6,0,0,1,2,2,3,2,2,1,4,6,2,1,2,2,4,1,2,1,1,7,2,132,13,3,1,3,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,5,1,2,2,2,2,2,2,1,3,3,1,2,3,205
1,132,14,3,3,3,4,8,4,1,5,1,5,2,1,6,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,2,7,3,7,5,1,2,1,2,2,2,2,2,3,4,1,1,2,2,4,1,2,2,1,17,2,132,14,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,5,1,2,2,2,2,2,4,2,3,3,2,4,2,108
1,132,15,3,8,8,6,7,4,1,4,1,3,1,0,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,1,6,9,0,0,3,3,2,1,1,2,1,2,3,3,1,1,2,1,1,1,2,1,1,0,2,132,15,3,1,3,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,6,1,2,1,1,2,2,4,3,5,3,1,3,2,420
1,132,16,3,9,9,6,10,6,1,4,1,5,2,1,6,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,2,7,3,8,5,4,2,2,2,2,2,2,2,3,3,1,2,3,1,0,1,4,2,1,17,2,132,16,3,2,3,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,6,4,2,1,2,2,3,3,2,3,2,0,2,1,91
1,132,17,3,3,3,6,9,6,2,4,1,4,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,1,6,7,7,0,1,1,1,2,2,1,2,2,3,6,1,2,2,2,4,2,4,1,1,17,2,132,17,3,1,3,1,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,1,2,2,2,2,6,3,2,2,1,2,2,2,2,3,2,2,3,1,486
