CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,V.19G.,V.19H.,V.19I.,V.19J.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,V.48.,V.49.,V.50.
1,93,1,3,1,5,2,4,6,7,4,1,2,1,1,1,3,4,2,2,1,4,3,2,11,1,2,1,4,2,0,1,13
1,93,2,3,3,5,1,4,2,7,3,1,1,2,2,1,4,5,1,1,2,1,3,4,11,1,3,1,1,4,0,1,15
1,93,3,3,1,5,2,4,2,7,3,1,3,1,3,1,4,2,1,1,3,1,2,4,11,2,1,4,3,2,3,1,22
1,93,4,3,1,5,1,3,2,2,2,1,1,1,1,1,4,4,2,1,2,4,3,1,11,1,1,4,2,2,2,1,51
1,93,5,3,2,5,1,3,2,2,2,1,2,1,2,2,2,4,1,1,1,2,3,4,11,2,1,4,2,2,3,1,51
1,93,6,3,1,5,1,3,2,1,2,1,2,2,2,1,4,2,1,1,2,4,3,1,11,2,1,4,3,2,3,1,51
1,93,7,3,2,5,1,3,2,1,3,1,2,2,2,1,4,2,2,1,3,4,2,1,0,2,1,4,2,2,3,1,66
1,93,8,3,1,5,2,3,2,2,3,1,4,1,2,1,2,4,2,2,2,1,3,4,6,1,1,3,2,2,1,1,41
1,93,9,3,3,5,2,3,2,3,2,1,1,2,2,1,4,4,2,1,3,4,2,1,1,1,2,1,3,1,0,1,41
1,93,10,3,3,5,1,3,2,2,4,1,3,1,1,2,4,4,1,1,3,4,2,1,11,1,1,4,3,4,2,1,41
1,93,11,3,1,5,1,3,1,1,3,1,2,1,2,1,4,4,2,1,0,2,3,0,11,1,2,1,2,2,0,3,54
1,93,12,3,2,5,1,3,3,7,5,1,1,2,2,1,3,4,3,1,2,4,3,1,1,1,1,4,5,2,2,1,14
1,93,13,3,1,5,1,3,3,7,4,1,1,2,2,1,4,4,2,1,3,4,2,1,11,2,1,4,2,2,3,1,14
1,93,14,3,1,5,2,3,3,7,2,1,2,1,2,1,4,4,3,1,2,1,3,4,6,1,2,1,1,2,0,1,22
1,93,15,3,1,5,2,3,4,1,2,1,1,2,2,1,2,4,1,2,3,4,1,2,8,3,1,4,1,5,2,1,44
1,93,16,3,1,5,2,3,4,1,1,1,2,2,2,1,4,4,1,1,1,2,3,4,11,2,1,4,2,2,3,1,44
1,93,17,2,1,5,2,3,6,5,3,1,3,1,3,2,3,4,2,1,2,4,3,1,6,2,1,4,2,2,3,1,50
1,93,18,3,2,2,1,4,2,7,4,8,1,1,1,1,4,3,3,1,3,4,2,1,0,2,1,4,2,2,3,2,3
1,93,19,3,2,2,1,3,3,7,4,8,1,2,1,1,4,4,2,2,2,4,1,3,11,2,1,2,2,2,2,2,3
1,93,20,3,2,3,3,0,6,6,4,2,1,1,1,1,4,4,1,2,3,1,2,4,11,3,1,4,2,2,2,2,46
1,93,21,2,2,2,1,3,3,7,5,9,1,2,2,1,1,4,2,1,3,4,2,1,0,1,2,1,2,2,0,3,5
