CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23A.,Q.23B.,Q.24.,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.27C.,Q.28A.,Q.28B.,Q.29A.,Q.29B.,Q.30A.,Q.30B.,Q.31.,Q.32A.,Q.32B.,Q.33A.,Q.33B.,Q.35.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.64.,Q.65.,Q.69.,V.70.
1,134,1,1,5,3,1,4,5,3,3,2,3,3,4,3,4,4,1,3,2,1,2,1,1,1,2,4,2,2,3,3,4,4,3,3,3,3,2,1,3,2,2,3,2,1,2,1,2,1,4,3,4,3,3,1,1,1,2,2,2,2,4,3,3,2,1,1,1,2,2,1,3,9
1,134,2,2,4,3,4,5,1,1,3,3,2,2,1,1,3,1,2,1,2,2,1,4,1,1,1,3,1,2,1,1,3,1,3,4,3,3,2,1,3,1,1,1,1,2,2,1,2,3,2,6,2,2,3,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,3,1
1,134,3,2,5,3,1,3,1,2,3,2,2,2,4,2,3,2,2,3,2,2,2,4,1,1,2,3,1,2,2,4,4,4,3,4,3,2,3,2,3,2,1,2,3,2,1,1,2,1,2,3,3,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,3,9
1,134,4,1,5,3,1,4,1,1,3,2,2,2,2,2,3,2,1,3,2,3,4,2,1,1,1,2,1,4,2,2,1,3,2,4,3,2,3,0,0,4,0,2,2,3,3,3,3,3,2,1,3,4,3,3,2,3,2,2,2,3,3,3,2,4,3,2,2,3,2,3,2,6
1,134,5,1,5,3,3,4,1,1,3,2,3,3,4,3,4,3,2,2,2,2,2,4,2,2,3,3,1,3,2,4,1,2,3,4,2,2,2,1,2,3,1,2,1,3,1,1,1,3,3,3,3,2,1,2,1,2,3,1,2,2,2,1,1,1,2,1,1,2,2,2,2,10
1,134,6,1,4,3,1,4,3,1,3,2,4,1,2,1,3,1,3,3,2,3,1,4,1,1,1,3,1,4,4,1,4,1,3,4,3,3,2,1,3,1,1,1,1,2,2,1,2,3,2,6,3,2,3,1,1,2,1,2,2,1,2,1,1,0,0,2,2,2,2,2,3,1
1,134,7,1,5,2,1,4,5,2,3,2,2,2,2,2,3,2,1,3,3,3,2,3,1,4,1,2,3,2,1,1,4,4,4,4,3,3,2,1,3,1,1,1,2,3,2,3,1,1,2,6,3,3,3,1,3,3,2,2,2,1,2,1,1,2,2,1,3,3,2,2,2,3
1,134,8,2,5,3,2,3,1,2,3,1,1,1,1,1,2,2,1,2,3,2,1,4,1,1,1,4,2,2,2,1,4,4,2,4,2,3,2,1,0,2,1,1,3,1,2,1,2,2,1,3,3,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,3,7
1,134,9,1,3,2,1,4,1,1,3,3,3,2,3,2,5,3,2,3,3,2,3,3,1,1,3,2,3,2,2,1,4,4,4,4,2,3,1,1,3,1,1,3,4,2,2,1,3,3,4,3,1,3,3,3,1,3,2,0,0,1,2,2,1,1,1,2,3,1,2,3,3,7
1,134,10,1,4,3,2,4,1,1,3,2,4,3,3,2,3,2,1,4,3,2,2,2,1,1,1,4,1,2,2,3,2,2,4,5,2,1,1,3,3,2,1,3,3,3,3,3,3,3,2,2,3,3,4,2,1,3,1,2,2,1,3,3,3,2,3,2,3,2,2,2,2,7
1,134,11,1,3,3,1,4,1,1,3,2,3,2,2,2,2,2,1,4,3,2,1,2,1,1,1,4,2,1,2,1,4,4,3,4,2,2,1,1,3,2,1,3,1,3,3,3,1,3,2,3,2,2,2,1,1,3,1,1,1,1,1,2,1,2,1,1,1,2,2,2,3,6
1,134,12,1,5,3,1,4,1,1,3,2,3,2,3,3,4,2,3,3,2,3,2,2,1,1,3,2,1,2,2,3,4,4,2,3,3,2,1,1,3,2,1,3,2,2,3,1,2,3,4,2,3,3,2,2,2,4,2,2,2,4,2,3,2,2,3,1,2,4,2,2,3,10
1,134,13,1,3,3,1,3,2,1,3,2,2,3,2,2,4,2,2,3,3,2,2,2,1,1,3,4,3,1,2,1,4,4,2,3,2,2,1,1,2,2,1,2,3,3,2,1,2,1,3,1,3,3,3,1,1,1,2,2,1,1,2,2,3,2,2,1,1,2,2,2,2,11
1,134,14,1,5,3,1,4,1,1,3,2,4,1,2,2,3,4,2,1,3,2,2,3,2,2,2,2,1,1,1,1,4,4,4,4,3,2,1,2,3,2,1,2,1,2,2,1,3,1,2,4,5,4,3,3,2,2,2,1,1,2,2,2,1,2,2,1,1,4,2,2,3,9
1,134,15,3,5,3,1,3,1,1,3,2,1,2,1,1,2,2,1,1,1,2,1,4,1,1,1,2,3,4,2,3,4,4,3,3,3,2,2,2,2,2,1,1,1,2,1,1,1,1,2,3,2,2,3,1,2,3,2,2,1,2,2,2,3,1,1,1,1,2,2,1,3,11
1,134,16,1,4,3,1,4,6,1,3,2,1,1,1,2,5,2,1,2,4,3,4,3,1,2,1,4,1,4,2,4,3,0,3,5,3,2,3,1,3,2,2,1,2,3,2,1,2,2,4,2,1,2,3,3,1,1,2,2,2,2,4,1,1,0,2,1,1,2,2,3,3,7
1,134,17,1,5,3,1,4,1,1,3,2,3,3,2,2,3,2,1,2,2,2,2,2,2,1,1,3,1,2,2,3,4,1,3,3,2,3,3,1,1,3,2,1,2,1,2,1,2,1,2,3,2,2,1,2,1,2,2,2,2,1,2,2,3,2,2,1,2,2,2,2,3,9
1,134,18,1,3,2,2,4,1,2,3,1,2,1,2,2,4,3,2,2,3,2,1,3,1,1,1,2,1,4,2,2,4,4,2,2,2,2,3,1,3,1,1,2,1,3,3,3,2,3,4,4,3,3,1,1,1,4,3,2,1,1,2,2,1,2,2,1,1,3,2,2,3,5
1,134,19,1,4,3,2,4,1,1,3,2,3,2,3,2,4,3,2,2,3,2,1,4,1,1,3,4,1,4,4,3,4,4,3,4,2,2,3,1,3,1,1,2,1,2,3,1,1,3,4,0,4,3,4,2,3,3,2,2,2,1,2,1,1,1,1,1,1,2,2,1,3,2
1,134,20,2,4,4,1,4,6,1,3,2,3,3,4,3,4,3,3,4,3,3,1,4,1,1,3,1,1,4,4,2,4,1,3,3,3,3,3,1,1,2,1,2,2,3,2,2,3,1,5,2,4,2,4,2,2,4,3,2,2,1,2,3,2,2,1,2,2,2,2,2,2,10
