CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29A.,Q.29B.,Q.29C.,Q.29D.,Q.29E.,Q.29F.,Q.29G.,V.29H.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,CARD..1,DECK..1,BALLOT..1,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70A.,Q.70B.,Q.70C.,Q.70D.,Q.70E.,V.70F.,V.70G.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76A.,Q.76B.,Q.78.,Q.80.,Q.81.,Q.83.,Q.84.,Q.85.,Q.86A.,Q.86B.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,V.95.,V.96.,V.97.,V.98.,V.99.,V.100.,V.101.,V.102.,V.103.,V.104.,V.105.,V.106.,V.107.,V.108.,V.109.,V.110.
2,108,7,3,33,3,4,3,23,1,3,0,1,0,0,1,2,1,1,4,1,1,4,3,1,2,2,1,4,2,3,0,0,0,0,0,0,5,3,3,4,3,3,0,0,0,3,2,6,1,0,1,2,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,8,2,10,0,2,5,2,1,4,2,2,4,0,1,1,7,2,3,3,1,1,1,4,1,1,1,1,3,3,1,1,3,2,2,2,0,1,2,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,1,1,6,3,1,1,3,2,1,2,4,2,2,1,1,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,8,3,33,3,4,3,33,1,3,0,1,0,0,2,3,1,1,4,4,1,4,3,2,3,1,2,2,3,2,0,0,0,0,0,0,5,2,2,3,4,1,1,2,3,3,4,3,1,0,1,3,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,9,2,10,5,2,5,6,4,1,2,2,5,1,1,1,7,1,3,3,1,1,1,3,1,2,2,2,1,1,1,1,2,3,2,1,2,3,2,3,3,2,1,2,2,3,2,2,2,2,3,2,3,3,3,3,8,3,2,1,3,2,2,2,3,3,3,2,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,9,3,33,3,4,3,23,2,2,0,1,0,0,2,2,1,2,3,3,1,4,3,3,3,2,2,1,3,2,0,0,0,0,0,0,4,4,2,4,2,2,2,3,3,3,3,6,1,0,1,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,10,2,11,5,2,1,4,3,1,2,2,1,1,2,1,1,2,2,3,1,1,1,4,1,2,3,1,2,2,2,2,3,3,1,2,0,1,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,8,3,3,1,4,3,2,1,4,3,2,1,2,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,10,3,33,2,4,2,32,1,2,0,1,0,0,2,2,2,2,3,3,1,4,3,2,3,2,1,2,3,2,0,0,0,0,0,0,5,3,3,4,2,3,1,1,2,3,2,5,0,8,1,5,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,11,2,9,1,2,1,2,3,1,5,2,1,3,1,2,7,2,2,3,1,1,2,4,1,2,1,1,1,3,3,1,2,3,3,3,0,1,2,3,2,3,2,3,2,4,3,2,3,3,3,3,2,3,3,2,3,3,1,1,4,2,2,2,4,1,3,2,3,4,3,2,3,2,108,11,2,1,3,3,4,3,3,3,2,3,1,1,2,2,1,2,4,4,1,8,2,1,3,1,2,1,3,2,0,0,0,0,0,0,4,4,2,4,4,2,0,1,3,3,3,2,9,14,9,1
1,108,12,2,11,1,2,2,7,4,4,2,2,5,2,2,1,1,2,2,3,2,1,1,4,2,1,2,2,2,3,1,1,2,3,2,2,3,3,2,3,3,2,2,3,2,4,3,3,3,3,3,3,2,3,3,3,8,3,3,2,2,2,1,1,4,3,2,1,2,3,2,2,2,2,108,12,2,3,3,2,2,2,3,3,3,2,1,0,2,2,1,2,4,4,2,6,3,2,3,4,1,2,3,2,0,0,0,0,0,0,3,2,2,4,1,2,2,2,0,3,3,4,8,15,7,1
1,108,13,2,10,1,2,5,1,2,3,3,2,4,2,1,2,7,2,2,3,1,1,1,4,1,3,3,3,1,1,1,1,1,3,2,2,0,3,2,3,3,2,1,3,2,3,3,3,3,3,2,3,3,3,3,3,8,3,3,2,2,1,3,2,4,2,2,1,2,3,3,2,2,2,108,13,2,3,3,3,4,3,3,3,3,2,1,1,2,3,2,2,4,4,6,4,3,2,2,2,2,0,2,3,0,0,0,0,0,0,5,4,3,4,1,0,2,3,0,2,3,2,10,13,7,1
1,108,14,2,10,1,2,5,2,3,4,2,2,2,1,1,1,1,2,2,3,1,1,1,4,1,1,1,2,1,1,2,1,1,2,1,3,0,3,2,2,3,2,2,3,2,3,2,2,3,2,3,3,2,3,2,2,6,3,3,2,2,2,2,1,4,2,2,1,3,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,14,3,33,3,3,3,33,1,3,0,1,0,0,2,2,1,2,4,4,3,2,2,2,3,1,2,0,2,2,0,0,0,0,0,0,5,4,2,4,2,3,3,3,0,2,3,4,0,9,1,2,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,15,2,9,2,2,4,2,4,1,2,2,4,1,1,1,2,1,2,4,1,1,1,4,1,3,2,2,1,3,3,2,1,3,3,2,0,2,1,2,2,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,8,2,3,1,3,1,1,2,4,3,3,1,3,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,15,3,33,2,4,3,32,2,3,0,1,0,0,2,2,1,2,4,4,6,3,2,2,2,2,2,1,2,2,0,0,0,0,0,0,5,3,2,4,0,0,1,1,2,2,3,6,0,7,1,3,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,16,2,11,3,2,5,2,2,1,3,1,4,2,4,1,5,2,2,2,1,1,1,4,1,2,2,2,1,3,2,3,2,1,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,8,3,3,2,4,1,1,2,4,3,2,1,2,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,16,3,33,3,4,2,32,3,3,0,1,0,0,2,2,1,2,4,4,5,3,2,1,2,4,1,2,2,2,0,0,0,0,0,0,5,2,1,2,1,0,1,1,1,2,3,3,0,9,1,3,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,17,2,2,4,1,5,2,1,1,2,2,5,1,1,1,7,1,3,3,1,1,1,3,1,2,2,2,2,2,1,1,3,3,1,2,1,1,2,2,1,3,1,3,2,3,3,3,3,3,1,3,3,2,3,3,8,3,3,2,3,2,1,2,4,2,2,1,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,17,3,33,3,3,3,22,3,3,0,1,0,0,3,2,1,3,5,5,4,2,2,1,1,1,2,1,3,1,0,0,0,0,0,0,4,4,2,3,2,1,2,3,1,1,5,5,1,0,1,1,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,18,2,1,2,1,5,1,3,2,2,2,5,1,1,1,7,1,2,4,1,1,1,4,1,1,1,1,2,2,2,1,1,3,2,2,0,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,4,2,2,2,4,2,3,1,2,4,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,18,3,33,3,3,3,32,3,3,0,1,0,0,2,2,2,2,2,4,4,3,2,2,2,2,2,1,2,2,0,0,0,0,0,0,5,4,3,4,4,2,3,2,1,1,1,5,1,0,1,4,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,19,2,1,3,1,5,1,1,1,2,2,1,1,4,1,7,1,3,3,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,2,0,1,2,2,1,2,2,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,2,1,4,2,2,1,4,3,3,1,2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,19,3,32,2,4,2,32,3,3,0,1,0,0,2,2,1,2,5,5,3,3,2,2,3,1,1,1,3,2,0,0,0,0,0,0,5,4,4,4,4,3,3,3,3,1,3,5,0,8,1,5,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,20,2,1,4,1,5,2,1,2,1,2,4,2,1,2,3,2,1,3,2,2,1,3,4,3,2,2,1,2,2,2,2,3,1,3,2,3,2,3,3,3,1,2,2,3,2,3,3,3,2,3,3,3,1,2,6,3,3,2,4,2,3,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,20,0,0,0,0,2,32,2,2,0,1,0,0,2,2,2,3,4,4,4,3,3,1,2,2,2,1,2,2,0,0,0,0,0,0,1,4,1,1,0,1,1,1,1,1,3,1,0,1,1,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,21,2,10,1,2,4,11,4,1,3,2,5,3,3,2,6,3,2,1,3,4,2,2,3,1,2,2,3,3,0,0,1,0,0,0,0,2,1,1,1,2,2,2,1,3,1,1,2,2,3,3,1,2,2,2,6,2,5,3,1,3,2,2,1,1,1,1,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,21,1,11,1,2,4,0,0,0,0,1,1,8,2,2,1,1,3,1,1,1,1,1,3,1,2,1,1,1,0,0,0,0,0,0,0,3,2,1,1,2,3,1,0,6,2,0,0,2,0,6,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,22,2,9,3,2,3,2,2,3,7,2,5,2,4,2,1,2,3,3,1,1,1,4,1,3,3,1,1,1,0,2,1,0,0,0,0,2,3,2,3,3,3,3,3,3,3,2,3,3,1,2,2,3,1,1,6,3,3,1,4,1,3,1,3,2,2,1,1,3,3,3,3,2,108,22,2,3,3,2,4,4,0,0,0,1,1,16,2,2,2,2,4,4,4,4,0,2,1,1,2,1,2,2,0,0,0,0,0,0,5,3,1,3,1,1,2,1,2,2,2,1,8,11,6,1
1,108,23,2,11,3,2,1,1,1,3,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,3,2,2,1,1,1,1,0,0,0,0,0,1,2,2,1,3,2,2,2,3,3,3,2,2,1,2,2,3,1,1,6,2,3,2,2,2,2,1,3,2,1,1,1,3,2,2,2,2,108,23,2,2,2,2,3,4,0,0,0,0,1,18,1,2,5,2,5,5,4,3,2,2,2,1,2,2,2,3,0,0,0,0,0,0,2,1,4,1,0,3,2,2,0,2,2,4,6,10,6,1
1,108,24,2,9,2,2,5,5,2,4,2,2,5,1,0,1,1,2,2,3,4,1,1,4,4,3,2,2,1,1,2,1,1,1,3,3,0,3,1,1,1,2,1,2,2,1,3,1,3,2,2,1,1,1,3,3,8,3,3,2,2,2,1,1,3,1,3,1,3,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,24,3,23,1,4,2,13,3,3,0,2,0,0,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,3,0,0,0,0,0,0,3,4,2,4,0,2,3,3,0,5,1,3,0,7,0,7,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,25,2,9,3,2,3,2,1,3,2,2,3,1,1,1,1,2,2,3,1,1,1,3,2,3,3,3,3,3,1,1,2,2,1,3,2,1,2,2,3,2,3,2,2,3,2,2,2,1,2,2,2,2,2,2,7,3,3,2,3,2,2,2,3,2,3,1,2,3,2,3,3,2,108,25,2,3,3,3,3,1,2,2,3,3,2,0,2,2,2,2,2,2,1,3,2,1,1,2,2,1,1,1,0,0,0,0,0,0,3,4,2,4,0,2,3,3,1,4,0,4,9,6,7,1
1,108,26,2,9,2,2,2,6,2,2,2,2,1,1,1,1,7,2,2,3,1,1,1,3,1,1,2,3,3,3,3,1,1,2,3,2,0,3,2,2,1,2,2,2,1,2,2,1,3,2,2,2,2,2,3,3,8,3,3,1,2,3,2,2,3,2,1,1,1,3,3,3,3,2,108,26,2,3,3,3,4,2,3,2,2,1,2,0,2,2,1,2,4,4,1,3,2,2,2,1,2,0,2,3,0,0,0,0,0,0,4,4,3,2,2,2,3,2,1,4,3,4,10,8,7,1
1,108,27,2,10,2,2,1,2,4,2,2,2,1,1,1,2,7,2,2,2,1,1,1,3,1,3,2,2,3,3,3,3,1,3,3,3,0,2,2,2,2,2,1,1,1,3,2,1,1,1,3,2,2,1,2,1,5,3,3,2,2,1,2,2,3,2,1,1,2,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,27,3,33,2,3,3,33,2,3,0,2,0,0,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,1,0,0,0,0,0,0,4,2,3,2,1,1,2,1,0,3,1,3,0,8,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,28,2,10,1,2,1,11,3,2,4,2,2,1,1,1,7,1,2,3,1,1,1,4,1,3,3,1,3,3,2,2,2,3,2,3,0,4,2,2,1,2,2,2,2,4,2,2,3,3,1,2,2,3,2,2,6,3,2,1,4,2,2,1,4,3,3,2,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,28,3,33,3,4,3,32,2,3,0,2,0,0,2,2,2,2,4,4,1,4,2,2,2,2,2,1,2,2,0,0,0,0,0,0,5,4,1,4,2,3,3,0,3,3,2,6,1,0,0,9,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,29,2,9,1,2,1,1,4,2,2,2,1,1,1,1,7,1,1,3,1,1,1,2,1,3,2,3,3,3,0,2,2,3,2,0,0,4,1,1,1,2,1,1,1,1,2,2,3,2,1,2,1,2,2,1,6,2,4,2,2,2,2,1,1,2,1,1,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,29,1,32,1,3,1,23,2,2,0,2,0,0,2,2,1,2,4,4,4,1,2,2,2,1,2,1,1,1,0,0,0,0,0,0,4,2,4,2,1,3,3,0,0,3,3,4,0,4,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,30,2,10,3,2,3,3,1,2,3,2,1,1,1,1,1,3,2,3,1,1,1,4,1,3,2,2,1,1,2,2,2,3,3,2,0,4,2,2,2,2,1,2,2,3,3,1,2,1,3,3,3,3,2,1,5,3,2,1,4,2,2,1,4,3,2,1,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,30,3,33,3,4,3,32,1,2,0,2,0,0,2,2,1,3,2,3,1,4,2,2,3,3,2,1,1,2,0,0,0,0,0,0,5,2,3,4,0,3,2,0,3,2,3,5,0,9,0,8,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,31,2,9,4,1,2,2,2,1,2,2,3,1,1,1,7,1,2,3,1,1,1,3,1,1,1,3,1,1,1,1,2,2,2,1,0,3,2,2,1,2,2,3,2,4,3,3,3,3,3,3,3,3,3,3,8,2,2,1,3,1,1,2,2,2,2,3,3,4,2,1,4,2,108,31,2,3,3,2,2,3,3,3,2,2,2,0,1,2,1,2,4,4,1,2,1,3,3,1,2,2,3,2,0,0,0,0,0,0,4,2,2,4,3,0,3,3,3,5,3,4,7,15,7,1
1,108,32,2,10,2,2,4,3,1,1,2,2,5,1,1,2,7,2,2,3,1,1,1,4,1,1,1,3,1,3,2,1,1,3,1,2,0,3,1,1,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,8,3,3,2,3,2,2,2,4,2,1,1,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,32,3,33,2,4,3,23,1,2,0,2,0,0,2,2,1,2,5,5,2,3,2,1,3,1,2,0,2,3,0,0,0,0,0,0,5,4,2,3,3,2,3,3,1,5,3,3,0,8,1,5,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,33,2,9,2,2,1,1,2,1,2,2,1,2,2,1,7,2,3,3,2,2,1,3,3,2,3,3,1,3,2,2,1,3,1,2,0,3,1,2,3,2,3,3,1,3,3,3,3,2,2,3,3,3,3,3,8,3,3,2,2,2,2,1,4,3,3,1,1,3,3,2,3,2,108,33,2,3,3,3,4,3,2,2,1,1,2,0,2,2,1,2,4,4,1,1,1,1,3,1,2,1,2,2,0,0,0,0,0,0,1,4,4,3,2,3,3,2,0,5,3,4,9,14,9,1
1,108,34,2,10,1,2,3,2,4,1,3,2,4,1,1,1,7,2,2,2,1,1,1,4,1,1,1,1,1,1,3,1,1,3,2,3,0,3,2,2,1,2,3,2,1,3,3,2,3,3,3,3,3,2,3,3,8,3,2,1,2,2,2,1,4,3,2,1,2,3,3,3,3,2,108,34,2,3,3,3,4,3,3,2,1,2,2,0,2,2,2,2,4,0,1,2,2,2,3,1,2,0,2,2,0,0,0,0,0,0,5,4,2,3,4,3,3,2,2,4,1,5,10,11,9,1
1,108,35,2,11,2,2,4,11,4,3,2,2,1,1,1,1,1,2,2,3,2,1,1,3,4,3,3,2,1,1,3,1,1,3,1,2,0,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,4,3,2,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,35,3,33,3,4,2,22,2,1,0,2,0,0,2,3,1,2,4,4,1,2,2,2,3,1,2,1,2,2,0,0,0,0,0,0,2,4,3,4,0,2,2,3,0,4,4,5,1,0,1,5,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,36,2,11,5,2,2,9,2,2,2,1,5,1,1,1,2,1,3,4,1,1,1,4,1,3,2,2,2,2,3,2,3,3,2,2,2,2,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,8,1,1,1,4,1,1,3,4,3,3,3,3,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,108,36,3,33,3,3,2,32,2,3,0,2,0,0,1,1,4,1,2,2,2,2,3,1,3,2,2,1,3,2,0,0,0,0,0,0,5,3,1,4,0,0,0,0,3,4,0,6,0,6,1,5,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,37,2,10,5,2,4,5,2,1,3,2,5,1,1,1,7,2,2,3,1,1,1,3,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,3,1,2,2,3,2,2,2,2,3,2,2,3,3,3,8,3,2,2,2,2,2,1,4,3,1,2,1,3,2,2,1,2,108,37,2,3,3,3,4,2,1,2,3,2,2,0,2,3,1,3,3,1,1,3,2,4,3,2,2,1,2,2,0,0,0,0,0,0,4,4,2,2,3,3,1,0,1,4,4,5,7,10,7,1
