COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78
1,230,844,2,10,3,3,1,3,3,1,4,4,1,1,2,3,1,4,3,2,1,3,3,1,2,2,1,1,1,2,2,1,2,3,1,2,1,2,2,2,1,1,2,1,2,1,2,2,5,3,2,1,1,2,4,1,2,1,5,2,2,2,2,1,1,2,2,1,1,2,3,2,,223,84,41,2
1,230,845,2,11,4,3,1,2,10,2,4,1,1,1,2,3,2,2,2,2,1,1,2,1,2,2,1,1,0,1,0,2,1,3,3,1,1,2,2,2,1,1,2,1,2,2,2,2,5,1,1,1,3,0,1,3,0,2,5,2,0,0,0,0,0,0,0,0,0,0,2,0,,223,84,51,2
1,230,846,1,5,3,3,0,1,9,2,2,1,3,0,2,3,2,2,1,1,1,2,3,1,2,2,1,1,1,3,3,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,5,2,3,2,2,2,1,2,1,5,1,1,2,0,3,2,3,0,5,3,3,0,2,,223,84,61,4
1,230,847,1,5,5,3,2,2,5,2,2,1,1,1,2,3,2,2,2,2,1,2,2,1,2,2,1,1,1,1,4,2,1,4,2,1,1,2,2,2,1,2,2,1,2,1,2,2,5,2,1,1,1,2,4,3,1,1,1,1,3,2,2,2,3,1,2,2,2,3,2,1,,223,84,71,3
1,230,848,1,5,5,3,4,2,3,2,4,2,1,1,2,3,2,2,2,1,1,3,2,2,2,2,1,1,1,1,4,1,2,3,2,2,1,2,2,2,1,2,1,1,2,2,1,2,5,2,2,1,1,2,3,2,1,1,2,2,1,2,1,3,2,1,2,2,2,2,1,2,,223,84,81,3
1,230,849,1,9,3,3,1,2,3,2,2,1,1,1,2,3,2,2,1,2,1,2,2,1,1,2,1,1,1,2,4,2,1,3,2,2,1,1,2,2,1,1,2,1,2,2,2,2,5,2,2,1,1,3,3,2,2,2,5,2,1,3,1,1,2,1,2,1,1,1,2,2,,223,84,91,3
1,230,850,1,9,4,3,2,2,5,3,2,2,1,2,2,3,2,3,2,3,1,2,2,0,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,5,0,1,1,2,1,3,2,2,1,2,1,1,2,2,2,2,1,2,3,2,1,2,0,,223,85,1,3
1,230,851,1,9,2,3,1,2,3,2,4,1,1,1,2,3,1,1,2,1,1,3,2,1,2,2,1,1,1,2,4,2,1,3,2,2,2,1,2,2,1,1,1,1,2,2,2,2,5,1,1,1,1,1,3,2,1,0,1,2,2,2,2,2,1,1,2,2,2,3,1,2,,223,85,11,0
1,230,852,1,9,2,6,1,2,3,1,4,1,1,1,2,3,1,2,1,2,1,2,2,1,2,2,1,1,1,2,4,2,1,3,2,2,1,2,1,2,1,1,1,2,2,2,2,2,5,1,1,1,1,2,3,2,1,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,,223,85,21,1
1,230,853,1,9,2,6,2,4,7,2,2,2,1,1,2,3,2,2,2,2,1,2,2,1,2,2,1,2,1,2,0,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,5,1,1,1,1,1,4,2,1,1,2,1,3,3,2,3,2,1,2,2,2,1,2,0,,223,85,31,3
