COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130,COL131,COL132,COL133,COL134,COL135,COL136,COL137,COL138,COL139,COL140,COL141,COL142,COL143,COL144,COL145,COL146,COL147,COL148,COL149,COL150,COL151,COL152,COL153,COL154,COL155,COL156,COL157,COL158,COL159,COL160,COL161,COL162,COL163,COL164,COL165,COL166,COL167,COL168,COL169,COL170,COL171,COL172,COL173,COL174,COL175,COL176,COL177,COL178,COL179,COL180,COL181,COL182,COL183
1,35,1,2,5,6,1,2,4,1,3,2,5,1,4,646,2,3,2,2,1,1,1,1,4,3,6,3,3,3,2,3,6,9,7,3,4,1,3,2,2,2,1,2,99,3,99,4,8,2,10,4,6,2,5,2,,203,5000,1,20,20,2,1,1,1,1,2,3,1,1,2,1,1,1,1,1,6,1,1,1,6,6,21,11,11,21,21,1,10,6,70,9,4,9,99,99,9,9,99,99,99,99,90,10,99,99,9,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,2,2,2,6,1,2,5,1,1,1,11,3,5,521,3,6,2,1,4,2,2,1,1,7,4,5,4,3,1,3,6,6,8,12,1,1,2,1,1,2,2,1,99,1,99,3,6,4,10,8,2,2,8,1,,203,5000,2,20,11,1,1,1,1,5,2,1,1,2,2,1,1,1,1,1,6,2,3,2,6,6,21,1,0,31,11,1,10,1,70,9,4,9,99,99,9,9,99,99,99,99,90,50,99,99,9,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,3,2,5,4,1,2,5,1,1,2,9,1,4,521,3,2,1,1,4,2,2,1,1,1,6,3,1,2,2,3,6,12,0,4,5,3,3,2,3,3,1,2,99,3,99,3,8,10,6,4,2,2,6,1,,203,5000,3,20,11,1,1,1,1,3,4,3,1,1,2,1,1,1,1,1,6,1,2,1,6,6,21,11,11,21,21,1,10,9,70,9,4,9,99,99,9,9,99,99,99,99,91,1,9,99,9,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,4,2,3,4,1,2,5,1,1,1,11,3,5,521,3,6,3,1,2,2,3,1,1,8,4,2,4,2,2,3,6,11,10,4,4,1,3,2,2,2,1,2,99,3,99,3,8,4,10,6,2,2,6,2,,203,5000,4,21,11,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,6,2,2,2,6,6,20,10,20,11,11,1,10,5,70,9,4,9,99,99,9,9,99,99,99,99,90,80,89,99,9,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,5,2,4,5,3,1,4,1,1,2,7,1,4,521,3,2,1,2,1,1,2,1,1,1,6,3,2,1,3,3,6,6,11,1,1,3,2,1,3,3,2,2,99,2,99,2,8,6,10,2,4,3,8,2,,203,5000,5,20,11,1,1,1,1,1,3,3,1,3,3,1,1,1,2,1,6,4,4,2,1,3,21,11,11,21,21,1,10,1,70,9,4,9,99,99,9,9,99,99,99,99,91,1,9,99,9,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,6,2,2,4,1,5,5,1,2,1,11,3,5,177,2,2,1,2,4,1,1,1,2,2,6,3,4,4,3,1,6,7,0,3,5,3,2,1,1,1,1,1,99,2,99,4,6,10,8,4,2,2,8,2,,203,5000,6,20,30,2,1,2,1,1,3,2,1,3,3,1,1,1,2,2,5,4,7,2,6,6,21,11,11,21,21,1,11,0,81,0,5,9,99,99,9,9,99,99,99,99,90,0,9,99,9,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,7,2,2,5,2,2,5,1,1,1,11,3,5,177,2,2,1,1,4,2,1,1,2,1,6,3,2,1,2,3,6,11,6,3,2,3,2,3,3,3,3,1,99,1,99,3,4,10,8,6,2,2,8,1,,203,5000,7,20,30,4,1,1,5,1,3,3,1,2,2,1,1,1,2,1,6,2,3,2,6,6,20,50,11,11,11,1,10,9,70,9,4,9,99,99,9,9,99,99,99,99,90,10,99,99,9,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,8,2,6,4,1,2,3,1,3,2,9,1,2,929,2,3,1,2,4,1,1,2,4,1,6,3,2,2,4,1,6,9,12,4,4,1,4,3,3,3,1,3,99,3,99,6,10,4,8,6,2,3,4,2,,203,5000,8,20,20,2,1,1,5,5,2,3,1,1,1,1,1,1,1,1,6,1,1,1,3,1,21,1,0,21,11,1,10,9,70,9,4,9,99,99,9,9,99,99,99,99,91,1,9,99,9,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,9,2,2,5,1,2,2,3,3,1,11,3,5,540,2,3,1,1,4,2,2,1,1,1,6,3,2,1,1,3,6,0,0,1,5,1,3,3,3,3,1,3,99,1,99,2,1,4,10,6,2,2,4,1,,203,5000,9,20,11,1,1,1,1,5,3,3,1,3,3,1,1,1,1,1,5,1,7,1,1,5,21,11,11,21,21,1,10,1,70,9,4,9,99,99,9,9,99,99,99,99,91,1,9,99,9,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,10,2,2,4,1,2,2,1,2,1,11,3,5,521,3,3,1,1,2,2,3,3,2,10,7,4,2,3,1,3,6,6,11,7,1,3,2,3,1,1,3,1,99,1,99,2,4,8,10,6,2,2,6,1,,203,5001,0,20,31,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1,5,2,1,2,1,3,21,11,11,21,21,1,10,1,70,9,4,9,99,99,9,9,99,99,99,99,91,1,9,99,9,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
