CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46A.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,CARD..1,DECK..1,BALLOT..1,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,V.79.,V.80.
1,112,1061,1,1,1,1,2,3,2,5,5,4,4,0,2,3,2,2,1,1,1,1,5,1,2,2,3,0,5,5,0,3,3,1,1,1,3,3,1,1,1,1,2,2,2,3,2,2,2,2,3,1,1,2,1,2,2,4,1,0,0,1,2,4,1,3,0,1,2,2,0,3,3,2,112,1061,0,3,0,4,3,0,91,25
1,112,1062,1,2,1,1,2,1,2,4,1,1,3,1,4,3,1,2,2,1,2,2,2,2,1,3,2,1,2,2,2,1,0,5,0,5,0,0,5,5,5,5,7,5,0,2,2,2,1,3,2,4,3,3,4,3,2,2,1,2,1,3,2,2,4,3,3,3,3,2,3,0,1,2,112,1062,2,1,1,1,3,2,33,80
1,112,1063,1,3,2,1,2,1,4,4,3,2,4,2,2,5,1,2,4,2,2,2,3,3,1,3,3,1,1,2,4,3,0,5,0,5,0,0,5,5,5,5,7,5,0,3,3,3,2,3,5,6,4,0,3,2,2,3,2,4,0,2,0,0,3,3,2,3,4,2,3,3,2,2,112,1063,1,0,4,2,2,2,32,47
1,112,1064,1,1,1,1,2,1,3,4,4,1,1,1,5,5,1,3,3,1,1,4,1,1,1,2,3,2,1,1,4,1,1,1,5,4,3,3,2,4,4,4,3,2,2,2,2,3,1,3,3,4,0,5,0,3,3,4,4,4,5,4,2,2,3,1,4,4,4,1,3,2,3,2,112,1064,1,2,3,3,3,3,52,54
1,112,1065,1,3,2,1,2,2,3,5,0,0,0,0,1,6,0,1,1,5,3,5,6,0,1,1,1,2,5,5,1,1,1,1,1,1,1,1,1,5,5,5,7,0,3,3,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,112,1065,0,3,0,4,3,0,71,76
1,112,1066,1,1,1,1,2,1,3,4,4,4,5,4,5,5,1,3,4,4,2,4,4,3,1,1,2,2,4,2,4,1,1,4,5,4,1,1,4,4,4,4,5,3,3,3,3,3,3,3,4,5,4,5,4,4,3,3,4,4,5,4,3,1,2,1,4,4,4,2,1,2,1,2,112,1066,3,3,3,3,3,3,31,73
1,112,1067,1,1,1,1,2,1,2,5,3,1,1,2,2,2,1,2,2,1,3,3,1,1,3,4,3,1,1,1,2,1,1,1,3,2,1,1,1,1,1,3,4,1,1,3,1,1,3,2,1,1,2,4,1,2,1,1,1,2,2,2,3,0,1,3,1,2,1,1,1,3,1,2,112,1067,1,1,1,1,1,1,63,58
1,112,1068,1,1,1,1,2,2,1,3,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,3,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,4,1,3,1,1,1,1,3,2,1,2,112,1068,1,1,1,1,1,1,92,71
1,112,1069,1,5,1,1,2,0,2,6,4,2,0,2,5,6,1,0,2,5,3,2,5,0,3,5,3,1,5,5,2,3,1,5,3,5,1,1,1,4,4,1,5,3,3,3,3,3,0,3,4,5,4,0,4,3,4,3,0,3,0,0,0,0,0,0,0,0,0,5,0,2,3,2,112,1069,0,3,1,2,0,4,32,42
1,112,1070,1,3,1,1,2,2,1,5,2,1,2,2,2,2,2,2,2,2,3,1,1,2,2,4,3,2,1,2,2,2,2,2,2,4,1,1,2,2,1,1,2,2,2,1,2,2,2,2,4,2,1,3,3,1,1,2,5,2,2,2,3,3,5,3,3,3,2,2,4,2,1,2,112,1070,1,1,1,1,1,1,73,40
1,112,1071,1,3,1,1,2,1,3,5,1,1,2,2,3,3,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,3,1,4,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,3,2,2,2,2,3,2,1,2,112,1071,1,1,1,1,1,1,54,52
1,112,1072,1,1,1,1,2,1,2,3,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,5,3,1,1,2,1,2,2,1,1,2,2,112,1072,2,3,2,2,3,2,92,32
1,112,1073,1,1,1,1,2,1,2,3,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,3,1,2,2,3,1,1,2,3,3,2,1,2,1,2,4,4,3,3,2,2,2,3,3,4,4,4,3,1,2,1,1,5,3,3,2,4,4,5,3,2,2,2,2,2,2,1,2,112,1073,2,1,1,3,3,2,31,28
1,112,1074,1,1,1,1,2,1,2,4,2,2,4,2,2,1,1,2,4,2,2,1,2,1,2,3,1,2,1,2,4,2,2,2,3,1,2,1,1,4,3,2,4,3,0,3,3,2,3,3,4,3,2,1,3,2,1,3,1,4,3,3,2,4,3,6,4,2,2,3,2,2,2,2,112,1074,3,3,2,3,1,2,12,61
1,112,1075,1,1,1,1,2,1,3,4,5,4,5,3,5,4,2,3,3,2,2,3,5,5,3,3,3,2,1,2,3,2,2,3,3,3,2,1,1,3,2,1,4,2,2,3,2,2,1,3,4,5,2,4,2,2,3,2,3,2,3,2,0,2,3,6,3,1,4,3,4,1,3,2,112,1075,2,3,1,2,2,2,21,35
1,112,1076,1,1,1,1,2,1,1,4,2,2,2,2,3,2,2,1,3,2,1,1,2,1,1,0,2,1,1,1,2,1,1,2,1,3,3,1,1,2,2,3,4,2,2,2,1,2,3,1,3,4,1,3,2,2,2,3,1,1,4,3,3,4,5,6,3,1,1,1,4,3,2,2,112,1076,3,2,1,3,3,2,53,50
1,112,1077,1,1,1,1,2,1,4,4,4,3,5,4,5,5,1,3,2,3,2,3,4,1,1,1,3,2,4,2,4,2,2,3,4,3,3,1,1,4,3,1,4,3,3,2,1,3,3,2,3,4,2,4,2,1,4,3,3,3,4,3,1,1,3,1,4,1,2,1,1,0,1,2,112,1077,1,2,1,3,1,3,32,9
1,112,1078,1,5,1,1,2,2,4,4,4,2,5,3,4,4,1,3,4,3,2,2,2,1,3,4,3,1,2,3,4,2,2,3,4,4,3,1,4,4,3,3,5,4,1,3,3,3,2,3,5,4,3,4,4,2,3,3,3,4,5,4,2,3,3,1,4,2,2,2,3,1,3,2,112,1078,3,3,1,3,1,3,92,61
1,112,1079,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,3,2,2,1,2,3,1,2,2,4,1,6,2,3,3,2,3,3,3,4,5,2,1,1,2,4,1,2,4,4,1,3,4,5,1,4,3,1,1,4,2,2,2,112,1079,1,1,1,2,1,1,52,15
1,112,1080,1,1,1,1,2,1,3,4,3,3,4,3,4,3,2,2,4,4,1,4,5,2,2,1,1,1,3,4,1,1,1,3,5,3,1,2,2,2,2,2,6,4,2,2,2,3,2,3,4,1,4,3,1,3,1,3,3,4,3,1,3,1,3,1,1,2,4,1,1,2,3,2,112,1080,3,3,3,3,2,0,22,11
1,112,1081,1,3,2,1,2,1,4,4,4,1,3,1,1,3,1,1,2,3,1,1,3,2,2,2,2,2,1,1,2,2,1,4,3,2,1,2,1,2,2,2,5,2,2,3,2,3,3,2,3,1,1,2,2,2,2,2,1,2,2,2,3,3,2,3,2,2,2,2,1,2,1,2,112,1081,2,2,1,1,3,2,21,13
1,112,1082,1,1,1,1,2,1,2,3,2,1,1,2,2,2,2,2,2,1,3,2,1,2,2,4,3,1,1,2,2,1,2,2,2,3,1,2,2,1,2,2,4,2,2,2,2,2,2,2,2,1,2,3,1,2,1,1,1,2,2,1,4,2,1,3,1,2,1,1,2,3,1,2,112,1082,2,2,1,1,1,1,22,23
1,112,1083,1,1,1,1,2,2,2,4,1,1,2,3,2,3,1,3,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,3,4,2,2,2,2,4,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,4,5,2,2,4,1,1,2,2,2,3,3,2,3,2,112,1083,2,2,1,3,3,2,73,66
1,112,1084,1,2,2,1,2,1,3,4,2,1,1,3,3,2,2,2,1,2,3,1,2,2,2,2,3,2,1,2,4,1,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,3,2,2,3,4,3,5,3,2,2,2,2,2,2,1,2,112,1084,1,1,1,1,1,1,12,25
1,112,1085,1,1,1,1,2,1,2,3,2,2,4,2,3,3,2,2,2,2,1,2,2,2,2,3,3,1,1,2,2,1,1,2,3,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,4,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,112,1085,2,1,2,1,3,0,83,1
1,112,1086,1,1,1,1,2,1,2,4,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,5,3,0,2,3,3,3,3,4,2,2,2,2,2,2,1,2,2,2,2,4,3,1,3,2,2,2,1,3,2,1,2,112,1086,2,2,1,1,1,1,31,55
1,112,1087,1,1,1,1,2,2,3,4,5,2,1,2,3,3,2,1,2,1,1,1,1,2,3,3,2,2,1,2,2,3,1,5,3,3,2,2,2,2,3,3,4,2,1,1,2,1,2,2,3,3,2,5,2,4,3,2,3,4,4,2,1,1,3,1,2,2,4,4,4,2,1,2,112,1087,1,2,3,3,1,1,82,34
1,112,1088,1,1,1,1,2,1,3,4,3,1,5,2,4,2,2,1,2,2,3,2,2,2,2,2,2,1,1,3,2,1,2,1,3,2,2,2,2,3,1,1,2,2,2,2,2,2,1,2,4,1,1,2,1,1,1,1,1,1,1,3,2,4,4,3,2,2,1,1,1,2,2,2,112,1088,1,1,1,2,1,2,23,46
1,112,1089,1,1,1,1,2,2,2,2,1,1,2,1,5,3,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,4,2,2,2,2,2,2,2,2,1,3,2,2,2,3,2,2,2,2,2,2,2,1,3,2,2,1,4,2,4,1,2,2,2,1,3,2,2,2,112,1089,2,1,1,2,1,2,71,60
1,112,1090,1,1,1,1,2,1,2,3,2,1,2,2,3,3,2,2,2,1,2,1,1,1,2,2,1,1,2,1,3,1,2,2,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,4,2,2,3,5,3,3,2,3,2,5,3,2,2,1,1,1,2,2,2,112,1090,1,2,1,4,1,1,53,69
1,112,1091,1,1,1,1,2,1,2,3,3,2,3,3,3,3,1,2,2,2,3,2,2,2,3,3,3,6,2,2,4,1,2,2,4,4,2,2,2,3,3,3,4,2,1,2,2,2,2,2,2,4,3,3,2,2,2,3,3,3,4,2,3,2,3,3,2,2,2,2,2,2,2,2,112,1091,2,1,1,3,1,2,34,55
1,112,1092,1,1,1,1,2,1,2,5,2,1,3,2,2,3,2,2,1,2,5,5,6,0,0,5,2,2,1,1,2,2,2,2,2,3,2,2,4,3,3,2,6,2,3,3,3,3,3,3,4,4,4,3,3,2,3,4,3,2,2,2,2,3,3,2,3,4,2,3,4,2,1,2,112,1092,3,3,2,1,0,4,92,33
1,112,1093,1,1,1,1,2,1,4,4,3,3,5,3,4,5,1,3,3,3,3,3,2,3,1,1,1,1,1,2,4,2,2,4,5,4,2,2,2,3,3,2,5,3,3,3,2,3,3,3,4,4,2,2,1,1,1,4,3,3,4,3,4,3,2,2,2,2,2,2,1,3,1,2,112,1093,3,1,1,3,3,3,24,36
1,112,1094,1,1,1,1,2,1,4,4,3,4,4,4,4,4,1,3,3,2,2,3,3,2,1,2,3,3,2,3,3,2,2,3,4,4,2,2,3,3,4,4,4,3,2,2,2,3,2,2,4,4,3,3,2,2,3,3,3,3,4,3,3,2,3,2,4,4,3,2,1,2,3,2,112,1094,3,3,2,2,3,0,14,51
1,112,1095,1,2,1,1,2,1,4,4,2,4,5,2,5,3,2,3,3,2,3,1,2,2,2,4,3,1,4,1,4,2,2,2,5,3,2,2,2,2,3,4,3,2,3,2,2,2,2,2,4,3,3,5,3,2,2,2,5,1,1,3,2,2,1,1,4,4,3,1,2,0,3,2,112,1095,3,2,1,2,2,2,32,50
1,112,1096,1,1,1,1,2,1,2,4,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,5,2,2,2,2,2,3,2,2,2,2,3,3,4,4,2,2,2,1,1,2,112,1096,2,1,1,2,2,3,31,63
1,112,1097,1,1,1,1,2,1,3,4,2,3,3,2,3,3,1,2,3,2,3,3,3,2,2,2,2,2,2,1,3,2,2,3,3,2,2,2,3,3,2,2,4,3,3,3,3,3,3,3,4,4,3,3,3,2,3,3,3,2,3,1,2,3,1,3,2,1,2,2,2,2,1,2,112,1097,1,2,1,1,2,2,24,28
1,112,1098,1,1,1,1,2,1,1,1,4,1,3,1,1,2,2,2,1,2,1,1,2,2,2,4,2,2,2,2,2,2,2,2,3,5,2,2,2,2,1,5,2,2,1,3,3,1,1,3,4,1,1,1,3,2,2,3,3,2,2,2,0,3,1,3,0,0,2,2,4,2,2,2,112,1098,1,1,1,1,1,1,31,39
1,112,1099,1,3,2,1,2,1,3,4,3,1,5,2,2,4,2,2,3,2,1,1,2,2,2,1,2,1,1,1,3,3,3,2,4,4,2,2,2,1,2,2,5,4,1,3,2,3,3,3,4,1,3,1,3,2,1,1,3,3,2,2,2,4,0,0,0,0,0,5,0,0,0,2,112,1099,4,0,4,4,0,4,12,51
1,112,1100,1,5,1,1,2,1,2,1,5,3,4,4,2,5,1,3,3,4,3,4,4,5,1,1,3,1,1,3,4,1,1,4,5,4,3,2,3,4,4,3,5,4,0,3,2,3,2,3,5,5,5,5,4,4,4,4,4,4,5,4,1,3,3,1,4,4,0,1,2,2,3,2,112,1100,3,3,3,2,1,3,32,80
1,112,1101,1,1,1,1,2,1,2,2,4,1,2,1,1,2,2,2,2,1,1,2,3,1,2,4,2,2,1,2,2,1,1,2,5,4,3,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,3,2,1,3,2,2,2,3,1,3,3,3,3,4,1,2,2,2,0,1,2,112,1101,2,2,2,2,1,2,32,5
1,112,1102,1,1,1,1,2,1,3,4,2,2,3,4,3,4,1,2,2,2,2,2,2,2,1,3,2,2,2,3,3,2,1,2,2,4,3,2,2,2,4,2,6,2,3,3,1,3,2,3,0,4,4,3,1,4,3,4,2,3,5,3,2,3,4,6,4,4,4,2,4,0,1,2,112,1102,3,3,1,3,3,3,31,6
1,112,1103,1,1,1,1,2,2,2,4,4,4,3,2,0,6,0,0,5,5,5,5,6,0,0,5,3,3,3,3,4,2,2,3,5,4,3,2,2,2,3,3,4,4,3,2,2,3,3,2,4,4,4,4,4,3,3,4,4,4,5,2,1,1,3,0,4,3,4,1,3,0,2,2,112,1103,2,3,3,3,1,3,73,77
1,112,1104,1,2,2,1,2,2,1,4,4,3,5,4,5,5,1,3,4,4,4,4,5,4,1,3,3,5,3,4,4,2,2,4,5,4,3,2,4,4,4,4,5,3,3,3,2,3,3,0,1,3,4,4,4,2,3,4,4,4,4,4,2,2,3,2,4,2,4,2,2,3,0,2,112,1104,2,3,2,3,2,2,82,12
1,112,1105,1,1,1,1,2,1,4,4,4,4,2,3,4,3,1,3,2,2,3,3,2,2,1,3,3,6,2,4,4,2,2,3,5,4,3,2,3,3,3,3,5,4,3,3,3,3,3,3,5,5,5,4,3,3,3,4,3,4,5,4,2,2,3,1,4,3,3,3,4,2,2,2,112,1105,2,1,2,3,1,3,14,55
1,112,1106,1,1,1,1,2,2,4,4,4,3,5,4,5,5,1,3,4,4,2,4,3,3,1,1,3,2,2,2,4,2,2,4,5,4,3,2,3,3,3,3,5,3,3,3,3,3,3,3,4,4,4,2,3,3,3,3,2,3,4,3,3,1,3,0,0,0,0,5,0,3,0,2,112,1106,4,0,4,4,0,4,13,64
