CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46A.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,CARD..1,DECK..1,BALLOT..1,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,V.79.,V.80.
1,112,1051,1,1,1,1,2,1,2,3,4,4,2,2,1,2,2,2,2,1,1,2,1,2,2,4,2,2,2,2,2,3,1,2,4,4,3,3,3,1,3,4,6,2,2,2,2,2,0,2,2,2,4,5,2,2,2,3,5,4,4,1,1,1,3,3,3,4,2,2,4,2,2,2,112,1051,2,1,2,3,1,3,24,16
1,112,1052,1,1,1,1,2,1,3,3,4,3,5,3,3,5,1,3,4,3,2,3,4,3,1,3,3,3,4,3,4,2,2,3,4,4,3,3,3,3,4,4,6,4,3,2,3,3,3,3,4,4,4,4,3,3,3,3,4,3,4,3,1,1,3,4,4,4,2,2,4,2,3,2,112,1052,3,3,3,2,1,4,11,48
1,112,1053,1,1,1,1,2,1,2,2,3,3,4,3,3,5,1,3,4,2,3,4,1,1,1,4,3,3,2,2,4,2,2,4,5,4,3,3,2,4,4,2,4,2,2,3,2,2,2,3,4,4,2,3,4,2,4,4,4,3,5,3,2,1,1,3,4,2,1,1,4,2,3,2,112,1053,3,3,3,1,1,3,11,39
1,112,1054,1,1,1,1,2,1,3,1,3,3,3,3,4,5,1,3,4,3,2,2,2,2,1,3,3,1,1,1,4,2,2,3,4,4,3,3,4,3,4,3,3,3,1,1,0,3,3,2,4,4,3,4,3,2,2,4,2,3,4,4,3,3,5,3,4,4,0,1,4,2,3,2,112,1054,3,3,1,2,1,3,32,55
1,112,1055,1,1,2,1,2,1,4,4,2,3,5,4,5,5,1,3,4,2,4,4,3,2,1,1,3,1,2,4,4,2,2,3,5,4,3,3,1,4,4,4,5,4,3,3,3,3,3,3,4,5,4,4,3,2,4,4,5,4,5,4,2,4,5,1,4,4,4,1,1,0,3,2,112,1055,3,3,3,3,3,1,51,1
1,112,1056,1,1,1,1,2,1,3,4,4,3,5,2,3,5,1,2,3,3,2,2,3,3,1,4,1,1,1,1,3,2,2,3,4,4,3,3,3,3,3,3,5,4,2,3,3,2,3,3,4,5,5,3,4,2,2,4,5,3,4,2,2,1,5,1,4,4,2,3,3,2,1,2,112,1056,1,2,1,2,1,1,51,50
1,112,1057,1,1,1,1,2,1,2,3,2,1,2,3,2,5,1,2,2,2,2,1,1,2,2,2,2,1,1,1,4,2,2,2,2,3,3,3,1,1,1,2,3,3,2,3,3,2,2,3,4,3,4,3,3,2,2,3,3,4,5,3,3,1,3,1,3,3,4,2,0,2,0,2,112,1057,4,0,4,4,3,2,32,60
1,112,1058,1,1,1,1,2,1,5,5,0,1,4,3,1,5,1,3,1,2,3,2,5,2,3,2,3,1,2,3,3,2,2,2,3,2,3,3,2,3,4,4,4,4,3,3,0,3,3,3,4,4,4,2,3,3,2,2,3,3,3,0,4,4,1,3,1,3,2,1,4,2,1,2,112,1058,2,2,1,2,1,2,71,43
1,112,1059,1,3,2,1,2,1,4,4,3,2,4,3,4,3,2,3,4,2,3,3,5,1,3,2,3,1,4,1,4,2,2,3,5,4,3,3,1,3,4,2,4,3,1,2,2,1,2,2,3,4,4,4,3,2,3,3,4,4,4,3,0,0,3,6,4,2,1,1,2,3,1,2,112,1059,3,3,3,2,1,3,52,23
1,112,1060,1,1,1,1,2,1,2,2,4,2,2,2,5,5,2,2,4,4,2,4,2,5,1,2,2,1,3,3,4,3,2,4,5,4,3,3,3,3,2,4,6,2,3,3,3,3,2,2,3,4,5,2,2,2,2,2,5,2,0,2,3,1,2,1,2,2,2,2,1,0,3,2,112,1060,1,3,1,1,2,2,62,29
