CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5A.,Q.5B.,Q.5C.,Q.6A.,Q.7.,Q.8.,Q.9A.,Q.9A..1,Q.9A..2,Q.9A..3,Q.9A..4,Q.9A..5,Q.9A..6,Q.9A..7,Q.9B.,Q.10A.,Q.10B.,Q.10C.,Q.12A.,Q.13.,Q.14A.,Q.14B.,Q.16.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19.,Q.21A.,Q.21B.,Q.23.,Q.24A.,Q.25A.,Q.25B.,Q.27.,Q.28A.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33A.,Q.33B.,V.34.
1,160,38,1,2,4,1,1,2,3,10,3,1,1,1,2,2,2,2,2,2,2,3,1,5,1,1,1,1,3,5,2,1,3,1,3,1,2,1,9,2,2,9,9,1,1,0,2,2,1,361
1,160,39,1,2,4,1,3,1,3,2,3,1,1,1,2,2,2,2,1,2,2,1,3,5,1,1,2,2,3,5,1,0,3,1,2,1,1,1,1,2,2,9,9,1,1,1,4,0,1,365
1,160,40,1,3,4,2,3,2,1,4,3,1,1,2,1,2,2,2,1,2,2,1,3,5,1,1,2,1,5,1,1,0,3,1,2,1,2,1,1,0,0,9,9,1,5,1,1,2,2,395
1,160,41,1,3,7,7,4,11,3,10,3,3,1,2,1,2,1,2,1,2,2,0,3,5,1,0,2,2,3,1,2,0,2,2,1,2,3,9,9,1,1,2,1,2,5,1,4,1,1,266
1,160,42,1,1,4,1,3,1,3,3,3,3,3,1,2,2,2,2,1,2,1,3,2,4,1,1,1,2,3,5,4,2,2,2,3,1,0,9,9,0,0,9,9,2,4,0,3,2,1,309
1,160,43,1,1,4,1,1,2,3,3,3,3,1,2,1,2,1,2,1,2,2,3,3,4,1,1,2,2,3,1,1,0,3,2,2,1,2,9,1,2,3,9,9,2,5,0,3,1,1,308
1,160,44,1,3,10,7,1,3,3,3,3,1,1,2,2,2,2,2,1,2,2,1,3,4,1,1,1,2,1,3,2,1,2,2,3,1,0,1,1,2,3,9,9,1,1,1,4,1,1,120
1,160,45,1,3,1,7,5,5,3,2,3,3,3,1,2,2,1,2,1,2,2,3,3,4,1,1,1,2,3,5,2,2,2,2,2,1,2,2,2,2,1,9,9,2,5,1,1,2,1,271
1,160,46,1,1,3,0,1,3,2,5,1,1,1,1,2,2,2,1,2,2,2,1,3,4,1,1,2,2,3,5,2,0,2,2,3,1,0,2,1,0,0,9,9,1,1,0,1,1,1,72
1,160,47,1,3,7,7,4,4,4,1,4,1,1,1,2,2,2,2,1,2,2,3,3,3,1,1,2,2,3,3,2,0,3,2,1,1,2,9,9,1,2,2,1,1,5,1,4,1,1,267
1,160,48,1,3,5,7,3,1,1,1,3,1,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,3,1,2,0,3,1,2,1,0,9,1,2,3,9,9,1,1,0,3,1,1,381
1,160,49,1,1,5,7,3,0,1,1,3,3,1,1,2,2,2,2,1,2,2,3,1,3,1,1,1,2,3,5,2,0,3,1,6,1,2,1,1,2,2,9,9,2,5,1,4,2,2,386
1,160,50,1,1,2,6,4,3,3,3,3,3,1,1,2,2,2,2,1,2,1,3,3,3,1,0,2,1,3,1,1,0,3,1,2,1,2,2,9,2,1,9,9,2,2,0,2,1,1,345
1,160,51,1,1,4,1,2,2,3,1,3,1,1,1,2,2,2,2,2,2,2,2,3,3,1,1,1,3,3,3,2,1,2,2,3,1,2,1,3,2,2,9,2,2,4,0,3,1,1,379
1,160,52,1,1,7,7,3,2,5,0,3,3,1,1,2,2,2,2,2,2,2,3,3,3,2,3,2,2,1,5,4,1,2,2,9,2,0,9,9,1,0,1,1,2,2,1,4,1,1,250
1,160,53,1,0,0,0,0,0,0,0,1,1,1,1,2,2,1,2,1,2,2,3,3,3,2,1,2,1,3,5,2,0,2,2,3,1,2,2,1,2,2,9,9,1,5,1,4,1,1,123
1,160,54,1,5,1,0,5,7,4,10,3,1,1,2,2,1,2,2,2,2,2,3,3,3,2,1,1,1,3,3,2,0,4,1,2,1,2,1,1,1,2,9,9,1,0,0,3,1,1,272
1,160,55,1,1,4,1,1,2,5,10,1,3,1,1,1,2,2,1,1,2,1,3,2,5,2,3,0,1,3,1,2,2,3,1,1,1,2,1,3,2,2,9,9,2,5,1,4,1,1,380
1,160,56,1,2,11,7,3,2,3,4,4,1,1,1,2,2,2,2,2,2,2,3,2,4,2,1,1,2,1,3,2,0,4,2,3,2,2,9,9,2,3,9,9,1,1,1,5,2,1,86
1,160,57,1,1,1,7,3,3,3,2,3,1,1,1,2,2,2,2,1,2,2,3,3,4,2,0,1,2,3,3,2,0,4,1,8,1,2,9,9,0,0,9,9,0,0,0,4,1,1,128
1,160,58,1,5,4,2,3,1,2,1,4,1,1,1,2,2,1,1,2,2,2,3,1,1,2,1,1,1,3,5,3,0,3,1,2,1,2,1,1,2,2,9,9,1,1,0,1,1,1,208
1,160,59,1,2,2,6,3,1,2,2,3,3,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,3,5,2,1,0,1,2,2,2,9,9,1,1,9,9,1,1,0,0,0,0,136
1,160,60,1,4,4,1,3,2,3,3,3,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,3,1,2,2,3,1,2,1,0,9,9,2,2,9,9,1,1,1,3,1,1,330
1,160,61,1,1,4,1,2,3,2,2,3,1,1,2,1,2,1,2,2,2,1,1,3,2,2,1,2,2,3,1,4,1,2,2,3,1,2,1,1,0,0,9,9,1,1,0,3,1,1,320
1,160,62,1,2,4,2,2,4,2,4,3,1,1,2,1,2,2,2,1,2,2,3,2,3,2,3,2,2,3,5,2,2,3,1,2,1,2,2,1,1,0,1,9,2,4,1,2,0,1,400
1,160,63,1,1,4,2,3,2,3,5,3,1,1,2,1,2,2,1,2,2,2,1,2,3,2,1,2,2,3,5,4,1,3,2,2,1,2,9,9,2,1,1,9,1,1,0,3,1,1,392
1,160,64,1,5,11,7,3,2,3,2,3,1,1,1,2,2,2,1,1,2,2,3,2,3,2,1,1,0,3,3,2,0,4,1,8,1,2,1,1,2,1,9,9,1,0,0,5,1,1,84
1,160,65,1,2,4,1,1,4,3,2,3,1,1,2,1,2,2,1,1,2,1,3,3,3,2,1,1,2,1,3,2,1,4,1,2,1,2,1,1,2,1,9,9,1,1,0,4,1,1,362
1,160,66,1,2,4,1,2,4,3,2,3,1,1,1,2,2,2,1,1,2,2,3,3,3,2,1,1,1,1,3,2,0,3,1,2,1,0,9,1,2,0,9,9,1,1,0,5,1,1,397
1,160,67,1,3,1,7,3,3,3,2,1,1,1,2,2,1,2,2,1,2,2,1,3,3,2,1,2,1,3,1,1,0,4,1,2,0,0,9,9,1,0,9,9,1,5,0,4,1,1,45
1,160,68,1,1,1,7,3,1,3,2,3,1,1,2,2,2,2,2,2,2,1,3,3,3,2,1,2,2,5,5,4,2,4,2,2,2,3,9,9,2,3,9,9,1,1,0,2,1,1,65
1,160,69,1,3,11,7,3,3,3,1,3,1,1,1,2,2,2,2,1,2,2,3,3,3,2,1,1,2,3,5,2,0,4,2,1,1,3,9,9,2,3,9,9,1,1,0,4,1,1,103
1,160,70,1,1,4,1,2,2,3,2,1,1,1,1,2,2,2,2,1,2,1,3,1,2,3,3,2,3,3,5,2,0,3,2,2,1,2,1,1,2,2,9,9,1,1,0,3,1,1,283
1,160,71,1,1,4,1,1,3,2,5,2,1,1,2,1,2,2,2,1,2,1,3,3,2,3,1,2,1,3,1,1,0,3,1,2,1,2,1,1,2,2,9,9,1,4,1,4,1,1,398
1,160,72,1,4,2,6,4,2,3,1,3,1,1,1,2,2,1,2,1,2,2,1,3,2,3,1,2,2,1,5,1,0,4,1,2,2,2,9,9,1,0,1,1,1,0,1,2,1,1,357
1,160,73,1,4,4,1,3,3,2,3,3,3,1,1,2,2,2,2,1,2,1,3,3,2,3,1,1,1,3,0,2,0,3,2,2,1,1,3,1,2,0,9,9,2,2,0,3,1,1,313
1,160,74,1,2,4,2,3,2,2,4,2,3,1,1,2,2,2,2,1,2,2,1,1,3,3,1,2,1,3,1,1,0,3,1,2,1,2,1,1,2,2,9,9,1,1,0,4,1,1,209
1,160,75,1,1,4,1,1,3,2,6,3,1,1,1,2,2,2,2,1,2,2,1,3,3,3,1,0,2,3,0,1,0,2,2,0,2,2,9,9,0,0,9,9,1,0,1,0,1,1,318
1,160,76,1,2,1,7,3,6,4,1,3,3,1,1,2,1,2,1,2,2,2,3,3,3,4,1,2,1,3,1,4,1,4,2,2,1,2,1,1,2,2,9,9,1,1,0,5,1,1,67
1,160,77,1,1,4,1,1,2,2,3,3,1,1,1,2,2,1,2,1,2,2,1,3,1,4,1,2,1,3,1,1,0,3,1,2,1,0,1,1,0,2,9,9,0,0,0,3,1,1,160
1,160,78,1,1,3,7,4,1,2,3,3,1,1,1,2,2,2,2,1,2,2,3,3,1,4,1,2,1,3,1,1,0,3,2,2,1,1,1,1,2,2,9,9,1,1,1,5,1,1,77
1,160,79,1,3,4,2,4,1,2,4,3,1,1,1,2,2,2,2,1,2,1,1,1,2,4,1,2,2,3,1,2,1,3,1,8,2,3,9,9,2,2,9,9,1,1,0,4,1,1,297
1,160,80,1,3,1,7,5,6,2,5,3,1,1,1,1,2,1,2,2,2,1,1,2,2,4,3,1,1,3,5,2,0,4,1,1,1,0,1,2,2,0,9,9,1,0,1,4,1,1,177
1,160,81,1,5,3,7,4,6,3,2,3,3,1,1,2,1,2,2,1,2,1,1,2,2,4,1,1,3,5,5,2,2,4,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,79
1,160,82,1,1,4,1,1,3,3,1,3,1,1,1,2,2,2,2,1,2,2,3,3,2,4,1,1,2,3,3,2,1,2,1,2,1,1,9,9,0,0,9,9,1,0,0,6,1,1,291
1,160,83,1,3,7,7,3,2,4,0,3,1,1,1,2,2,2,2,1,2,2,3,3,2,4,1,1,2,3,3,2,0,3,2,1,2,2,9,9,1,1,1,1,1,1,1,4,2,1,244
1,160,84,1,1,10,7,1,3,5,0,4,1,0,1,2,2,2,2,2,2,2,1,3,2,4,1,2,1,3,1,3,0,2,2,7,1,1,1,1,2,3,9,9,1,1,0,0,0,0,118
1,160,85,1,3,6,4,4,3,3,1,3,1,1,1,2,2,2,1,1,2,2,1,3,2,5,1,2,1,1,5,1,0,3,2,2,2,2,9,9,1,0,1,1,1,1,1,4,1,1,339
1,160,86,1,1,4,1,2,8,3,3,3,1,1,1,2,2,1,1,1,2,2,3,3,1,6,1,0,2,3,3,1,0,3,0,2,1,2,1,1,2,2,9,9,1,1,1,2,2,1,401
1,160,87,1,2,1,7,3,3,3,1,3,1,1,1,2,2,2,1,2,2,2,1,1,1,6,1,2,2,3,5,4,1,3,1,1,2,2,9,9,2,2,9,9,1,1,1,6,1,1,55
1,160,88,1,2,5,7,3,1,2,2,3,1,1,1,2,2,2,2,1,2,2,1,1,1,6,1,1,2,3,3,2,0,2,2,2,1,2,9,9,2,2,9,9,1,1,1,2,1,1,385
1,160,89,1,1,4,1,1,2,2,5,1,1,1,2,2,2,2,2,2,2,1,1,2,1,6,1,1,1,1,3,2,1,2,1,2,2,2,2,1,2,2,3,1,1,5,1,3,1,1,282
1,160,90,1,3,11,7,3,8,2,10,3,1,1,1,2,2,2,2,2,2,2,3,2,1,6,1,1,1,3,3,2,0,4,1,1,1,2,1,1,2,2,9,9,1,1,0,2,1,1,89
1,160,91,1,1,3,7,4,5,3,2,1,1,1,1,2,2,2,1,2,2,2,3,2,1,6,1,1,1,1,1,1,0,4,1,1,1,2,1,1,2,2,9,9,1,1,0,4,1,1,189
1,160,92,1,1,11,7,1,3,1,5,1,1,1,1,2,2,1,2,2,2,2,1,3,1,6,0,2,3,3,1,2,0,2,2,2,1,2,1,1,0,0,9,9,1,1,1,4,1,1,108
1,160,93,1,1,4,0,1,7,4,1,3,3,1,1,2,2,2,2,1,2,2,3,3,1,6,1,2,1,3,1,1,0,2,0,2,1,1,1,9,2,2,9,9,1,1,0,3,1,1,311
1,160,94,1,1,4,1,2,1,2,5,3,3,1,1,2,2,2,2,1,2,1,3,1,2,6,3,2,1,3,5,2,0,3,1,9,1,0,1,1,2,2,9,9,2,5,1,4,1,1,377
1,160,95,1,1,2,6,4,7,4,1,3,2,1,1,2,2,2,2,1,2,1,1,1,2,6,0,2,2,3,1,1,0,3,2,2,2,2,2,1,1,2,9,9,1,7,0,3,1,1,351
1,160,96,1,2,4,1,3,2,1,4,3,1,1,2,1,2,2,2,1,2,1,3,2,2,6,0,2,3,3,1,2,1,3,2,2,1,2,2,1,2,1,9,9,1,1,1,3,2,1,363
1,160,97,1,4,14,5,3,8,3,2,3,3,1,2,1,2,2,2,1,1,1,1,2,2,6,1,1,2,1,3,2,1,3,2,2,0,1,9,9,1,1,9,9,1,1,0,2,1,1,125
1,160,98,1,2,11,7,3,2,3,4,3,1,1,1,2,2,2,2,2,2,2,3,2,2,6,1,1,1,1,3,2,0,4,1,1,1,2,9,1,2,3,9,9,1,1,0,4,1,1,102
1,160,99,1,2,7,7,3,8,3,3,3,1,1,1,2,2,2,1,2,2,2,1,3,2,6,1,2,1,3,5,4,1,4,1,2,2,2,9,9,1,1,1,1,1,1,0,2,1,1,163
1,160,100,1,2,5,7,2,6,3,5,3,1,1,2,1,2,2,2,1,2,2,1,3,2,6,1,2,1,3,1,1,0,3,1,2,1,0,1,1,1,2,9,9,1,1,0,3,1,1,383
1,160,101,1,5,3,7,4,7,3,4,3,1,0,2,1,2,2,2,1,2,2,0,3,2,6,0,1,1,3,0,2,0,4,1,1,1,0,1,1,2,0,9,9,1,1,1,4,2,1,232
1,160,102,1,6,11,7,3,2,4,2,3,1,1,1,2,2,2,2,1,2,2,1,3,2,6,1,1,1,3,5,2,0,4,1,1,1,2,2,1,2,1,9,9,1,1,0,1,1,1,94
1,160,103,1,2,3,7,4,4,3,2,0,2,1,1,2,2,2,2,1,2,2,3,3,2,6,1,2,1,3,2,2,0,3,2,2,1,2,1,1,2,3,9,9,1,1,1,1,2,1,4
1,160,104,1,2,10,7,1,4,2,4,3,1,1,2,1,2,2,2,1,2,2,1,3,3,6,1,2,1,3,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,0,4,1,1,117
1,160,105,1,1,7,7,1,2,2,8,3,3,1,1,2,1,2,2,1,2,2,1,2,1,7,1,1,2,1,3,2,1,4,1,2,2,2,9,9,1,1,1,1,1,1,1,2,1,1,162
1,160,106,1,3,1,0,3,7,3,2,3,1,1,1,2,2,2,1,2,2,1,1,1,1,7,0,2,2,3,1,4,1,4,1,2,1,2,9,9,2,0,9,9,1,1,0,4,1,1,49
1,160,107,1,1,4,1,2,2,1,5,1,3,0,1,2,2,2,2,1,2,1,1,2,1,7,0,2,2,3,1,2,2,3,1,6,1,0,9,9,2,2,9,9,1,1,0,4,0,0,372
1,160,108,1,2,7,7,5,6,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,7,0,2,3,3,1,1,0,4,1,1,2,0,9,9,1,0,9,9,1,1,1,4,1,1,178
1,160,109,1,3,7,0,3,6,3,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,7,1,2,1,3,5,2,0,2,2,1,2,2,9,9,1,2,2,1,1,5,1,4,1,1,269
1,160,110,1,4,1,1,0,5,6,2,0,3,3,1,1,2,2,2,1,2,2,3,3,1,7,1,2,1,3,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,257
1,160,111,1,3,11,7,3,7,3,5,1,1,1,1,2,2,2,2,2,2,2,3,3,1,7,1,1,1,3,5,2,1,3,1,1,1,2,9,1,2,2,9,1,1,4,0,1,1,0,101
1,160,112,1,1,10,7,1,10,3,4,1,1,1,1,2,1,1,2,1,2,2,1,3,1,7,1,1,2,3,3,2,0,2,2,1,1,2,9,9,2,2,9,1,2,0,1,0,0,0,37
1,160,113,1,3,10,7,1,2,3,0,1,1,1,1,2,1,1,2,1,2,2,1,3,2,7,1,2,1,3,3,1,2,2,2,3,1,0,1,1,2,2,2,1,1,1,0,2,1,1,42
1,160,114,1,1,10,7,1,3,3,2,1,3,1,1,2,2,1,2,1,2,2,3,3,2,7,1,2,1,3,3,2,0,2,2,3,1,2,1,1,1,1,1,1,2,1,1,4,1,1,41
1,160,115,1,1,10,7,1,3,4,10,1,1,1,2,2,1,2,2,2,2,2,1,3,3,7,1,2,1,3,1,1,0,2,2,3,1,1,1,1,2,2,9,9,1,1,0,1,1,1,43
1,160,116,1,1,3,7,3,7,3,3,4,1,2,2,2,2,2,2,2,2,1,1,1,1,8,0,1,1,3,0,4,0,3,2,9,0,1,2,9,0,0,9,9,2,5,1,5,0,1,75
1,160,117,1,1,3,0,4,6,4,1,3,1,1,1,2,2,2,2,1,2,2,1,2,1,8,1,1,2,3,1,2,1,3,1,2,1,1,1,1,1,1,1,1,2,5,1,5,2,1,9
1,160,118,1,2,4,1,2,4,3,4,4,1,1,1,2,2,2,2,2,2,1,1,4,3,4,1,1,2,3,3,2,2,3,0,9,1,2,9,1,2,2,9,9,1,1,1,4,1,1,368
1,160,119,1,4,4,1,2,4,2,8,3,1,1,2,1,2,2,1,2,2,1,3,4,3,4,1,1,1,1,3,4,0,3,1,2,1,2,2,2,2,1,1,1,1,1,0,3,1,1,284
1,160,120,1,1,4,1,2,4,3,4,1,1,1,1,2,2,1,2,1,2,1,1,4,2,4,1,0,1,3,2,1,0,2,1,2,1,2,3,1,2,2,2,1,1,1,1,3,1,1,287
1,160,121,1,5,4,1,3,1,3,4,3,3,3,1,2,2,2,1,2,2,1,3,4,4,11,3,1,1,3,5,4,2,3,1,2,1,0,1,3,1,0,1,1,2,5,1,3,1,1,323
1,160,122,1,2,4,1,2,3,4,1,1,3,1,1,2,2,2,1,1,2,1,3,4,5,1,3,1,1,3,3,2,2,3,1,3,1,1,9,1,2,2,9,9,1,1,0,4,1,1,375
1,160,123,1,4,4,1,1,3,4,10,3,1,1,1,2,2,2,1,1,2,2,1,4,3,10,0,1,2,3,5,2,2,2,1,2,1,2,9,1,2,2,9,9,1,1,0,4,1,1,302
1,160,124,1,1,4,1,2,0,0,0,3,1,1,2,2,2,2,2,2,2,1,3,4,3,0,1,2,2,3,5,4,2,2,1,2,1,2,9,9,0,0,9,9,2,4,0,4,2,1,293
1,160,125,1,3,4,2,4,3,2,1,3,3,1,1,2,2,2,2,1,2,1,3,4,2,4,1,1,1,3,5,1,0,4,1,2,2,0,2,1,1,1,1,1,2,7,1,4,2,1,296
1,160,126,1,2,2,6,3,4,2,2,1,3,1,1,2,2,2,1,1,2,1,0,4,3,2,1,2,2,3,5,1,0,4,1,2,2,2,9,9,1,1,1,1,1,1,0,4,1,1,137
1,160,127,1,3,2,6,3,4,3,1,3,3,1,1,2,2,2,1,1,2,1,1,4,3,10,1,2,3,3,5,2,1,0,1,2,2,2,9,9,0,0,9,9,1,1,0,2,2,1,134
1,160,128,1,4,2,6,3,5,3,0,3,2,1,1,1,2,2,1,1,2,1,1,4,4,10,1,2,2,3,5,2,1,0,1,2,2,2,9,9,1,1,1,1,1,1,1,1,1,1,198
1,160,129,1,2,4,1,4,3,3,9,3,3,3,1,2,2,2,2,2,2,1,2,4,2,0,3,1,2,0,0,2,1,2,2,2,1,0,9,1,2,2,9,9,2,0,0,3,1,1,288
1,160,130,1,2,4,1,2,3,4,1,3,1,1,2,1,2,2,2,2,2,2,0,4,4,2,1,1,2,5,3,2,0,2,2,2,1,1,1,1,0,2,1,1,2,4,0,3,1,1,159
