COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130,COL131,COL132,COL133,COL134,COL135,COL136,COL137,COL138,COL139,COL140,COL141,COL142,COL143,COL144,COL145,COL146,COL147,COL148,COL149,COL150,COL151,COL152,COL153,COL154,COL155,COL156,COL157,COL158,COL159,COL160,COL161,COL162,COL163,COL164,COL165,COL166,COL167,COL168,COL169,COL170,COL171,COL172,COL173,COL174,COL175,COL176,COL177
1,44,1,,3,3,30,2,1,3,4,4,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,20,4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,21,10,40,10,91,20,80,91,30,9,2,1,2,2,20,440,0,1,,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,22,2,1,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,5,2,2,2,22,20,30,50,40,3,0,3,2,2,2,2,2,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,2,,3,3,10,3,1,3,3,6,20,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,8,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,11,10,40,41,30,91,10,41,30,8,2,2,2,2,20,440,0,2,,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,22,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,0,70,90,90,9,0,8,2,1,2,2,1,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,3,,3,3,10,4,1,2,1,6,20,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,9,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,40,40,40,30,61,30,41,30,4,2,2,2,2,20,440,0,3,,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,0,5,10,20,30,20,60,7,1,1,2,2,2,2,1,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,4,,3,3,10,2,2,2,5,6,30,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,4,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,41,40,40,41,30,41,30,41,30,4,2,1,2,2,20,440,0,4,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,4,0,0,0,20,50,50,60,9,1,0,2,2,1,2,2,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,5,,3,3,10,3,1,3,3,5,20,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,10,90,40,41,40,11,41,41,40,9,1,2,2,2,20,440,0,5,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,0,0,43,10,30,40,70,2,1,2,2,2,2,2,2,1,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,6,,3,3,10,2,3,5,3,6,20,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,10,10,40,10,81,1,30,41,30,4,2,1,2,2,20,440,0,6,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,5,2,0,3,24,10,40,30,20,7,0,9,2,1,2,2,2,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,7,,3,2,10,2,1,3,1,4,20,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,11,10,40,51,40,41,30,91,31,1,2,1,2,2,20,440,0,7,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,3,0,5,13,40,60,40,40,4,0,9,2,2,2,2,1,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,8,,3,2,10,2,2,2,2,5,20,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,9,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,10,91,20,41,31,21,10,91,30,9,1,2,2,2,20,440,0,8,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,0,2,4,10,50,20,50,7,1,2,2,2,2,2,2,2,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,9,,3,6,10,2,1,3,5,5,20,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,11,10,40,41,30,90,30,90,1,4,2,2,2,2,20,440,0,9,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,0,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,3,33,40,30,60,20,0,1,2,2,1,2,2,2,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,10,,3,3,10,3,1,4,2,1,20,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,7,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,10,70,40,41,30,61,30,41,30,0,2,2,2,2,20,440,1,0,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,5,0,70,70,70,7,1,1,2,2,2,2,2,2,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,11,,3,7,10,3,1,4,5,5,30,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,21,40,10,41,40,60,30,61,30,9,2,2,2,2,20,440,1,1,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,0,0,0,10,70,50,50,6,1,1,2,1,2,2,2,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,12,,3,6,10,5,1,4,2,4,30,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,51,41,40,41,31,41,40,91,41,4,2,2,2,2,20,440,1,2,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,66,61,1,1,1,0,0,0,2,2,2,2,2,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
