CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11A.,Q.11B.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28A.,Q.28B.,Q.28B..1,Q.28B..2,Q.28B..3,Q.28B..4,Q.28B..5,Q.28B..6,Q.28B..7,Q.28B..8,Q.28B..9,Q.28B..10,Q.29.,Q.30.,Q.31.,Q.32.,Q.32..1,Q.32..2,Q.32..3,Q.32..4,Q.32..5,Q.32..6,Q.32..7,Q.32..8,Q.32..9,Q.32..10,Q.32..11,Q.33A.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42A.,Q.43A.,Q.44A.,Q.45.,CARD..1,DECK..1,BALLOT..1,Q.46.,Q.47.,Q.48.,Q.48..1,Q.48..2,Q.48..3,Q.48..4,Q.48..5,Q.48..6,Q.48..7,Q.48..8,Q.48..9,Q.48..10,Q.48..11,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,V.57.,V.58.,V.59.
1,193,11,1,7,4,4,5,1,4,2,2,2,2,1,1,1,1,3,1,1,3,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,3,3,1,2,1,2,2,2,1,2,2,2,2,2,2,3,3,2,3,1,1,2,2,2,3,3,1,2,2,193,11,0,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,5,1,12,1142,1
1,193,12,1,2,5,1,8,1,2,3,2,3,1,1,4,3,2,2,5,3,0,1,6,3,1,3,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,3,1,1,1,2,7,1,3,1,3,2,193,12,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,3,2,5,2,1,1,3,2126,3
1,193,13,1,9,4,1,1,3,0,1,3,2,2,3,1,0,2,2,2,2,0,4,6,2,2,0,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,3,3,3,0,2,7,3,3,1,3,2,193,13,1,0,2,2,1,2,2,2,2,2,2,2,2,2,3,0,2,3,3,3,1,2,1165,2
1,193,14,1,10,4,3,4,1,2,1,2,2,2,2,4,2,3,2,7,3,1,2,1,1,1,1,2,1,3,1,1,2,1,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,3,3,3,2,2,7,1,3,1,1,2,193,14,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,2,3,1,2,2,1,5,2162,3
1,193,15,1,8,6,0,1,3,2,3,2,4,1,2,3,2,2,4,1,1,7,2,10,3,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,2,2,1,2,2,2,2,2,2,2,0,3,0,3,3,3,2,2,7,2,3,1,1,2,193,15,2,1,2,2,2,2,2,2,2,2,2,2,2,1,5,2,3,1,2,2,1,5,1107,1
1,193,16,1,10,2,3,4,3,1,2,1,3,1,2,4,1,2,2,2,2,2,3,2,4,1,1,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,1,3,1,2,7,3,3,1,3,2,193,16,1,2,2,2,2,2,1,2,2,2,2,2,2,2,5,3,2,5,3,2,0,6,1105,2
1,193,17,1,6,4,2,4,2,3,1,1,3,2,2,4,3,2,3,5,3,2,5,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,3,2,2,3,1,5,3,3,1,2,2,193,17,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,3,3,1,0,6,1196,2
1,193,18,3,0,4,3,4,1,2,3,2,3,3,2,0,2,3,2,7,2,1,2,1,4,2,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2,3,3,2,3,1,1,0,2,7,3,3,1,2,2,193,18,3,2,2,2,1,2,2,1,2,2,2,2,2,2,3,3,2,3,3,1,1,5,1206,2
1,193,19,1,11,4,5,7,1,4,2,2,3,3,3,3,1,3,2,3,3,1,3,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,3,1,1,2,2,7,3,3,1,3,2,193,19,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,1,1,4,1110,2
1,193,20,1,3,6,1,9,0,4,2,2,2,2,2,4,3,1,3,2,2,1,5,1,4,1,1,3,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,2,2,2,2,2,1,2,3,3,2,3,3,3,1,2,3,3,3,1,2,2,193,20,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,1,1,6,1237,2
1,193,21,1,9,6,5,14,3,1,3,3,3,1,2,4,3,1,3,2,2,1,4,1,3,2,1,3,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,3,3,2,4,2,5,3,3,1,1,2,193,21,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,3,3,2,1,6,1236,2
1,193,22,4,10,6,2,6,1,1,2,2,2,1,1,3,2,3,2,2,2,1,2,1,3,2,1,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,2,2,1,2,2,2,2,2,2,3,3,2,3,1,1,1,1,6,3,3,1,3,2,193,22,0,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,3,3,1,1,2,1166,2
1,193,23,4,6,7,1,9,1,2,2,1,2,1,1,4,3,1,2,7,1,4,3,3,3,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,0,0,2,3,1,3,1,2,7,2,3,1,3,2,193,23,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,2,3,2,5,1196,1
1,193,24,2,7,7,1,8,1,2,2,2,2,2,1,3,2,3,3,5,3,1,3,1,2,2,1,3,1,3,1,1,2,2,2,1,2,2,2,2,2,2,2,1,3,3,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,3,1,2,3,7,3,3,1,2,2,193,24,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,2,1,5,2158,3
1,193,25,1,11,3,3,7,3,1,2,1,1,1,1,1,2,2,1,2,3,0,3,4,3,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,3,3,2,1,2,2,2,3,1,3,2,193,25,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,3,1,1,4,2103,3
1,193,26,4,4,6,2,4,3,1,3,1,1,2,1,2,1,1,2,1,1,3,1,2,2,1,1,3,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,3,2,3,1,2,5,2,3,1,1,2,193,26,2,3,1,1,2,1,1,2,1,2,2,2,2,2,5,2,2,5,4,3,0,11,1127,1
1,193,27,1,5,4,5,8,1,1,2,2,2,2,2,4,2,1,3,1,1,3,4,2,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,3,3,2,3,1,1,2,2,2,1,3,1,3,2,193,27,1,2,2,1,1,1,2,2,2,2,2,2,2,2,5,3,3,3,3,5,1,12,1161,1
1,193,28,3,7,6,2,4,1,1,2,2,2,2,2,4,1,3,2,1,1,3,2,3,2,2,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,2,3,2,4,2,4,3,3,1,2,2,193,28,3,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,3,3,3,1,5,1180,1
1,193,29,1,11,3,4,5,1,2,2,2,2,2,2,4,2,2,3,5,3,10,4,6,1,4,2,3,1,1,3,2,2,1,2,2,2,1,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,2,2,2,1,1,1,7,3,3,1,1,2,193,29,3,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,5,1,1,5,2140,3
1,193,30,1,9,4,5,8,3,4,2,2,2,2,2,3,2,3,4,5,3,4,1,4,1,4,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,3,3,2,3,7,3,3,1,2,2,193,30,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,1,6,2136,3
1,193,31,1,7,1,2,10,1,3,2,2,3,2,3,3,1,2,3,6,3,4,1,0,3,3,1,3,2,1,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,7,1,3,1,2,2,193,31,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,1,3,3,3,7,1,11,2125,3
1,193,32,1,11,5,5,7,1,2,1,2,2,2,2,4,2,2,3,4,3,1,4,4,1,2,1,1,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,1,7,1,3,1,1,2,193,32,1,2,1,2,2,2,2,2,2,1,2,2,2,2,3,2,1,3,3,2,0,6,2165,3
1,193,33,3,8,5,3,4,2,1,2,3,2,3,2,4,2,2,2,4,3,8,2,3,2,5,2,1,2,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,3,1,1,2,7,4,3,1,2,2,193,33,3,3,1,2,2,1,2,2,2,2,2,2,2,2,3,4,2,3,5,1,1,3,2161,3
1,193,34,0,5,1,1,1,0,1,1,2,1,2,2,4,2,3,3,2,2,10,4,1,3,1,1,1,2,3,2,0,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,0,2,1,2,3,2,0,2,7,3,3,1,2,2,193,34,0,0,2,2,2,2,2,2,2,2,2,2,2,1,0,3,2,3,3,1,1,2,1143,2
1,193,35,1,10,7,1,0,1,1,1,2,2,1,1,3,2,2,3,3,3,1,1,1,0,0,1,2,1,3,2,0,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,2,2,3,1,0,7,1,3,1,3,2,193,35,2,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,5,5,1,2,1188,2
1,193,36,1,7,5,2,14,2,1,2,2,2,1,2,4,1,2,3,2,2,3,3,2,4,1,1,3,1,1,1,0,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,1,2,7,3,3,1,2,2,193,36,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,3,3,1,6,1111,2
1,193,37,1,9,5,3,14,1,1,3,3,0,2,2,4,3,2,3,2,2,0,1,2,3,4,1,1,1,3,0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,3,3,1,2,2,1,1,0,7,2,3,1,2,2,193,37,1,2,2,1,1,1,2,1,2,2,2,2,2,2,0,2,3,2,5,1,0,2,1160,2
1,193,38,2,9,7,4,6,1,1,2,2,3,2,2,4,3,1,3,4,3,2,3,5,3,2,2,3,1,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,3,3,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,2,2,1,2,3,7,3,3,1,3,2,193,38,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,3,1,3,3,1,1,3,2115,3
1,193,39,1,4,4,2,14,2,2,3,2,3,1,2,4,2,3,4,1,2,2,4,2,4,2,3,3,1,1,1,0,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,3,3,2,2,5,3,3,1,2,2,193,39,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,2,1,6,1249,2
1,193,40,1,4,6,4,3,1,1,1,2,1,1,2,2,1,2,1,5,3,0,4,1,1,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,3,2,3,1,1,1,1,6,1,3,1,1,2,193,40,1,0,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,1,0,0,0,6,2116,3
1,193,41,2,3,6,2,14,3,1,2,2,2,1,1,2,2,3,2,1,1,3,2,2,3,1,3,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,1,0,2,7,2,3,1,2,2,193,41,2,1,2,1,2,2,2,2,2,2,2,1,2,2,5,2,2,5,3,3,1,11,1111,1
1,193,42,1,9,5,2,4,3,3,1,3,4,2,2,2,1,2,3,1,1,3,2,3,4,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,3,1,3,4,2,4,2,3,1,1,2,193,42,3,3,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,5,3,3,1,11,1124,1
1,193,43,4,10,6,5,13,2,2,2,2,4,2,1,3,2,2,3,3,3,1,5,1,1,2,1,3,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,1,1,2,1,1,2,2,2,2,1,3,2,3,1,1,1,1,3,3,3,1,3,2,193,43,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,1,1,6,1177,2
1,193,44,1,11,6,1,1,1,2,2,3,4,1,2,4,0,2,3,4,3,3,4,3,1,1,1,3,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,3,1,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,3,1,1,1,2,2,2,3,1,1,2,193,44,2,1,2,2,2,2,2,2,2,2,2,2,1,2,5,2,3,5,4,2,1,11,2129,3
1,193,45,1,4,7,2,13,1,3,3,2,4,3,3,4,3,2,3,3,2,1,1,1,2,2,1,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2,2,1,2,3,3,2,3,1,1,3,1,1,1,3,1,3,2,193,45,2,1,2,1,2,1,2,2,2,2,2,2,2,2,3,3,2,3,3,1,1,7,1148,2
1,193,46,1,11,3,1,10,2,3,3,2,3,2,2,4,1,2,4,0,2,2,3,2,1,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,3,2,1,2,7,1,3,1,0,2,193,46,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,3,3,1,1,6,1170,2
1,193,47,1,6,2,4,4,1,1,3,2,3,2,1,3,2,3,1,1,1,3,4,2,1,1,1,3,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,3,1,2,1,2,1,2,2,2,1,2,2,2,2,2,3,2,3,1,1,1,2,2,2,3,1,1,2,193,47,1,1,2,2,2,1,2,2,1,2,2,2,2,2,5,2,1,3,3,5,1,11,1138,1
1,193,48,1,5,1,2,2,1,2,1,3,3,2,2,4,2,2,3,3,3,1,3,1,1,2,1,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,3,3,2,3,2,3,1,2,2,2,3,1,1,2,193,48,2,1,1,2,2,2,2,2,2,2,2,2,2,2,5,2,2,4,3,1,1,4,1121,2
1,193,49,1,4,4,1,5,3,3,3,2,3,2,1,3,2,1,2,5,3,1,2,1,4,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,3,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,2,3,3,3,1,2,2,2,3,1,3,2,193,49,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,10,2101,3
1,193,50,3,9,5,1,3,1,3,3,3,3,2,2,3,3,1,2,0,3,1,3,1,1,2,1,3,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,2,2,2,1,2,2,2,2,3,3,2,3,1,1,4,2,1,2,3,1,2,2,193,50,2,3,1,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,3,1,2,10,2107,3
1,193,51,1,8,5,5,8,1,2,2,2,3,1,2,4,2,3,3,3,3,1,3,1,1,1,1,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,1,1,2,1,3,3,1,3,2,193,51,3,2,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,3,3,1,1,4,1113,2
1,193,52,2,10,5,5,5,2,2,3,1,3,2,1,4,3,3,3,2,2,3,1,1,2,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,3,3,2,3,1,3,2,2,7,3,3,1,3,2,193,52,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,3,3,1,5,2,1,2,1156,2
1,193,53,4,9,5,2,4,1,4,3,2,3,1,1,4,2,2,2,1,1,3,2,2,4,1,1,3,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,1,3,2,3,1,3,1,2,2,193,53,2,1,2,2,2,1,2,2,2,2,2,2,2,2,5,1,2,5,3,1,1,11,1144,1
1,193,54,1,4,5,2,4,1,1,2,2,3,2,2,4,3,1,3,1,1,3,2,2,1,2,1,3,1,3,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,3,2,3,1,1,1,3,7,2,3,1,2,2,193,54,3,1,1,2,2,2,2,2,2,2,2,2,2,2,5,2,3,4,5,2,1,12,1145,1
1,193,55,1,7,5,3,4,2,2,2,2,3,2,2,4,1,2,3,1,1,3,1,2,4,1,1,3,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,3,3,3,3,1,7,3,3,1,3,2,193,55,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,3,3,0,11,1107,1
1,193,56,1,10,5,2,4,3,1,2,2,3,1,1,3,1,2,4,1,1,3,2,2,3,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,3,1,2,7,3,3,1,3,2,193,56,2,2,2,2,1,1,2,2,2,2,2,2,2,2,5,3,2,5,3,3,1,11,1155,1
1,193,57,4,7,5,6,4,2,4,3,2,3,2,2,2,2,3,3,1,1,3,4,2,1,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,2,2,2,1,2,2,2,2,2,2,2,0,3,2,3,3,2,2,2,2,1,3,1,2,2,193,57,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,3,2,4,1,7,1138,1
1,193,58,1,6,5,2,4,1,1,3,2,3,1,1,2,2,3,2,1,1,3,1,4,1,1,1,3,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,3,2,1,3,2,4,2,3,1,1,2,193,58,3,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,5,3,4,1,6,1121,1
1,193,59,1,9,6,4,6,1,1,2,2,3,2,2,3,1,2,1,1,2,1,2,1,2,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,3,3,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,1,1,2,7,3,3,1,3,2,193,59,1,2,1,2,2,2,2,1,2,2,2,2,2,2,3,3,3,5,3,1,1,2,1161,2
1,193,60,2,5,6,1,9,3,2,2,2,3,1,1,3,3,1,3,7,2,3,2,3,2,2,1,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,1,2,2,2,3,3,1,3,2,193,60,2,2,1,2,2,2,2,2,2,1,2,2,2,2,0,3,2,3,3,3,1,12,1166,2
1,193,61,3,9,6,2,4,1,1,3,2,3,2,1,3,1,2,3,1,1,3,4,3,3,1,1,3,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,3,3,2,3,3,1,1,2,3,2,3,1,3,2,193,61,2,2,2,1,2,1,2,2,2,2,2,2,2,2,5,1,2,4,4,2,1,11,1146,1
1,193,62,1,10,4,3,7,1,2,2,2,2,1,1,4,3,3,4,2,2,3,3,2,3,1,1,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,3,3,3,4,2,7,2,3,1,3,2,193,62,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,5,2,5,1,6,1116,2
1,193,63,2,10,0,3,11,1,3,2,3,4,3,3,2,3,2,2,5,3,1,6,1,2,4,2,2,3,1,3,3,2,2,2,2,2,1,2,2,2,2,2,3,3,3,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,3,1,1,4,3,7,2,3,1,1,2,193,63,3,1,2,2,2,2,2,2,2,1,2,2,2,2,0,2,3,2,2,1,1,7,2118,3
1,193,64,1,3,6,1,4,3,3,1,2,4,2,3,4,3,2,3,5,3,1,4,1,2,2,2,1,3,1,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,3,3,2,3,1,3,4,1,1,1,3,1,1,2,193,64,3,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,4,3,1,1,7,1125,2
