CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52A.,Q.52B.,Q.52C.,V.54.,V.55.
1,192,1,1,1,12,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,3,3,1,3,2,5,0,1,3,2,1,2,3,2,1,3,1,2,2,3,3,3,1,1,1,3,1,2,5,0,0,0,10,2
1,192,2,1,2,6,4,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,3,1,3,3,3,2,1,1,2,1,1,0,0,1,0,1,2,2,2,3,3,1,1,3,3,1,2,5,0,0,0,10,2
1,192,3,1,1,20,4,3,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,4,5,2,5,1,1,2,2,2,2,1,1,1,2,1,2,2,3,3,2,1,1,1,1,1,0,0,0,0,1,10,2
1,192,4,1,1,31,4,3,3,2,1,3,1,2,2,1,2,2,2,1,1,1,1,1,2,1,3,3,4,5,3,5,1,1,2,2,3,2,3,1,2,2,2,4,2,4,3,1,2,1,1,2,1,0,0,0,0,1,9,2
1,192,5,1,1,8,2,1,1,2,2,3,2,2,1,0,2,2,3,2,4,4,3,1,2,3,3,2,4,0,2,4,0,2,3,3,2,1,2,1,2,3,1,2,2,3,3,1,2,1,3,3,1,0,0,0,0,1,10,2
1,192,6,1,1,70,6,5,3,1,4,3,2,3,2,1,2,2,3,4,4,4,4,2,2,3,2,2,5,3,4,4,1,1,2,3,1,1,1,2,2,1,1,2,2,3,4,1,1,1,1,2,2,0,0,0,0,1,9,2
1,192,7,1,1,21,4,1,2,2,2,2,1,3,1,1,2,3,2,3,4,4,2,1,2,3,3,3,4,5,2,4,2,1,2,2,1,1,1,1,1,2,2,2,2,3,2,3,1,1,1,2,2,0,0,0,0,1,9,2
1,192,8,1,2,3,6,3,3,1,2,1,1,1,1,1,1,2,2,2,3,3,2,2,1,1,3,3,2,3,2,5,2,1,2,2,1,1,1,1,1,2,1,1,2,2,2,3,1,1,1,3,1,1,0,0,0,1,9,2
1,192,9,1,1,10,2,1,1,1,2,2,1,2,1,1,2,2,2,2,3,3,3,2,2,2,2,2,1,3,2,4,2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,3,2,2,5,0,0,1,10,2
1,192,10,1,1,8,2,1,1,2,1,2,2,1,2,3,2,2,3,2,1,1,2,2,0,2,3,2,4,5,2,5,2,1,2,1,1,1,1,1,0,2,1,2,2,2,3,3,1,1,2,1,1,0,0,1,1,1,10,2
1,192,11,1,2,8,6,6,2,1,2,2,2,1,1,1,1,2,2,1,3,3,2,2,2,2,3,3,2,3,2,4,2,1,2,2,1,2,1,1,1,3,1,2,2,2,2,2,1,1,1,1,1,2,0,1,1,1,10,2
1,192,12,1,1,9,2,1,1,1,1,2,1,2,1,1,2,3,2,3,4,4,3,1,2,3,2,1,0,3,3,5,1,1,2,2,1,2,1,1,1,2,2,4,1,2,4,3,1,1,1,2,1,2,0,1,1,1,10,2
1,192,13,1,1,10,2,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,3,1,3,4,3,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,3,1,1,2,3,1,2,5,1,1,1,10,2
1,192,14,1,1,8,2,1,2,1,2,3,1,2,1,1,2,2,2,2,4,4,4,1,2,2,3,2,2,5,2,5,2,1,1,2,1,1,1,1,1,2,1,2,1,3,3,3,2,1,3,3,1,2,5,1,1,1,10,2
1,192,15,1,1,10,2,1,1,1,1,1,1,1,1,3,2,2,1,2,2,2,2,1,2,1,2,2,2,3,2,4,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,5,1,1,1,10,2
1,192,16,1,1,10,2,1,1,1,1,1,2,1,1,1,2,2,2,1,3,2,2,1,1,1,2,3,1,3,2,4,1,1,2,2,1,1,1,1,1,3,1,2,2,1,2,1,1,1,1,2,1,0,5,2,1,1,10,2
1,192,17,1,1,10,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,3,1,3,2,4,1,1,2,2,1,1,1,1,1,2,1,1,1,2,3,2,1,1,2,3,1,2,5,2,1,1,10,2
1,192,18,1,1,24,4,2,3,1,2,2,1,2,2,1,2,2,2,3,3,3,3,1,2,3,2,1,2,3,2,3,2,1,1,1,1,2,2,2,2,2,1,2,2,4,5,3,1,1,1,2,1,2,5,2,2,1,10,2
1,192,19,1,1,20,4,1,3,1,2,2,1,2,2,3,2,2,2,0,4,4,4,1,2,3,1,2,0,3,3,3,1,1,2,0,1,1,1,1,1,1,2,3,2,3,5,2,1,1,1,2,0,0,0,0,0,2,9,2
1,192,20,1,1,8,2,1,1,1,1,2,1,2,1,1,2,2,3,2,4,4,3,1,2,3,3,3,2,5,2,5,2,1,2,1,2,1,3,1,1,3,2,4,2,4,3,3,2,1,1,1,1,0,0,0,0,2,9,2
1,192,21,1,1,21,4,2,2,1,2,3,2,2,1,1,2,2,2,3,4,4,3,1,2,3,3,2,0,5,3,5,2,1,2,1,2,1,1,1,1,2,2,2,2,2,4,2,1,1,2,1,1,0,0,0,0,2,9,2
1,192,22,1,2,18,6,7,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,3,3,3,2,3,1,5,1,1,2,3,1,1,1,1,1,3,1,1,2,2,2,1,1,1,1,2,1,0,0,0,0,2,9,2
