COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98
1,116,11,5,2,3,4,4,3,6,1,1,2,3,1,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,2,1,1,3,3,2,2,1,1,0,1,2,1,2,2,3,1,2,3,2,3,2,4,3,1,2,2,3,2,4,1,4,9,9,9,9,9,9,9,9,9,9,9,,211,6001,1,9,9,9,9,9,0,9,2,2,2,2,2,2,2,2,2,1,2,2,22,80
1,116,12,2,2,3,5,4,3,2,2,1,2,1,2,2,1,3,2,1,1,3,3,3,3,1,1,2,1,1,2,1,1,1,2,1,2,1,2,6,2,2,1,1,2,2,2,2,3,2,2,2,4,3,1,3,3,2,1,4,1,0,1,4,2,2,2,4,1,2,2,1,1,,211,6001,2,4,4,3,4,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,22,1
1,116,13,3,2,1,4,4,4,3,4,3,5,2,2,3,2,3,2,2,1,4,3,3,3,1,1,1,1,1,3,1,1,2,2,1,1,2,1,6,2,4,2,3,4,4,1,4,2,3,4,3,3,3,1,1,2,4,1,2,2,4,9,9,9,9,9,9,9,9,9,9,9,,211,6001,3,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,11
1,116,14,2,2,1,3,4,3,6,3,1,1,1,1,2,1,2,2,1,1,3,4,5,1,1,1,1,2,1,1,1,1,1,2,1,4,1,1,5,2,1,4,2,1,2,2,2,3,2,1,2,4,3,1,2,2,4,1,4,3,4,9,9,9,9,9,9,9,9,9,9,9,,211,6001,4,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,81
1,116,15,3,2,1,2,4,1,2,2,1,2,2,2,1,2,1,2,2,1,2,3,2,1,1,1,1,3,2,4,1,1,2,2,1,1,2,2,6,2,1,2,2,4,1,1,1,3,2,2,1,2,3,1,2,2,4,3,1,1,4,9,9,9,9,9,9,9,9,9,9,9,,211,6001,5,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,2
1,116,16,5,2,1,5,4,3,8,5,4,4,3,3,3,1,4,3,1,1,2,3,3,1,1,2,2,2,2,1,1,1,1,1,1,4,2,2,6,2,2,4,3,3,2,1,2,3,1,1,2,4,1,1,2,2,3,0,3,2,4,9,9,9,9,9,9,9,9,9,4,9,,211,6001,6,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,81
1,116,17,2,2,1,2,5,2,3,3,3,4,2,2,3,2,2,3,2,2,0,3,5,1,1,1,1,1,2,1,1,1,1,3,1,4,2,2,6,2,3,2,4,4,3,3,3,3,4,4,4,3,2,3,3,3,2,1,1,1,4,9,9,9,9,9,9,9,9,9,9,9,,211,6001,7,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,23,3
1,116,18,2,1,1,3,4,3,4,3,2,3,2,2,2,1,3,2,1,1,2,3,5,2,1,1,3,1,1,3,1,2,1,2,1,1,2,2,6,2,2,4,3,3,3,2,4,3,2,4,3,3,3,3,2,4,3,2,3,2,4,9,9,9,9,9,9,0,9,9,9,9,,211,6001,8,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,21,13
1,116,19,3,1,1,2,5,1,3,2,3,4,2,1,3,2,3,2,1,1,6,3,5,1,2,2,1,2,1,1,1,2,2,1,1,4,1,2,3,2,4,2,3,3,4,2,2,3,3,4,2,4,1,2,2,3,3,2,3,2,4,9,9,9,9,4,5,9,9,9,9,1,,211,6001,9,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,1
1,116,20,2,2,1,4,4,1,4,3,2,3,1,1,2,1,2,2,2,1,5,3,2,1,2,3,0,2,1,1,1,2,5,1,1,1,1,1,6,2,2,2,3,3,3,2,3,4,3,3,3,3,2,2,4,4,4,1,4,1,2,1,4,2,2,1,3,1,2,2,1,1,,211,6002,0,4,4,3,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,21,85
1,116,21,2,2,1,3,4,1,3,2,2,3,1,1,2,1,2,3,2,1,3,4,5,1,1,2,1,1,2,2,1,2,3,3,2,1,2,2,6,2,2,1,2,2,2,1,2,3,3,3,2,2,1,1,3,4,4,1,2,2,2,1,2,2,2,1,3,1,2,2,1,1,,211,6002,1,3,4,4,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,21,82
1,116,22,2,2,3,3,4,3,4,2,3,5,2,2,2,1,1,2,1,3,3,3,6,2,1,2,1,1,1,1,1,2,3,2,1,1,2,1,6,2,3,5,4,3,4,2,4,3,3,4,4,2,1,3,2,2,4,1,2,2,4,9,9,9,9,9,9,9,9,9,9,9,,211,6002,2,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,21,11
1,116,23,4,2,2,5,4,2,3,3,1,3,3,1,1,1,2,2,1,2,0,3,3,1,1,1,1,1,1,2,1,2,2,3,2,2,1,2,6,1,1,2,2,2,2,2,3,5,3,3,2,3,1,2,2,2,2,1,4,1,1,4,4,2,4,1,2,1,1,1,1,1,,211,6002,3,4,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,21,55
1,116,24,2,2,1,2,4,3,2,3,3,5,2,2,2,1,3,2,1,2,0,3,3,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,6,2,2,2,3,3,3,3,3,2,2,2,3,3,1,3,2,3,4,1,3,2,2,2,4,9,5,1,3,2,2,2,1,1,,211,6002,4,2,3,4,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,21,12
1,116,25,3,2,1,3,4,3,3,2,2,3,1,1,1,1,2,4,2,3,1,3,5,2,1,1,1,2,3,3,1,2,3,2,1,4,2,2,6,2,2,5,2,3,2,2,3,6,3,3,2,3,2,1,2,3,3,1,2,2,2,1,4,2,2,2,3,2,2,2,2,1,,211,6002,5,3,3,4,4,3,3,1,2,2,2,2,2,2,2,2,2,1,2,2,22,25
