CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.4..1,Q.5B.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,Q.10.,Q.11.,Q.12A.,Q.12B.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18A.,Q.18B.,Q.19.,Q.20A.,Q.20B.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25A.,Q.25B.,Q.26.,Q.27.,Q.28A.,Q.28B.,Q.28C.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.35C.,Q.35D.,Q.35E.,Q.35F.,Q.35G.,Q.35H.,Q.35I.,Q.36.,Q.37.,Q.38A.,Q.38B.,Q.39A.,Q.39B.,Q.39C.,Q.39D.,Q.39E.,Q.39F.,Q.39G.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.39H.,Q.40A.,Q.40B.,Q.40C.,Q.40D.,Q.40E.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.50E.,Q.51D.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57A.,Q.57B.,Q.57C.,Q.58.,Q.59.,Q.60A.,Q.60B.,Q.61.,Q.62.,Q.63.,Q.63..1,Q.63..2,Q.63..3,Q.63..4,Q.63..5,Q.63..6,Q.63..7,Q.63..8,Q.63..9,Q.63..10,Q.63..11,Q.63..12,Q.63..13,Q.0.,Q.64.,V.66.,V.67.,V.68.,V.69.
1,100,11,5,1,14,6,4,1,36,1,3,3,3,1,1,2,2,1,2,2,2,1,2,1,1,2,8,2,2,4,3,2,2,2,1,3,3,4,4,4,3,1,3,3,2,3,4,1,1,1,1,1,1,2,3,2,2,1,3,3,2,2,2,3,3,3,2,2,100,11,5,2,2,3,3,2,2,2,2,1,2,4,2,4,4,4,4,4,4,1,1,1,1,1,2,3,1,1,1,2,1,1,4,4,1,5,4,1,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,2,12,9,6,19
1,100,12,5,1,2,9,10,2,34,1,4,4,2,1,4,2,1,1,2,2,3,1,1,1,1,1,8,3,0,1,11,2,2,2,2,3,4,3,4,5,2,2,4,3,3,3,1,1,1,1,1,1,1,2,3,2,3,1,3,1,2,1,1,2,2,2,3,2,100,12,5,2,2,3,2,1,2,1,5,1,4,4,4,4,4,3,4,4,4,2,1,3,2,3,3,3,1,6,3,3,2,5,3,4,1,9,4,2,2,1,1,3,2,0,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,0,2,9,5,2,22
1,100,13,5,1,2,9,9,3,200,1,3,2,3,1,1,2,2,1,1,2,3,1,1,2,1,2,8,1,2,2,3,2,2,1,1,3,4,3,4,4,4,2,2,2,1,3,3,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,3,2,2,2,100,13,5,2,3,3,3,1,2,2,3,3,3,2,2,4,4,4,4,0,2,1,1,1,2,2,3,1,1,2,1,1,1,1,4,4,2,9,4,2,2,1,1,3,2,2,1,3,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,0,2,11,6,3,20
1,100,14,5,1,2,9,9,3,77,1,3,4,3,4,1,1,2,1,1,2,3,2,3,1,2,1,8,1,2,2,3,2,1,1,1,6,4,1,2,2,4,1,2,3,2,2,1,1,1,1,1,1,1,3,3,2,1,1,1,1,2,3,2,3,3,2,1,2,100,14,5,2,2,3,3,2,2,2,1,2,2,4,2,4,4,4,4,4,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,4,1,9,4,2,2,2,2,3,2,1,1,3,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,0,1,9,12,7,20
1,100,15,5,1,3,9,11,1,0,1,4,6,2,1,4,3,1,2,2,1,2,6,2,1,1,2,8,1,3,1,11,2,3,1,1,6,4,4,4,5,2,3,4,2,3,3,4,1,3,3,2,1,1,3,3,3,2,1,2,1,1,2,2,2,1,3,2,2,100,15,5,2,3,2,2,1,2,2,5,1,2,2,2,4,0,4,4,2,0,1,1,3,2,3,3,3,3,3,5,4,3,2,2,4,1,5,4,2,2,1,2,2,2,2,4,3,3,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,10,3,2,19
1,100,16,5,1,2,9,7,2,85,1,3,1,1,4,4,2,2,1,2,1,2,6,1,1,1,2,8,1,2,4,3,2,2,2,2,3,3,2,2,1,2,3,4,3,2,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,4,3,2,2,2,100,16,5,2,3,3,3,3,2,2,1,2,3,4,3,2,3,3,4,4,4,2,1,1,1,1,3,1,1,1,1,2,2,2,3,4,1,7,4,2,1,1,2,3,2,2,1,3,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0,2,13,10,7,21
1,100,17,5,1,2,9,9,3,50,1,3,2,3,1,1,2,2,1,1,3,2,2,2,1,1,2,8,1,3,1,3,3,2,1,2,0,4,4,4,4,3,2,3,3,3,3,4,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,2,1,3,2,2,100,17,5,2,2,2,2,1,3,3,1,1,1,1,2,0,0,1,4,4,4,1,1,1,2,2,3,1,1,3,1,1,3,1,4,4,2,11,4,2,3,1,1,1,3,3,3,3,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,0,4,9,2,0,22
1,100,18,5,1,2,9,12,2,30,1,3,3,3,3,2,2,2,2,2,2,2,3,1,1,1,1,8,1,3,2,2,2,2,2,0,2,4,2,2,2,3,2,1,2,1,4,3,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,3,4,2,2,2,2,100,18,5,2,3,3,3,3,3,2,3,2,4,4,4,4,4,4,4,4,4,2,2,1,2,1,2,2,1,1,2,2,2,2,2,4,1,9,4,2,1,2,2,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,14,9,6,22
1,100,19,5,1,2,9,2,2,0,1,3,5,1,5,1,2,2,0,0,0,2,3,1,0,1,2,0,1,2,4,0,2,2,1,1,3,3,1,1,4,3,1,4,3,2,3,4,1,1,1,1,1,1,2,0,0,1,1,3,1,2,2,2,3,3,3,2,2,100,19,5,1,3,3,3,3,3,3,3,1,4,2,4,1,4,4,4,4,4,1,1,1,2,1,4,2,1,1,1,5,1,1,5,4,1,5,4,2,1,1,1,3,1,1,2,1,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,1,14,9,6,22
1,100,20,5,1,2,11,3,2,85,1,3,1,3,1,3,3,2,1,2,3,1,2,2,3,1,2,8,3,2,1,5,3,2,2,2,3,4,5,5,5,1,1,1,3,3,4,4,1,1,2,1,1,1,2,0,2,2,2,1,1,1,1,1,2,1,3,2,2,100,20,5,2,3,3,2,2,3,3,2,1,2,1,2,1,2,1,4,4,2,1,1,1,1,1,5,2,2,2,2,3,5,1,2,4,4,9,4,2,2,1,1,2,1,2,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,4,12,1,0,21
1,100,21,5,1,2,9,9,3,21,1,3,2,2,2,3,3,3,4,1,2,3,1,1,1,2,2,8,1,2,4,5,3,3,1,2,1,1,1,5,4,4,1,3,3,3,5,4,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,3,3,3,2,2,100,21,5,1,1,3,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,4,2,1,1,1,1,1,1,5,4,1,9,4,2,2,0,3,3,4,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,10,7,7,21
1,100,22,5,1,1,9,4,3,0,1,4,6,3,7,1,3,2,2,2,1,2,6,2,1,1,1,0,1,3,2,3,3,2,1,1,6,4,3,4,2,3,3,3,3,2,3,1,1,1,1,1,1,1,3,3,3,1,1,3,3,2,2,1,3,3,2,2,2,100,22,5,2,3,3,3,1,3,3,2,2,2,4,2,1,4,2,4,4,4,1,2,1,2,1,1,1,1,2,2,1,1,5,5,4,2,7,4,2,2,2,2,2,1,1,4,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,1,11,6,5,17
1,100,23,5,1,5,5,9,3,15,1,3,2,3,1,2,2,2,1,2,3,2,1,2,1,1,1,8,1,3,2,3,1,3,2,1,3,3,2,2,3,2,1,4,3,3,2,1,1,1,1,1,1,1,1,3,3,1,5,1,1,2,2,2,3,2,2,2,2,100,23,5,2,3,3,3,2,1,3,2,4,4,2,2,4,3,3,4,4,3,2,2,1,2,3,3,1,1,2,2,2,2,1,3,4,2,10,4,2,1,2,2,3,2,2,3,3,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,0,2,10,8,5,18
1,100,24,5,1,5,5,6,2,12,1,0,4,1,2,3,3,2,2,1,2,1,4,1,1,1,2,8,0,2,4,5,3,3,2,2,3,5,5,5,4,2,1,4,3,2,0,1,1,1,1,0,1,1,2,0,2,1,4,1,1,1,1,1,2,2,2,2,2,100,24,5,2,1,3,1,1,1,0,0,1,2,2,0,2,4,0,0,4,4,2,1,1,2,2,0,1,3,5,3,5,5,1,4,4,3,9,4,2,1,2,2,3,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,2,5,1,1,18
1,100,25,5,1,2,9,9,3,60,1,4,6,3,2,1,2,2,1,3,3,1,6,1,1,1,1,8,2,2,4,4,3,3,1,1,3,4,4,2,4,2,1,4,3,3,2,4,1,1,1,1,1,1,1,3,3,2,1,2,2,1,1,1,1,2,2,2,2,100,25,5,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2,2,4,1,1,1,1,1,1,1,5,4,1,10,4,2,1,1,2,1,2,2,3,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,1,7,2,1,21
1,100,26,5,1,1,1,5,3,8,1,4,4,2,1,1,2,1,2,2,2,1,1,1,1,1,1,0,1,0,2,5,2,2,1,2,2,5,4,4,4,1,3,4,3,3,1,1,1,1,1,1,1,4,0,0,1,2,1,3,3,2,2,2,1,3,2,2,2,100,26,5,2,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,3,11,4,2,1,2,1,3,2,2,4,3,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,1,7,8,5,17
1,100,27,5,2,7,9,5,3,45,1,4,6,2,2,2,3,1,1,1,2,1,6,1,1,1,1,8,2,2,4,11,3,3,1,0,3,4,4,4,4,2,1,4,3,3,5,1,1,1,1,1,1,1,0,3,2,1,2,1,1,1,1,1,2,2,2,2,2,100,27,5,2,3,3,3,2,3,3,1,1,1,4,2,4,2,4,4,4,1,2,1,3,2,3,4,1,1,2,2,5,5,1,4,4,1,9,4,1,1,0,3,0,2,1,0,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,2,12,1,1,19
1,100,28,5,2,2,2,5,3,84,1,4,3,3,2,1,2,1,1,2,1,3,6,2,1,1,1,0,1,0,4,3,2,3,2,1,0,3,4,3,5,4,1,4,3,2,4,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,2,2,4,2,2,2,2,100,28,5,2,3,3,3,3,3,2,1,1,2,4,4,2,4,2,4,4,4,2,2,1,2,2,3,1,1,1,1,5,2,1,1,4,1,5,4,2,1,2,2,3,4,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,4,14,8,6,22
1,100,29,5,2,2,9,6,3,30,1,3,2,3,1,3,3,2,1,2,3,4,6,1,2,1,1,0,1,3,2,3,1,2,1,1,3,3,4,5,5,2,2,4,3,3,3,3,1,3,3,1,1,1,3,3,2,1,2,3,3,2,3,3,3,3,3,2,2,100,29,5,2,3,3,2,1,3,2,5,4,4,4,2,4,4,2,4,0,0,1,1,1,2,3,3,1,1,5,2,2,2,1,3,4,1,7,4,2,1,2,2,3,2,2,3,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,0,3,12,11,8,22
1,100,30,5,2,2,9,1,2,60,1,3,1,2,1,4,2,2,1,2,1,4,6,3,1,1,1,0,1,2,1,5,3,3,1,1,2,3,3,4,5,2,1,4,3,3,4,4,1,1,1,2,1,1,1,1,3,3,2,3,3,2,3,3,2,3,3,2,2,100,30,5,2,0,0,1,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,2,2,2,1,1,1,5,1,2,4,1,8,4,2,3,1,1,1,4,1,1,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,11,8,7,21
1,100,31,5,2,2,2,12,2,90,1,3,3,1,3,1,2,2,1,1,2,3,6,1,1,1,2,8,1,3,1,3,2,2,1,1,3,3,1,3,3,4,1,3,3,3,3,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,3,3,2,2,2,2,100,31,5,2,1,2,2,1,3,3,2,1,1,2,4,4,4,1,4,4,4,1,2,1,1,2,3,1,1,1,1,1,1,1,3,4,1,9,4,2,1,1,1,3,2,2,1,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,0,1,7,8,5,20
1,100,32,5,2,5,9,2,2,80,1,3,2,2,7,1,2,1,1,1,2,2,1,3,3,2,2,8,3,1,4,5,3,3,1,1,1,4,4,4,4,1,1,1,3,3,4,4,1,1,1,1,1,1,2,1,2,3,1,3,1,1,1,1,1,1,3,2,2,100,32,5,2,3,3,3,3,3,2,2,1,1,1,1,1,4,2,4,4,4,1,2,1,1,2,5,2,2,1,1,5,1,1,5,4,1,9,4,2,2,1,2,1,1,1,3,3,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,0,4,15,1,0,18
1,100,33,5,2,2,9,6,3,55,1,3,3,3,1,2,2,2,2,2,2,2,3,2,1,1,1,8,0,3,4,3,1,2,2,2,4,3,4,4,4,3,1,2,3,3,2,1,1,1,1,1,1,1,3,3,1,1,2,1,1,2,3,3,3,3,2,2,2,100,33,5,2,2,3,2,2,2,2,2,2,4,4,3,4,4,4,4,4,4,2,1,1,2,1,3,1,1,2,2,2,2,1,2,4,1,7,4,2,2,2,2,2,2,2,3,3,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,0,2,10,12,8,22
1,100,34,5,2,5,10,6,2,2,1,3,5,2,1,2,1,2,1,2,1,2,1,3,1,1,2,0,1,2,2,3,1,1,2,1,4,2,4,4,4,3,2,4,3,2,2,4,1,1,1,0,1,1,2,1,2,1,1,3,1,2,3,3,3,3,3,2,2,100,34,5,2,2,3,3,3,2,2,1,1,2,3,4,2,4,3,4,4,2,2,2,1,2,1,2,1,1,1,1,5,2,1,2,4,1,8,4,2,1,2,2,0,4,1,3,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,0,2,13,14,8,18
1,100,35,5,2,2,2,5,3,30,1,3,6,3,3,1,2,1,1,2,2,2,2,1,1,2,2,9,3,1,4,3,2,2,1,1,1,4,4,4,4,2,3,4,3,3,1,1,1,1,1,1,1,1,2,1,2,2,1,1,0,2,2,2,3,2,2,2,2,100,35,5,2,3,3,3,3,2,3,1,2,2,4,4,2,4,4,4,4,4,2,1,3,2,2,3,2,1,5,1,3,5,1,1,4,1,7,4,2,1,1,2,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,0,1,12,8,5,22
1,100,36,5,2,2,9,2,1,151,1,4,3,3,2,2,2,2,1,4,3,4,6,2,3,1,1,8,1,2,2,3,2,3,2,2,2,2,4,2,1,3,1,1,3,3,3,3,1,1,1,1,1,1,3,3,2,1,1,3,1,2,2,1,3,3,3,2,2,100,36,5,1,3,3,3,2,2,2,1,2,2,4,4,4,4,3,0,4,4,2,2,3,2,1,3,1,3,2,2,1,1,2,5,4,1,6,4,2,1,1,2,3,1,2,4,3,3,2,2,2,2,1,2,2,1,2,2,2,2,2,2,0,2,13,7,5,20
1,100,37,5,2,2,7,5,3,90,1,3,2,3,1,2,1,1,1,2,3,2,6,1,1,1,1,0,1,3,2,3,2,1,2,1,1,3,3,4,3,2,3,3,3,2,2,4,1,3,1,1,1,1,3,0,0,1,2,1,1,3,2,2,2,3,3,2,2,100,37,5,2,3,0,1,2,2,1,1,2,2,2,1,4,4,4,4,4,4,2,2,1,2,1,3,1,1,1,2,1,2,2,2,4,1,7,4,2,3,1,1,3,2,2,1,3,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,0,2,11,11,6,20
1,100,38,5,2,2,3,6,2,70,1,3,4,2,3,1,2,2,1,1,1,2,6,3,3,1,2,8,0,3,4,5,1,2,1,1,3,4,4,4,5,3,1,2,3,3,4,4,1,1,1,1,1,3,0,1,2,2,1,3,3,3,3,3,4,3,3,2,2,100,38,5,2,2,3,3,3,2,3,2,4,3,4,4,4,4,4,4,4,4,2,2,1,2,1,1,2,1,5,1,5,2,1,5,4,1,11,4,2,3,1,1,2,2,1,1,3,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,1,12,14,10,20
1,100,39,5,2,2,2,7,1,104,1,3,3,1,2,1,2,2,1,2,2,2,6,1,1,1,2,8,1,3,2,3,2,2,1,1,3,4,3,3,3,4,3,2,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,2,2,2,100,39,5,2,2,3,2,1,2,2,1,4,4,2,3,4,0,3,4,4,4,2,2,1,2,1,1,1,1,5,5,2,2,1,2,4,1,10,4,2,1,2,2,3,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,9,9,6,20
1,100,40,5,2,2,11,0,1,85,1,3,1,3,1,2,2,2,1,1,3,2,1,1,2,1,2,8,2,2,1,8,3,2,2,2,1,4,2,2,3,1,1,1,0,3,3,4,1,1,3,3,1,1,3,3,2,2,2,3,1,1,1,2,3,2,2,2,2,100,40,5,2,3,3,3,1,2,3,5,1,2,2,2,1,4,1,4,4,1,2,1,1,1,2,4,2,1,1,1,2,2,1,4,4,2,6,4,2,2,1,2,1,1,1,1,2,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,2,10,5,3,21
1,100,41,5,2,2,8,9,3,90,1,2,6,1,3,1,2,2,1,2,3,2,3,2,1,1,2,8,1,2,1,3,2,2,1,1,3,2,2,2,3,2,1,4,2,3,3,4,1,1,2,1,1,1,3,3,2,1,1,3,1,2,3,3,4,3,2,2,2,100,41,5,2,3,3,2,3,2,2,3,3,2,4,4,4,4,3,4,4,4,2,1,0,2,1,3,3,1,4,2,1,5,1,2,4,2,8,4,2,2,2,2,2,2,2,3,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,0,2,12,12,9,21
1,100,42,5,2,2,9,9,3,85,1,3,1,1,4,4,3,2,1,2,3,2,6,1,2,1,2,8,1,3,4,8,3,3,2,2,2,3,4,4,2,3,1,1,3,3,2,4,1,1,2,1,1,1,3,3,2,3,1,3,1,1,2,1,2,2,2,2,2,100,42,5,2,2,1,1,1,2,3,1,1,2,1,4,2,4,1,4,4,0,1,2,3,1,2,3,2,1,5,3,4,1,1,2,4,3,9,4,2,1,1,1,3,3,2,3,4,4,2,2,2,2,1,2,2,2,2,2,2,2,1,2,0,2,5,2,2,21
1,100,43,5,2,1,9,5,3,60,1,3,3,3,7,2,2,1,1,2,1,2,6,3,1,1,2,8,1,3,4,4,3,2,2,1,3,4,4,4,4,3,1,4,3,2,2,1,1,1,1,1,1,1,1,0,1,1,2,1,1,2,2,2,3,2,3,2,2,100,43,5,2,1,3,2,1,2,2,2,4,2,2,2,2,4,2,4,4,2,2,2,1,2,1,3,1,1,5,2,5,3,1,1,4,1,9,4,2,2,1,1,1,2,2,3,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,2,9,7,5,17
1,100,44,5,2,3,9,5,1,0,1,0,4,3,1,4,2,1,2,3,2,2,6,1,3,1,2,8,1,3,4,10,2,2,1,1,6,4,4,4,4,1,3,4,3,3,3,4,1,1,1,1,1,1,3,3,3,2,2,3,1,3,3,2,3,3,3,2,2,100,44,5,2,2,2,1,3,2,2,5,2,2,4,4,2,4,4,4,4,2,2,2,1,2,3,3,2,2,3,5,5,2,1,1,4,1,7,4,2,1,1,1,2,1,1,4,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,1,10,11,8,19
