CARD.,DECK.,BALLOT.,Q.1.,Q.2.,V.3.,Q.3A.,Q.3A..1,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19A.,Q.19B.,Q.21.,Q.22.,V.23.,V.24.
1,136,53,4,3,2,0,0,1,1,3,2,2,1,1,1,1,7,3,1,4,1,1,6,5,2,2,7,170
1,136,54,2,3,2,0,0,1,2,2,2,3,1,1,1,2,11,3,1,2,1,2,3,4,1,1,8,170
1,136,55,4,3,2,0,0,1,1,4,3,3,1,1,4,2,6,3,2,3,1,1,3,3,2,2,10,270
1,136,56,4,3,2,0,0,2,2,1,4,4,1,1,2,2,7,3,2,3,1,2,1,5,5,5,6,70
1,136,57,3,2,2,0,0,2,1,4,3,2,1,3,3,2,8,3,1,2,1,1,3,5,2,2,5,170
1,136,58,1,3,2,0,0,1,1,4,2,3,1,1,1,2,5,3,1,2,1,1,3,6,2,2,4,470
1,136,59,4,3,2,0,0,1,1,1,2,3,1,1,1,1,9,3,1,2,3,3,3,3,1,1,7,70
1,136,60,4,3,2,0,0,2,2,4,2,3,3,3,2,2,1,3,2,1,3,1,6,6,1,1,3,170
1,136,61,4,3,2,0,0,2,2,4,2,3,1,2,4,1,0,3,1,2,5,1,4,5,2,1,10,170
1,136,62,0,3,2,0,0,1,1,4,3,3,3,3,3,2,0,2,2,3,1,2,3,4,1,1,2,70
1,136,63,3,3,2,0,0,1,1,1,3,4,1,1,4,1,8,3,2,3,5,2,2,4,2,2,1,170
1,136,64,4,3,2,0,0,2,2,2,2,3,1,3,2,1,7,3,2,3,4,2,3,5,1,1,1,70
1,136,65,4,3,2,0,0,2,2,3,3,1,1,3,2,1,5,3,1,2,1,4,6,6,2,2,10,10
1,136,66,1,3,2,0,0,1,1,1,3,3,1,3,3,1,3,3,1,1,5,3,4,4,1,2,2,10
1,136,67,3,3,2,0,0,1,1,3,2,3,1,2,4,1,8,3,2,2,1,1,6,5,4,4,1,10
1,136,68,4,2,2,0,0,2,2,2,2,2,1,1,4,2,5,3,1,3,1,1,1,5,1,1,9,100
1,136,69,4,3,2,0,0,4,3,2,4,4,1,1,1,2,1,3,1,1,4,3,2,5,2,2,7,100
1,136,70,2,3,2,0,0,1,1,3,2,1,1,1,1,2,6,3,2,3,1,1,6,6,1,1,8,100
1,136,71,3,3,2,0,0,1,2,1,3,3,1,1,3,2,1,3,1,1,2,1,3,3,2,5,1,200
1,136,72,3,2,2,0,0,1,1,2,2,2,3,3,2,1,6,3,1,3,5,1,2,4,1,1,5,200
1,136,73,1,2,2,0,0,1,1,1,2,4,1,3,1,2,9,3,1,3,1,3,1,5,2,1,6,200
1,136,74,2,3,2,0,0,1,1,4,1,2,1,1,2,2,10,3,1,2,1,1,6,6,1,1,7,200
1,136,75,1,3,2,0,0,1,1,0,2,3,1,3,2,1,3,3,2,3,1,1,6,5,1,5,3,100
1,136,76,4,3,2,0,0,2,2,2,3,3,1,1,2,1,5,3,1,3,5,2,4,4,1,1,4,500
1,136,77,3,2,2,0,0,1,1,1,3,2,3,3,3,2,6,3,2,3,1,1,4,4,1,1,2,100
1,136,78,2,3,2,0,0,1,1,1,2,1,1,3,2,2,3,3,1,2,1,1,4,2,1,1,7,110
1,136,79,2,3,2,0,0,1,3,0,2,2,2,3,2,2,2,3,1,2,1,0,1,4,4,4,8,110
1,136,80,3,2,2,0,0,1,1,2,3,5,1,3,4,2,7,3,2,3,1,1,4,4,4,4,1,210
1,136,81,4,3,2,0,0,1,1,1,3,3,1,1,4,2,6,3,1,2,5,1,3,5,1,1,10,210
1,136,82,1,3,2,0,0,1,2,0,3,0,1,1,0,1,6,3,1,2,1,1,6,6,4,4,5,210
1,136,83,4,3,2,0,0,1,1,2,1,1,3,3,2,2,4,3,1,3,1,1,2,5,1,1,6,210
1,136,84,2,3,2,0,0,1,1,1,2,3,1,3,2,2,7,3,2,1,1,1,5,1,2,2,7,210
1,136,85,4,3,2,0,0,1,1,1,2,3,1,3,2,1,8,3,2,2,1,1,1,5,4,4,9,10
1,136,86,3,3,2,0,0,2,3,4,2,3,1,1,1,2,8,3,1,3,2,1,4,5,2,1,6,10
1,136,87,3,2,2,0,0,1,1,1,2,3,1,3,2,2,1,3,2,2,1,1,4,5,1,2,3,110
1,136,88,4,3,2,0,0,1,2,3,3,2,1,2,4,2,6,3,1,4,1,1,3,6,1,1,10,226
1,136,89,3,3,2,0,0,2,2,1,3,3,1,2,3,2,2,3,2,3,1,1,4,5,2,1,5,225
1,136,90,2,2,2,0,0,1,1,2,2,3,2,3,2,2,8,3,1,2,2,1,4,4,2,1,7,225
1,136,91,4,2,2,0,0,1,2,2,2,3,1,1,1,1,5,3,2,3,1,1,4,5,4,4,6,225
1,136,92,3,3,2,0,0,1,1,2,2,2,1,2,1,2,1,3,1,1,1,1,2,4,5,5,6,25
