COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130,COL131,COL132,COL133,COL134
1,76,11,5,3,1,1,1,1,3,3,1,2,1,1,0,1,0,3,3,1,1,3,3,1,3,3,3,1,2,3,3,1,2,3,3,3,2,1,2,0,2,2,5,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,5,1,3,2,3,3,,207,6001,1,5,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,4,2,1,2,1,1,2,4,1,1,2,1,1,1,1,1,1,3,4,2,1,4,5,5,1,4,3,1,9,9,3,9,29,9,1
1,76,12,5,1,3,1,1,1,2,3,1,1,1,1,1,1,3,2,3,2,1,1,3,2,3,1,3,1,3,1,3,1,2,3,3,3,3,1,2,3,2,1,4,1,3,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,3,1,1,2,1,2,,207,6001,2,5,2,1,2,2,2,2,2,1,1,2,3,2,2,2,1,3,1,1,1,1,3,2,1,2,1,2,2,4,1,1,2,1,1,1,2,1,2,1,3,2,2,1,3,3,2,6,3,1,9,9,3,9,19,9,1
1,76,13,5,3,1,1,1,1,3,3,1,1,1,1,1,3,3,1,3,1,1,1,3,3,3,1,3,1,3,1,3,1,1,3,3,3,3,1,3,2,2,1,4,1,1,3,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,5,1,2,2,3,1,,207,6001,3,5,2,3,1,2,2,3,3,2,3,3,2,3,1,3,1,3,1,1,1,1,3,2,1,4,1,1,1,4,1,1,2,1,1,2,1,1,1,1,4,2,1,4,5,2,1,8,4,1,9,9,3,9,29,9,1
1,76,14,5,3,3,1,1,1,3,1,1,2,1,2,2,3,2,3,3,1,2,1,3,1,3,3,3,3,3,3,2,2,3,3,2,2,0,1,3,2,2,2,3,1,1,3,1,2,2,1,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,4,1,2,3,2,3,,207,6001,4,5,2,2,1,2,1,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,4,2,1,2,2,2,2,4,2,2,2,2,1,1,2,1,1,2,3,3,1,4,5,5,1,7,5,1,9,9,3,9,39,9,2
1,76,15,5,3,3,1,1,1,2,3,1,2,1,1,3,1,3,2,3,2,1,2,3,1,1,1,3,3,3,1,3,1,2,3,3,3,5,1,3,4,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,4,1,1,2,1,3,,207,6001,5,5,1,1,1,1,1,1,2,1,1,2,2,3,2,2,1,3,1,1,1,1,2,2,1,2,1,1,3,3,2,2,1,2,2,2,2,1,1,2,1,2,2,4,2,2,1,7,3,1,9,9,3,9,39,9,2
1,76,16,5,3,3,3,1,1,3,3,1,3,1,1,1,1,3,3,3,1,1,1,3,1,3,3,3,3,3,1,1,1,3,3,3,3,2,1,3,4,2,1,4,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,3,1,1,2,2,2,,207,6001,6,5,2,2,1,2,2,2,3,1,1,2,3,3,2,3,3,3,1,2,2,1,4,2,1,2,2,1,1,4,1,1,2,1,2,2,2,1,1,1,2,3,1,4,3,3,1,8,5,2,9,9,3,9,39,9,2
1,76,17,5,3,1,3,1,1,3,3,1,1,1,1,1,1,3,3,3,1,1,1,3,1,3,3,3,3,3,1,3,1,3,3,3,3,2,1,3,4,2,1,5,1,3,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,3,2,3,3,3,2,,207,6001,7,5,3,2,1,1,2,2,2,1,2,3,2,3,2,2,2,2,1,1,1,1,3,2,1,3,2,2,3,4,2,1,2,1,1,1,3,1,2,1,3,3,1,4,2,4,1,7,3,2,9,9,3,9,39,9,2
1,76,18,5,3,3,3,1,1,3,3,1,1,1,1,1,1,3,1,3,1,1,3,3,1,1,1,3,3,3,1,3,1,2,3,1,3,2,1,3,4,2,1,4,1,3,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,4,2,2,3,2,3,,207,6001,8,5,2,2,1,3,2,2,2,2,1,2,3,3,1,1,3,3,1,1,1,3,6,4,2,2,1,1,2,3,1,1,2,1,1,2,1,1,1,2,2,2,2,2,5,2,1,6,2,1,9,9,4,9,19,9,2
1,76,19,5,3,3,1,1,1,3,3,1,3,1,1,1,1,3,3,3,1,1,1,3,1,1,1,3,3,1,1,3,3,3,1,3,3,2,1,3,4,2,2,2,1,3,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,5,2,3,3,2,3,,207,6001,9,5,2,2,1,3,2,2,2,2,1,3,2,2,1,4,1,3,1,2,1,1,3,2,1,2,1,1,3,4,1,1,2,1,1,1,1,1,1,1,2,2,1,4,2,3,2,8,3,1,9,9,3,9,19,9,2
1,76,20,5,3,2,1,1,1,3,3,1,3,1,1,1,3,3,2,3,1,1,1,3,3,2,3,3,3,3,1,3,1,2,3,3,3,4,1,3,4,2,1,3,1,3,2,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,5,2,2,3,3,2,,207,6002,0,5,2,1,1,2,3,2,3,1,1,2,2,3,2,4,1,2,1,2,1,1,3,2,2,2,1,1,3,3,2,2,2,2,1,1,2,2,2,3,2,2,0,1,3,4,1,8,3,1,9,9,3,9,19,9,2
1,76,21,5,3,3,1,1,1,3,3,1,1,1,1,1,1,3,0,3,1,1,1,3,1,3,2,3,1,1,3,3,1,3,3,1,3,2,1,3,2,2,2,4,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,4,2,3,2,1,3,,207,6002,1,5,1,1,1,2,3,2,2,2,2,1,2,3,2,1,1,1,1,2,1,1,3,2,1,2,1,1,2,4,1,1,2,1,1,1,1,1,1,2,3,3,2,4,5,2,1,6,4,1,9,9,3,9,39,9,2
1,76,22,5,3,3,3,1,1,3,3,1,1,1,3,1,1,3,3,3,1,1,3,3,3,1,1,3,3,3,1,3,1,3,3,3,3,2,1,2,4,2,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,4,1,1,3,1,3,,207,6002,2,5,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,3,1,2,2,1,2,2,1,2,1,1,3,3,1,1,2,1,1,1,2,1,1,1,3,1,2,5,1,4,1,6,1,1,9,9,3,9,39,9,2
1,76,23,5,3,3,3,1,1,3,3,1,3,1,1,1,2,1,3,3,1,1,1,3,1,1,3,3,3,0,3,3,1,3,3,3,3,3,3,2,4,2,1,4,1,1,2,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,4,1,1,3,2,3,,207,6002,3,5,2,2,1,2,3,2,1,1,1,2,2,3,2,3,1,3,1,2,2,2,9,9,1,2,1,1,3,4,2,1,2,1,1,1,2,3,4,1,3,2,2,4,2,2,1,7,3,1,9,9,3,9,19,9,2
1,76,24,5,3,3,3,1,1,3,3,1,1,1,1,1,1,3,3,3,1,1,1,3,3,3,1,3,1,3,3,3,1,3,3,3,3,5,1,3,4,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,4,1,2,3,2,3,,207,6002,4,5,3,2,1,2,3,2,2,2,2,3,3,3,2,1,1,1,1,2,1,1,3,2,1,3,1,1,2,4,1,1,2,1,1,1,1,1,1,2,3,2,2,1,5,2,1,7,3,1,9,9,3,9,39,9,2
1,76,25,5,3,1,1,1,1,1,3,1,3,1,1,1,1,3,3,1,1,1,3,3,3,3,3,3,1,3,1,3,1,3,3,1,3,5,1,3,4,2,1,3,1,1,3,1,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,4,2,2,3,3,3,,207,6002,5,5,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,1,2,2,1,3,2,1,2,1,1,1,4,1,1,2,1,1,1,2,1,1,1,3,2,1,4,5,5,2,7,2,1,9,9,3,9,39,9,2
1,76,26,5,3,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,3,3,3,1,2,3,2,3,3,3,3,1,3,2,2,2,4,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,3,2,2,2,1,2,,207,6002,6,5,3,2,1,2,3,2,2,3,2,3,2,2,3,2,1,1,1,1,1,1,3,2,1,2,1,1,3,4,3,2,2,2,2,2,2,3,1,1,1,2,1,4,5,5,2,7,5,2,9,9,2,9,39,9,2
1,76,27,5,3,3,1,1,1,3,3,1,3,1,3,1,1,3,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,1,3,2,2,2,5,1,3,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,5,1,2,3,1,3,,207,6002,7,5,1,1,1,1,2,1,2,1,1,1,2,2,4,2,1,1,1,1,1,1,4,2,1,3,1,1,3,4,1,1,2,1,1,1,1,1,1,1,4,2,2,4,3,4,2,7,1,1,9,9,3,9,39,9,2
1,76,28,5,3,3,3,2,1,3,3,1,1,1,2,1,1,1,3,3,2,1,3,3,1,1,3,2,3,3,3,1,1,3,3,3,3,2,1,3,2,2,2,5,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,5,1,2,3,2,3,,207,6002,8,5,2,1,1,1,1,1,2,1,1,1,2,1,1,3,1,3,1,1,1,1,2,1,2,1,1,1,3,3,3,3,2,2,2,2,2,3,1,1,3,2,2,4,2,5,1,7,1,1,9,9,9,9,29,9,2
1,76,29,5,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,3,3,3,1,3,1,2,3,2,3,3,1,3,2,2,2,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,5,1,1,2,2,3,,207,6002,9,5,1,1,1,1,1,1,2,1,1,1,3,2,3,3,2,2,1,1,1,2,9,9,1,2,1,1,3,4,3,2,2,3,2,1,2,2,1,1,3,2,2,4,2,5,1,5,2,2,9,9,3,9,39,9,2
1,76,30,5,3,1,1,1,1,3,3,1,1,1,1,1,2,3,1,3,1,3,3,3,3,1,2,3,3,2,1,1,1,3,3,1,3,3,2,3,4,2,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,4,1,1,2,2,3,,207,6003,0,5,1,2,1,1,1,1,1,1,1,2,3,2,3,4,3,2,1,2,2,1,3,2,1,2,1,1,2,4,3,1,2,2,1,2,1,1,2,4,3,2,1,4,3,4,2,6,4,1,9,9,3,9,39,9,2
1,76,31,5,3,3,3,1,1,3,3,1,1,1,3,1,1,3,3,3,1,1,1,3,1,1,3,3,3,1,3,1,1,1,3,3,3,1,1,3,2,2,2,4,1,3,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,5,2,2,2,3,2,,207,6003,1,5,2,3,1,2,1,3,3,2,2,3,3,3,2,3,2,2,3,2,1,1,4,2,2,3,2,2,3,3,3,4,1,2,2,1,1,1,2,2,3,2,2,1,2,2,1,8,5,1,9,9,3,9,39,9,2
1,76,32,1,3,3,1,1,1,3,3,1,3,1,1,3,3,3,1,3,1,1,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,4,2,2,5,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,0,1,1,2,1,1,1,1,3,,207,6003,2,1,1,1,1,1,2,1,1,1,1,1,3,3,1,2,1,2,1,1,1,1,3,2,1,2,1,1,2,4,1,1,2,1,2,1,1,1,2,2,4,2,1,4,2,3,1,6,3,9,3,1,9,3,90,8,9
1,76,33,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,3,1,1,3,1,3,4,2,2,3,2,1,3,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,1,3,1,1,2,2,1,,207,6003,3,3,2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,2,1,1,1,1,3,2,1,2,2,1,2,2,3,1,2,2,1,1,2,2,3,2,3,2,1,4,5,5,2,4,1,9,1,1,9,1,99,9,9
1,76,34,3,3,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3,3,3,3,2,1,2,2,2,2,1,2,3,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,4,1,2,2,3,3,,207,6003,4,3,3,2,1,2,2,2,2,2,2,3,2,3,1,2,1,3,1,2,1,2,1,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,3,2,2,1,4,2,3,2,5,5,9,1,1,9,1,99,9,9
1,76,35,3,3,3,3,1,1,3,3,1,3,1,3,1,1,3,3,1,3,1,3,1,1,3,3,3,3,3,3,1,3,3,1,3,1,1,3,2,3,2,2,5,1,3,1,1,1,1,2,1,2,2,2,2,2,3,1,1,1,1,1,2,2,2,2,2,5,2,1,1,2,2,,207,6003,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,1,2,1,2,3,4,2,2,1,2,4,3,2,3,3,2,1,3,3,2,4,4,1,2,1,2,2,5,5,9,2,1,9,2,99,9,9
1,76,36,3,3,3,3,1,1,3,3,1,1,1,1,1,1,1,3,3,1,1,3,3,1,1,1,3,3,3,1,1,1,1,3,3,3,2,1,3,3,2,2,5,1,3,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,4,1,2,3,1,3,,207,6003,6,3,2,1,1,1,2,1,2,2,2,1,3,3,1,3,1,2,1,2,2,1,3,2,2,2,2,3,3,4,4,1,2,1,1,2,3,2,3,2,1,3,1,1,2,1,1,7,5,9,2,1,9,2,99,9,9
1,76,37,3,1,3,3,1,1,3,3,1,1,1,1,1,1,1,3,3,1,3,1,3,1,3,1,2,3,3,1,1,3,3,3,3,3,3,1,3,2,2,1,2,2,3,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,4,3,3,1,3,2,,207,6003,7,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,1,1,2,1,1,1,4,2,1,5,2,2,2,1,4,3,1,3,3,3,3,2,3,4,3,0,1,4,2,5,2,7,4,9,1,1,9,2,99,9,9
1,76,38,3,1,3,3,1,1,3,3,1,1,1,3,1,1,1,1,3,1,3,1,1,1,1,3,1,3,3,3,1,1,3,1,3,3,2,1,2,3,2,1,4,2,3,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,5,3,3,2,3,1,,207,6003,8,3,3,2,2,1,3,3,2,1,2,2,3,2,1,4,3,3,1,1,1,2,9,9,2,2,1,2,3,3,3,3,2,3,2,3,3,2,3,4,1,3,2,5,3,1,1,4,5,9,1,1,9,1,99,9,9
1,76,39,3,3,1,3,1,1,3,3,1,1,3,1,1,3,3,1,3,1,1,3,3,1,1,2,3,3,3,1,3,1,3,3,3,3,2,3,2,2,2,1,1,2,3,2,1,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,4,1,2,1,2,3,,207,6003,9,3,2,1,1,1,2,2,2,2,3,3,3,2,3,2,2,2,1,2,1,1,3,1,3,3,3,2,1,4,4,3,1,2,1,1,2,2,2,2,3,5,1,2,3,2,1,6,4,9,1,1,9,2,99,9,9
1,76,40,3,3,3,3,1,1,3,3,1,3,1,1,1,1,3,1,3,1,3,3,1,1,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,4,2,2,4,2,3,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,5,2,2,2,2,2,,207,6004,0,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,1,1,1,1,2,1,3,5,2,1,3,1,4,3,1,2,3,3,1,2,4,4,4,5,1,5,5,4,2,4,5,9,1,2,9,1,99,9,9
1,76,41,3,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,3,1,2,1,2,1,1,1,3,3,3,1,3,3,3,3,3,3,2,3,2,2,2,2,4,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,2,3,1,1,1,1,3,,207,6004,1,3,2,1,1,1,3,1,1,1,1,1,2,2,2,1,1,3,1,2,2,1,1,2,2,2,1,1,1,4,3,3,1,3,1,1,3,2,2,3,2,1,2,1,2,4,2,5,5,9,2,2,9,1,99,9,9
1,76,42,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,3,3,3,1,1,3,3,3,3,0,0,0,0,0,0,6,0,0,0,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,3,3,,207,6004,2,3,3,1,1,3,1,3,2,1,3,2,2,3,2,4,1,3,1,1,1,3,1,2,1,3,1,1,2,2,1,3,2,2,2,2,3,2,2,1,2,2,1,1,5,4,2,1,2,9,1,1,9,1,99,9,9
1,76,43,3,1,3,1,1,1,3,3,1,1,1,3,1,1,3,1,3,3,1,1,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,1,3,4,2,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,4,3,3,3,3,3,,207,6004,3,3,3,2,2,3,3,2,3,3,2,3,2,1,1,4,1,3,1,2,2,1,3,2,1,2,1,1,2,4,2,1,2,1,1,1,1,1,1,2,4,4,1,4,5,3,2,5,5,9,1,2,9,1,99,9,9
1,76,44,3,1,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,1,3,1,1,1,1,3,3,3,1,1,3,3,3,3,3,2,3,3,4,2,2,5,2,1,2,1,1,1,1,2,1,1,1,0,1,2,2,2,2,1,1,2,2,2,1,1,3,1,1,0,0,0,,207,6004,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,1,1,9,1,99,9,9
1,76,45,3,3,3,3,1,1,3,3,1,3,1,1,1,1,3,3,3,1,3,3,3,1,1,1,3,3,3,1,1,3,3,3,3,3,2,3,3,4,2,2,5,1,3,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,5,1,2,2,1,2,,207,6004,5,3,1,2,2,2,1,2,2,2,2,3,3,2,1,2,2,2,1,2,1,1,3,2,2,3,2,1,3,2,3,2,1,2,1,1,1,2,2,2,4,3,2,3,3,4,2,6,4,9,1,1,9,1,99,9,9
1,76,46,3,3,3,1,1,1,3,3,1,1,1,3,1,1,3,3,3,1,1,3,1,3,1,1,3,3,3,1,1,1,3,3,3,3,2,1,3,4,2,2,5,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,3,1,2,,207,6004,6,3,3,1,1,1,1,1,1,2,1,1,3,3,1,3,1,1,1,2,1,1,4,2,1,3,2,2,2,4,1,1,2,2,2,1,1,1,4,1,4,3,2,4,5,1,1,6,1,9,1,1,9,1,99,9,9
1,76,47,3,1,1,3,1,1,3,3,1,1,1,1,1,1,3,1,3,1,1,3,3,1,1,3,3,3,3,1,1,3,3,3,3,3,3,1,2,3,2,2,4,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,0,1,1,3,2,2,1,3,2,,207,6004,7,3,3,3,1,3,2,2,2,2,2,3,2,3,2,3,2,2,3,2,2,1,3,2,3,2,2,2,3,3,4,3,1,2,2,2,1,3,3,4,3,2,2,1,5,5,2,5,2,9,1,1,9,1,99,9,9
1,76,48,3,1,3,3,1,1,1,3,1,3,1,1,1,1,3,3,3,1,3,3,3,1,3,1,3,3,3,1,1,1,3,3,3,3,2,3,2,2,2,2,4,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,4,1,2,2,2,3,,207,6004,8,3,2,1,1,2,2,2,3,3,2,3,2,3,2,3,2,2,1,2,2,1,2,2,1,2,1,1,2,4,2,2,2,1,1,1,1,2,1,1,4,2,2,5,1,4,1,6,5,9,1,2,9,1,99,9,9
