CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51A.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56A.,Q.57A.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72A.,Q.73A.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,V.99.,V.100.,V.101.,V.102.,V.103.,V.104.,V.105.,V.106.,V.107.,V.108.,V.109.,V.110.,V.111.,V.112.,V.113.,V.114.,V.115.,V.116.,V.117.
1,63,1,7,2,4,6,7,2,1,5,3,1,4,2,1,9,9,1,1,1,1,2,1,1,2,2,3,3,1,1,1,1,1,4,2,1,2,2,2,3,2,4,1,2,3,3,1,2,1,2,1,2,3,4,8,3,5,1,4,4,2,1,2,2,2,2,2,63,1,7,2,5,2,2,2,1,2,2,2,2,5,5,2,2,1,2,3,4,4,1,5,2,2,3,1,1,4,1,4,5,1,5,1,2,4,5,6,10,0,2,2,5,4,3,3,5,3,3,3,3,70,841
1,63,2,7,2,4,6,7,5,1,5,3,1,4,2,1,9,9,1,2,1,2,2,1,3,2,2,1,1,2,2,1,2,2,3,4,2,2,2,1,4,3,7,3,1,2,2,2,2,1,2,2,2,2,4,3,3,2,3,1,3,2,2,2,2,2,1,2,63,2,7,3,2,2,1,1,1,1,1,1,1,4,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,3,2,3,3,3,2,8,0,1,4,3,4,6,3,3,1,3,7,4,70,3296
1,63,3,7,2,4,6,2,4,1,5,3,2,6,2,1,9,9,1,2,1,2,2,2,2,2,1,1,1,2,1,1,2,5,4,3,2,2,1,1,2,2,3,2,2,1,2,2,3,1,1,1,1,2,4,1,3,3,4,4,3,2,3,3,3,3,1,2,63,3,7,3,2,2,3,1,1,1,2,3,1,2,3,3,2,2,2,2,2,2,1,1,2,1,1,1,1,4,1,1,2,2,4,1,1,3,3,4,9,0,2,1,5,5,7,4,3,2,4,5,3,70,1863
1,63,4,7,2,10,6,2,5,4,4,2,1,3,2,1,9,9,2,2,3,1,2,1,3,3,2,2,2,4,2,1,3,2,4,4,4,3,2,3,3,2,7,3,2,1,1,2,2,1,3,1,1,3,4,1,4,2,3,3,3,2,2,2,2,1,3,2,63,4,7,2,2,2,1,2,3,2,2,1,3,2,2,2,3,2,4,2,2,2,1,1,2,1,1,3,1,4,3,4,3,2,4,1,0,3,3,6,6,0,2,3,2,0,3,3,0,1,1,5,1,70,2164
1,63,5,7,2,4,7,7,3,1,5,3,1,4,2,1,9,9,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,1,4,2,1,1,2,2,1,3,1,1,2,1,2,5,3,1,2,1,2,3,4,11,4,3,3,2,1,3,2,1,2,1,1,2,63,5,7,2,3,2,1,1,1,1,3,1,1,4,4,3,2,4,4,2,3,2,1,1,3,2,1,1,1,4,1,4,3,5,4,3,1,4,2,2,5,0,2,1,5,4,5,3,5,2,3,4,0,4,372
1,63,6,7,2,3,5,3,2,1,5,3,2,3,2,1,9,9,1,1,1,2,2,1,2,2,2,1,1,1,3,1,2,2,3,3,2,2,2,2,1,2,1,2,1,3,3,2,2,1,1,1,1,1,4,2,4,2,3,3,2,3,1,1,1,1,2,2,63,6,7,2,2,2,2,2,3,2,3,2,2,4,4,3,2,2,2,3,1,1,1,3,3,3,3,1,1,4,1,2,2,2,3,3,0,3,5,2,9,0,2,0,4,4,5,3,3,1,5,4,2,70,1913
1,63,7,7,2,5,5,5,1,1,5,3,2,6,2,1,9,9,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,3,5,5,2,1,1,1,3,3,3,1,2,2,1,2,1,1,1,1,3,1,3,3,5,3,4,3,2,1,2,1,1,3,2,63,7,7,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,4,3,3,1,2,2,1,1,1,2,4,1,4,5,1,2,1,2,3,6,6,9,1,4,2,7,5,7,4,2,2,5,5,4,70,2765
1,63,8,7,2,1,6,2,5,1,5,3,1,2,2,2,2,9,2,2,3,1,1,1,3,2,3,3,3,4,2,4,3,2,2,4,5,3,4,7,1,3,3,2,1,1,2,3,3,2,4,3,3,3,4,1,4,3,3,4,0,2,2,1,2,2,2,2,63,8,7,4,4,2,1,3,1,1,3,3,2,3,3,4,5,1,4,2,2,2,5,6,0,0,0,0,0,5,0,3,5,1,4,3,1,0,0,2,5,0,1,1,0,0,2,1,2,1,1,3,1,37,3414
1,63,9,7,2,1,5,5,4,1,5,3,1,2,2,2,2,2,1,4,2,1,2,1,2,2,1,1,1,3,2,1,2,2,4,5,1,2,1,3,1,2,2,2,1,2,3,2,2,1,2,2,1,2,4,1,3,3,1,3,4,2,2,2,2,2,2,2,63,9,7,2,2,1,2,1,4,1,2,1,2,2,5,2,2,3,3,2,3,2,1,2,4,3,3,1,1,4,1,4,2,2,3,1,2,3,4,6,7,2,2,0,5,2,5,4,4,1,3,2,5,37,3354
1,63,10,7,2,5,7,2,4,1,5,3,1,2,2,1,2,9,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,4,3,1,1,2,7,3,3,5,3,1,1,1,1,2,1,2,2,1,2,4,2,3,1,3,2,3,2,1,1,1,1,2,2,63,10,7,2,2,2,3,1,2,1,2,2,2,1,2,2,2,1,2,3,2,1,1,1,2,2,2,1,1,4,1,2,2,1,2,3,1,4,5,7,10,1,3,4,6,4,4,4,4,3,5,3,3,37,3334
1,63,11,7,2,1,6,4,2,1,5,3,1,2,2,2,2,9,1,2,2,1,2,1,2,1,1,1,1,1,3,3,2,1,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,1,2,3,2,2,4,2,3,3,3,1,3,2,2,1,2,2,2,2,63,11,7,3,2,2,2,2,3,1,4,3,1,2,2,2,2,2,2,1,3,1,1,2,2,1,2,1,1,4,1,3,2,1,2,2,3,1,2,6,9,0,1,1,6,3,6,4,2,1,4,4,4,37,3404
1,63,12,7,2,3,6,4,2,1,5,3,1,2,2,2,2,7,2,2,2,1,1,2,2,2,1,1,2,3,2,3,4,3,4,4,3,2,2,2,1,1,3,1,1,2,1,2,2,1,1,3,4,1,4,2,3,2,3,2,2,2,1,1,1,1,1,2,63,12,7,3,2,1,1,1,3,3,2,2,1,1,1,3,4,4,4,2,2,1,1,2,2,2,3,1,1,4,1,2,3,1,2,1,2,0,3,7,3,2,2,0,4,1,5,2,1,0,5,3,4,37,3294
1,63,13,7,2,1,7,2,2,1,5,3,1,2,2,2,2,3,1,1,2,1,2,1,2,2,2,2,3,1,2,3,3,1,3,3,1,2,2,2,1,3,2,3,1,3,2,3,2,2,3,2,2,3,4,3,3,3,3,3,3,2,2,1,2,1,1,2,63,13,7,3,3,1,2,1,2,1,2,1,1,4,3,2,4,2,4,1,2,1,1,1,3,2,2,1,1,4,1,1,3,1,2,1,0,2,2,3,5,2,2,2,4,2,4,3,4,1,4,3,4,37,3314
