CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3A.,Q.3B.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39A.,Q.39B.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,CARD..1,DECK..1,BALLOT..1,Q.71.,Q.72A.,Q.72B.,Q.72C.,Q.72D.,Q.72E.,Q.73.,Q.74A.,Q.74B.,Q.74C.,Q.74C..1,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,Q.98.,Q.99.,Q.100A.,Q.100B.,Q.100C.,Q.100D.,Q.100D..1,Q.101A.,Q.102E.,Q.103I.,Q.104E.,V.106.,V.107.,V.108.,V.109.,V.110.,V.111.,V.112.,V.113.,V.114.,V.115.,V.116.,V.117.,V.118.
1,85,1,1,4,3,2,5,5,5,1,3,2,3,3,4,1,0,3,1,0,2,2,1,2,1,2,1,2,1,0,0,2,0,5,1,0,2,2,1,0,2,2,4,3,3,2,2,0,2,3,1,2,0,0,2,2,1,3,3,2,2,3,1,2,2,2,3,4,2,2,2,85,1,3,2,2,1,1,1,2,6,2,1,1,3,1,2,0,3,1,2,3,3,3,3,3,2,2,3,2,0,1,4,3,2,3,1,3,3,1,1,1,1,4,0,1,7,1,4,5,4,4,4,2,2,1,4,4,1,8,24041
1,85,2,1,4,3,2,5,5,5,1,3,2,3,3,4,1,2,1,2,2,2,1,2,2,1,2,3,2,1,2,4,3,4,2,1,3,1,1,1,2,2,3,3,2,3,2,4,4,2,1,1,3,1,3,2,3,3,3,3,4,2,3,2,2,1,2,3,1,2,2,2,85,2,2,2,1,2,2,2,4,2,5,1,1,2,2,2,3,2,1,2,3,2,3,4,3,1,3,1,2,2,3,3,3,3,3,2,3,1,1,1,1,1,4,6,3,8,2,3,5,2,6,3,2,3,1,3,3,5,10,63171
1,85,3,2,4,3,2,5,5,5,1,3,4,2,3,4,1,2,1,2,2,2,1,2,2,1,3,2,2,2,2,1,2,3,2,1,3,1,2,2,2,2,2,3,1,2,2,3,2,3,2,2,3,1,1,2,3,3,3,3,2,2,1,2,3,2,3,3,1,2,2,2,85,3,2,2,2,1,2,1,3,5,2,1,1,2,1,1,3,1,1,3,1,3,3,2,3,1,2,2,2,3,3,2,3,2,1,2,3,3,1,1,1,1,4,2,4,7,2,2,3,1,3,2,2,2,2,3,2,5,9,25151
1,85,4,1,1,3,2,5,5,5,1,3,9,1,1,6,1,2,1,3,1,1,3,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,3,4,3,2,3,3,4,1,3,1,3,1,1,4,2,2,2,3,4,4,3,2,2,2,5,3,4,4,4,2,85,4,3,2,2,1,1,1,2,2,5,3,1,2,2,2,2,3,1,3,2,4,1,2,3,2,2,2,1,2,2,2,2,3,3,1,2,2,1,2,2,2,1,6,2,6,3,0,0,0,0,0,0,0,0,0,0,0,8,41209
1,85,5,1,1,3,2,5,5,5,1,3,9,1,1,6,1,1,2,3,1,1,3,2,2,1,2,1,2,2,2,2,2,2,1,2,3,2,1,1,2,2,2,1,3,3,2,2,5,1,1,1,4,1,1,1,2,3,1,2,3,2,3,1,4,3,2,3,1,2,2,2,85,5,2,2,2,1,1,1,2,2,3,4,1,2,3,1,3,1,1,2,2,2,3,2,2,1,3,3,1,2,3,2,2,2,3,2,3,2,1,1,1,2,3,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,8,92419
1,85,6,1,4,3,2,5,5,5,1,3,9,2,1,2,1,1,1,1,1,1,3,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,3,1,3,2,3,3,2,3,5,2,1,1,4,2,1,2,2,2,3,3,3,3,2,1,2,2,2,2,1,2,2,2,85,6,3,2,2,1,1,2,2,2,5,6,1,3,1,2,3,3,1,3,2,3,2,1,3,2,2,2,2,2,3,2,3,2,3,2,2,2,1,1,1,1,4,6,3,8,1,0,0,0,0,0,0,0,0,0,0,0,9,92969
1,85,7,1,5,3,2,11,6,1,5,1,7,1,3,4,2,4,1,2,2,2,2,3,2,4,1,3,2,2,3,3,2,3,3,2,3,3,3,2,2,3,3,3,2,2,2,2,4,2,1,1,3,2,2,3,10,1,3,3,2,2,1,2,4,3,3,3,2,2,2,2,85,7,1,2,2,1,1,1,2,3,5,1,1,4,1,1,3,3,2,3,2,3,2,3,2,2,2,1,1,3,2,3,1,4,2,2,4,1,1,0,0,0,1,2,2,9,2,0,0,0,0,0,0,0,0,0,0,0,8,33181
1,85,8,1,4,3,2,11,6,1,5,1,7,2,3,5,1,1,2,3,1,2,3,1,3,4,2,3,2,2,2,2,2,4,4,1,3,3,3,3,3,1,2,2,2,2,2,2,5,3,3,2,3,1,2,2,2,1,2,2,3,2,1,1,4,2,2,3,2,2,3,2,85,8,1,2,1,1,1,1,2,5,4,3,1,4,1,1,3,1,1,3,2,3,2,4,3,1,2,2,2,3,3,3,3,4,3,2,2,3,1,1,1,1,4,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0,10,71051
1,85,9,2,5,3,0,11,6,1,5,1,4,3,3,5,1,3,1,3,1,3,2,2,2,1,2,1,2,2,2,2,2,3,3,2,4,3,3,2,2,2,2,3,2,2,2,2,4,3,1,2,4,2,1,2,2,2,3,3,4,2,3,1,2,1,2,1,1,2,2,2,85,9,3,2,2,1,1,1,2,2,1,5,1,3,1,1,3,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,4,2,3,1,2,2,1,1,1,1,4,0,4,7,1,3,9,4,6,1,2,1,1,5,4,5,8,64291
1,85,10,1,5,3,2,11,6,1,5,1,7,3,3,7,1,1,1,2,2,2,2,2,2,4,2,2,2,2,3,2,2,3,3,1,2,3,1,1,2,2,3,3,2,3,1,3,4,2,3,1,3,1,1,2,1,1,3,2,4,3,2,1,2,2,2,1,1,1,2,2,85,10,3,2,2,1,1,1,2,1,6,3,1,3,3,1,3,2,2,3,2,2,3,2,3,1,3,2,1,3,3,1,3,3,1,2,4,2,1,1,1,1,4,3,5,9,4,0,0,0,0,0,0,0,0,0,0,0,8,31082
