CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3A.,Q.3B.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39A.,Q.39B.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,CARD..1,DECK..1,BALLOT..1,Q.71.,Q.72A.,Q.72B.,Q.72C.,Q.72D.,Q.72E.,Q.73.,Q.74A.,Q.74B.,Q.74C.,Q.74C..1,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,Q.98.,Q.99.,Q.100A.,Q.100B.,Q.100C.,Q.100D.,Q.100D..1,Q.101A.,Q.102E.,Q.103I.,Q.104E.,V.106.,V.107.,V.108.,V.109.,V.110.,V.111.,V.112.,V.113.,V.114.,V.115.,V.116.,V.117.,V.118.
1,85,11,1,2,3,2,11,6,1,5,1,4,1,3,2,2,4,1,1,2,3,2,3,2,1,2,2,2,1,1,2,2,3,2,1,3,3,3,2,2,2,3,3,3,3,1,3,5,1,1,1,2,2,2,1,2,1,1,1,2,3,1,1,4,3,3,3,3,3,5,2,85,11,2,2,2,1,2,2,2,3,1,5,1,2,1,1,2,3,4,2,3,4,1,3,2,2,2,3,2,2,3,2,3,4,2,2,3,2,1,1,1,1,4,4,5,8,2,3,8,3,1,5,1,3,6,0,2,1,9,0
1,85,12,2,5,3,2,10,6,1,5,1,4,4,3,4,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,3,2,3,1,3,2,3,2,2,1,4,1,1,1,4,1,1,1,1,3,3,3,4,3,2,2,4,3,5,2,1,3,5,2,85,12,3,2,2,2,2,2,4,5,1,2,1,2,1,2,4,1,2,3,2,3,1,2,3,2,2,2,2,2,3,2,3,2,2,3,3,2,1,1,2,1,3,5,4,9,3,5,6,7,5,3,3,4,5,4,2,3,10,0
1,85,13,2,5,3,2,10,6,1,5,1,5,4,3,5,2,4,1,3,2,3,2,3,4,1,1,2,2,2,3,2,2,2,1,2,2,2,3,2,2,4,4,2,2,3,2,3,4,1,3,1,3,2,1,4,1,3,3,3,3,2,1,1,1,2,2,4,1,2,1,2,85,13,3,2,2,1,1,2,2,5,2,4,1,2,3,2,4,2,1,4,1,2,1,2,3,1,3,1,1,3,3,2,3,2,3,2,3,3,1,1,0,0,2,3,4,7,4,2,3,2,3,3,1,3,3,5,4,1,9,17021
1,85,14,2,5,3,2,10,6,1,5,1,7,4,3,7,2,4,1,2,2,2,2,2,2,4,2,2,2,2,2,3,2,3,3,1,2,1,2,1,2,1,2,3,2,3,2,3,4,2,1,1,3,1,1,1,8,2,2,3,4,3,1,2,3,2,3,3,2,2,2,2,85,14,1,2,2,1,1,2,2,5,1,2,1,4,1,2,4,1,1,3,1,3,1,3,3,3,3,2,2,3,2,3,3,3,3,2,3,1,1,1,1,1,4,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,9,32142
1,85,15,1,5,1,2,10,6,1,5,1,13,3,3,6,2,4,1,2,3,2,3,2,2,2,1,3,3,3,2,2,2,2,2,2,4,2,3,2,2,4,2,1,2,2,1,2,3,2,1,2,3,1,1,2,8,1,2,2,4,2,3,2,3,2,2,3,4,2,2,2,85,15,3,2,2,1,1,1,2,2,5,1,1,3,3,1,4,2,1,4,1,3,1,2,3,1,2,1,1,3,3,3,2,3,3,2,2,2,2,2,1,1,2,2,4,8,4,1,4,4,2,3,1,2,2,4,2,1,8,14012
1,85,16,2,5,3,2,10,6,1,5,1,2,2,3,6,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,1,1,3,1,3,2,2,3,1,2,4,2,3,2,4,1,1,1,3,3,2,2,4,3,1,3,3,2,3,3,3,2,2,2,85,16,3,2,2,1,1,1,2,5,2,6,1,3,1,2,4,1,2,4,3,2,2,1,4,1,4,1,2,4,2,2,3,3,1,2,2,1,1,1,2,1,3,1,5,8,5,2,3,5,5,3,2,2,3,3,2,3,8,11042
1,85,17,1,2,3,2,10,6,2,1,1,9,1,3,4,2,1,3,2,3,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,1,3,3,1,3,2,2,5,3,3,2,3,2,3,1,3,1,3,3,4,3,2,5,1,1,5,2,4,4,2,2,85,17,2,2,2,1,1,1,2,4,5,1,1,4,2,2,2,3,1,2,3,4,2,2,2,1,2,2,2,2,2,4,1,2,3,1,4,3,1,1,1,1,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,8,91189
1,85,18,1,3,3,2,10,6,1,5,1,4,2,3,4,3,5,1,2,2,3,1,3,2,1,1,3,2,2,3,2,3,3,4,2,5,1,2,1,1,3,3,2,2,2,4,2,3,2,2,1,4,3,1,1,2,1,3,3,4,3,2,2,2,2,2,2,4,2,2,2,85,18,2,2,2,1,1,1,2,1,5,2,1,4,2,2,4,3,2,4,3,3,2,2,3,2,2,3,2,3,3,3,3,1,2,2,4,3,1,2,1,1,3,4,0,7,0,2,2,2,6,1,1,2,1,4,4,5,8,62161
1,85,19,2,5,2,1,8,6,1,5,1,9,1,1,5,1,2,1,1,2,3,2,2,2,1,2,2,2,2,3,2,2,3,3,2,3,2,1,1,2,1,4,3,2,4,2,3,5,1,1,1,3,1,0,1,10,2,2,2,4,3,1,3,4,2,3,2,2,2,1,2,85,19,2,2,2,1,1,2,3,5,2,6,1,2,1,1,3,1,1,4,1,4,1,2,3,1,3,1,1,3,1,2,2,2,1,2,4,1,2,2,2,2,5,3,5,7,2,0,0,0,0,0,0,0,0,0,0,0,9,42049
1,85,20,1,2,3,2,8,6,1,5,1,9,1,1,7,1,2,2,2,2,1,2,2,2,1,2,1,2,2,3,3,2,3,2,2,4,2,2,2,2,2,2,3,2,2,3,3,4,1,3,1,3,1,1,2,2,1,3,3,3,1,1,3,5,3,3,3,4,0,3,2,85,20,2,1,2,2,2,2,3,5,1,2,1,2,2,1,3,1,2,3,2,4,2,3,2,1,3,2,2,3,2,3,1,3,3,2,4,2,1,1,1,1,4,3,5,8,3,0,0,0,0,0,0,0,0,0,0,0,5,51319
1,85,21,2,4,3,2,8,6,1,5,1,4,3,3,6,1,1,1,2,2,2,1,2,4,1,2,1,2,2,3,1,3,5,4,1,5,1,1,1,1,2,3,1,1,2,1,3,2,2,1,3,2,3,1,1,7,3,3,3,2,3,3,1,4,3,2,2,4,2,2,2,85,21,3,2,2,2,1,1,2,2,4,6,1,4,2,1,4,2,1,4,2,4,2,4,3,1,4,3,1,4,3,4,3,1,3,1,3,2,1,1,2,1,3,2,3,5,2,3,1,2,5,4,3,1,2,5,2,5,10,62041
1,85,22,1,5,2,2,8,6,1,5,1,9,4,3,6,3,4,1,3,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,3,1,2,2,2,2,1,1,1,2,4,1,1,1,4,1,3,1,3,1,2,2,4,3,1,2,3,2,3,3,3,1,2,2,85,22,2,2,2,1,1,2,2,6,2,3,1,3,1,1,3,2,1,4,1,4,1,2,4,1,4,1,1,3,2,2,4,3,2,2,2,1,1,2,2,2,1,2,4,9,4,0,0,0,0,0,0,0,0,0,0,0,9,51329
1,85,23,3,5,3,2,8,6,1,5,1,4,3,3,6,1,2,3,3,3,2,1,2,2,1,2,2,2,2,4,1,1,2,2,2,3,1,1,1,2,2,2,3,3,4,3,3,3,2,1,2,3,2,0,2,3,1,3,4,3,3,3,2,3,3,3,3,3,4,4,2,85,23,1,2,2,1,1,1,2,5,4,2,1,2,3,3,3,3,3,4,1,2,3,2,3,1,3,3,1,2,3,1,3,1,3,3,3,1,1,1,1,1,4,4,5,9,5,2,3,2,4,3,2,1,6,0,1,5,8,64251
1,85,24,3,5,3,2,8,6,1,5,1,2,3,3,2,1,2,3,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,3,1,1,1,2,2,2,2,2,1,2,2,3,2,1,2,3,2,1,1,2,1,2,3,3,3,3,2,2,2,2,3,3,2,3,2,85,24,4,2,2,1,1,1,2,5,3,2,1,3,1,1,2,3,1,3,2,3,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,1,1,2,1,1,3,2,3,8,4,4,8,4,4,1,3,1,6,0,3,5,8,62051
1,85,25,1,1,3,2,8,6,1,5,1,9,1,1,6,1,1,2,2,1,3,2,2,2,0,2,2,1,0,0,0,0,0,0,2,0,2,3,2,0,4,2,0,2,2,2,3,5,1,3,1,0,1,1,2,2,1,3,3,3,4,0,2,5,2,3,3,1,1,0,2,85,25,2,2,2,1,1,0,4,6,2,1,1,2,0,1,2,2,1,0,5,3,0,0,0,1,2,2,1,0,0,0,3,5,0,2,0,0,1,2,1,1,3,4,2,5,1,0,0,0,0,0,0,0,0,0,0,0,10,41059
1,85,26,3,6,2,1,9,6,1,5,1,9,2,1,7,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,2,2,4,2,2,2,3,3,2,1,1,4,1,0,1,5,1,3,2,4,2,3,1,2,1,2,2,1,1,2,2,85,26,3,2,2,1,1,1,2,5,1,4,1,4,3,1,3,3,1,3,2,3,2,4,2,2,4,3,1,3,2,2,3,3,2,2,3,3,1,2,2,1,2,1,1,7,6,0,0,0,0,0,0,0,0,0,0,0,8,92169
1,85,27,1,1,3,2,9,6,1,5,1,9,1,1,7,1,1,0,2,1,1,3,2,2,1,2,2,2,2,4,1,5,2,1,2,3,2,3,2,3,4,3,1,2,3,2,2,4,2,3,1,3,1,1,2,2,3,3,3,4,3,1,2,3,2,2,3,2,1,2,2,85,27,2,2,2,1,1,1,2,2,4,1,1,2,1,2,3,1,1,3,3,4,1,2,2,3,3,3,2,2,3,2,2,2,3,2,3,2,2,1,1,1,3,3,4,6,2,0,0,0,0,0,0,0,0,0,0,0,8,41189
1,85,28,1,3,3,2,9,6,1,5,1,2,1,3,7,3,5,1,2,2,2,2,3,2,1,1,1,1,2,1,1,1,2,1,2,3,2,2,2,2,1,1,3,1,2,1,1,5,1,1,1,3,1,1,1,1,3,3,3,4,3,2,2,3,3,3,3,1,1,3,2,85,28,3,2,2,1,1,1,3,5,6,1,1,2,3,1,3,2,2,4,3,2,1,3,1,1,2,2,2,2,1,2,4,4,1,3,3,1,1,1,1,1,4,2,2,7,2,4,6,6,4,2,1,4,0,3,2,3,8,24171
1,85,29,1,1,1,2,9,6,1,5,1,2,1,3,7,1,2,3,2,2,2,1,4,4,1,2,3,3,2,3,3,3,3,3,1,3,1,2,1,2,2,2,2,2,2,3,3,3,3,3,2,3,2,1,1,5,1,3,3,3,2,3,1,1,2,2,3,3,1,2,2,85,29,3,2,2,1,1,1,2,5,2,1,1,3,1,1,4,1,2,4,1,3,1,2,2,2,4,2,1,3,2,3,3,3,1,2,3,1,2,2,2,1,1,4,4,8,5,2,1,1,4,2,2,1,1,3,4,5,8,24111
1,85,30,1,3,3,2,9,6,1,5,1,4,3,3,6,1,4,1,2,1,2,2,2,2,1,0,1,2,2,4,2,2,3,3,1,4,2,3,2,2,2,3,4,2,2,2,2,4,2,1,2,3,3,0,2,7,3,3,3,4,4,1,2,3,2,2,3,4,1,2,2,85,30,4,2,2,1,1,1,2,5,6,2,1,2,2,2,4,1,2,2,2,3,2,2,3,1,2,2,1,3,2,2,3,2,3,2,3,2,1,1,1,1,4,2,4,9,5,3,6,5,4,2,2,1,1,3,2,1,8,64271
1,85,31,2,5,3,2,9,6,1,5,1,4,1,3,6,1,2,1,1,2,3,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,3,3,2,2,3,2,4,4,2,2,4,1,1,1,3,1,1,1,2,2,3,3,4,2,1,2,3,3,1,3,3,2,2,2,85,31,2,2,2,1,1,1,2,6,1,2,1,4,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,3,2,1,2,2,1,3,5,6,2,2,9,4,5,4,2,4,2,2,2,1,8,12072
1,85,32,2,5,3,2,9,6,1,5,1,2,3,3,6,1,2,1,1,3,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,4,1,2,1,3,2,2,2,3,3,2,3,5,2,3,2,3,2,1,4,1,1,3,3,4,3,3,1,2,2,2,3,2,2,2,2,85,32,4,2,2,1,1,1,2,5,2,3,1,2,2,1,3,2,1,3,3,2,2,2,3,2,2,3,1,2,3,1,3,2,3,2,2,3,1,2,1,2,2,2,3,7,4,3,9,3,5,4,3,1,3,3,4,2,8,24021
1,85,33,3,6,3,2,9,6,1,5,1,9,1,1,3,1,1,2,2,2,1,3,1,2,1,2,1,2,2,2,1,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,5,2,1,1,3,1,1,2,2,2,3,3,3,2,1,2,3,2,0,1,4,2,4,2,85,33,4,2,2,1,1,2,4,5,1,2,1,2,3,2,3,2,2,2,2,2,3,2,3,0,0,0,0,0,0,0,5,2,1,2,3,2,2,2,2,2,5,6,4,6,3,0,0,0,0,0,0,0,0,0,0,0,10,91319
1,85,34,3,6,2,1,9,6,2,1,3,9,2,1,4,1,4,1,2,2,1,3,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,3,2,3,1,2,3,1,1,2,2,3,1,1,1,4,1,1,1,1,2,1,3,4,1,1,2,2,2,1,1,1,1,1,2,85,34,1,1,1,1,1,1,2,1,0,0,5,1,3,2,2,3,2,2,1,2,2,2,2,1,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,2,5,6,3,5,2,0,0,0,0,0,0,0,0,0,0,0,10,42209
1,85,35,1,5,3,2,9,6,1,5,1,2,1,3,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,3,2,1,2,3,4,1,3,3,2,2,3,1,1,1,4,1,1,1,1,3,3,3,4,3,3,1,2,1,2,2,3,2,2,2,85,35,3,2,2,2,2,2,4,5,2,1,1,2,3,1,2,3,2,2,3,2,3,2,3,1,3,3,1,3,3,2,3,1,3,2,2,3,2,2,2,1,1,5,6,0,0,2,9,3,6,6,3,4,2,4,4,5,10,0
1,85,36,2,5,3,2,9,6,1,5,1,2,3,3,4,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,3,1,2,2,2,2,2,3,4,2,2,1,3,2,1,2,1,3,2,2,2,3,1,2,3,2,3,3,2,2,2,2,85,36,2,2,2,1,1,2,2,1,2,5,1,2,3,2,3,3,2,2,3,2,1,2,3,2,2,3,1,2,3,2,4,3,2,2,2,3,1,1,2,2,2,2,1,7,6,2,9,6,1,1,4,2,4,3,2,3,9,11041
1,85,37,1,5,3,2,9,6,1,5,1,2,3,3,4,3,4,1,2,2,2,1,3,1,1,1,4,1,2,3,3,2,2,2,1,3,1,2,1,1,3,4,3,1,3,2,3,2,1,2,2,4,2,1,1,1,2,2,3,4,1,1,2,3,2,2,3,2,2,3,2,85,37,4,2,2,1,1,1,2,5,1,3,1,2,1,1,3,2,2,3,2,3,2,3,3,2,3,2,1,4,3,2,3,2,2,2,4,1,1,1,1,1,4,0,4,6,3,3,3,1,5,4,1,2,2,2,2,5,8,61151
1,85,38,2,4,3,2,9,6,1,5,1,4,3,3,5,1,2,1,2,2,1,1,2,2,1,2,1,2,2,3,2,2,2,2,2,4,2,3,2,2,1,3,3,2,3,1,2,4,1,1,1,3,2,1,1,1,2,3,3,4,2,3,2,4,2,2,1,3,2,2,2,85,38,2,2,2,1,1,2,4,2,5,1,1,2,1,2,3,3,2,3,3,3,2,2,3,2,3,2,2,3,3,2,3,3,2,2,3,2,1,1,1,2,3,6,1,7,0,3,3,5,5,3,3,3,2,3,2,2,10,64182
1,85,39,1,4,3,2,9,6,1,5,1,4,3,3,5,2,2,1,2,2,2,1,2,1,1,2,2,2,1,3,2,2,2,1,1,1,1,2,2,2,1,1,1,3,2,1,3,4,1,1,1,4,1,1,2,2,1,2,3,3,2,2,2,2,2,2,3,1,1,2,2,85,39,3,1,2,2,1,1,2,2,5,4,1,3,2,1,3,3,1,4,2,4,2,1,3,2,2,1,1,4,2,4,2,1,3,2,4,1,1,2,2,1,2,2,2,5,1,3,2,3,3,5,1,4,3,4,4,1,10,62171
1,85,40,1,5,3,2,9,6,1,5,1,9,3,1,2,1,1,2,1,1,1,3,1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,3,2,3,1,3,2,2,2,2,2,4,2,3,2,4,2,1,1,10,2,3,3,4,4,1,1,3,2,2,3,3,3,5,2,85,40,2,2,2,1,1,1,2,6,5,1,1,3,1,2,2,2,1,2,3,2,1,3,3,1,3,1,1,2,2,2,3,3,2,1,2,1,1,2,2,2,1,3,4,7,4,0,0,0,0,0,0,0,0,0,0,0,8,42019
1,85,41,2,5,3,2,9,6,1,5,1,4,3,3,3,1,2,3,2,2,1,1,2,3,1,3,2,3,1,3,1,2,2,1,2,3,1,1,1,1,2,1,2,1,1,3,3,4,1,2,2,3,2,1,2,1,2,3,3,1,4,1,2,3,5,4,3,3,1,3,2,85,41,1,2,2,1,1,2,3,5,3,2,1,3,2,1,2,1,1,4,1,2,3,4,1,2,2,3,2,3,2,4,2,4,2,2,4,1,1,1,1,1,4,2,3,7,1,3,4,1,5,1,3,2,6,0,1,5,9,62101
1,85,42,2,4,3,2,9,6,1,5,1,4,3,3,3,1,2,1,1,2,1,2,2,2,1,2,1,2,2,3,1,2,2,2,1,1,2,2,2,3,1,2,1,2,2,2,2,4,2,3,1,3,2,1,2,2,1,3,3,4,4,2,2,2,2,2,3,2,1,2,2,85,42,4,2,2,1,1,1,2,1,4,5,1,2,2,2,3,2,2,3,2,4,1,3,2,2,3,3,2,3,3,4,3,4,1,2,3,2,2,1,2,2,1,3,5,9,5,3,1,5,4,3,3,2,3,3,4,3,8,64061
1,85,43,1,4,3,2,9,6,1,5,1,4,3,3,3,1,3,1,3,2,3,1,3,3,1,3,2,2,1,3,3,2,3,3,3,4,1,3,2,1,2,1,3,2,4,3,3,2,3,1,3,1,2,3,4,4,1,1,1,1,3,1,2,4,2,3,2,3,1,3,2,85,43,1,2,1,1,2,1,1,2,3,1,1,2,2,2,2,3,3,3,3,3,3,3,2,2,4,2,2,3,3,4,2,2,3,1,4,4,1,1,1,1,4,3,4,9,5,3,2,2,1,2,2,1,1,2,2,5,7,63081
1,85,44,1,3,3,2,9,6,1,5,1,1,3,3,4,2,2,1,3,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,1,1,2,3,2,2,2,3,3,2,3,2,3,3,2,3,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,3,1,2,2,2,85,44,3,2,2,1,1,1,2,2,1,3,1,2,2,1,2,3,2,3,2,2,3,3,3,2,3,2,2,3,1,2,3,4,1,2,4,1,1,1,1,1,4,4,4,8,2,0,0,0,0,0,0,0,0,0,0,0,8,65082
1,85,45,1,3,3,2,9,6,1,5,1,4,3,3,4,2,4,1,1,2,1,2,3,2,1,1,3,2,1,3,2,2,3,3,1,2,1,1,1,2,4,3,4,1,3,5,3,2,2,2,2,3,3,1,2,2,1,2,2,3,1,3,1,3,2,3,3,3,2,2,2,85,45,2,2,2,1,1,1,2,6,1,2,1,3,1,1,4,1,1,4,2,2,2,3,2,1,3,1,1,4,2,4,2,2,2,2,3,2,1,1,1,1,4,2,2,6,3,3,2,1,4,3,2,1,1,2,3,5,8,62212
1,85,46,1,4,2,2,9,6,1,5,1,9,1,1,4,2,2,3,1,3,2,1,3,4,1,2,2,2,2,1,4,5,2,5,3,3,2,4,3,2,4,3,4,3,4,2,4,4,1,3,2,3,1,3,4,2,2,2,3,3,1,3,2,3,1,5,3,3,4,4,2,85,46,4,2,2,1,1,1,2,2,1,4,1,4,2,1,3,2,2,3,5,3,2,3,3,1,2,1,1,3,2,2,3,2,3,1,3,2,2,2,2,2,5,4,5,7,4,0,0,0,0,0,0,0,0,0,0,0,8,92189
