CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,V.12A.,Q.13.,Q.14.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.41.,Q.44.,Q.45.,Q.46.,Q.47A.,Q.47B.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61A.,Q.61B.,Q.62.,Q.63.,Q.65.,Q.66A.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.66B.,Q.66B..1,Q.66B..2,Q.66B..3,Q.67.,Q.68.,Q.69.,Q.70.,Q.71A.,Q.71B.,Q.72.,Q.73.,Q.74A.,Q.74B.,Q.74C.,Q.76.,Q.77A.,Q.77B.,Q.77C.,Q.78.,Q.81.,Q.82.,Q.83.,Q.84A.,Q.85A.,Q.85B.,V.87.,V.88.,V.89.,V.90.
1,115,431,2,3,10,6,2,5,1,7,8,2,3,13,2,2,13,3,1,2,1,2,2,2,2,3,3,2,3,1,4,2,9,2,2,2,6,3,3,2,2,1,2,3,4,1,3,3,2,2,2,2,2,4,3,2,2,3,4,2,1,1,3,3,2,1,2,115,431,2,1,0,1,2,3,2,1,4,1,2,3,2,1,2,3,4,1,2,2,2,2,4,2,1,2,3,1,8,118,4
1,115,432,2,3,11,6,3,2,1,7,3,2,4,14,2,2,14,6,2,1,2,2,2,2,2,3,1,1,2,1,2,3,2,1,2,2,2,3,3,2,2,1,3,5,3,2,1,3,2,2,2,4,3,2,3,2,2,3,2,2,3,5,3,3,2,2,2,115,432,2,0,0,0,0,2,2,1,2,1,1,4,3,1,2,2,1,1,1,1,1,3,2,3,1,2,1,1,8,86,4
1,115,433,2,7,11,6,1,5,1,7,7,2,3,15,2,2,1,9,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,4,4,1,2,2,3,3,1,3,3,2,2,2,2,2,3,4,1,1,4,1,1,2,3,5,3,3,2,2,115,433,2,0,0,0,0,2,2,1,4,1,1,6,3,2,3,3,1,1,1,1,1,3,2,1,1,2,2,1,14,108,4
1,115,434,2,2,11,6,4,2,1,7,7,2,5,17,2,2,4,2,2,2,3,1,1,2,1,1,2,2,2,1,2,6,9,2,1,2,1,2,4,2,1,1,1,4,2,2,1,2,2,2,2,2,2,2,4,2,2,3,2,1,1,1,5,1,1,2,2,115,434,2,0,0,0,0,0,2,1,2,1,1,1,3,1,2,0,1,1,1,1,1,3,1,3,3,2,3,1,14,27,4
1,115,435,2,3,11,6,9,4,2,8,1,2,5,21,1,2,11,4,2,1,3,2,2,2,3,3,1,1,2,1,3,3,1,1,3,2,2,2,3,4,2,2,3,3,2,2,2,2,3,3,4,3,2,2,3,2,2,3,2,3,1,6,1,1,2,2,2,115,435,2,0,0,0,0,2,2,2,4,1,1,2,3,2,3,3,1,1,1,1,1,1,5,3,3,3,3,1,22,9,1
1,115,436,2,2,8,6,3,3,2,7,8,2,4,17,2,2,6,1,2,1,3,1,2,2,2,1,1,2,2,1,2,3,1,2,2,2,1,3,3,3,1,1,3,2,2,2,1,3,2,3,4,3,2,3,3,2,2,3,2,4,1,6,3,2,2,2,2,115,436,2,0,0,0,0,3,2,1,3,1,2,1,3,2,2,3,1,1,1,2,1,3,1,3,1,2,1,1,12,32,4
1,115,437,2,3,8,6,4,1,1,8,8,2,5,18,1,2,8,6,1,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,5,4,1,1,3,4,3,2,1,3,4,2,1,2,1,3,3,2,1,2,1,1,1,6,3,1,2,2,2,115,437,2,0,0,0,0,2,2,0,4,1,1,3,3,2,3,3,2,2,1,1,1,3,3,3,1,2,1,1,23,8,1
1,115,438,2,3,10,6,1,3,2,7,7,2,3,11,2,2,10,5,2,1,2,2,2,2,2,1,1,2,2,1,4,5,9,2,3,2,1,3,4,3,2,1,4,5,4,2,2,1,1,2,2,2,1,4,2,2,1,3,2,4,1,1,5,3,3,2,2,115,438,2,0,0,0,0,1,1,1,4,1,2,3,3,3,3,3,2,1,1,1,1,3,3,3,1,2,1,1,2,13,4
1,115,439,2,2,10,6,9,5,3,7,8,1,7,2,2,2,2,3,1,1,2,3,2,2,3,4,1,2,2,1,4,3,9,2,3,2,2,2,5,4,2,1,2,3,4,1,3,4,4,2,2,4,1,4,5,3,1,3,2,3,1,2,1,2,2,2,2,115,439,2,0,0,0,0,2,2,2,4,1,1,6,3,1,2,1,2,1,1,1,1,3,1,3,1,2,1,1,3,62,4
1,115,440,2,1,9,6,3,5,1,7,7,2,5,10,2,2,4,4,1,1,2,1,2,2,2,3,3,2,1,1,1,1,1,2,2,2,1,3,3,4,1,1,3,4,3,1,3,3,4,4,3,4,3,4,4,1,2,3,2,1,1,2,3,2,3,2,2,115,440,2,0,0,0,0,2,1,1,4,1,1,2,3,1,2,3,2,1,1,1,1,3,4,3,1,2,1,1,8,13,4
1,115,441,2,3,8,6,2,5,2,7,7,1,5,2,2,2,2,2,1,3,1,3,3,1,4,3,3,3,2,1,3,4,9,2,4,3,6,2,5,3,4,2,4,3,4,2,1,0,1,2,2,4,1,1,4,1,3,3,2,4,1,2,3,1,1,2,2,115,441,2,0,0,0,0,2,1,1,4,1,2,1,3,1,2,1,1,2,1,2,2,3,1,3,1,2,1,1,12,33,4
1,115,442,2,1,8,7,2,5,1,7,8,2,3,3,2,2,3,2,2,3,1,3,3,1,4,3,3,3,2,1,4,5,1,2,4,2,2,3,3,2,3,1,3,5,4,2,1,1,4,4,4,4,3,3,2,2,2,3,2,1,1,1,5,1,2,2,2,115,442,2,0,0,0,0,4,1,1,4,1,2,3,3,1,3,3,4,2,2,2,2,3,4,3,1,2,1,1,12,42,4
1,115,443,2,1,9,8,2,4,2,6,6,2,5,10,1,2,5,4,1,2,2,3,2,3,4,3,2,2,2,1,4,1,0,1,4,3,2,3,4,4,2,3,2,3,4,2,3,1,4,4,4,5,3,4,4,3,2,2,0,2,6,0,1,2,1,2,2,115,443,2,0,0,0,0,2,2,1,4,1,1,7,1,1,1,3,2,1,1,1,1,3,3,2,1,2,1,1,24,502,2
