CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.7..1,Q.8A.,Q.8B.,Q.9.,Q.9..1,Q.10.,Q.11.,Q.12.,Q.13.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37A.,Q.38A.,Q.38B.,Q.38C.,Q.38D.,Q.38E.,Q.38F.,Q.38G.,Q.38H.,Q.38I.,Q.38J.,Q.38K.,Q.38L.,Q.38M.,Q.39A.,Q.39B.,Q.39C.,Q.39D.,Q.39E.,Q.40.,Q.41.,Q.42.,Q.43.,Q.43..1,Q.43..2,CARD..1,DECK..1,BALLOT..1,X.,X..1,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.49..1,Q.49..2,Q.49..3,Q.49..4,Q.49..5,Q.49..6,Q.49..7,Q.49..8,Q.49..9,Q.49..10,Q.49..11,Q.49..12,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57A.,Q.57B.,Q.57C.,Q.57D.,Q.57E.,Q.57F.,Q.57G.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.68.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.81..1,Q.81..2,Q.81..3,Q.81..4,Q.82.,V.83.,V.84.,V.85.,V.86.
1,141,1,2,4,1,5,5,6,1,16,1,1,1,1,4,11,7,5,80,0,1,1,4,1,1,2,3,2,3,1,0,1,0,2,2,4,1,3,1,1,1,0,1,1,2,2,2,2,1,2,2,0,2,2,1,2,2,1,4,3,2,2,1,2,141,1,2,2,1,1,2,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,3,2,3,4,3,3,3,2,2,2,2,2,2,2,1,4,3,1,2,2,2,3,2,1,2,2,1,2,3,5,5,2,1,4,1,2,2,1,2,2,1,0,3,63,4
1,141,2,2,3,1,5,6,6,2,23,1,2,2,1,3,6,3,7,80,0,3,3,7,3,1,3,3,2,0,1,1,1,1,1,3,4,2,3,3,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,141,2,1,2,2,2,3,6,3,2,2,2,1,2,2,2,2,2,1,2,1,2,4,1,3,1,3,3,3,2,1,2,2,2,2,2,1,3,2,1,2,2,2,3,2,3,3,1,3,2,1,2,5,2,1,1,1,1,2,2,2,2,1,0,3,25,4
1,141,3,2,11,2,5,5,5,2,21,1,2,2,1,2,6,1,5,80,1,1,1,4,1,1,3,4,1,0,1,1,1,2,2,3,4,2,1,1,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,2,141,3,1,2,2,1,4,4,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,4,4,2,2,2,2,1,1,1,1,1,3,1,2,2,0,3,4,3,3,2,2,1,2,2,4,2,1,2,2,1,2,2,2,2,1,0,3,379,4
1,141,4,2,9,2,5,5,5,3,35,1,3,3,1,1,9,1,7,74,1,1,1,4,1,1,3,4,1,0,1,1,1,1,1,3,4,1,1,2,1,1,0,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,5,2,2,2,1,2,2,141,4,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,3,2,4,1,4,3,4,2,1,2,2,1,2,2,1,3,4,1,2,2,2,4,2,3,5,1,4,2,6,2,4,6,1,2,1,2,2,1,2,2,1,0,2,337,4
1,141,5,2,5,1,5,5,6,3,33,1,3,3,1,1,2,9,5,76,1,1,1,1,4,4,3,4,1,0,0,0,0,0,0,2,4,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,141,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,0,0,1,1,4,1,2,2,1,1,1,1,1,1,3,1,2,2,2,2,2,1,1,2,2,2,1,2,4,6,1,1,2,1,2,2,2,2,2,0,2,271,4
1,141,6,4,9,2,5,7,6,2,23,1,2,2,1,4,9,3,3,79,2,2,1,4,3,4,3,3,1,2,4,3,3,4,4,3,2,1,2,2,1,1,0,1,1,1,1,1,3,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,141,6,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,3,4,2,4,3,3,2,1,2,2,1,1,1,1,3,4,1,2,2,2,2,2,3,4,2,2,2,4,3,2,7,1,3,1,2,2,1,2,2,1,0,2,175,3
1,141,7,4,5,1,5,5,1,5,55,1,5,5,1,3,9,5,6,99,1,1,1,4,1,1,2,4,1,3,1,1,1,2,2,3,3,1,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,141,7,1,2,1,2,4,6,3,2,2,2,2,2,2,2,2,2,1,2,1,2,3,2,3,4,1,4,3,2,2,2,2,2,1,2,1,3,2,1,2,2,2,2,2,3,2,2,1,2,4,4,4,7,1,4,3,2,2,1,2,2,1,0,2,211,4
1,141,8,8,8,1,6,6,6,8,84,1,8,8,1,3,9,4,6,33,3,1,2,1,3,1,2,2,1,0,2,1,1,3,3,3,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,141,8,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,3,3,0,2,4,3,4,2,1,2,2,1,1,2,1,3,3,1,2,2,0,2,2,4,1,2,2,2,4,2,5,8,1,3,2,2,2,1,2,2,2,0,3,103,4
1,141,9,8,11,1,5,6,1,5,55,1,5,5,1,2,4,3,5,24,8,1,1,6,4,4,1,1,3,1,4,4,4,4,4,3,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,2,1,1,2,1,2,3,2,2,2,2,141,9,1,2,1,2,4,4,1,2,1,1,2,2,2,2,2,2,1,2,1,2,1,4,0,1,4,2,2,1,2,2,2,1,2,1,4,3,4,1,2,2,2,2,2,1,1,2,1,5,5,5,1,2,1,5,1,2,2,1,2,2,2,4,5,203,1
1,141,10,1,4,1,6,5,4,5,57,1,5,5,1,4,9,4,7,99,1,1,2,4,2,1,3,4,2,2,1,1,1,1,1,1,3,1,2,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,141,10,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,3,4,2,2,0,0,0,2,1,1,2,1,0,1,1,1,4,2,2,2,2,4,4,1,1,2,1,4,4,4,1,2,2,2,1,1,2,2,2,2,2,0,1,324,4
1,141,11,1,2,1,6,6,2,5,54,1,5,5,1,3,10,5,12,99,8,3,2,7,5,1,2,2,3,3,2,3,1,0,1,3,3,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,141,11,2,2,1,1,6,6,5,2,1,2,2,2,2,2,2,2,2,2,1,2,3,1,1,1,1,1,1,2,4,1,2,2,2,2,2,2,4,1,2,2,2,4,4,3,4,1,2,2,2,2,3,2,1,2,3,1,2,2,2,2,0,1,1,83,1
1,141,12,1,2,1,6,5,4,8,87,1,8,8,1,3,7,4,12,99,5,1,1,5,5,1,3,3,1,3,1,1,1,1,1,2,4,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,3,3,2,2,2,2,2,141,12,1,2,2,1,6,4,2,2,1,2,2,1,2,2,2,1,2,2,1,2,3,2,1,2,4,3,4,2,1,2,2,1,1,2,3,2,1,1,1,2,1,1,2,2,2,2,2,2,3,4,2,2,1,3,1,1,2,2,2,2,2,0,1,107,4
1,141,13,8,10,2,6,5,5,5,55,1,5,5,1,3,9,2,8,82,1,1,2,4,2,1,3,4,1,2,1,1,1,2,2,3,4,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,1,2,2,141,13,2,2,1,2,4,3,2,2,1,1,2,2,2,2,2,2,1,2,1,2,3,3,4,2,3,1,3,2,1,2,2,2,1,2,2,1,3,1,2,2,2,3,2,2,1,2,1,2,4,4,4,2,1,4,2,1,2,2,2,2,1,0,1,442,4
1,141,14,4,9,1,6,5,6,1,14,1,1,1,1,7,10,5,5,78,1,1,2,4,2,3,3,2,0,0,0,2,1,1,2,1,3,2,1,2,1,1,2,2,1,1,0,1,2,2,2,2,1,2,2,2,2,2,2,2,0,1,2,2,2,141,14,2,2,2,2,4,4,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,0,4,0,3,0,3,2,1,1,2,2,1,3,0,3,3,1,2,2,2,3,2,4,2,2,3,2,4,4,3,1,1,0,1,1,2,2,2,2,1,0,2,22,4
1,141,15,1,11,1,6,5,3,3,31,1,3,3,1,6,12,4,5,61,1,1,2,4,1,3,3,4,1,0,2,2,1,2,2,1,4,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,141,15,1,2,1,2,5,4,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,3,4,2,0,2,3,2,4,1,2,1,2,0,1,1,3,1,2,2,0,3,2,1,2,2,1,4,3,4,2,1,2,0,1,1,2,2,2,2,4,0,2,9,4
1,141,16,2,9,2,6,5,2,3,31,1,3,3,1,4,9,4,5,78,1,1,2,4,2,1,3,3,2,0,2,1,2,2,2,3,3,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,141,16,1,2,1,2,5,3,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,3,4,2,3,3,3,2,2,2,2,2,1,2,1,3,3,1,2,2,2,3,2,1,1,2,4,2,2,2,2,1,2,1,1,1,2,2,2,2,1,0,2,218,4
1,141,17,6,10,2,6,6,6,2,23,1,2,2,1,6,9,4,10,74,1,1,2,3,1,3,3,4,1,3,2,1,2,3,3,1,4,2,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,141,17,2,2,2,2,6,4,5,2,1,1,2,2,2,2,2,2,1,2,1,2,2,3,3,2,3,4,3,2,2,2,2,1,2,1,1,1,3,1,2,2,2,3,4,1,1,2,2,4,4,4,3,1,1,4,2,1,2,2,2,2,2,0,2,220,4
1,141,18,10,11,1,6,6,6,2,21,1,2,2,1,4,5,1,8,60,1,1,1,4,1,1,3,4,0,0,1,1,1,1,1,3,3,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,141,18,1,2,1,2,3,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,3,0,4,2,3,3,4,1,1,1,1,1,1,1,1,1,4,1,2,2,2,4,4,1,1,2,1,5,5,5,2,1,1,4,1,1,2,2,2,2,2,0,2,136,4
1,141,19,10,10,2,6,6,5,2,22,1,2,2,1,5,8,4,10,60,2,3,1,2,3,1,3,4,0,3,3,1,1,2,2,3,3,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,141,19,2,1,1,4,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,3,4,2,2,2,3,2,1,2,2,2,1,0,1,3,3,1,2,2,2,2,2,3,1,2,1,4,4,4,3,1,1,0,1,1,2,2,2,2,2,0,2,314,3
1,141,20,6,5,1,6,5,2,1,14,1,0,1,1,3,10,5,5,89,0,3,2,2,3,2,2,2,1,2,2,1,2,1,2,3,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,0,1,2,2,2,2,2,1,2,2,2,141,20,2,2,2,2,2,0,3,2,1,2,1,2,2,2,2,2,1,2,1,2,2,3,4,2,3,4,3,2,1,2,2,1,2,2,1,1,3,1,2,2,2,4,3,1,2,2,3,2,2,3,4,1,2,2,1,1,2,2,2,2,2,0,2,308,4
1,141,21,2,9,1,6,5,3,1,12,1,1,8,3,3,9,4,6,89,2,3,2,4,3,1,3,4,1,3,1,3,1,1,1,1,4,3,3,3,1,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,141,21,2,2,2,1,7,5,4,2,2,2,1,2,2,2,2,2,1,2,1,2,2,3,4,2,4,1,4,2,2,2,2,2,1,2,4,1,4,2,1,1,2,2,3,1,1,3,2,4,4,5,2,1,2,1,3,1,2,2,2,2,2,0,2,394,3
1,141,22,5,10,1,6,6,6,8,84,1,8,8,1,6,9,5,5,78,0,1,2,4,2,1,2,0,1,0,2,2,1,1,0,2,3,4,1,3,1,1,0,0,1,1,1,0,3,0,2,0,1,2,0,2,2,2,2,2,2,1,2,1,2,141,22,2,2,3,0,7,0,2,2,1,2,1,1,2,1,2,2,2,2,2,2,0,4,0,0,0,0,0,1,1,1,1,2,1,2,0,4,3,2,2,2,2,2,2,4,2,2,1,4,4,4,2,1,1,2,2,1,2,2,2,2,1,0,2,251,4
1,141,23,6,11,1,6,6,6,9,93,1,9,9,1,2,9,1,10,75,1,1,1,4,1,1,3,4,1,3,2,1,1,1,2,1,4,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,4,2,2,2,2,2,141,23,1,2,1,1,6,4,5,2,2,1,1,2,2,2,2,2,2,2,1,2,4,3,4,2,4,1,3,2,1,2,2,2,1,2,1,1,3,1,2,2,2,3,3,2,4,2,2,6,3,3,3,2,1,1,2,1,2,2,2,2,1,0,2,234,4
1,141,24,7,9,1,6,6,6,3,34,1,3,3,1,2,7,3,10,74,1,1,1,2,1,4,3,4,1,0,1,1,1,1,1,1,4,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,141,24,2,2,1,2,2,4,4,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,3,2,4,3,4,1,2,2,2,1,2,1,4,1,3,1,2,2,2,3,3,1,2,2,2,5,5,5,3,2,1,4,3,2,1,2,2,2,1,0,2,274,4
1,141,25,6,6,2,6,7,4,3,32,1,3,3,1,6,10,5,3,82,0,1,2,1,3,1,3,3,1,2,3,1,1,1,1,3,4,1,3,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,141,25,1,2,3,4,5,5,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,3,4,2,4,1,4,2,1,1,2,1,1,2,1,2,4,1,2,2,2,3,4,2,4,2,1,2,2,2,4,2,1,2,1,1,2,2,2,2,1,0,2,135,3
1,141,26,2,8,2,6,6,6,2,21,1,2,2,1,6,9,5,9,89,1,1,1,1,4,1,3,4,1,0,1,1,1,1,1,1,4,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,141,26,1,2,1,1,2,2,3,2,1,2,2,2,2,1,2,2,2,2,1,2,3,3,4,2,4,1,3,2,2,1,2,2,2,2,1,1,3,1,2,2,2,3,3,1,3,2,3,3,1,3,3,2,1,1,2,2,1,2,2,2,1,0,2,333,4
1,141,27,4,6,1,6,5,5,1,16,1,1,1,1,1,6,2,5,74,1,1,2,1,1,1,3,4,1,3,2,1,1,2,1,2,3,1,1,2,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,2,2,2,2,2,2,2,141,27,1,2,1,1,6,6,5,2,2,2,2,2,2,2,2,2,1,2,1,2,2,0,3,2,4,1,4,2,2,2,2,1,2,1,1,3,4,1,2,2,2,3,2,4,1,2,4,2,5,2,3,2,1,5,1,1,2,2,2,2,1,0,2,162,4
1,141,28,2,10,1,6,5,6,2,21,1,2,2,1,3,9,1,10,74,1,1,1,4,1,1,3,4,1,0,0,0,0,0,0,1,4,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,2,2,141,28,2,2,1,1,5,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,3,4,2,2,1,4,2,2,1,2,2,2,2,0,3,4,1,2,2,2,4,2,3,2,2,2,4,2,2,2,2,1,0,1,1,2,2,2,2,1,0,2,231,4
1,141,29,2,9,1,6,5,4,2,23,1,2,2,1,2,8,3,5,99,1,1,1,4,1,1,3,4,1,0,2,1,1,2,2,2,3,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,3,1,2,2,2,2,141,29,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,3,4,2,4,1,3,2,2,2,2,1,2,0,1,3,4,1,1,2,2,4,2,2,2,2,1,4,3,4,2,2,1,2,1,1,2,2,2,2,2,0,2,216,4
1,141,30,2,6,2,6,5,6,1,14,1,1,1,1,4,7,4,6,99,1,1,1,3,1,1,3,4,1,0,1,1,1,1,2,1,4,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,1,1,2,2,2,2,141,30,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,3,4,2,3,3,3,2,2,2,2,1,2,1,1,3,2,1,2,2,0,2,2,2,1,2,1,4,3,4,2,3,1,4,1,2,2,1,2,2,1,0,2,287,4
1,141,31,4,6,1,6,5,3,3,32,1,3,3,1,2,10,6,6,82,1,1,1,4,1,1,3,4,1,3,1,1,1,1,2,3,4,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,141,31,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,3,4,2,4,1,4,2,2,2,2,1,2,1,1,2,2,1,2,2,0,3,3,3,1,2,1,4,4,4,1,3,1,2,1,1,2,2,2,2,1,0,2,248,4
1,141,32,1,9,2,6,7,4,2,23,1,2,5,3,2,7,3,3,74,8,2,2,5,3,2,2,2,3,2,4,2,1,3,3,3,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,1,3,2,2,2,2,2,141,32,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,3,4,2,2,1,3,2,2,2,2,2,2,2,1,3,2,1,2,2,2,2,0,3,2,2,2,3,4,4,2,3,1,1,1,2,2,1,2,2,1,2,2,66,1
1,141,33,1,2,1,6,5,2,4,43,1,4,4,1,6,9,5,10,99,0,1,2,2,3,1,2,2,3,2,2,2,1,1,2,3,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,141,33,2,2,2,2,5,4,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,4,1,2,2,1,3,1,2,2,2,1,2,1,2,3,2,1,2,2,2,4,2,3,1,2,2,4,4,4,2,3,1,1,1,1,2,2,2,2,1,0,2,238,2
1,141,34,3,6,1,6,6,1,7,74,1,7,0,4,6,10,5,4,78,0,1,3,1,3,1,2,2,2,3,4,4,1,1,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,141,34,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,2,3,3,4,2,2,2,2,1,2,1,3,3,2,1,2,2,0,4,2,2,2,1,3,3,3,3,4,3,1,0,2,1,2,2,2,2,1,0,2,5,3
1,141,35,2,5,1,6,5,6,3,31,1,3,3,1,4,10,5,6,80,2,3,1,4,3,1,3,3,1,0,1,1,1,1,2,3,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,141,35,2,2,2,2,6,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,3,1,2,3,3,4,2,2,1,2,1,2,2,1,1,4,1,2,2,0,4,2,3,2,1,2,3,2,3,3,3,1,3,1,1,2,2,2,2,1,0,2,302,4
1,141,36,4,10,1,6,6,4,3,34,1,3,3,1,4,6,2,10,75,1,1,1,4,2,2,3,4,1,2,3,2,1,1,2,1,4,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,141,36,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,3,2,2,4,1,4,2,1,2,2,1,1,2,1,1,3,1,2,2,2,2,3,2,5,0,0,5,0,5,3,3,1,4,1,2,2,2,1,2,1,0,2,212,3
1,141,37,4,10,1,6,6,5,2,23,1,2,2,1,2,6,2,10,74,1,1,1,2,1,4,3,4,1,3,2,1,1,1,2,3,4,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,3,2,1,2,2,2,2,141,37,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,0,3,2,1,1,3,2,2,2,2,1,1,2,4,3,3,1,2,2,2,4,2,3,2,2,2,3,3,3,3,3,1,3,1,1,2,2,2,2,2,0,2,10,4
