CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2A.,Q.2B.,Q.3.,Q.4.,Q.5A.,Q.5B.,Q.6A.,Q.6A..1,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.10.,Q.11.,Q.12.,Q.13A.,Q.13B.,Q.14A.,Q.14A..1,Q.14B.,Q.14B..1,Q.14C.,Q.15A.,Q.15B.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.24C.,Q.24D.,Q.24E.,Q.24F.,Q.24G.,Q.25A.,Q.25B.,Q.25C.,Q.25D.,Q.25E.,Q.25F.,Q.25G.,Q.25H.,Q.25I.,Q.26A.,Q.26B.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.26C.,Q.26D.,Q.27A.,Q.27B.,Q.0.,Q.28A.,Q.28B.,Q.29A....HAVE,Q.30A.,Q.30B.,Q.31A.,Q.31B.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.36B.,Q.37A.,Q.37B.,V.39.,V.40.
1,135,1,2,2,9,4,4,9,2,2,7,11,4,3,3,2,2,1,2,7,0,2,3,3,1,1,3,1,2,2,3,1,6,4,2,1,2,5,5,5,3,4,3,1,1,2,2,2,2,5,5,3,3,9,5,2,135,1,2,9,6,6,4,0,2,2,2,1,3,2,2,1,1,1,1,1,2,2,4,4,1,14
1,135,2,2,2,8,8,4,5,3,3,7,11,4,1,1,3,1,1,2,7,1,8,3,7,1,3,2,3,2,2,5,3,1,3,2,4,6,5,5,5,5,5,4,5,4,4,4,4,3,2,2,4,4,2,1,2,135,2,2,2,10,9,9,0,3,2,2,1,1,2,2,3,1,1,2,1,3,2,3,1,1,63
1,135,3,2,2,9,8,4,9,2,2,6,1,3,2,3,3,1,1,3,7,3,8,3,7,1,1,2,3,2,4,3,2,2,2,2,2,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,3,1,6,6,2,135,3,2,3,4,3,2,0,2,1,1,1,1,1,3,1,1,1,1,1,4,3,3,4,1,70
1,135,4,2,2,9,5,4,7,2,2,6,11,3,4,2,2,2,1,2,7,2,6,3,4,1,2,1,2,2,2,1,1,1,2,2,2,6,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,8,1,2,135,4,2,6,5,2,1,0,3,2,2,1,1,2,4,3,1,1,1,1,1,2,3,4,1,8
1,135,5,2,2,10,9,4,5,3,2,6,11,3,2,2,2,5,1,2,7,3,1,3,5,1,1,4,2,2,2,1,3,1,2,2,4,3,3,4,5,5,3,3,4,2,3,2,2,3,3,3,3,4,3,9,2,135,5,2,1,10,2,9,0,2,2,1,1,3,1,3,1,1,1,1,1,1,3,3,1,3,87
1,135,6,2,2,11,10,4,9,2,1,1,11,1,2,2,2,2,1,2,7,3,6,1,1,1,1,1,3,2,4,1,3,7,0,2,3,2,5,5,5,5,2,3,3,2,4,2,2,2,2,2,4,1,3,7,2,135,6,2,2,10,2,2,0,3,4,3,1,2,2,2,2,3,1,2,1,1,2,5,4,3,47
1,135,7,2,2,10,10,4,4,3,3,4,1,2,4,1,5,5,2,2,7,4,6,4,9,2,3,2,3,1,4,2,3,1,3,4,3,6,5,5,5,4,5,4,4,3,4,2,4,4,4,4,4,4,1,6,2,135,7,2,10,10,2,9,0,3,1,1,3,3,1,3,4,1,1,1,1,4,3,2,1,3,49
1,135,8,2,2,9,9,4,9,1,2,7,11,4,2,2,2,3,1,2,7,2,6,4,6,2,2,3,3,2,4,2,1,1,2,3,2,2,5,5,5,5,3,2,5,2,3,2,2,2,5,2,3,3,4,5,2,135,8,2,4,10,9,9,0,3,2,1,1,1,2,2,1,1,1,2,1,4,4,5,4,3,43
1,135,9,2,2,9,6,4,4,3,2,7,11,4,2,1,2,3,2,2,7,3,6,3,4,2,2,2,1,2,4,2,3,2,2,3,3,3,2,2,2,2,5,1,5,2,2,2,2,2,2,2,2,3,8,8,2,135,9,2,5,3,10,0,0,3,2,2,2,3,2,3,2,2,1,2,5,5,4,5,4,1,82
1,135,10,2,2,8,4,4,8,2,2,6,11,3,2,3,2,3,1,2,7,2,6,3,6,2,2,2,2,2,4,2,1,1,3,3,2,6,5,5,5,5,4,2,2,1,3,2,3,3,2,2,2,1,5,1,2,135,10,2,1,2,9,9,0,3,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,56
