CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34A.,Q.34B.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42A.,Q.42B.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53A.,Q.53B.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58A.,CARD..1,DECK..1,BALLOT..1,Q.59A.,Q.59B.,Q.60.,Q.61.,Q.62.,Q.63.,V.64G.,V.64H.,V.64I.,V.64J.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74A.,Q.74B.,Q.74C.,Q.74D.,Q.74E.,Q.75.,Q.76A.,Q.76B.,Q.77A.,Q.77B.,Q.78A.,Q.78B.,V.80.,V.81.,V.82.,V.83.
1,125,1,3,8,4,2,2,1,5,3,1,7,1,2,6,11,4,1,8,9,3,1,1,1,2,1,1,4,3,1,3,4,2,11,3,9,9,2,9,2,3,3,2,2,1,2,2,1,1,0,4,4,4,4,4,9,11,4,2,4,1,3,2,125,1,1,2,6,6,2,1,3,1,2,4,1,1,1,1,4,2,4,3,1,2,2,1,2,2,6,6,2,4,3,6,5,3,2,7,2216
1,125,2,3,8,4,5,1,1,5,3,2,7,6,8,8,11,4,8,9,12,3,1,1,1,2,3,2,4,3,3,3,4,4,3,2,7,2,2,3,2,3,3,2,1,1,2,2,2,3,4,4,4,3,3,4,1,7,4,2,6,2,3,2,125,2,6,11,6,6,2,1,1,2,3,4,5,1,1,1,4,2,2,2,2,2,1,1,2,2,1,6,4,4,3,6,5,1,3,6,1359
1,125,3,3,8,4,7,4,1,5,3,1,5,5,7,7,11,4,7,7,10,1,2,2,2,2,1,1,3,2,3,3,1,1,1,3,9,1,3,7,3,3,3,3,1,1,2,2,3,1,2,2,3,4,4,3,9,11,4,6,6,2,3,2,125,3,2,4,6,6,1,1,2,1,3,4,5,2,1,1,3,6,5,4,5,2,1,2,1,2,3,2,1,3,3,5,5,2,4,11,398
1,125,4,3,8,4,2,5,1,5,3,1,6,5,7,7,11,4,7,9,10,2,1,2,3,2,3,2,2,3,3,3,4,4,3,1,5,1,3,3,3,3,3,2,2,1,2,2,3,3,3,4,4,5,4,4,9,11,2,4,6,2,3,2,125,4,2,7,6,6,1,3,1,2,3,4,1,1,1,1,2,2,2,4,4,2,2,1,2,1,2,5,4,3,3,5,5,3,1,6,5490
1,125,5,3,8,4,3,1,1,5,3,1,6,2,4,7,11,1,4,5,10,1,3,2,1,1,3,3,2,2,2,2,3,3,4,3,0,1,3,11,3,4,3,2,1,1,1,1,2,3,2,3,2,4,2,2,7,9,2,3,1,2,4,2,125,5,4,5,6,6,1,3,2,4,3,1,5,1,3,3,4,2,2,4,4,2,1,1,2,1,1,2,1,3,3,2,5,4,4,1,3222
1,125,6,4,8,4,6,1,1,5,3,2,7,6,8,7,11,4,8,9,10,4,2,2,1,2,3,1,2,2,2,3,4,2,3,3,9,2,2,4,3,3,3,2,1,1,2,2,2,1,3,3,4,4,4,4,1,2,2,6,6,2,3,2,125,6,3,3,6,6,2,2,1,2,3,4,5,2,2,1,4,5,2,3,4,2,2,1,1,1,2,2,1,3,3,5,5,2,4,6,255
1,125,7,4,8,4,6,2,1,5,3,2,7,1,2,5,11,4,2,2,10,4,3,2,2,2,1,1,2,2,1,2,4,1,1,1,1,2,2,7,3,3,3,2,1,1,2,2,2,2,2,1,2,2,1,1,9,11,3,2,5,1,3,2,125,7,1,1,6,6,1,3,1,2,3,4,5,1,1,1,2,1,2,2,2,2,1,1,1,2,1,5,2,5,3,5,5,3,1,3,5441
1,125,8,4,8,4,2,5,1,5,3,2,7,7,8,8,11,4,8,7,10,4,3,3,2,2,4,3,3,4,2,3,4,4,7,3,10,2,3,4,3,3,3,4,1,1,2,1,2,5,5,4,5,5,5,5,1,7,3,6,6,2,3,2,125,8,1,2,6,6,3,3,3,1,2,4,5,1,3,1,4,2,2,3,2,2,2,1,2,1,2,3,6,3,4,5,6,2,4,12,208
1,125,9,4,8,4,2,2,1,5,3,2,7,6,8,8,11,4,8,8,10,3,1,1,3,3,3,2,3,2,2,4,1,3,11,3,11,11,3,10,3,4,3,2,1,1,2,2,3,3,5,4,4,4,4,3,9,11,4,5,2,2,1,2,125,9,1,2,6,6,2,1,3,1,2,4,4,1,2,1,3,2,4,4,3,2,1,1,1,1,2,2,6,1,4,5,6,1,3,7,1802
1,125,10,4,8,4,2,4,1,5,3,2,7,7,8,7,11,4,5,8,10,2,3,2,2,1,3,1,2,2,2,2,4,2,3,3,9,3,3,3,3,2,3,2,1,1,2,2,2,2,2,2,3,1,1,1,1,6,3,4,1,2,1,2,125,10,4,4,6,6,2,2,1,2,3,4,5,2,1,2,1,5,2,3,3,2,1,1,2,2,7,5,1,3,3,5,5,2,4,7,1498
1,125,11,4,8,4,6,5,1,5,3,3,7,6,8,8,11,4,8,5,5,1,2,2,1,3,3,2,3,5,4,2,4,3,11,3,11,11,3,11,3,2,3,2,1,1,1,1,2,2,2,3,2,5,5,5,9,11,4,6,1,2,3,2,125,11,1,1,6,6,2,2,1,2,3,4,5,1,3,1,4,5,2,3,2,2,1,1,2,1,8,6,4,4,3,6,3,2,1,11,5684
1,125,12,4,8,4,6,1,1,5,3,2,7,3,5,8,11,1,2,5,10,2,1,2,1,2,3,3,2,3,1,1,4,1,3,3,9,4,2,10,2,2,3,2,2,2,2,3,2,1,2,2,2,3,2,4,5,9,3,5,3,1,3,2,125,12,3,5,6,6,1,2,5,5,5,5,4,1,1,1,4,2,2,4,3,2,1,1,2,2,5,2,6,1,4,2,6,4,4,1,3187
1,125,13,4,8,4,0,4,1,5,3,1,6,6,7,7,6,4,7,9,9,3,2,2,1,2,3,0,1,2,1,2,3,4,3,2,8,2,2,2,2,4,4,4,1,1,3,1,2,2,2,5,2,4,4,4,9,11,4,5,6,2,3,2,125,13,2,4,6,6,1,2,3,1,2,4,5,1,1,2,3,5,2,4,4,1,1,1,2,2,8,6,4,4,3,6,5,1,3,6,1390
1,125,14,0,8,5,7,1,0,4,3,0,6,7,7,8,8,0,6,14,13,0,1,0,1,0,0,1,5,5,1,0,1,2,1,2,1,11,0,0,0,0,0,2,1,1,3,1,2,3,3,1,4,4,0,0,0,0,1,1,6,2,2,2,125,14,3,5,6,1,2,2,1,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,4,6,3,3,2,5,2250
1,125,15,5,8,5,4,4,2,1,3,2,6,6,7,7,11,4,7,12,10,1,3,2,1,2,3,1,2,2,1,1,2,1,2,3,9,2,3,1,2,3,3,2,1,1,1,1,2,1,2,2,3,2,1,2,9,11,3,3,6,2,3,2,125,15,4,4,6,6,1,2,3,4,2,1,5,1,1,1,3,1,2,3,3,1,1,1,1,1,2,1,6,3,3,5,6,2,4,12,153
1,125,16,3,8,5,4,4,2,2,3,1,7,5,7,8,11,4,7,5,12,4,2,2,1,2,2,2,1,2,3,3,4,2,3,3,11,2,2,2,2,3,3,2,1,1,1,1,3,2,2,2,2,3,3,3,9,11,3,4,1,1,3,2,125,16,1,7,6,6,1,2,3,4,1,2,5,1,1,1,2,2,2,4,3,2,1,1,1,2,2,1,2,3,3,5,5,2,3,12,4940
1,125,17,4,8,5,8,3,2,1,3,1,6,1,2,8,11,4,3,2,9,4,1,1,1,2,1,3,3,3,2,4,4,2,1,2,7,3,3,3,2,3,3,4,1,1,2,2,2,2,2,4,3,2,2,3,9,11,2,4,5,1,3,2,125,17,1,2,6,6,2,1,3,1,2,4,5,1,1,1,4,2,2,2,5,2,1,1,1,1,2,6,2,4,3,6,5,3,2,3,4224
1,125,18,5,8,4,2,4,1,5,3,1,7,5,7,2,11,4,2,7,8,2,3,2,3,2,3,1,2,2,2,3,3,2,3,1,4,4,3,6,3,3,3,2,2,2,1,1,2,2,1,2,2,2,3,2,9,11,2,4,1,2,2,2,125,18,3,4,6,6,1,3,2,1,3,4,5,1,2,1,4,2,2,3,2,2,1,1,1,1,0,1,5,3,3,5,5,2,4,12,173
1,125,19,5,8,4,9,1,1,5,3,1,6,6,8,8,8,4,7,6,3,3,3,2,2,1,2,2,2,2,4,3,3,1,3,2,1,1,2,1,2,3,3,1,1,1,2,2,4,4,4,3,2,4,4,4,7,10,1,4,6,2,3,2,125,19,2,3,6,6,1,2,1,2,3,4,4,2,2,2,1,2,2,4,4,2,2,1,1,2,2,2,1,3,3,2,5,4,4,11,3088
1,125,20,6,8,4,2,2,1,5,3,2,7,7,8,8,11,4,8,5,5,2,3,2,1,1,1,1,2,1,1,2,4,1,1,3,9,2,2,2,2,3,3,2,2,2,2,1,1,2,3,2,1,2,2,4,1,2,3,3,1,1,2,2,125,20,5,5,6,6,1,3,3,4,2,1,5,3,2,1,4,5,3,5,5,1,2,1,2,1,2,4,6,3,4,5,6,2,4,12,3037
