CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4A.,Q.4B.,Q.4C.,Q.5A.,Q.5B.,Q.6A.,Q.6B.,Q.6C.,Q.6D.,Q.6E.,Q.6F.,Q.7A.,Q.8.,Q.9.,Q.10A.,Q.10B.,Q.10C.,Q.12A.,Q.12B.,Q.12C.,Q.12D.,Q.13A.,Q.13B.,Q.14A.,Q.14B.,Q.15.,Q.16.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19A.,Q.19B.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,V.26.,V.27.,V.28.
1,224,1,6,3,4,6,3,1,1,2,1,1,1,1,1,2,1,2,2,1,3,2,4,4,4,3,3,3,3,1,4,2,5,5,3,3,5,0,3,3,1,5,3,2,1,5,18
1,224,2,5,3,7,1,6,1,0,7,1,3,3,1,2,1,1,1,2,2,1,2,6,4,5,2,2,3,3,2,4,2,5,5,2,3,5,0,3,0,0,6,3,2,4,2,30
1,224,3,6,2,1,3,5,1,2,7,1,1,1,3,1,2,2,3,2,2,2,1,1,1,1,1,3,4,1,1,1,2,1,1,5,3,3,3,3,3,1,5,3,2,4,6,36
1,224,4,6,1,3,1,1,1,2,7,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,3,3,1,1,0,2,5,5,0,0,5,1,3,3,1,5,3,1,4,6,37
1,224,5,7,2,6,4,4,1,2,7,1,1,1,1,1,1,1,3,2,1,1,1,1,1,4,4,4,3,2,1,4,2,5,5,1,2,5,1,3,3,1,5,3,1,4,6,63
1,224,6,4,2,6,3,4,1,2,5,1,1,2,2,3,1,1,0,2,1,1,1,1,1,1,4,3,3,1,1,0,2,2,2,0,1,5,0,3,3,0,5,3,1,4,6,22
1,224,7,6,3,6,2,6,1,1,4,1,1,1,1,1,1,1,3,2,1,1,1,5,6,6,4,1,4,1,1,0,2,5,5,5,3,2,1,3,3,1,5,3,1,4,6,29
1,224,8,3,3,3,1,6,1,2,7,1,1,1,2,1,1,1,1,2,1,1,1,4,4,4,2,4,3,1,1,1,2,1,1,5,3,1,1,3,3,1,5,3,1,2,7,19
1,224,9,2,3,5,1,6,1,2,7,1,1,1,3,1,3,3,3,4,3,3,2,5,5,4,4,1,2,3,3,4,3,2,3,1,4,3,2,2,2,0,5,3,2,2,7,88
1,224,10,7,3,4,6,6,1,2,0,2,1,1,3,1,1,2,1,2,1,1,3,1,1,1,1,4,3,3,1,0,2,5,5,5,3,5,3,3,3,2,5,3,1,3,7,33
1,224,11,6,1,7,1,1,1,2,2,0,0,0,0,0,0,1,1,2,0,1,1,1,1,1,1,4,4,1,4,0,0,5,5,1,1,0,0,0,0,0,5,3,1,4,1,56
1,224,12,6,0,4,6,5,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,4,4,4,4,3,4,1,1,1,2,2,2,3,3,5,3,3,3,1,5,3,2,1,1,72
1,224,13,6,3,5,2,5,1,2,6,1,1,1,1,2,1,1,1,1,1,2,1,5,4,5,4,3,1,0,0,0,0,5,5,0,0,0,0,3,3,2,5,3,1,1,1,32
1,224,14,3,3,3,5,3,1,2,2,0,0,0,0,0,3,4,0,4,3,2,1,2,3,2,0,1,3,2,1,2,2,1,1,2,1,5,0,3,1,0,5,3,2,4,1,53
1,224,15,2,3,5,4,2,1,2,6,1,2,1,3,2,2,1,1,2,1,1,1,1,1,1,1,3,1,3,1,3,2,5,5,1,3,5,3,3,3,2,5,3,1,4,1,49
1,224,16,3,3,4,5,3,1,2,8,1,2,1,0,1,1,3,2,3,3,2,2,1,1,1,1,2,3,1,1,4,1,5,5,4,2,5,0,3,2,1,5,3,1,1,2,23
1,224,17,3,2,5,2,0,1,2,0,2,2,3,3,2,1,2,0,0,1,1,1,1,1,1,3,1,4,1,3,1,2,1,3,4,3,5,3,3,3,1,5,3,1,1,2,22
1,224,18,4,3,5,1,6,1,0,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,2,5,5,0,3,5,0,3,3,1,5,3,1,2,8,33
1,224,19,5,2,1,3,3,1,2,7,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,4,2,2,1,1,1,2,1,1,1,3,5,0,3,3,1,5,3,1,2,8,16
1,224,20,4,2,2,1,1,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,4,4,1,1,1,2,1,1,2,3,1,1,3,3,1,5,3,2,2,8,38
1,224,21,4,3,5,1,1,1,0,8,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,3,3,1,1,1,2,5,5,0,3,5,1,3,3,1,5,3,1,2,8,135
1,224,22,3,3,4,1,2,1,2,0,1,1,1,0,1,1,2,0,0,2,2,3,1,1,1,1,3,2,1,4,4,2,5,5,1,1,5,1,3,3,1,5,3,2,2,8,54
1,224,23,7,3,4,1,1,1,2,4,1,3,3,3,1,1,3,3,2,3,2,2,1,1,1,0,1,3,2,4,0,2,1,1,1,1,5,0,3,3,1,5,3,2,2,8,112
1,224,24,3,3,4,6,6,1,0,6,1,1,1,1,2,1,3,1,1,2,2,2,1,1,1,4,2,1,2,2,4,1,4,4,1,1,5,3,2,3,2,5,3,1,2,8,10
1,224,25,3,3,6,1,6,1,1,2,1,1,1,2,2,1,2,1,2,2,2,3,1,1,1,1,3,3,1,4,4,2,5,5,1,1,5,0,3,3,1,5,3,1,2,8,62
