COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75
1,218,11,2,3,30,2,1,1,1,0,10,1,4,2,2,3,3,2,1,2,2,1,1,3,1,1,1,3,4,4,3,0,4,2,2,1,2,5,2,3,2,47,1,1,1,3,0,2,3,8,1,2,1,1,2,8,1,9,9,99,9,9,6,2,,22,180,1,12,18,0,7,11,5
1,218,12,2,3,33,3,11,99,2,6,10,1,2,2,3,3,4,2,1,3,3,3,1,1,1,2,2,3,2,4,3,2,3,1,2,1,1,4,1,3,2,52,1,1,1,3,6,5,7,7,2,2,1,1,2,8,1,9,9,99,9,9,6,2,,22,180,1,22,18,0,7,14,8
1,218,13,2,3,33,3,5,5,1,6,10,1,4,2,1,3,6,3,1,3,5,10,2,2,1,2,2,2,2,3,3,1,3,4,4,2,2,4,2,1,1,78,1,1,1,3,6,3,6,7,2,4,3,3,7,8,7,9,9,99,9,9,6,4,,22,180,1,32,18,0,9,14,7
1,218,14,2,3,34,3,11,99,1,6,10,1,4,1,3,3,4,1,1,1,2,2,1,1,1,2,1,2,2,4,3,2,3,2,2,2,2,4,3,2,2,36,2,1,1,3,6,1,7,7,1,1,1,1,9,10,8,9,9,99,9,9,6,5,,22,180,1,42,2,0,8,11,5
1,218,15,2,3,36,2,2,2,2,6,10,4,1,3,1,4,0,1,3,1,2,2,1,3,1,2,2,0,2,4,3,1,2,4,2,3,5,1,2,1,1,59,1,4,2,2,4,4,0,8,0,0,0,0,9,10,8,9,9,99,9,9,6,3,,22,180,1,52,21,0,7,16,1
1,218,16,2,4,29,2,1,1,2,6,10,1,4,2,2,3,5,1,1,2,4,5,2,1,1,2,0,4,2,2,3,2,3,2,2,1,2,4,1,0,2,44,1,2,2,2,5,2,7,7,2,2,1,1,9,8,0,9,9,99,9,9,6,2,,22,180,1,62,8,0,9,13,7
1,218,17,2,4,30,2,4,4,1,6,10,1,4,1,2,2,3,2,1,2,3,4,1,2,1,2,1,2,3,3,3,2,2,2,2,1,2,4,1,2,1,62,1,1,1,3,6,2,7,7,2,2,2,2,7,8,7,9,9,99,9,9,6,2,,22,180,1,72,18,0,7,14,7
1,218,18,2,4,31,2,1,1,1,6,10,1,3,1,1,4,6,2,1,3,4,5,2,2,1,2,2,3,2,2,3,2,4,3,2,2,3,2,2,2,2,49,1,1,1,3,6,3,7,7,2,3,2,1,5,8,1,9,9,99,9,9,6,3,,22,180,1,82,18,0,9,11,5
1,218,19,2,4,32,3,1,1,1,6,10,1,4,2,3,4,0,2,1,3,3,4,2,2,1,2,2,3,3,3,3,2,2,2,2,1,2,5,1,3,2,60,1,1,3,1,0,2,7,8,3,3,1,2,4,8,0,9,9,99,9,9,6,2,,22,180,1,92,12,0,7,13,7
1,218,20,2,4,32,2,0,1,2,6,10,2,2,2,3,3,4,1,3,3,3,5,1,1,1,2,2,2,2,2,3,1,2,2,5,1,2,5,1,1,2,62,1,2,1,3,6,2,7,7,1,2,1,1,4,1,1,9,9,99,9,9,6,2,,22,180,2,2,18,0,7,11,5
1,218,21,2,4,34,3,4,4,1,6,10,3,3,2,2,4,4,2,2,3,3,5,2,2,1,2,2,3,2,4,3,2,4,2,2,3,2,5,1,2,2,66,1,1,1,3,6,5,7,7,3,5,2,2,9,8,0,9,9,99,9,9,6,2,,22,180,2,12,16,0,8,14,7
1,218,22,2,4,34,3,1,1,1,6,10,1,4,1,3,3,4,2,1,2,3,3,2,1,1,2,2,3,3,3,3,2,1,2,2,1,1,5,1,1,2,46,1,1,1,3,6,2,7,7,2,1,1,1,1,8,6,9,9,99,9,9,6,4,,22,180,2,22,14,0,8,12,5
1,218,23,2,4,34,2,1,1,2,1,10,2,4,2,2,2,3,2,1,3,3,3,1,1,1,2,2,3,2,4,3,1,2,2,5,2,1,5,2,1,2,61,1,1,2,2,5,5,7,6,4,5,2,3,1,8,8,9,9,99,9,9,6,2,,22,180,2,32,11,0,7,13,7
1,218,24,2,4,34,2,4,5,2,1,10,2,4,2,2,2,3,2,1,3,2,3,1,2,1,2,1,3,3,4,3,2,1,2,2,1,2,4,1,2,2,79,1,1,1,3,6,2,7,7,2,2,1,1,7,8,8,9,9,99,9,9,6,4,,22,180,2,42,17,0,7,14,7
1,218,25,2,4,36,2,4,4,1,6,10,1,3,1,2,4,5,1,1,3,4,5,2,1,1,2,2,3,2,3,3,2,1,1,2,1,2,5,1,2,1,65,1,1,1,3,6,1,3,5,1,1,1,1,7,8,7,9,9,99,9,9,6,2,,22,180,2,52,18,0,7,14,7
1,218,26,2,4,36,2,2,2,2,6,10,1,3,2,2,3,4,1,1,3,3,4,2,2,1,2,2,3,3,3,3,2,2,1,1,2,1,4,2,2,1,67,1,1,1,4,1,2,7,7,1,1,2,2,7,2,1,9,9,99,9,9,6,4,,22,180,2,62,26,0,7,15,1
1,218,27,2,3,26,3,4,4,3,3,10,1,4,1,2,2,3,3,1,3,4,5,1,1,1,2,1,3,2,4,3,3,3,2,2,1,2,5,1,1,2,90,1,1,1,3,6,3,1,5,2,2,2,2,6,8,7,6,3,4,4,2,7,2,,22,180,2,72,14,0,7,14,7
1,218,28,2,3,27,3,11,99,1,6,10,2,4,1,3,4,4,2,1,3,3,5,2,1,1,2,1,3,3,3,3,2,3,2,2,1,2,4,2,2,1,41,1,1,1,3,6,2,2,5,2,2,1,2,3,8,7,9,9,99,9,9,7,2,,22,180,2,82,18,0,8,14,8
1,218,29,2,3,28,3,11,99,2,6,10,1,3,2,3,3,3,2,1,2,2,4,2,2,1,2,2,3,3,3,3,1,3,2,2,1,2,4,1,1,2,40,1,1,1,3,6,2,6,2,1,2,2,2,4,8,2,9,9,99,9,9,7,4,,22,180,2,92,19,0,7,14,8
1,218,30,2,2,35,2,1,1,1,0,10,2,2,2,2,3,5,2,1,3,4,4,1,2,1,2,2,2,2,2,3,1,2,3,3,2,4,4,4,3,1,55,1,2,1,3,6,3,7,2,4,4,2,3,5,1,0,9,9,99,9,9,5,2,,22,180,3,2,11,0,8,13,7
