CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.
1,204,113,6,2,2,2,4,2,5,5,4,2,2,1,2,2,2,3,3,1,3,2,1,1,1,1,2
1,204,114,6,2,3,3,8,2,5,5,1,1,0,2,1,3,1,2,2,2,3,1,2,3,1,2,1
1,204,115,5,2,2,3,5,2,5,5,1,1,1,1,2,2,1,1,2,2,5,2,2,1,3,1,2
1,204,116,3,2,1,1,6,2,4,5,2,2,2,2,1,1,2,3,2,2,1,2,1,1,1,2,1
1,204,117,5,2,2,2,3,2,5,5,2,2,3,2,2,1,1,3,2,2,3,2,2,2,1,2,2
1,204,118,6,2,2,3,7,2,5,5,1,2,2,2,2,2,1,3,2,2,1,2,1,2,1,1,2
1,204,119,6,2,2,1,2,2,5,5,2,2,1,2,2,1,1,2,3,2,1,3,1,2,2,2,1
1,204,120,4,2,2,2,6,2,4,5,1,2,2,1,2,3,3,2,3,2,1,2,3,3,3,3,1
1,204,121,4,2,2,3,3,2,4,5,4,2,2,1,2,1,2,4,3,2,0,2,1,3,1,1,1
1,204,122,7,2,2,2,3,2,4,4,2,2,4,1,2,1,2,1,3,2,1,3,1,1,1,1,1
1,204,123,7,2,3,1,6,2,5,1,4,2,4,1,1,2,1,4,3,2,0,3,2,3,1,2,1
1,204,124,3,2,2,1,2,2,5,4,4,1,0,2,2,1,1,4,3,3,1,2,1,1,1,1,1
1,204,125,5,2,3,3,4,2,4,5,1,1,4,2,0,2,3,2,2,3,4,2,2,3,3,2,1
1,204,126,4,2,3,5,6,2,4,5,4,2,2,2,1,2,2,1,1,3,6,1,2,2,1,2,1
1,204,127,4,2,2,1,3,2,5,5,3,2,0,2,0,2,2,4,0,3,1,3,0,3,0,0,2
1,204,128,6,2,2,1,3,2,5,5,1,2,3,2,2,2,2,4,2,3,1,3,3,2,1,2,1
1,204,129,4,2,2,2,2,2,2,5,2,2,2,1,1,1,1,4,3,3,2,1,1,1,1,1,2
1,204,130,6,2,2,2,2,2,4,5,2,2,4,1,2,2,2,2,2,3,1,2,1,2,1,1,2
1,204,131,4,2,2,1,3,2,4,5,4,1,1,2,2,1,1,2,1,4,1,3,2,1,2,1,2
1,204,132,6,2,2,2,2,2,5,5,2,1,0,2,2,2,2,2,2,4,2,2,2,3,3,2,2
1,204,133,4,2,1,1,2,2,4,5,2,1,0,1,1,1,1,2,0,4,1,0,2,2,1,1,2
1,204,134,5,2,2,3,3,2,5,5,4,1,3,1,2,2,1,2,3,4,1,3,2,2,3,2,1
1,204,135,5,2,3,7,9,2,3,0,0,1,2,1,1,2,2,0,1,4,2,2,1,1,2,1,2
1,204,136,4,2,3,2,2,2,5,1,2,2,5,2,1,1,1,4,2,4,1,3,1,1,1,1,1
1,204,137,5,2,2,0,0,2,4,5,2,2,2,2,2,1,1,4,2,4,1,3,3,1,1,1,2
1,204,138,5,2,3,2,3,2,5,5,2,2,3,2,0,2,1,4,2,4,1,2,1,2,1,2,2
1,204,139,5,2,3,2,3,2,5,5,4,2,4,2,1,1,2,2,2,4,2,3,1,2,1,1,1
1,204,140,6,2,2,2,2,2,5,5,2,2,4,2,1,2,2,1,1,4,2,1,1,2,1,1,2
1,204,141,7,2,2,1,2,2,5,5,2,2,3,2,2,3,2,3,1,4,1,2,2,1,1,1,2
1,204,142,1,2,2,2,2,2,5,5,2,2,3,1,2,2,2,4,3,4,1,3,3,2,1,1,2
1,204,143,4,2,3,0,3,2,5,5,3,2,2,1,1,1,2,4,3,4,1,1,2,2,1,1,2
1,204,144,4,2,1,1,2,2,4,4,2,2,2,1,2,1,1,2,1,4,1,2,1,3,2,3,1
1,204,145,7,2,1,1,1,2,2,5,4,2,2,1,1,1,1,4,3,4,1,1,1,1,1,1,1
1,204,146,2,2,2,2,3,2,2,1,2,1,2,2,1,1,1,4,1,5,2,1,1,1,1,1,2
1,204,147,4,2,3,4,5,2,4,1,1,1,2,1,1,3,2,1,2,5,1,3,3,3,2,3,1
1,204,148,4,2,2,4,4,2,2,5,2,2,2,2,2,2,1,2,3,5,2,1,2,1,1,1,2
1,204,149,4,2,2,1,4,2,5,5,2,2,5,2,2,2,1,3,3,5,1,3,1,1,1,1,2
1,204,150,5,2,3,2,4,2,4,5,1,2,2,2,2,2,2,3,2,5,1,3,3,2,3,2,1
1,204,151,5,2,2,2,10,2,5,5,2,2,3,2,2,2,2,3,2,5,2,2,1,3,1,1,2
1,204,152,6,2,2,2,5,2,5,5,2,2,4,2,2,2,2,2,1,5,1,3,3,3,2,3,1
1,204,153,2,2,2,2,3,2,4,4,2,2,2,1,2,2,2,4,3,5,1,1,1,2,0,2,2
1,204,154,5,2,1,1,2,2,2,5,2,2,2,1,1,1,1,4,3,5,2,1,1,2,1,1,1
1,204,155,8,2,2,2,3,2,5,5,4,2,0,1,2,2,3,1,2,5,1,2,1,2,1,2,2
1,204,156,5,2,2,2,2,2,1,5,2,1,4,1,2,1,2,3,3,6,1,2,1,1,1,1,1
1,204,157,0,2,2,1,2,2,5,5,2,0,0,2,2,3,3,3,1,6,11,2,0,3,1,0,2
1,204,158,5,2,4,6,8,2,5,1,4,1,1,1,1,2,2,4,2,7,2,3,2,2,3,1,2
1,204,159,5,2,1,1,2,2,4,5,2,2,2,2,2,3,2,4,0,7,1,3,1,1,0,1,2
1,204,160,7,2,2,3,4,2,4,5,2,2,3,1,2,2,2,3,3,7,1,3,1,1,2,1,1
1,204,161,5,2,1,3,5,2,5,5,2,2,3,2,2,2,2,1,4,8,9,1,2,3,3,1,2
1,204,162,5,2,2,3,5,2,5,5,2,2,2,1,2,2,2,3,3,8,1,3,1,1,3,3,1
1,204,163,6,2,2,2,3,2,5,5,2,2,3,2,1,2,2,3,1,9,1,1,1,2,1,1,1
1,204,164,5,3,4,6,8,2,5,5,4,1,3,2,2,2,2,4,1,10,10,3,2,3,1,1,2
1,204,165,5,3,2,2,3,2,5,5,2,1,2,1,2,1,1,2,3,1,3,1,2,1,1,1,2
1,204,166,7,3,4,0,5,3,6,0,5,2,1,3,2,2,2,4,0,1,0,1,2,2,1,2,2
1,204,167,7,3,2,2,3,2,5,5,2,2,5,2,0,2,1,3,1,1,0,3,3,3,3,3,1
1,204,168,7,3,2,2,3,2,5,1,2,2,3,2,1,3,3,4,0,1,0,3,1,3,0,1,2
1,204,169,5,3,3,0,4,2,5,5,4,2,2,1,0,2,2,3,0,1,0,2,1,2,0,0,1
1,204,170,5,3,2,2,3,2,5,5,2,2,1,1,1,1,1,4,3,1,3,2,2,2,1,1,2
1,204,171,5,3,2,1,2,2,1,5,2,2,2,1,1,2,1,2,2,2,1,3,2,1,1,1,2
1,204,172,5,3,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,3,1,2,1,2,1,2,2
1,204,173,6,3,1,1,2,2,4,5,2,2,5,2,2,2,3,4,1,3,1,3,1,3,1,3,1
1,204,174,5,3,2,1,2,2,4,1,4,2,2,1,1,1,1,4,3,3,1,1,1,1,1,1,2
1,204,175,2,3,2,1,3,2,4,5,2,1,1,1,2,2,2,2,2,4,1,2,1,1,2,2,1
1,204,176,2,3,3,1,3,2,5,5,1,2,4,2,2,2,3,4,1,4,0,3,1,3,3,2,2
1,204,177,6,3,2,2,2,2,5,5,1,2,3,2,1,3,3,1,2,4,0,3,3,1,0,1,2
1,204,178,5,3,2,1,3,2,4,4,2,2,2,1,1,1,2,4,2,4,1,3,3,1,3,1,1
1,204,179,4,3,7,6,7,2,5,4,1,1,3,2,1,2,2,2,1,5,2,3,3,0,0,1,1
1,204,180,6,3,3,1,3,2,5,5,4,1,4,2,2,2,2,3,2,5,1,3,3,3,3,3,1
1,204,181,5,3,2,2,3,2,5,5,2,2,2,2,2,2,3,4,2,5,10,3,1,2,3,2,1
1,204,182,4,3,2,2,4,2,5,5,2,2,3,1,2,2,2,3,1,5,0,3,3,3,3,3,1
1,204,183,6,3,2,2,4,2,5,5,2,2,2,1,2,1,1,4,3,5,2,2,1,1,1,1,1
1,204,184,7,3,3,1,3,2,4,5,2,1,4,2,2,2,1,2,1,6,1,3,2,3,3,1,1
1,204,185,5,3,2,2,3,2,5,5,2,2,0,1,1,2,1,4,3,6,1,1,3,2,1,1,2
1,204,186,2,3,4,2,4,2,4,5,1,1,4,2,2,2,2,2,3,7,2,2,2,2,1,1,2
1,204,187,6,3,3,2,5,2,4,5,2,2,1,2,2,2,1,2,2,7,2,2,1,2,3,3,1
1,204,188,3,3,2,2,3,2,5,5,2,2,2,1,1,2,2,4,5,7,1,2,2,1,1,2,1
1,204,189,4,3,2,2,2,2,5,5,0,2,1,1,1,1,1,3,3,7,1,2,1,1,1,1,2
1,204,190,6,3,3,3,5,2,4,4,4,2,1,2,2,2,2,3,3,8,3,3,2,3,3,3,1
1,204,191,7,3,4,2,5,2,5,5,2,2,4,2,0,2,2,2,1,8,1,3,2,2,1,1,1
1,204,192,7,4,5,11,11,2,1,5,4,2,2,2,2,2,2,2,1,1,5,3,2,2,2,1,1
1,204,193,6,4,2,2,3,2,5,5,2,1,2,2,2,2,2,3,3,4,2,3,2,1,2,2,1
1,204,194,4,4,2,2,3,2,5,5,2,2,0,2,2,2,1,3,3,4,1,1,2,2,2,1,2
1,204,195,5,4,2,5,9,2,6,0,4,2,2,1,2,1,2,4,2,4,1,2,1,3,3,2,1
1,204,196,5,4,4,4,8,2,4,5,2,2,4,2,2,2,3,2,2,9,1,3,2,2,1,2,1
1,204,197,6,4,2,6,8,2,6,5,1,2,4,2,1,3,2,2,3,9,1,2,1,3,3,3,1
1,204,198,5,5,2,6,9,2,5,5,4,2,2,2,2,2,2,4,1,10,1,2,0,3,1,1,1
1,204,199,4,5,3,3,5,2,1,5,5,2,4,2,1,2,2,4,2,1,0,3,2,1,1,1,2
1,204,200,6,5,2,4,2,2,3,1,1,1,2,2,2,2,1,3,3,2,0,1,1,2,2,3,1
1,204,201,5,5,2,3,3,2,5,5,4,2,4,2,2,2,1,2,1,4,1,3,2,1,1,1,2
1,204,202,7,5,3,4,7,2,5,5,1,2,4,2,1,2,2,4,2,4,2,3,2,3,3,1,1
1,204,203,1,6,2,2,2,2,5,5,4,2,4,2,2,2,1,1,1,10,1,3,1,3,2,1,2
1,204,204,6,6,1,2,3,2,5,5,4,2,3,1,1,2,3,3,2,4,1,3,2,3,1,1,1
1,204,205,4,6,2,3,4,2,4,5,2,1,5,2,2,3,2,2,2,6,1,3,2,2,2,1,1
1,204,206,1,8,4,3,6,2,4,4,1,2,4,2,2,2,2,2,1,1,3,2,2,2,3,1,1
1,204,207,6,8,2,3,5,2,5,5,2,1,2,2,1,2,1,4,1,2,3,2,3,3,1,1,1
1,204,208,1,8,1,3,7,2,4,5,4,1,2,2,2,2,1,3,2,4,1,3,3,0,0,3,1
1,204,209,3,8,2,3,3,2,4,5,2,2,4,1,2,1,2,2,3,4,3,1,1,2,2,2,1
1,204,210,5,8,2,3,5,2,5,5,2,2,0,2,2,2,2,2,1,7,1,2,3,0,0,0,1
1,204,211,3,9,2,3,6,2,5,5,1,1,0,3,0,0,0,0,0,0,0,2,1,2,1,2,1
