CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.51.,Q.52.,Q.53.,Q.53..1,Q.53..2,Q.53..3,Q.53..4,Q.53..5,Q.53..6,Q.53..7,Q.53..8,Q.53..9,Q.53..10,Q.53..11,Q.53..12,Q.53..13,V.54.,V.55.,V.56.,V.57.
1,210,24,2,2,5,1,1,1,3,5,2,4,4,1,7,1,1,3,2,1,1,2,1,1,1,1,2,3,4,5,4,1,1,1,1,1,2,2,3,1,1,2,3,1,2,2,1,1,5,4,3,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,3,2,22
1,210,25,3,7,5,2,3,1,3,5,1,5,6,2,7,2,1,3,2,1,1,2,1,3,1,2,2,2,4,5,4,1,1,1,1,1,2,2,2,1,1,2,3,1,2,2,1,2,5,4,3,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,3,2,23
1,210,26,3,10,8,3,4,1,3,5,1,5,5,1,7,1,1,2,3,2,2,2,1,2,3,2,2,4,4,1,4,3,5,1,2,2,1,3,2,3,2,2,2,2,1,1,2,4,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,24
1,210,27,3,8,5,9,3,1,3,5,2,5,6,1,7,0,1,2,2,3,2,2,1,3,2,2,2,3,4,1,4,3,1,1,3,2,1,3,2,2,2,2,2,2,1,1,1,2,5,4,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,25
1,210,28,2,9,4,5,4,2,1,4,1,5,5,1,7,2,1,3,1,2,1,3,1,4,2,1,2,4,2,1,4,3,1,1,1,4,1,3,2,1,1,2,2,3,1,1,1,3,5,4,0,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,3,2,26
1,210,29,1,9,5,4,5,3,3,4,2,5,1,1,7,2,1,2,1,1,1,1,1,2,1,2,1,5,4,4,3,3,5,1,1,1,2,0,3,3,1,2,4,2,1,2,1,2,5,4,3,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,3,2,27
1,210,30,1,8,5,2,5,1,3,5,2,5,6,6,7,2,1,3,2,4,2,1,1,3,2,1,2,2,5,1,4,3,5,1,1,1,2,2,1,2,1,2,2,1,3,1,1,1,5,4,6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,28
1,210,31,3,6,5,2,5,1,3,1,3,7,7,1,1,1,3,0,1,3,4,3,1,2,2,5,5,1,1,4,4,4,1,1,4,4,2,2,3,0,1,3,4,3,2,2,1,2,5,4,3,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,5,2,0
1,210,32,3,10,5,2,5,2,1,4,1,5,7,1,1,2,1,3,1,5,3,2,2,2,2,5,5,1,5,5,4,4,1,2,2,2,2,2,3,2,3,1,4,2,1,2,2,4,5,4,6,2,2,2,1,2,2,1,2,1,2,1,2,1,2,1,5,2,1
1,210,33,5,8,6,2,2,1,3,5,2,7,7,1,1,2,2,3,1,5,3,2,2,3,2,5,5,1,4,5,1,3,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,4,5,4,3,2,2,2,1,1,2,1,1,1,2,1,2,1,2,1,5,2,2
1,210,34,0,10,6,2,5,4,3,4,1,6,7,1,1,4,4,3,2,2,2,2,2,3,2,1,1,1,6,1,5,5,7,2,2,2,5,4,2,1,2,2,1,1,1,1,1,2,5,4,0,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,5,2,3
1,210,35,1,10,4,3,1,2,1,3,1,4,2,1,1,5,3,3,4,1,1,2,3,2,2,5,5,2,4,4,4,2,1,1,2,2,1,1,3,2,3,1,4,2,2,2,1,2,5,4,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,5,2,4
1,210,36,3,5,6,2,2,1,3,5,1,5,3,1,1,4,4,1,3,2,2,2,2,2,1,3,3,5,4,4,4,3,3,2,2,2,2,1,2,1,1,2,4,2,1,1,1,2,5,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,5
1,210,37,4,9,6,4,3,1,3,5,1,5,7,1,1,2,2,3,2,4,3,2,2,1,3,4,3,1,4,4,4,4,4,2,2,2,2,2,3,2,3,1,2,1,2,2,1,3,5,4,6,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,2,6
1,210,38,4,7,7,2,3,2,2,4,2,6,1,1,1,2,2,3,4,1,1,2,1,1,2,2,5,3,4,5,4,4,1,2,1,1,1,3,2,1,1,2,2,1,1,1,1,1,5,4,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,7
1,210,39,3,8,4,2,4,2,1,1,2,5,6,1,1,2,4,3,1,1,2,2,2,3,4,2,3,1,1,1,4,2,7,0,1,1,3,2,3,1,1,2,2,3,1,1,1,2,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,8
1,210,40,5,10,6,3,3,1,3,5,1,6,7,1,1,5,3,2,4,4,4,2,2,3,4,4,5,6,4,1,5,5,2,2,3,3,2,3,3,4,3,1,4,3,1,1,1,2,5,4,6,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,5,2,9
1,210,41,3,9,3,2,4,1,3,5,1,6,7,1,1,4,3,3,2,4,2,2,2,2,4,1,4,1,5,1,3,2,5,1,3,3,2,2,3,3,2,2,2,1,1,2,2,4,5,4,6,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,5,2,10
1,210,42,7,9,4,2,4,1,3,5,1,5,7,1,1,2,3,2,1,4,2,2,2,3,2,5,5,1,6,6,1,1,2,1,2,1,3,2,2,2,2,2,2,2,2,2,2,4,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,11
1,210,43,5,10,3,3,0,1,3,5,1,0,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,2,12
1,210,44,5,10,1,7,1,1,3,5,1,5,4,1,1,2,3,2,1,4,2,3,2,3,3,5,2,3,6,5,5,5,1,1,2,2,5,4,4,1,1,2,2,2,3,3,1,1,5,4,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,5,2,13
1,210,45,3,8,5,2,3,1,3,5,1,6,7,1,1,5,2,3,1,4,2,2,2,3,3,2,2,1,3,4,4,4,1,1,1,1,2,3,3,1,3,2,2,1,1,1,1,1,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,14
1,210,46,5,8,5,7,4,2,2,1,1,6,7,1,1,5,2,3,2,4,2,1,2,1,1,2,2,1,4,1,5,2,7,0,2,2,2,4,3,1,1,2,2,1,2,2,1,2,5,4,3,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,5,2,15
1,210,47,2,2,6,7,4,1,3,5,1,5,6,1,1,1,3,3,1,5,4,3,2,2,3,4,1,3,4,3,1,1,1,1,1,0,2,4,3,3,1,1,3,4,2,2,1,3,5,4,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,16
1,210,48,2,3,6,4,5,1,3,5,1,4,6,1,1,2,2,3,2,2,2,1,2,3,2,2,2,2,4,4,4,3,4,2,2,2,2,2,3,1,2,2,3,2,2,2,1,2,5,4,3,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,5,2,17
1,210,49,3,8,7,3,5,1,3,5,1,5,7,1,1,2,4,3,2,4,2,3,2,3,2,2,2,1,4,4,4,4,3,1,2,2,1,2,3,2,2,2,2,2,1,1,1,1,5,4,3,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,5,2,18
1,210,50,4,8,6,2,3,2,1,1,1,5,7,1,1,4,3,1,2,4,4,2,2,3,2,2,0,1,4,3,4,4,3,2,2,2,2,1,2,1,2,2,4,1,2,2,1,1,5,4,3,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,5,2,19
1,210,51,4,6,5,2,5,2,2,1,3,7,7,1,1,2,3,2,1,4,2,3,2,2,3,5,5,1,5,4,4,3,1,1,1,1,2,4,3,1,3,2,3,2,2,2,1,2,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,20
1,210,52,5,8,7,4,4,1,3,5,1,6,7,1,1,2,2,2,2,4,3,2,2,3,3,5,3,1,2,1,4,4,4,1,3,3,2,1,3,3,3,2,2,2,2,2,1,1,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,21
1,210,53,3,10,5,3,5,1,3,5,1,5,7,1,1,3,2,3,4,3,2,3,2,3,3,2,2,1,4,4,4,4,7,1,2,1,1,4,3,2,2,2,3,2,2,2,1,1,5,4,6,2,2,2,1,1,2,1,2,1,1,1,2,1,2,1,5,2,22
1,210,54,3,10,5,2,5,2,1,4,1,4,5,1,1,2,2,2,1,1,2,2,1,1,1,1,2,4,4,1,4,2,3,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,5,4,3,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,5,2,23
1,210,55,3,8,4,7,5,2,1,1,1,5,7,1,1,2,4,3,1,3,2,2,2,1,2,3,4,1,5,5,4,4,1,1,2,2,5,4,3,2,2,2,2,1,2,2,1,3,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,24
1,210,56,5,8,2,0,1,1,3,5,0,6,7,1,1,5,2,3,1,1,2,1,1,1,1,1,1,1,4,4,4,2,4,2,1,2,2,2,3,2,2,2,2,3,3,3,1,2,5,4,8,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,25
1,210,57,5,8,7,9,5,1,3,5,2,5,7,1,1,2,2,3,2,5,4,2,2,3,2,3,2,1,6,1,4,4,1,1,2,2,1,1,3,2,1,2,2,2,2,2,1,1,5,4,3,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,5,2,26
