CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.51.,Q.52.,Q.53.,Q.53..1,Q.53..2,Q.53..3,Q.53..4,Q.53..5,Q.53..6,Q.53..7,Q.53..8,Q.53..9,Q.53..10,Q.53..11,Q.53..12,Q.53..13,V.54.,V.55.,V.56.,V.57.
1,210,58,1,3,4,1,4,1,3,5,1,4,5,1,1,4,4,3,2,4,3,2,2,3,2,3,3,5,5,1,4,4,5,1,2,2,2,4,3,3,3,2,2,2,2,2,1,2,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,27
1,210,59,4,9,5,8,5,2,1,1,1,5,6,1,1,4,4,3,4,4,3,2,2,3,2,2,3,2,4,2,2,2,5,1,2,2,2,2,3,3,2,1,2,2,1,1,1,1,5,4,3,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,5,2,28
1,210,60,4,9,4,6,1,2,2,4,1,7,6,1,1,2,2,3,1,4,3,2,3,3,3,3,2,2,4,6,1,4,1,1,4,3,2,2,3,2,4,0,3,1,2,2,1,2,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,29
1,210,61,2,9,5,2,5,1,3,5,2,6,6,1,1,3,2,3,2,5,4,1,2,4,4,5,5,2,6,6,4,4,7,1,4,4,2,4,3,1,1,3,4,2,4,4,2,4,5,4,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,5,2,30
1,210,62,3,7,5,2,3,1,3,5,1,6,6,1,1,5,2,3,2,2,2,3,1,1,1,2,2,3,4,1,4,4,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,5,4,2,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,5,2,31
1,210,63,2,7,5,2,4,1,3,5,1,7,6,1,1,5,3,1,2,5,4,1,1,3,1,1,1,1,4,4,3,3,1,1,2,2,2,4,3,2,1,2,1,1,1,2,1,3,5,4,3,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,5,2,32
1,210,64,6,4,6,7,1,1,3,5,2,7,5,1,1,2,2,2,2,2,2,1,2,1,2,2,3,5,4,5,4,3,4,2,2,2,2,1,3,2,2,2,2,2,1,1,1,2,5,4,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,5,2,33
1,210,65,3,7,5,5,4,2,2,4,1,6,6,1,1,1,4,3,2,2,2,2,2,4,1,2,2,1,4,1,4,4,7,1,2,2,1,1,3,1,3,2,3,2,2,2,2,4,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,34
1,210,66,3,8,6,2,3,1,3,5,1,6,6,1,1,3,2,1,3,4,3,3,1,2,2,5,2,3,5,5,4,3,4,1,2,2,2,1,3,1,1,2,3,2,1,1,2,4,5,4,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,5,2,35
1,210,67,3,8,5,5,5,1,3,5,1,7,6,1,1,1,1,3,2,2,2,2,1,3,2,2,2,5,4,4,4,4,3,1,2,2,1,2,2,2,3,2,2,3,2,2,2,4,5,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,36
1,210,68,2,7,5,6,2,2,1,1,2,7,6,1,1,5,3,1,2,4,3,3,1,3,2,1,5,2,4,6,3,3,7,1,4,4,2,1,2,2,1,2,4,3,1,2,1,3,5,4,3,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,5,2,37
1,210,69,2,9,7,3,2,1,3,5,1,6,6,1,1,4,3,3,1,5,3,2,2,2,3,5,5,4,5,5,4,4,5,2,2,3,2,1,3,3,3,2,1,2,2,2,1,3,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,38
