CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14A.,Q.14B.,Q.14C.,Q.14D.,Q.14E.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,V.41.,V.42.
1,181,1,1,3,5,2,4,6,3,1,3,4,1,1,1,1,2,2,1,2,3,1,1,2,1,2,3,2,1,1,3,2,1,2,1,1,2,3,1,2,1,3,4,3,1,3,70
1,181,2,1,3,7,2,6,4,3,1,2,2,1,1,1,1,3,1,1,2,3,3,1,2,4,1,3,1,3,1,1,2,1,2,2,2,1,2,1,4,0,0,0,0,0,3,86
1,181,3,1,5,8,3,3,5,3,1,2,3,2,1,2,1,3,2,2,3,3,2,1,2,3,1,1,1,1,3,3,1,3,2,2,2,2,2,1,2,3,3,3,2,1,3,113
1,181,4,1,4,6,1,3,5,3,1,1,3,1,1,1,2,1,2,1,2,3,1,1,2,1,0,2,1,2,2,2,2,1,1,1,2,2,3,1,3,2,2,3,5,1,3,8
1,181,5,1,3,6,2,4,6,3,1,1,4,1,1,1,2,2,2,2,2,4,3,1,2,1,2,3,1,2,2,3,2,2,2,1,1,1,3,1,2,2,1,2,2,1,3,45
1,181,6,1,5,5,3,2,4,3,1,2,1,1,1,2,2,2,3,1,1,3,2,1,2,1,1,2,1,2,1,2,3,1,1,1,3,2,4,1,1,2,2,2,2,1,3,50
1,181,7,1,2,5,1,2,4,3,1,3,4,1,0,1,3,1,2,1,2,2,3,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,4,2,2,1,3,4,4,1,3,72
1,181,8,1,1,6,1,2,4,3,2,4,4,1,1,1,1,0,3,1,2,5,3,0,2,2,1,1,1,1,1,3,1,2,1,1,2,2,0,1,2,1,3,4,4,1,3,77
1,181,9,1,4,7,3,3,5,3,1,1,4,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,2,1,4,2,2,3,2,2,3,83
1,181,10,1,4,3,3,0,5,3,1,3,3,1,1,3,2,2,2,1,2,3,2,1,2,2,2,3,3,3,2,2,2,2,1,3,3,2,5,1,2,2,2,2,1,1,3,89
1,181,11,1,3,5,3,0,3,3,1,1,4,4,0,2,2,2,3,2,2,3,1,2,2,2,3,4,3,3,4,3,2,4,3,2,1,1,2,2,4,2,2,3,3,1,3,118
1,181,12,1,3,6,3,4,3,3,1,2,1,4,1,2,1,3,3,1,2,5,3,1,2,3,1,5,3,3,2,2,2,1,3,2,1,2,2,1,0,1,3,4,3,1,3,120
1,181,13,1,2,5,2,2,5,3,1,1,4,1,1,1,1,1,1,1,0,4,3,2,2,1,2,4,3,1,1,3,2,1,2,0,1,1,4,2,5,0,0,3,5,1,3,5
1,181,14,1,3,6,1,0,4,3,1,1,4,1,1,3,2,1,1,1,1,5,3,1,2,1,2,1,3,3,1,1,1,2,1,1,2,3,4,1,2,1,1,1,1,1,3,9
1,181,15,1,5,7,1,4,3,3,1,2,2,1,1,2,3,1,3,1,1,5,1,1,2,3,1,3,3,2,4,2,2,1,2,3,1,2,3,1,3,2,2,2,5,1,3,22
1,181,16,1,5,3,3,2,4,3,1,3,4,3,2,2,2,3,3,2,2,5,3,3,2,2,1,4,3,3,4,5,2,4,2,2,1,2,1,2,4,3,2,4,1,1,3,33
1,181,17,1,2,6,3,4,4,3,1,1,2,1,1,2,2,3,3,2,3,3,3,2,2,2,2,4,3,3,2,3,2,4,3,2,1,1,3,2,2,2,2,2,2,3,3,37
1,181,18,1,5,7,3,4,4,3,1,2,4,2,2,2,2,1,2,1,3,5,3,2,1,4,1,1,3,3,3,3,2,1,2,2,2,2,4,2,3,3,3,3,3,2,3,46
