CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4A.,Q.4B.,Q.5A.,Q.5B.,Q.6A.,Q.6B.,Q.7A.,Q.7B.,Q.8A.,Q.8B.,Q.9A.,Q.9B.,Q.10A.,Q.10B.,Q.11A.,Q.11B.,Q.12A.,Q.12B.,Q.13A.,Q.13B.,Q.14A.,Q.14B.,Q.15A.,Q.15B.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19A.,Q.19B.,Q.20A.,Q.20B.,Q.21A.,Q.21B.,Q.22A.,Q.22B.,Q.23A.,Q.23B.,Q.24A.,Q.24B.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41A.,Q.41B.,Q.42A.,Q.42B.,Q.43A.,Q.43B.,Q.44A.,Q.44B.,Q.45A.,Q.45B.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.46A.,Q.46B.,Q.47A.,Q.47B.,V.49A.,V.49B.,V.50A.,V.50B.,V.51A.,V.51B.,V.52.
1,195,1,2,2,3,5,3,1,3,1,3,1,1,1,2,1,4,1,3,2,1,2,5,2,2,2,2,3,2,1,2,2,2,1,2,2,1,2,1,3,1,2,2,2,1,1,2,3,5,4,4,3,3,2,3,3,3,5,4,3,4,3,2,4,1,1,2,2,1,3,3,3,3,1,3,2,195,1,2,4,3,3,3,4,3,0,6,3,2,1
1,195,2,2,2,4,7,2,2,2,2,2,2,3,2,1,2,2,2,3,2,3,2,2,2,3,2,2,1,2,1,1,1,2,1,2,1,2,1,0,0,1,2,2,2,1,2,2,2,4,4,4,3,3,3,3,3,2,4,2,3,4,3,2,4,1,3,1,2,1,2,1,3,1,4,2,2,195,2,2,3,1,2,2,2,5,4,0,7,6,2
1,195,3,2,2,2,5,1,2,2,2,2,2,1,1,2,2,2,2,3,2,2,2,3,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,3,2,2,2,2,2,3,2,2,2,2,2,2,1,4,2,4,2,1,3,2,2,3,2,1,3,2,195,3,2,3,2,3,2,6,3,5,1,4,0,2
1,195,4,2,0,2,6,2,2,3,2,3,2,1,2,2,3,5,2,4,1,3,1,3,1,1,2,2,3,2,3,2,3,2,3,2,1,2,1,1,2,1,1,2,1,0,0,2,2,2,3,2,2,2,2,3,4,2,3,2,3,2,3,2,1,2,2,0,2,2,2,0,2,2,3,2,2,195,4,2,3,2,0,0,2,4,2,3,3,0,2
1,195,5,2,2,3,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,2,1,1,2,1,1,1,1,1,4,2,2,2,2,1,4,2,2,1,1,2,2,1,4,1,0,0,2,1,2,1,3,3,0,0,2,195,5,2,4,0,2,1,8,6,9,9,4,3,2
1,195,6,2,2,3,5,1,2,1,2,2,2,1,1,2,1,1,1,3,1,2,1,3,1,1,1,2,2,2,1,2,2,2,1,2,1,1,3,1,3,2,2,2,1,2,2,1,1,1,4,2,1,2,2,1,5,2,1,1,1,1,2,1,4,1,3,1,2,1,2,1,3,1,4,1,2,195,6,2,3,1,3,1,3,5,5,6,7,7,1
1,195,7,2,3,3,7,2,1,2,1,2,2,1,1,1,2,2,2,3,1,2,1,3,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,5,4,3,2,2,2,4,3,4,2,2,4,3,2,4,1,1,1,2,1,2,1,3,1,3,2,2,195,7,2,3,1,4,2,2,9,5,6,5,6,2
1,195,8,2,3,2,5,1,2,1,2,2,2,1,1,3,1,2,2,3,1,2,2,3,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,2,2,3,2,2,2,2,2,4,3,2,2,2,2,2,2,4,2,3,1,2,1,4,3,1,3,3,3,2,195,8,2,3,2,3,2,3,7,5,4,4,2,1
1,195,9,2,1,2,6,3,1,2,1,4,2,1,1,2,1,3,2,3,1,1,1,3,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,4,4,4,2,3,3,3,3,4,5,3,3,4,3,3,4,2,3,1,2,1,2,2,1,2,3,3,2,195,9,2,4,2,3,2,0,6,2,7,4,2,1
1,195,10,2,3,5,6,2,1,3,1,4,2,1,1,2,2,2,2,3,1,3,3,3,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,3,1,2,4,5,4,4,3,2,5,4,4,5,3,5,4,4,3,4,1,4,2,2,2,2,1,1,2,2,2,2,195,10,2,3,1,2,2,2,6,2,5,4,3,2
